gene	bin_0	bin_1	bin_2	bin_3
Lbx2	0.86158115	0.08188858	0.71282893	0.44934753
Zdhhc12	0.72853875	1.1139866	1.1797452	1.0512829
Trmt11	0.7831037	1.2555187	0.11182247	1.300496
Nckap5l	0.64980495	0.7660754	0.9145428	-0.12118
Sec24d	1.4606773	1.773545	0.36961573	1.4969568
Lama5	-0.20899987	0.2749923	-0.30842137	0.68059075
Slc13a3	0.2844997	1.0001289	0.6974196	1.1410424
4930563E22Rik	-0.08608427	-0.24675955	0.4187849	0.48485923
Laptm5	2.58286	2.8338225	2.7141843	2.4847684
Il12rb2	-0.046626586	0.27437904	-0.041002244	-0.06041655
Mpig6b	-0.015115127	0.5032015	-0.05741636	-0.07468832
Zfp622	1.6975626	1.953845	1.6292119	1.7533379
Phactr2	1.6541924	1.7400876	1.6857733	2.110803
Coq2	0.95940405	1.7309918	1.5514158	1.6654317
Syt3	-0.038494606	1.1405907	-0.58140695	0.93134695
4833408A19Rik	0.33725157	0.40258023	0.94722366	0.2203855
Gm43403	-0.30602932	0.38413134	0.8358491	0.22220513
Arhgap39	0.689514	1.6817635	0.7244404	1.2953655
Zfp667	0.8043027	0.28221592	0.32742304	0.43828046
9330159M07Rik	0.0002978146	0.41666114	0.64025825	0.83259815
Ccdc34	1.4180093	1.9060671	1.3328692	1.3335315
Dlg4	1.3183081	2.187965	0.8014599	0.097785026
Pak2	2.38762	2.5469415	2.2750392	2.5148702
Ndufb11	2.1821327	2.6234417	2.4384086	2.2082415
Pex19	1.4298315	0.5978388	1.4358348	1.6204181
Shpk	0.3794631	0.38724518	-0.24215293	0.320586
Oxsm	0.8580052	-1.0178565	1.102229	1.0303161
Kif9	0.2887323	0.69479483	-0.036858734	0.63465357
Aqr	0.9164677	1.927569	1.7597798	2.0153968
Alg12	-0.07170719	0.8404493	0.20881149	0.50165987
Pfdn6	1.123213	2.412129	2.1095939	2.036775
D830050J10Rik	0.4412542	0.96022344	0.96720403	0.6305267
Smpd2	0.7151858	1.0625648	1.4228278	0.48755747
2810004N23Rik	1.891613	1.1918355	1.7231331	1.6192936
Zrsr1	0.6583834	-0.3017585	0.42666477	1.2109544
Mcm7	1.4681518	1.6340283	-0.7205074	1.634439
Abhd6	0.74369174	1.6786269	1.7755032	-0.51500803
Kif27	-0.016747247	0.3804173	-0.035892285	-0.0793571
Fendrr	0.082827464	-0.0858854	-0.042229116	-0.054580018
Slc25a51	1.3042716	1.712034	1.6424897	1.6990521
Kat7	1.371634	2.0757742	1.5097036	1.3843765
Chrm1	-0.0034742518	0.19015689	-0.07292996	-0.080375366
Stag3	0.5384038	0.16493028	0.23287536	0.33766112
Unk	0.5411635	0.37987918	1.3156495	0.8012029
Ampd1	-0.06567504	0.7082679	-0.15079197	-0.118754864
Cbr2	2.5577514	2.4317293	2.6849566	2.838206
Agpat4	0.19892573	1.7487464	0.9441474	1.4047254
Ampd2	1.0585604	-0.43340552	1.2433621	0.29405951
Btbd1	1.5770236	2.0750797	1.7707088	1.816485
Abca2	0.37491584	1.2143347	0.59923667	1.0317553
Asb3	0.12356392	1.261263	1.1986505	0.9018457
Vac14	1.2442524	1.3552688	1.7485414	1.669796
Rdh10	0.93994665	0.13171773	1.1341227	1.1773586
Ptpn22	1.1754069	1.516187	-0.4950269	0.90720093
Wdr31	-0.03858263	-0.11194491	0.39472252	-0.048267726
Sec23b	-0.044825956	1.5991387	1.058423	1.7433548
Fbrs	1.4483578	1.9808803	1.5544598	1.7838321
Pdrg1	1.3535538	1.9482373	2.0453312	1.6913997
Plagl2	0.82670236	1.6187009	1.1549773	1.3980991
Rwdd2a	0.13027808	1.2441592	0.801198	-0.50934714
Ghitm	1.9488143	2.2186174	2.0536165	2.1195233
Gm16537	0.37720424	-0.09102531	-0.07290545	-0.042530715
Olfr1392	-0.017086295	-0.09740352	0.31384963	-0.0553604
P2ry1	-0.029149352	-0.09442246	-0.049506105	0.29430678
Cd300lb	1.3296187	1.2875277	1.4666493	1.4288907
Eps8l2	0.2675202	0.1130168	-0.23180903	0.4529996
Ash1l	2.1838677	2.3433123	2.1502845	2.173498
Actl6a	1.4489375	1.4885345	1.6135951	1.5323753
Ccdc47	1.452959	2.2078197	1.4736916	2.2788212
Pcbp2	2.4325402	2.3979633	2.4997168	2.5556936
Tmem163	-0.10071145	-0.20738018	0.32570004	0.26140404
Ttll4	0.45053405	-0.35359034	0.3487296	1.2303956
Asxl1	1.4498608	1.5842412	1.5233369	1.6294668
Eapp	1.066637	2.2317305	1.7607818	2.1118965
Unc13a	-0.13699658	0.51947683	0.402579	-0.27883166
Cyp20a1	-0.29194212	1.5929846	1.7555072	1.7446212
Ubtd2	-0.34023845	0.46525377	-0.65636927	0.86902684
Wwc2	1.5201861	2.0173903	1.6894587	1.6017662
Txnrd1	1.6436285	2.1222997	1.65544	2.1563087
Mob1a	2.264225	2.3459916	2.3582458	2.4965968
Ripply3	-0.13620423	0.29453963	0.36287948	0.45238262
Slc16a1	1.0055889	0.9629005	0.6499832	-1.1562111
Srsf4	1.3739303	1.8565897	1.7301084	1.8480719
Mss51	0.38084322	-0.029535644	0.42152387	0.8000397
Cd209c	0.29471037	0.66047144	-0.40978953	0.56025815
Rapgef6	1.8638738	2.2431204	1.9867412	2.2844896
B130046B21Rik	0.2015753	-0.09160852	-0.06234381	-0.048310734
Gm14325	-0.2166479	0.15030868	0.40809035	0.5285516
Gm19585	-0.16525823	0.34415376	-0.22716421	0.67833334
Ilf3	1.7961005	1.9822577	0.4006576	1.5948981
Exog	0.74409723	0.2208212	0.89542174	0.55330235
Kansl2	0.50937605	1.7817436	1.6038043	1.295758
Iqsec1	1.70661	1.6232278	1.6495391	1.9641718
Rnaset2b	1.503919	1.8089283	1.6691567	1.6851588
Lrrc40	0.7211319	1.2181206	0.19934952	0.8084068
Fjx1	-0.21898672	-0.47667044	0.36559504	0.6635121
Gm45464	0.2923659	-0.10809246	-0.054903496	-0.05076562
Tubgcp4	-0.29123902	1.0957979	1.812113	1.5295126
Thap4	0.64174545	1.1121582	0.5873216	1.2404845
Helz2	-0.22994672	0.80167323	-0.28792748	-0.31892017
