gene	bin_0	bin_1	bin_2	bin_3
Lbx2	0.30592772	0.90197337	0.5339542	0.81543535
Zdhhc12	1.0554144	1.4487633	1.0339166	1.1315923
Trmt11	0.9619205	1.2934206	0.99296355	1.15597
Nckap5l	0.68232226	0.9984795	0.6557223	0.7011914
Sec24d	1.156531	1.8586035	1.2461741	1.4540601
Lama5	0.36984682	0.5538018	0.43784595	-0.41312364
Slc13a3	0.69854414	1.2545531	0.95584685	1.0138012
4930563E22Rik	0.2513966	0.43271416	0.16462395	0.14895654
Laptm5	2.646371	2.8895836	2.6669145	2.42777
Il12rb2	0.17685428	-0.024866961	0.23001043	0.19807278
Mpig6b	0.11747587	0.025887325	0.2215469	0.23297074
Zfp622	1.5867902	2.1033325	1.7842076	1.8651824
Phactr2	1.6969539	1.9460329	1.9181008	1.9038713
Coq2	1.3133639	1.8038309	1.5557308	1.6069447
Syt3	0.6422976	0.84538674	0.75384766	0.79480046
4833408A19Rik	0.5194154	0.78648716	0.6228584	0.62281203
Gm43403	0.41296166	0.7190512	0.32695982	0.6297752
Arhgap39	1.1015017	1.4559966	1.2626884	1.4857882
Zfp667	0.27842602	0.8137386	0.63040185	0.858291
9330159M07Rik	0.4706918	0.76682204	0.66510403	0.48871264
Ccdc34	1.0382003	2.0376005	1.5469487	1.7064624
Dlg4	1.4441656	1.8115275	1.4055405	1.1635003
Pak2	2.1931043	2.6195426	2.4629984	2.4676287
Ndufb11	2.1674547	2.5794053	2.3363295	2.4643443
Pex19	1.3089838	1.4655194	1.5208173	1.3946304
Shpk	-0.10052832	0.536163	0.42766804	0.39894933
Oxsm	0.7318186	0.6805113	0.9052877	0.9603178
Kif9	0.6811187	0.7947379	0.6682037	0.63318527
Aqr	1.6054761	2.0584843	1.9348575	1.7945186
Alg12	0.5523941	0.7709045	0.6043862	0.78692114
Pfdn6	1.6776862	2.362856	2.0606146	2.059063
D830050J10Rik	0.54632723	1.1300458	0.8016592	0.9703855
Smpd2	1.0441288	1.3810713	1.0873969	1.1943306
2810004N23Rik	1.4361105	1.772812	1.715829	1.7484974
Zrsr1	0.9901436	0.94643825	0.94961655	0.5233616
Mcm7	1.2621481	1.9347821	0.7679366	1.6232694
Abhd6	1.2496164	1.6460515	1.3545032	0.80260587
Kif27	0.17542295	0.011391813	0.21196225	0.26300612
Fendrr	-0.47732294	0.27077225	0.22375344	0.22528596
Slc25a51	1.3758091	1.8895013	1.6909567	1.7331387
Kat7	1.5321617	1.79141	1.7805172	1.6645486
Chrm1	0.13044073	-0.0046631107	0.2360915	0.25318462
Stag3	0.082927346	0.68062073	0.5011846	0.35728922
Unk	0.63575006	1.1479931	0.9538139	1.077402
Ampd1	0.29230893	0.1356465	0.32127774	0.2872879
Cbr2	2.5889153	2.7106674	2.5914323	2.6488783
Agpat4	1.0287534	1.7291473	1.4006729	1.5855608
Ampd2	0.66091925	0.82687235	1.0532699	1.0183445
Btbd1	1.7465657	2.1023586	1.918207	1.859339
Abca2	0.74778444	1.1543325	1.0962065	1.1388615
Asb3	0.97358525	1.1897049	1.2130598	1.1510463
Vac14	1.4178759	1.7046905	1.584916	1.7301364
Rdh10	0.8555312	1.1569655	1.068753	1.1454451
Ptpn22	0.80202407	1.3821251	0.80479884	1.2040939
Wdr31	0.15861611	0.28431204	-0.062137667	0.23827472
Sec23b	1.1981689	1.744095	1.3871032	1.3337982
Fbrs	1.429301	1.9810117	1.9163928	1.9032941
Pdrg1	1.651544	2.1428068	1.8298211	1.9815453
Plagl2	1.2007567	1.6708754	1.4631999	1.315663
Rwdd2a	0.6061417	0.9501667	0.8394534	0.7317217
Ghitm	1.9417608	2.3748689	2.189591	2.1798306
Gm16537	-0.26312625	0.2846582	0.20637263	0.2512973
Olfr1392	0.16315247	0.2677298	-0.2426082	0.24183092
P2ry1	0.14906399	0.2619368	0.22736366	-0.5180221
Cd300lb	1.3059396	1.5822344	1.4920175	1.4498637
Eps8l2	0.08186662	0.37316006	0.4362017	0.3913589
Ash1l	1.9771452	2.4902742	2.2822578	2.1835294
Actl6a	1.3705342	1.6778041	1.5517712	1.6526226
Ccdc47	1.7723899	2.2878485	1.8094442	2.026719
Pcbp2	2.234813	2.6001267	2.4694343	2.5405805
Tmem163	0.29472876	0.4019179	0.108605474	-0.027220737
Ttll4	0.8161356	0.84709954	0.8821731	0.19728729
Asxl1	1.3326379	1.775817	1.7180504	1.5785967
Eapp	1.6068519	2.2401497	1.8671923	1.9178127
Unc13a	0.27966225	0.26371023	0.30115277	0.46380347
Cyp20a1	0.86857206	1.882788	1.5437146	1.5525315
Ubtd2	0.40354097	0.723561	0.49797535	-0.22124039
Wwc2	1.5571704	2.0513186	1.7471458	1.7291762
Txnrd1	1.7253793	2.2767348	1.9159431	2.124726
Mob1a	2.159217	2.55057	2.399077	2.3587737
Ripply3	0.31630862	0.3865217	0.15752684	0.23061642
Slc16a1	0.047666278	0.8614186	0.8846848	0.5667443
Srsf4	1.5371047	2.0538316	1.8036847	1.7760597
Mss51	0.51274747	0.7781275	0.5112122	0.530117
Cd209c	0.39095598	0.6830312	0.46515813	0.42661875
Rapgef6	2.0095947	2.411726	2.166262	2.118413
B130046B21Rik	-0.40505907	0.27922845	0.20804766	0.2295121
Gm14325	0.38487783	0.5408034	0.5265787	0.27885202
Gm19585	0.30019626	0.52007926	0.43369716	0.05224066
Ilf3	1.4428502	1.9760832	1.4111706	1.8644372
Exog	0.20372133	0.9342775	0.9502986	0.92803293
Kansl2	1.191487	1.7326162	1.5412823	1.6270146
Iqsec1	1.628528	1.9326469	1.8989164	1.7503371
Rnaset2b	1.5158558	1.9731255	1.7103179	1.879388
Lrrc40	0.96712184	1.103371	0.9678787	0.97031724
Fjx1	0.41306442	0.45470312	0.2962478	-0.5861288
Gm45464	-0.5322487	0.26068634	0.2212428	0.22037168
Tubgcp4	0.8912916	1.5206325	1.4958564	1.4789302
Thap4	0.81554216	1.2845125	1.0493	1.0935643
Helz2	0.41445133	-0.38739505	0.46247026	0.43567702
Gm10037	0.33389723	0.35381255	0.43003002	0.105836995
Cstf2t	1.2988276	1.8108206	1.4978054	1.2354684
Zfp772	0.48404	0.7896233	0.7070441	0.22254126
Pp2d1	-0.027153555	0.4375933	-0.031339865	0.3518114
Gm11613	0.2454965	0.26469767	0.08326079	0.31848106
Pdlim3	0.7153992	1.2402121	0.8600673	1.003388
Ppp2r1a	1.8185194	2.0774434	2.0222547	1.9984183
2810405F17Rik	0.58225435	0.8125863	0.73470354	0.6218105
Apaf1	1.4601378	2.1310477	1.9145555	1.8510975
Ocrl	1.4533037	1.890662	1.7200758	1.6681279
Dnlz	1.367964	1.6627192	1.7105026	1.7329458
Fbxo7	1.1064125	1.4895926	1.2464789	1.4126358
Wnt11	0.4345347	-0.2487676	0.5146444	0.47046804
Crybb3	0.42010307	0.624325	0.37238854	0.47057062
