gene	log_min	log_max
Lbx2	-14.127075	-10.673197
Zdhhc12	-13.177995	-9.724116
Trmt11	-13.393106	-9.939228
Nckap5l	-14.2140875	-10.760209
Sec24d	-12.437595	-8.983717
Lama5	-15.225688	-11.77181
Slc13a3	-13.667543	-10.213665
4930563E22Rik	-15.918835	-12.464956
Laptm5	-8.766174	-5.312297
Il12rb2	-16.611982	-13.158104
Mpig6b	-16.611982	-13.158104
Zfp622	-11.832859	-8.378981
Phactr2	-11.635248	-8.18137
Coq2	-12.307918	-8.854039
Syt3	-13.903932	-10.450053
4833408A19Rik	-14.666072	-11.2121935
Gm43403	-14.820223	-11.366344
Arhgap39	-12.827793	-9.373915
Zfp667	-14.2140875	-10.760209
9330159M07Rik	-14.53254	-11.078662
Ccdc34	-11.987009	-8.533131
Dlg4	-12.047634	-8.593756
Pak2	-10.158358	-6.7044797
Ndufb11	-10.423718	-6.9698405
Pex19	-12.551539	-9.097661
Shpk	-15.51337	-12.059491
Oxsm	-13.52094	-10.067061
Kif9	-14.414758	-10.960879
Aqr	-11.807961	-8.354083
Alg12	-14.309398	-10.855519
Pfdn6	-11.328778	-7.8749003
D830050J10Rik	-13.903932	-10.450053
Smpd2	-13.177995	-9.724116
2810004N23Rik	-12.068687	-8.614809
Zrsr1	-13.61625	-10.162372
Mcm7	-12.392474	-8.938596
Abhd6	-12.586631	-9.132752
Kif27	-16.611982	-13.158104
Fendrr	-16.611982	-13.158104
Slc25a51	-12.229956	-8.776077
Kat7	-12.027015	-8.573136
Chrm1	-16.611982	-13.158104
Stag3	-15.002544	-11.548666
Unk	-13.476488	-10.02261
Ampd1	-15.918835	-12.464956
Cbr2	-8.568318	-5.114441
Agpat4	-12.534445	-9.080566
Ampd2	-13.393106	-9.939228
Btbd1	-11.721633	-8.267755
Abca2	-13.476488	-10.02261
Asb3	-13.316146	-9.8622675
Vac14	-12.169332	-8.715453
Rdh10	-13.146246	-9.692368
Ptpn22	-13.146246	-9.692368
Wdr31	-16.611982	-13.158104
Sec23b	-12.484848	-9.03097
Fbrs	-11.920634	-8.466756
Pdrg1	-11.663222	-8.209344
Plagl2	-12.761835	-9.307957
Rwdd2a	-13.972925	-10.519047
Ghitm	-11.017271	-7.563393
Gm16537	-16.611982	-13.158104
Olfr1392	-16.611982	-13.158104
P2ry1	-16.611982	-13.158104
Cd300lb	-12.622998	-9.16912
Eps8l2	-15.51337	-12.059491
Ash1l	-10.725879	-7.272001
Actl6a	-12.321523	-8.867644
Ccdc47	-11.236704	-7.782826
Pcbp2	-9.785438	-6.3315597
Tmem163	-15.918835	-12.464956
Ttll4	-13.61625	-10.162372
Asxl1	-12.217533	-8.763655
Eapp	-11.391626	-7.9377484
Unc13a	-15.51337	-12.059491
Cyp20a1	-12.294495	-8.840616
Ubtd2	-14.666072	-11.2121935
Wwc2	-11.911502	-8.4576235
Txnrd1	-11.413486	-7.9596076
Mob1a	-10.339106	-6.8852277
Ripply3	-15.51337	-12.059491
Slc16a1	-13.972925	-10.519047
Srsf4	-11.841298	-8.38742
Mss51	-14.666072	-11.2121935
Cd209c	-15.002544	-11.548666
Rapgef6	-10.911539	-7.457661
B130046B21Rik	-16.611982	-13.158104
Gm14325	-15.225688	-11.77181
Gm19585	-15.51337	-12.059491
