gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Lbx2	0.42	0.31	0.31	0.41	1.0	-65.57241	-63.872845	-65.34679	-64.15935	0.0	-0.6136855	-11.385033723175301	5.280946557284121	0.08294930875576037	18
Zdhhc12	0.08	0.19	0.08	0.68	0.9599999999999996	-32.952133	-35.850616	-33.958275	-34.282402	0.65287304	0.5777284	-12.282245700478533	2.732453384244652	0.041474654377880185	9
Trmt11	0.4599999999999999	0.42	0.42	0.52	1.0	-31.78725	-30.621029	-31.91872	-30.580835	0.0	-0.52393943	-12.356355099724205	0.4168511299245221	0.03225806451612903	7
Nckap5l	0.18	0.33	0.18	0.63	1.0	-19.911022	-19.540894	-19.902119	-19.611155	0.0	-0.13023086	-12.875271522683303	0.3832553531460361	0.013824884792626729	3
Sec24d	0.24	0.4499999999999999	0.24	0.63	1.0	-87.71883	-81.386955	-87.50109	-82.570786	0.0	-2.2357657	-10.967051103350645	6.173677321600579	0.1152073732718894	25
Lama5	0.34	0.32	0.32	0.64	1.0	-11.683401	-11.260101	-11.028505	-11.949753	0.0	0.11567507	-13.578071722576109	2.0643179679581793	0.009216589861751152	2
Slc13a3	0.37	0.28	0.28	0.44	1.0	-60.478996	-60.268066	-61.37716	-59.16577	0.0	-0.57032627	-11.570399020598437	2.0226054631442185	0.055299539170506916	12
Laptm5	0.42	0.47	0.42	0.61	1.0	-545.2127	-524.92957	-535.20374	-536.23206	0.0	-3.9002476	-6.957900244607424	0.6362398009785348	0.8617511520737328	187
Il12rb2	0.38	0.17	0.17	0.59	1.0	-4.577511	-5.3415384	-4.530103	-5.193871	1.0	0.26768184	-14.18606727134852	1.4801854779092913	0.004608294930875576	1
Zfp622	0.12	0.4599999999999999	0.12	0.63	1.0	-143.30101	-134.72205	-140.88734	-137.13321	0.0	-2.6786418	-10.227687481270518	3.1561118563354618	0.2350230414746544	51
Phactr2	0.47	0.49	0.47	0.35	1.0	-151.46103	-147.58418	-152.50241	-146.47351	0.0	-2.1660516	-10.056693565296989	2.145707376273772	0.2488479262672811	54
Coq2	0.16	0.21	0.16	0.7	0.9	-80.762436	-76.21633	-77.25786	-78.9671	0.0	-0.77970356	-10.97778918193924	0.36021543754959673	0.1152073732718894	25
Syt3	0.31	0.4	0.31	0.52	1.0	-30.255087	-28.1693	-29.580517	-28.620686	0.0	-0.70981145	-12.37843356645207	3.4205997500878125	0.03225806451612903	7
4833408A19Rik	0.25	0.42	0.25	0.64	1.0	-32.045185	-32.284508	-31.756018	-32.555042	1.0	0.22142816	-12.28431298968332	0.02481188786794153	0.03225806451612903	7
Gm43403	0.35	0.49	0.35	0.62	1.0	-16.679361	-15.009723	-16.010216	-15.560915	0.0	-0.48573506	-13.231476306320879	2.572111482785951	0.013824884792626729	3
Arhgap39	0.3	0.0899999999999999	0.0899999999999999	0.64	1.0	-91.968956	-93.08473	-90.89345	-93.92876	1.0	0.8511306	-10.880787556414706	3.990390160329641	0.14285714285714285	31
Zfp667	0.49	0.28	0.28	0.59	1.0	-14.856665	-14.481303	-15.080759	-14.45192	0.0	-0.17577857	-13.165984290149694	1.5899512538336706	0.013824884792626729	3
9330159M07Rik	0.42	0.48	0.42	0.5	1.0	-12.541845	-11.435515	-12.342081	-11.652466	0.0	-0.3862526	-13.583271854604572	0.28470979655567774	0.009216589861751152	2
Ccdc34	0.43	0.45	0.43	0.57	1.0	-136.56967	-128.67075	-133.89157	-130.55603	0.0	-2.6116912	-10.25562711716111	0.15107235000698793	0.17050691244239632	37
Dlg4	0.45	0.17	0.17	0.65	1.0	-110.58279	-101.26018	-103.235	-108.2935	0.0	-0.9942233	-10.640261854915456	1.774586397273973	0.1382488479262673	30
Pak2	0.35	0.43	0.35	0.64	1.0	-306.74673	-301.61002	-305.53043	-302.28836	0.0	-1.9362472	-8.532123313627878	5.13463604683898	0.576036866359447	125
Ndufb11	0.4	0.44	0.4	0.51	1.0	-296.20514	-287.8278	-292.4825	-291.24188	0.0	-2.155515	-8.71408372333089	1.9414760034482423	0.5714285714285714	124
Pex19	0.25	0.43	0.25	0.58	1.0	-92.21031	-93.35182	-92.12041	-93.573685	1.0	0.59210527	-10.851549831948605	2.883941020368528	0.12903225806451613	28
Shpk	0.3199999999999999	0.42	0.3199999999999999	0.6	1.0	-31.891134	-28.404541	-30.248928	-30.038275	0.0	-0.80468667	-12.483759338138487	6.074209656094505	0.027649769585253458	6
Oxsm	0.1899999999999999	0.45	0.1899999999999999	0.68	0.9599999999999996	-43.35107	-42.410503	-42.410786	-43.256275	0.0	-0.041169044	-11.951834805183216	0.04244486771928635	0.05069124423963134	11
Aqr	0.48	0.29	0.29	0.63	1.0	-143.78978	-136.5467	-141.18018	-139.07632	0.0	-2.0470276	-10.064886030026797	4.719327637262067	0.2073732718894009	45
Alg12	0.36	0.1999999999999999	0.1999999999999999	0.58	1.0	-47.560303	-44.72188	-46.91163	-45.852974	0.0	-0.74148345	-11.948893733912385	4.2748559700936895	0.055299539170506916	12
Pfdn6	0.17	0.24	0.17	0.65	1.0	-177.4893	-172.91785	-172.79654	-178.35979	0.0	0.37804613	-9.715803457927569	0.6165139745695365	0.3225806451612903	70
D830050J10Rik	0.49	0.23	0.23	0.62	1.0	-36.1437	-35.28208	-35.792805	-35.597626	0.0	-0.23715688	-12.135194253692298	1.7278111765482045	0.03686635944700461	8
Smpd2	0.37	0.24	0.24	0.61	1.0	-34.775433	-33.388012	-34.11605	-34.09189	0.0	-0.29685944	-12.146941760591448	4.185156526277812	0.041474654377880185	9
2810004N23Rik	0.3199999999999999	0.26	0.26	0.69	0.93	-113.40145	-108.98788	-112.99432	-109.9901	0.0	-1.4815322	-10.528727396074581	5.319399583595328	0.15668202764976957	34
