gene	bin_0	bin_1	bin_2	bin_3
Lbx2	0.9203088	0.053844806	1.1796783	1.0191689
Zdhhc12	-0.4826963	0.49901748	0.86875665	-0.9735404
Trmt11	0.50741404	0.028272111	0.6005477	0.04334727
Nckap5l	0.34021485	0.53589594	-0.32101136	0.24569403
Sec24d	1.1680747	0.9352345	0.8459953	1.0949193
Lama5	-0.103886135	0.40089822	0.27569935	-0.17502218
Slc13a3	-0.2718605	1.185569	0.4773967	0.7107194
Laptm5	2.206861	2.383945	2.4384449	2.4118068
Il12rb2	-0.04584216	0.47943115	-0.0705644	-0.06460558
Zfp622	0.21536638	1.553879	1.6767421	1.4129918
Phactr2	0.6962745	1.8589259	0.9658352	1.7514961
Coq2	1.0117179	1.3606308	0.16016006	1.1064681
Syt3	0.146911	0.12866843	0.6415719	0.43035248
4833408A19Rik	0.50238025	0.4902193	0.2353026	0.44330332
Gm43403	-0.14794624	0.3162611	0.4564203	0.06742756
Arhgap39	0.19740242	0.01875096	1.5451617	1.3641459
Zfp667	0.093214326	0.3067271	0.335926	-0.24397388
9330159M07Rik	-0.09590172	0.5902507	-0.20906645	0.3162642
Ccdc34	1.0163536	1.6631112	1.063519	1.6436197
Dlg4	1.005744	1.3442217	1.5420636	0.104900286
Pak2	1.6654198	2.1118696	1.6840944	2.1932664
Ndufb11	1.5996921	2.2403224	2.0133588	2.0506315
Pex19	0.35816032	1.2814971	1.4846708	1.0178956
Shpk	0.40019715	0.27256176	0.083150536	0.65239894
Oxsm	0.74078417	0.59353423	-0.19144902	0.84899724
Aqr	1.2563105	1.1100951	1.5374087	1.7391297
Alg12	0.13979696	0.056450367	0.68229127	0.9719066
Pfdn6	1.7105817	1.7814176	1.1918316	0.99013317
D830050J10Rik	0.089636095	0.9402728	0.5704598	0.20335281
Smpd2	0.33383685	-0.14504723	0.73933744	0.732345
2810004N23Rik	1.3190355	0.6880873	1.1889957	1.5742872
Zrsr1	0.43828234	0.21842632	-0.66378176	1.0053918
Mcm7	1.0372567	1.4481751	0.25439906	1.145093
Abhd6	-0.024303732	1.295597	0.8481594	1.4135125
Kif27	-0.00640887	-0.049395386	-0.067399986	0.2987468
Slc25a51	-1.0538796	0.6259298	1.5078951	1.5273362
Kat7	1.0796975	1.5135995	0.488883	1.0071994
Stag3	-0.0073554376	0.39308667	-0.04698968	-0.06181921
Unk	0.2280309	0.40184084	0.57113576	0.8279397
Ampd1	-0.12965758	0.22994012	-0.1648992	0.5457797
Cbr2	1.8450525	1.7677435	2.3652208	2.3509996
Agpat4	0.58657277	1.107191	1.4709657	0.6500216
Ampd2	0.38580525	0.7031049	0.8686168	-0.8583961
Btbd1	1.428652	1.7625213	1.6100909	0.2609108
Abca2	-0.4700814	1.150528	-0.16718094	0.63127416
BC049739	0.17409027	-0.06113835	-0.064531684	-0.06319221
Asb3	0.7299656	1.0205011	1.0874397	0.5840463
Vac14	0.8189524	1.1835786	1.6686249	0.79436344
Rdh10	0.48915672	0.7729936	0.7980986	0.26874802
Ptpn22	0.29070762	1.5233524	0.90384847	-0.24069503
Sec23b	1.0289811	0.73851323	-0.44198695	1.5128651
Fbrs	0.22771728	1.2969819	1.3880682	1.4897366
Pdrg1	0.1769676	1.6640185	1.2703078	1.7011031
Plagl2	0.64381456	1.3917363	-0.9669101	0.82681525
Adam23	-0.030101335	-0.070645474	0.3126267	-0.047349393
Rwdd2a	0.19330038	0.17291407	0.72293586	-0.7426181
Ghitm	0.7178214	1.9365859	1.8662112	1.5929409
Gm16537	-0.05466914	-0.053610355	0.5025683	-0.060840722
P2ry1	-0.038779955	0.27535227	0.33439818	-0.20511793
Cd300lb	-1.1162546	1.0514537	0.99779767	1.3392289
Ash1l	1.7097415	2.0012422	2.1229875	1.9029534
Actl6a	0.53714454	1.324023	1.0820385	0.36350608
Ccdc47	1.2499954	0.927053	1.9336926	1.8880194
Pcbp2	1.1636162	2.320617	2.2185254	2.2404099
Tmem163	-0.033242196	0.34633318	-0.048275374	-0.05555564
Ttll4	0.4220322	0.3328758	0.77207935	0.21504438
Asxl1	0.9066207	1.4399606	1.3224175	1.3930465
Eapp	1.392116	1.8509511	1.740445	1.0167859
Gm45890	-0.033242144	-0.06295068	-0.037684754	0.09731867
Unc13a	0.24067517	-0.17195639	-0.20083687	0.331398
Cyp20a1	1.0671121	0.44833034	0.85080546	1.5038055
Ubtd2	0.37449515	0.011241443	0.8072999	0.194265
Wwc2	-0.6036161	1.4093374	-0.35906187	1.779982
Txnrd1	1.4220874	1.6774281	0.956016	1.5526499
Mob1a	1.9763932	1.8505921	2.1629221	1.5601035
Ripply3	-0.14764294	0.56185293	-0.19509535	0.29676044
Slc16a1	0.3185904	0.5820605	0.89138913	0.43378583
Srsf4	0.6081959	1.3150227	1.5719959	1.1583284
Mss51	-0.1943358	0.1938293	-0.23221914	0.48367754
Cd209c	-0.013847651	-0.106701665	-0.060376577	0.3564712
Rapgef6	0.90690756	1.8479154	1.9850792	1.7788414
Gm14325	-0.059533153	-0.20548442	0.4131048	0.46813914
Ilf3	0.84053826	1.4365498	1.4226934	1.1142914
Exog	0.14624271	-0.7646788	0.6146811	0.26646772
Kansl2	0.7669007	0.8939561	0.20438598	1.3428148
Iqsec1	0.896749	1.14762	1.4432229	1.5447911
Rnaset2b	0.55043715	1.2269833	1.3676955	1.2497245
Lrrc40	-0.24789593	1.0471594	0.032143805	1.158981
Gm45464	-0.077028506	0.36686924	0.4169708	-0.17797539
Tubgcp4	0.856915	1.0054572	0.862018	1.0396687
Thap4	-0.44166148	0.78409696	-0.76714414	0.7750117
Helz2	-0.030970067	-0.04578162	0.34362397	-0.07066255
Cstf2t	0.7350579	1.3292042	1.0104952	0.67951643
Zfp772	-0.118051976	0.55910796	0.22654133	-0.25420895
Gm11613	-0.032648508	0.27227062	-0.041786507	-0.06487144
Pdlim3	-0.21853252	0.72398496	0.6116141	-0.5990555
Ppp2r1a	1.1844376	1.6333292	1.1766533	1.9698228
2810405F17Rik	0.34958866	0.17962912	-0.18761794	-0.21782978
Apaf1	0.8365629	1.5567346	0.87994623	1.7872202
Ocrl	1.3460497	1.5069199	0.50515467	1.7080579
Dnlz	1.1981784	0.9717876	1.4488642	0.6593993
Fbxo7	0.013924305	1.2234242	0.6215464	-0.87255955
Wnt11	-0.02776545	-0.09390168	-0.06571688	0.2242273
Gm45805	-0.033843514	-0.057892185	-0.050112627	0.3198418
Crybb3	0.25754267	-0.07849053	-0.04700631	-0.019886658
Atp13a2	1.5746084	1.8283443	2.008947	1.5969809
Olfr921	0.29452655	-0.25403243	-0.22106868	0.5282666
Tsen34	1.4160402	1.5942312	0.9405098	1.5858097
Manba	1.1097949	1.1008914	1.1103812	0.8309375
Vangl2	-0.0344064	0.32159895	-0.039667785	-0.06774648
Dmxl1	1.3693762	1.9301093	2.1325722	0.516228
Wdr24	0.56703943	0.81414664	-0.9383309	-0.44804826
Rps14	2.1096816	2.5885332	2.531487	2.58842
Meak7	0.2703769	0.3441513	-0.24949025	0.34972894
Med23	0.30675048	1.1640064	-0.93868786	1.207297
Tlr6	0.1595601	1.2311443	0.55789304	-0.6882885
Xirp1	-0.05114586	-0.109356724	0.41187838	-0.07032769
Srd5a3	1.0806838	1.5015103	1.3026648	1.3821235
Psma2	1.569821	1.9205483	1.9098836	1.7989502
Tada3	0.30702382	1.0173882	1.3348647	1.1616375
Slc38a1	1.1697031	1.6420538	-0.3139918	1.3052438
Capg	1.6555033	1.8137761	1.5938851	0.48387027
