gene	bin_0	bin_1	bin_2	bin_3
Lbx2	0.52108884	0.86720484	1.1324706	1.2486904
Zdhhc12	0.47259378	0.9298254	-0.35696495	0.54830205
Trmt11	0.1855985	0.60250145	0.42189315	0.68591905
Nckap5l	-0.042133357	0.4011193	0.41545698	0.549963
Sec24d	0.54930216	1.2034721	1.1592182	1.2618452
Lama5	0.20526437	0.18679959	0.17211534	0.3887372
Slc13a3	0.6888565	0.81281966	1.0375224	1.0610842
Laptm5	2.2012353	2.4333127	2.499048	2.5101542
Il12rb2	0.1564954	-0.17143369	0.2162528	0.22445376
Zfp622	1.1174084	1.6883621	1.5035735	1.5326304
Phactr2	1.3663831	1.7239645	1.5251446	1.7725294
Coq2	0.67831475	1.1406367	1.0894222	1.3396524
Syt3	0.5285724	0.5620165	0.37800416	0.67515653
4833408A19Rik	-0.072842985	0.70524263	0.6990213	0.6838558
Gm43403	0.32853273	0.3593058	0.34171578	0.48939067
Arhgap39	0.85883486	1.1072053	1.2647313	1.3152488
Zfp667	0.026329556	0.3432983	0.25791067	0.39359367
9330159M07Rik	0.29833615	0.37619662	0.35841626	0.15050063
Ccdc34	1.3073889	1.6537617	1.4502425	1.6484243
Dlg4	1.1132745	1.3314985	1.4586247	1.0876606
Pak2	1.807011	2.130697	1.8962593	2.0560312
Ndufb11	1.6948339	2.124663	2.0394604	2.1125832
Pex19	0.82306296	1.438775	1.0921826	1.4019651
Shpk	0.014129953	0.55299664	0.6901835	0.72524863
Oxsm	0.46668482	0.7035241	0.7849035	1.0092456
Aqr	1.2357883	1.6004703	1.5200908	1.7581543
Alg12	0.6832058	0.9148065	0.77074	0.8359957
Pfdn6	1.2174735	1.7764208	1.507095	1.5645407
D830050J10Rik	0.3799262	0.71813786	0.7295311	0.8190412
Smpd2	0.5654733	0.8053478	0.47023854	0.76159763
2810004N23Rik	1.0559489	1.341969	1.4356308	1.4757422
Zrsr1	0.30717665	0.67321545	0.49164614	0.47373164
Mcm7	1.1682901	1.3468574	1.0300293	1.3296553
Abhd6	0.7563468	1.2296236	1.1254396	1.1891434
Kif27	0.12640466	0.21142223	0.25684655	-0.4027987
Slc25a51	0.6556554	1.2667733	1.1762029	1.4431832
Kat7	0.911858	1.338479	1.27391	1.3932215
Stag3	0.17346123	-0.30531868	0.2840249	0.2581193
Unk	0.6463117	0.8127952	0.91454655	0.6639518
Ampd1	0.3393786	0.37850112	0.35618478	0.25167882
Cbr2	2.0672956	2.2343128	2.2410676	2.0104063
Agpat4	1.1882468	1.3943049	1.1776887	1.2642373
Ampd2	0.5050509	0.51186985	0.64935464	0.54740405
Btbd1	1.286782	1.7225401	1.6137395	1.1685199
Abca2	0.49325156	0.69794995	0.7524317	0.7955934
BC049739	-0.83284295	0.2536233	0.22159971	0.2377951
Asb3	0.7654492	1.2212236	0.9664673	1.1456046
Vac14	1.0401716	1.333653	1.3296235	1.2704045
Rdh10	0.5813026	0.7447133	0.61881226	0.88210016
Ptpn22	0.83440685	1.1083701	1.2563907	0.73231816
Sec23b	0.6863295	1.203639	0.79651946	1.2201952
Fbrs	1.0202398	1.4115447	1.2775809	1.5000829
Pdrg1	0.91033816	1.6313673	1.5439496	1.6234915
Plagl2	0.8120752	0.92288834	0.49990782	1.0274658
Adam23	0.19668685	0.22988228	-0.4717048	0.25776246
Rwdd2a	0.30848885	0.70145077	-0.06562642	0.5269669
Ghitm	1.4486599	1.810086	1.7554955	1.8348179
