gene	log_min	log_max
Lbx2	-12.991385	-9.537507
Zdhhc12	-13.684533	-10.230655
Trmt11	-13.935847	-10.481969
Nckap5l	-14.495463	-11.041585
Sec24d	-12.662882	-9.209003
Lama5	-15.18861	-11.734732
Slc13a3	-12.991385	-9.537507
Laptm5	-8.641108	-5.1872296
Il12rb2	-15.881758	-12.427879
Zfp622	-11.754622	-8.300744
Phactr2	-11.5510235	-8.097145
Coq2	-12.58592	-9.132042
Syt3	-13.935847	-10.481969
4833408A19Rik	-13.935847	-10.481969
Gm43403	-14.783145	-11.329267
Arhgap39	-12.326409	-8.872531
Zfp667	-14.783145	-11.329267
9330159M07Rik	-15.18861	-11.734732
Ccdc34	-11.838706	-8.384828
Dlg4	-12.168185	-8.714307
Pak2	-10.208434	-6.754556
Ndufb11	-10.426436	-6.9725585
Pex19	-12.44777	-8.993892
Shpk	-14.089998	-10.63612
Oxsm	-13.483862	-10.0299835
Aqr	-11.692102	-8.238224
Alg12	-13.396851	-9.942972
Pfdn6	-11.359969	-7.906091
D830050J10Rik	-13.684533	-10.230655
Smpd2	-13.684533	-10.230655
2810004N23Rik	-12.144088	-8.690209
Zrsr1	-14.089998	-10.63612
Mcm7	-12.38525	-8.931372
Abhd6	-12.48056	-9.026682
Kif27	-15.881758	-12.427879
Slc25a51	-12.168185	-8.714307
Kat7	-12.168185	-8.714307
Stag3	-15.881758	-12.427879
Unk	-13.684533	-10.230655
Ampd1	-14.783145	-11.329267
Cbr2	-8.694856	-5.2409782
Agpat4	-12.192878	-8.738999
Ampd2	-13.935847	-10.481969
Btbd1	-11.605091	-8.151213
Abca2	-13.684533	-10.230655
BC049739	-15.881758	-12.427879
Asb3	-12.790715	-9.336837
Vac14	-12.168185	-8.714307
Rdh10	-13.396851	-9.942972
Ptpn22	-12.549553	-9.0956745
Sec23b	-12.48056	-9.026682
Fbrs	-12.120557	-8.666678
Pdrg1	-11.754622	-8.300744
Plagl2	-12.7462635	-9.292385
Adam23	-15.881758	-12.427879
Rwdd2a	-14.089998	-10.63612
Ghitm	-11.094266	-7.640388
Gm16537	-15.881758	-12.427879
P2ry1	-15.18861	-11.734732
Cd300lb	-12.703704	-9.2498255
Ash1l	-10.563638	-7.10976
Actl6a	-12.549553	-9.0956745
Ccdc47	-11.19041	-7.7365317
Pcbp2	-9.799539	-6.3456607
Tmem163	-15.881758	-12.427879
Ttll4	-13.483862	-10.0299835
Asxl1	-12.075095	-8.621217
Eapp	-11.45094	-7.997062
Gm45890	-15.881758	-12.427879
Unc13a	-15.18861	-11.734732
Cyp20a1	-12.298239	-8.84436
Ubtd2	-14.089998	-10.63612
Wwc2	-12.168185	-8.714307
Txnrd1	-11.3174095	-7.8635316
Mob1a	-10.321075	-6.8671975
Ripply3	-14.783145	-11.329267
Slc16a1	-13.579172	-10.125294
Srsf4	-11.856405	-8.402527
Mss51	-14.783145	-11.329267
Cd209c	-15.881758	-12.427879
Rapgef6	-11.029727	-7.575849
Gm14325	-15.18861	-11.734732
Ilf3	-12.03161	-8.577731
Exog	-14.089998	-10.63612
Kansl2	-12.8372345	-9.383356
Iqsec1	-11.930513	-8.476635
Rnaset2b	-12.192878	-8.738999
Lrrc40	-12.886025	-9.432147
Gm45464	-15.18861	-11.734732
Tubgcp4	-12.703704	-9.2498255
Thap4	-13.802316	-10.348437
Helz2	-15.881758	-12.427879
Cstf2t	-12.703704	-9.2498255
Zfp772	-14.783145	-11.329267
Gm11613	-15.881758	-12.427879
Pdlim3	-14.27232	-10.818441
Ppp2r1a	-11.349158	-7.8952804
2810405F17Rik	-14.783145	-11.329267
Apaf1	-11.787413	-8.333534
Ocrl	-11.838706	-8.384828
Dnlz	-12.192878	-8.738999
Fbxo7	-13.048544	-9.594666
Wnt11	-15.881758	-12.427879
Gm45805	-15.881758	-12.427879
Crybb3	-15.881758	-12.427879
Atp13a2	-11.014223	-7.560345
Olfr921	-14.783145	-11.329267
Tsen34	-11.66225	-8.208371
Manba	-12.623661	-9.169783
Vangl2	-15.881758	-12.427879
Dmxl1	-10.991408	-7.5375304
Wdr24	-13.579172	-10.125294
Rps14	-7.681743	-4.2278657
Meak7	-14.783145	-11.329267
Med23	-12.8372345	-9.383356
Tlr6	-13.316808	-9.862929
Xirp1	-15.881758	-12.427879
Srd5a3	-11.874424	-8.420546
Psma2	-10.775812	-7.321934
Tada3	-12.44777	-8.993892
Slc38a1	-12.097568	-8.643689
Capg	-10.598554	-7.1446757
Dctd	-15.881758	-12.427879
Hyal1	-13.684533	-10.230655
Zmym6	-12.7462635	-9.292385
Sf3b6	-10.838332	-7.3844543
Jaml	-12.790715	-9.336837
