gene	bin_0	bin_1	bin_2	bin_3
Tctn2	3.2188947	2.9733164	2.8073962000000003	2.889789
Afap1l1	0.6787316	-0.026061734	0.80273396	0.37579942
Ccnf	1.1642983	1.3168795	1.7177358	0.7185068
Hist1h2bb	1.2314479	1.2391428999999998	1.8872759999999997	1.8058338
Rac2	1.5168928999999998	0.13171114	1.2595648000000002	-1.3210776000000002
Cdkn1a	3.2682066	3.4074786	3.9708858	3.3333473
Rab33a	2.1808379	1.9082675999999998	2.110014	1.7455245
4933408B17Rik	2.409183	2.0155220000000003	2.3669999	2.1167572
Zdhhc20	3.6391922999999995	3.2920267999999995	3.3946794999999996	3.3940422999999997
Magix	0.28351277	0.51083577	1.0709788999999998	-0.09141571
Rbm43	3.4147475	2.9391897	3.0757133999999997	2.7744792
1700047M11Rik	0.28000677	-0.32632583	0.39683625	-0.37117386
Blvra	3.3732797999999997	3.4390678	3.3121959999999997	3.3028684
Pisd	3.0862442999999997	3.0175107000000003	2.9820447	3.0215895
Clip4	3.3465227999999994	2.9570564999999998	3.550578	3.0966089
Abat	3.1966927000000003	3.0971963	3.6897724000000003	3.0790336
Camk1d	2.8413725	1.7626588	1.4173586	1.7033913
Ceacam1	0.96433544	0.059294365	0.09846619	-0.6715458000000001
Syngr1	0.62228906	0.7130773	1.1612911	0.8977158000000002
Mbtps2	3.190316	2.8655028	3.1000965	3.0440562
Gna14	1.6106021000000001	1.2292688	1.6343157	1.1473169
Cox6a1	3.8024669	3.8021278	3.9148967000000003	3.8832142
Eif3j2	3.048095	2.8941803	2.8165991000000004	2.702541
Mrps16	3.6133642	3.751925	3.6019360000000002	3.4632040999999996
Chchd4	3.4200703999999997	2.816018	3.4941565999999997	3.0461297000000003
Tcaf1	3.6352307999999995	3.38005	3.5299082000000004	3.5828447
Gm12031	0.24563071	1.4598381999999999	0.9578129000000001	1.220035
Pfdn1	3.5997138	3.8762043	3.609314	3.875891
BC048559	0.56860286	-0.32596785	0.7919335	-0.36809567
Zfp622	3.3869752999999996	3.205333	3.5841480000000003	3.2945629999999997
Frs3	2.704431	2.512094	2.8585708	2.3982707999999997
Runx1	3.2531035	2.8601246	2.6640092999999996	2.249174
Prox2os	1.6532098000000002	1.5092081	1.3285487	1.1498598999999998
Ago4	3.061636	2.6700454	2.8718562000000003	2.6530516
A830008E24Rik	-0.5601863	0.7065477	0.67440456	0.3494926
Gpatch2l	3.1599667	3.1807689999999997	3.2170825	2.8645906
Tatdn3	3.1877310000000003	3.1131337	3.2100809	3.1088197
Polr2m	3.639701	3.53554	3.7956035000000004	3.57358
Pik3ap1	0.8786552	-0.5348491999999999	0.44985548	0.29506479999999996
Gm46123	0.24658874	0.21952035	-0.6027583000000001	0.6439623999999999
Adrb3	0.7203721	0.6451965000000001	1.0272317	-0.2022151
Tram1l1	1.9406646	0.77496344	1.1471586999999999	1.3859973
Extl1	0.49996322	0.8188675	0.9430233	0.6118465999999999
Plppr3	1.0683863	0.8093581	0.9563775999999999	-0.30120283
Klf6	3.6605913999999995	3.4499980000000003	3.9625358999999998	3.6845534
Gm16685	0.8523685	0.29338884	0.0126589425	-0.5187872
4930444A19Rik	0.11840416	-0.17323329	0.4274463	0.34951365
Bckdha	3.2233495999999997	3.5387926	3.493989	3.5380692000000002
Tmsb15b2	3.1951332000000003	3.0817595	3.2450826	3.3566802000000004
Nrn1	3.2950385000000004	2.0618936999999997	0.45055200000000006	1.6224604
Gjd4	0.5731123	0.13813697	0.69557697	0.25242215
Atg9a	3.2741162999999998	3.1048484	3.3350254999999995	3.276183
