gene	bin_0	bin_1	bin_2	bin_3
Tctn2	3.142304	2.9630876	2.9712558	2.9698898999999996
Afap1l1	0.8108998000000001	0.72909313	0.55192304	0.7616457
Ccnf	1.5856306999999998	1.4481948999999998	1.3793563999999998	1.4315988000000002
Hist1h2bb	1.9129653000000002	1.6296903999999999	1.8332636000000002	1.5383612
Rac2	1.1975659	0.9123344000000001	1.0323676	0.51804686
Cdkn1a	3.4927589999999995	3.5865013999999995	3.7128959999999998	3.5509117
Rab33a	2.2361492999999997	1.9968245	2.0698593	2.067981
4933408B17Rik	2.45424	2.2371886	2.3469067000000003	2.243652
Zdhhc20	3.6068954	3.3830351999999997	3.4574702000000004	3.4213516999999998
Magix	0.85431486	0.743078	0.41111234	0.64797395
Rbm43	3.3129222	3.0389576000000003	3.1217337000000005	2.9661232999999996
1700047M11Rik	0.68889976	0.4470303	-0.23049778	0.46082768
Blvra	3.4168656000000004	3.4086443999999996	3.3445559	3.3263062999999993
Pisd	3.127769	2.999555	3.0706089	3.0464656000000003
Clip4	3.370828	3.1077022999999997	3.47356	3.2029617000000004
Abat	3.2745152	3.2075044999999998	3.5495940000000004	3.192572
Camk1d	2.290622	2.2097557	2.0926034	2.1652617000000003
Ceacam1	0.28745034	0.4744084	0.79726714	0.5144382000000001
Syngr1	1.1750646	0.99616146	1.2176745	0.8519315000000001
Mbtps2	3.2082262000000004	2.9598572	3.1266418	3.0853179
Gna14	1.7118924999999998	1.5721323	1.6103482	1.5113043
Cox6a1	3.8569736000000003	3.8305025	3.8262126000000003	3.8295339999999998
Eif3j2	3.044167	2.8582642000000003	2.9019402999999997	2.8350725
Mrps16	3.6132169000000003	3.7100708	3.6265650000000003	3.5085351
Chchd4	3.395774	3.0258856	3.416116	3.138758
Tcaf1	3.6304138	3.4422589999999995	3.5393531000000005	3.622924
Gm12031	1.1991556	0.8931538	1.3000327	1.2440133
Pfdn1	3.6853266000000002	3.780698	3.6814287000000006	3.7752955000000004
BC048559	0.5427693	0.44983909999999994	0.39107909999999996	0.46712625
Zfp622	3.4355497	3.2757194	3.513889	3.3589822999999996
Frs3	2.7855465	2.621572	2.7255466	2.610896
Runx1	3.0549447999999995	2.8610713	2.8525812999999998	2.6194177000000005
Prox2os	1.7435303	1.301603	1.6491247	1.5305958999999998
Ago4	2.9974146	2.7814622000000004	2.9236102	2.7871687
A830008E24Rik	0.5000872000000001	0.36160785	0.7496093	0.33917052
Gpatch2l	3.2138883999999996	3.1410424999999997	3.2105653	3.0022368
Tatdn3	3.2432133999999997	3.1439482999999995	3.2375376	3.1283827
Polr2m	3.6364217000000005	3.5942802000000005	3.7539191	3.6128303999999996
Pik3ap1	0.43449709999999997	0.49681714	0.72326523	0.64109313
Gm46123	0.77185506	0.38590962	0.51552236	-0.48608035
Adrb3	0.94142157	0.5318607	0.93497896	0.7645107
Tram1l1	1.5641924999999999	1.4186183	1.7293330000000002	1.5679299
Extl1	1.1446344	0.8362527	0.93991184	0.93620306
Plppr3	1.0440577	0.77417743	1.1137203000000002	0.77090025
Klf6	3.7722108	3.6295260999999996	3.7649348	3.7598443
Gm16685	0.34594864	0.5731156	0.62644035	0.5071018
4930444A19Rik	0.3042705	0.37266955	0.45206022	0.34958026
Bckdha	3.3243656	3.5018968999999998	3.4972932	3.4839127
Tmsb15b2	3.260252	3.1522212000000005	3.2673676	3.3066873999999995
Nrn1	2.6850076	2.4694064	1.6486156000000003	2.2380865
Gjd4	0.73207134	0.42845973	0.76811343	0.53369385
Atg9a	3.3145417999999998	3.1632237	3.3493745	3.3020089999999995
Bhlhe41	3.3053794	3.1474287999999997	2.9475702999999998	3.0672273999999997
Lpl	3.4264242999999994	3.2689707	2.9090052	2.0981702999999996
Gm46430	3.0640807	2.9662464	3.0788667000000003	2.984882
Khdc4	3.3040874	3.2794254	3.3790525999999996	3.2147252999999996
Gm26632	3.4914064	3.0925972	3.5804815000000003	3.5485208
Alms1	3.0394235000000003	2.9644542	3.1336975	3.0576894
Rrp36	3.1647048	3.2794347000000004	3.2240255	3.233692
Plrg1	3.261778	3.206831	3.406339	3.137859
Fbxo27	2.8940042999999998	2.6749517999999997	2.831041	2.7222316
Samd1	3.0796208	3.1472919999999998	3.1841338	3.1179905
Dkkl1	0.3918414	0.29621872	-0.2169025	0.30300079999999996
Rnf149	3.0388759999999997	2.882175	2.9546349999999997	2.9448555
Ache	1.9994720000000001	1.6995181000000001	1.9103758000000002	1.6880101000000003
Rbp4	3.7931137	3.8012395	3.7719038	3.8577866999999997
Gm33195	0.6482211999999999	0.52025545	0.5522050999999999	0.50374407
Man2a1	3.4990129999999997	3.5195047999999995	3.3463017999999995	3.4705377
Pip4p1	3.4130208	3.4379117	3.2570723999999998	3.2966075
C330018D20Rik	3.0076343999999997	2.805886	3.0598229999999997	2.8156748
Gm44956	1.3039478	0.89799315	1.1904101	1.0716971000000002
Ube2w	3.4577284	3.4990964	3.3571345999999997	3.3264557999999997
Gm12930	0.13090610000000003	0.012117936999999999	0.36684570000000005	0.30868270000000003
Anks1b	1.8686918000000001	1.0557246	1.7198582999999998	1.709138
Dock4	3.1808452999999997	2.9471054	3.0392612999999997	2.8290217
Rln1	0.6464187	0.89967114	1.0048620000000001	0.5296671
Kcnc2	0.44004970000000004	0.37234792	-0.010922041	0.21362494
Zfp623	2.887477	2.7151432	2.839866	2.8038123
Stub1	3.7293534	3.7622702000000006	3.7801921000000003	3.6701267
Rprd1b	3.4037998	3.2770076	3.4631546	3.296347
Rassf4	2.870549	2.7754412	2.9417638999999998	2.773853
Bcas1	1.5142938999999997	1.2949601	1.4624238999999999	1.3424847
Cox6a2	0.719061	-0.36555675	1.3353323000000001	0.6089549
Odr4	3.5371296	3.5310879	3.5618972999999996	3.429364
Adcy6	3.4260106	3.4646714	3.1902310000000003	3.3423667
Akr1b10	3.2619476	3.07309	2.9805074	2.839922
Gm14137	0.38618156	-0.8933863000000001	0.36704165	0.31342295
Gm38563	0.80186635	0.51097775	0.708896	0.86614865
1810026B05Rik	3.3224742	3.5518146	3.2028697	3.5481796
Vav3	2.9987588	2.722153	2.9976742	2.8507743
Mcee	3.5602953	3.5770001000000002	3.7013233	3.4391242999999996
Inpp5k	3.2994845	3.2985604	3.2609565	3.1598516
4930467E23Rik	0.2618821	-0.26350862	0.24522647	0.1964071
Tchh	0.26516554	0.18701743	-0.27366474	0.2013868
Poglut3	3.581379	3.2294846	3.4744038999999995	3.2934782999999994
Slc35b2	3.4719086000000003	3.2332964	3.5037059999999998	3.2050261000000004
Mrps10	3.3931254999999996	3.3306440999999998	3.182904	3.195071
