gene	log_min	log_max
Tctn2	-13.696381	-10.242502
Afap1l1	-18.420813	-14.966935000000001
Ccnf	-16.916737	-13.462857999999999
Hist1h2bb	-16.280746	-12.826869
Rac2	-17.909986	-14.456109
Cdkn1a	-9.715483	-6.261605
Rab33a	-15.658695999999999	-12.204818
4933408B17Rik	-15.188692999999999	-11.734815
Zdhhc20	-11.669127	-8.215249
Magix	-18.420813	-14.966935000000001
Rbm43	-13.233428	-9.77955
1700047M11Rik	-19.296282	-15.842404
Blvra	-12.134816	-8.680938000000001
Pisd	-13.528585999999999	-10.074708
Clip4	-12.544012	-9.090133999999999
Abat	-12.345085000000001	-8.891207000000001
Camk1d	-15.039252	-11.585374
Ceacam1	-18.708494	-15.254617000000001
Syngr1	-17.686844	-14.232966000000001
Mbtps2	-13.446957999999999	-9.993079
Gna14	-16.64304	-13.189162
Cox6a1	-9.522608	-6.06873
Eif3j2	-13.942530999999999	-10.488652
Mrps16	-10.996947	-7.5430694
Chchd4	-12.66349	-9.209612
Tcaf1	-11.349099	-7.895221
Gm12031	-17.268133	-13.814256
Pfdn1	-10.313119	-6.859241
BC048559	-19.296282	-15.842404
Zfp622	-12.131561999999999	-8.677684
Frs3	-14.427210999999998	-10.973332000000001
Runx1	-13.854731	-10.400852
Prox2os	-16.657225	-13.203347
Ago4	-13.97035	-10.516472
A830008E24Rik	-19.296282	-15.842404
Gpatch2l	-13.232497	-9.778619
Tatdn3	-13.029082	-9.575204
Polr2m	-10.769416	-7.315538
Pik3ap1	-18.826279	-15.372401000000002
Gm46123	-19.113960000000002	-15.660082999999998
Adrb3	-18.266663	-14.812785
Tram1l1	-16.561914	-13.108037
Extl1	-17.861197	-14.407319000000001
Plppr3	-18.133131	-14.679254
Klf6	-9.872461	-6.4185834
Gm16685	-18.95981	-15.505932999999999
4930444A19Rik	-19.807108	-16.353231
Bckdha	-11.84388	-8.390001
Tmsb15b2	-12.8626995	-9.408821000000001
Nrn1	-14.300423	-10.846544
Gjd4	-19.113960000000002	-15.660082999999998
Atg9a	-12.699956	-9.246078
Bhlhe41	-13.173351	-9.719472999999999
Lpl	-12.855017	-9.401138000000001
Gm46430	-13.654375	-10.200497
Khdc4	-12.626277	-9.172399
Gm26632	-11.777567	-8.3236885
Alms1	-13.509998999999999	-10.056121000000001
Rrp36	-12.823627	-9.369749
Plrg1	-12.701049000000001	-9.24717
Fbxo27	-14.276357999999998	-10.822479
Samd1	-13.320948000000001	-9.867069
Dkkl1	-20.212572	-16.758696
Rnf149	-13.787704000000002	-10.333826
Ache	-16.118229	-12.664350500000001
Rbp4	-9.366786	-5.912908
Gm33195	-18.95981	-15.505932999999999
Man2a1	-11.7485695	-8.294691
Pip4p1	-12.292672	-8.838794
C330018D20Rik	-13.87398	-10.420100999999999
Gm44956	-17.609882	-14.156004999999999
Ube2w	-12.008449	-8.55457
Gm12930	-20.212572	-16.758696
Anks1b	-16.223589	-12.769711000000001
Dock4	-13.649424	-10.195545
Rln1	-18.133131	-14.679254
Kcnc2	-19.807108	-16.353231
Zfp623	-14.144148000000001	-10.690269
Stub1	-10.428517	-6.9746394
Rprd1b	-12.336314	-8.882436
Rassf4	-14.075926999999998	-10.622048
Bcas1	-17.013899	-13.560020999999999
Cox6a2	-17.379360000000002	-13.925482
Odr4	-11.450553	-7.996675
Adcy6	-12.16875	-8.714871
Akr1b10	-13.331676000000002	-9.877797
Gm14137	-20.212572	-16.758696
Gm38563	-18.603134	-15.149257
1810026B05Rik	-11.662139	-8.208261
Vav3	-13.941585	-10.487706
Mcee	-11.243668	-7.7897897
Inpp5k	-12.717031500000001	-9.263152999999999
4930467E23Rik	-20.905720000000002	-17.451843
Tchh	-20.905720000000002	-17.451843
Poglut3	-11.860845	-8.406966
Slc35b2	-12.247896	-8.794018
Mrps10	-12.55529	-9.101412
Coq4	-13.2260065	-9.772128
Bmp8a	-17.909986	-14.456109
Shc2	-15.674612	-12.220734
Dedd	-12.765114	-9.311235
Mindy3	-11.9690275	-8.515149000000001
Ttc39a	-17.439982999999998	-13.986106
Peak1os	-18.826279	-15.372401000000002
Sh2b1	-12.891053999999999	-9.437176
4831440D22Rik	-16.701027	-13.247148999999999
Arfip2	-12.263129	-8.809251
Gm30082	-16.657225	-13.203347
Coch	-15.935907	-12.482028999999999
Tpo	-19.113960000000002	-15.660082999999998
Omd	-11.855901	-8.402022
Smg8	-13.443504999999998	-9.989627
Plet1	-20.905720000000002	-17.451843
Zc3hc1	-13.122913	-9.669035000000001
Hmces	-13.272835	-9.818956
Zc3h10	-13.357692000000002	-9.903813000000001
Tcea3	-11.263338000000001	-7.8094600000000005
Heatr1	-13.615428	-10.16155
Agpat1	-12.933945	-9.480066
Cdt1	-15.718335	-12.264457
Txndc16	-12.93498	-9.481102
Meox2	-15.781756	-12.327878
Oip5	-16.549011	-13.095133
Fsd2	-19.296282	-15.842404
Gm35326	-19.807108	-16.353231
Ubp1	-11.952081	-8.498202000000001
Osbpl8	-12.454239999999999	-9.000361
Hcrtr1	-18.266663	-14.812785
Derl2	-11.795532000000001	-8.341654
Amhr2	-17.647623	-14.193745999999999
Klra2	-18.708494	-15.254617000000001
Gm42696	-17.3222	-13.868323
Sppl2b	-13.268004000000001	-9.814126
Gm48689	-20.212572	-16.758696
Tg	-15.512093	-12.058214
Pfn1	-8.703184	-5.249306
Disp1	-14.312676000000002	-10.858798
Nfib	-9.488567999999999	-6.034690400000001
Pyroxd2	-16.935429	-13.48155
Gm5617	-12.642388	-9.18851
Mdm1	-15.24276	-11.788881
Mfsd14a	-12.193454	-8.739575
Gm2895	-19.807108	-16.353231
Ccdc169	-16.629053	-13.175176
Lpin2	-13.996965	-10.543087
Ifi204	-17.409212	-13.955335
Pidd1	-16.746838	-13.292959
Fut4	-17.379360000000002	-13.925482
Polr2c	-10.816417999999999	-7.362539999999999
Sirt5	-13.026808	-9.572929
Atf7ip2	-19.296282	-15.842404
Pcdhga10	-14.608610999999998	-11.154733
Gm38085	-20.905720000000002	-17.451843
Gm39244	-19.807108	-16.353231
Gm47076	-20.905720000000002	-17.451843
Hoxb4	-12.669035000000001	-9.215157000000001
Pla2g4e	-16.223589	-12.769711000000001
Gm16553	-20.905720000000002	-17.451843
Gpt	-15.292592	-11.838714
Gm13920	-18.133131	-14.679254
Ltb4r2	-17.647623	-14.193745999999999
Peg10	-14.9167595	-11.462881
Iscu	-10.15204	-6.6981616
Ctsf	-11.739332000000001	-8.285454
Prrx1	-11.132057000000001	-7.678179300000001
Zswim7	-12.98782	-9.533941
Trpv4	-17.439982999999998	-13.986106
1810058I24Rik	-10.555722	-7.1018443
Gm14305	-13.109251	-9.655372999999999
Cd5	-16.629053	-13.175176
Phgdh	-13.006938	-9.55306
Mon2	-12.012148	-8.558269500000002
Gm15543	-19.807108	-16.353231
1700003M07Rik	-19.296282	-15.842404
Gm13822	-20.212572	-16.758696
Rad9b	-14.879854000000002	-11.425976
Wfdc3	-17.099058	-13.645179999999998
Cln6	-13.902655	-10.448775999999999
Rela	-11.69608	-8.242202
Gm38410	-20.212572	-16.758696
Ube3a	-10.738715	-7.2848372
Aldh9a1	-12.896358	-9.442478999999999
Gm34866	-18.340770000000003	-14.886892999999999
Cfap300	-16.428383	-12.974505
Slc25a19	-12.844549	-9.390671000000001
Mmp21	-20.905720000000002	-17.451843
Zfp992	-13.327575	-9.873696
Cenps	-16.00788	-12.554002
Gm47391	-18.340770000000003	-14.886892999999999
3110070M22Rik	-14.407438	-10.953560000000001
Erbb4	-13.128345999999999	-9.674468
Smarcc2	-11.69999	-8.246112
S100a2	-18.708494	-15.254617000000001
Them6	-14.102215	-10.648336
Jade3	-14.952476999999998	-11.498599
Naalad2	-14.295025	-10.841146
Psme2	-11.301516000000001	-7.847637700000001
Ccdc149	-13.623647	-10.169768
Gm6133	-15.205276500000002	-11.751398
Pmepa1	-9.157217	-5.703339
Enpp3	-13.724889000000001	-10.27101
Tbca	-10.089628999999999	-6.6357512000000005
Ppdpf	-11.417824000000001	-7.963946000000001
Ap1s1	-11.815742	-8.361863
Gm42477	-19.296282	-15.842404
Kifc2	-14.723635999999999	-11.269757
5033406O09Rik	-18.266663	-14.812785
2410018L13Rik	-16.898386	-13.444509
Vrk2	-13.337341	-9.883463
Incenp	-14.290995	-10.837116
Fjx1	-12.048205000000001	-8.594327
Ndufa5	-9.918261	-6.4643825999999995
Trim71	-20.212572	-16.758696
Ehhadh	-14.583155999999999	-11.129277
Msr1	-18.507824	-15.0539465
Hist1h3i	-16.778585	-13.324708
Pafah1b3	-14.527294	-11.073416
