gene	bin_0	bin_1	bin_2	bin_3
4930555B11Rik	-0.028082767999999998	-0.07437818	0.027390376	-0.08890932
Tctn2	2.9410589	2.938955	3.1223319	3.371287
Afap1l1	-0.08427362	1.0929917	-0.60809845	1.0622443000000001
Ccnf	0.78102106	1.333299	1.3492215	1.3212602
Hist1h2bb	1.8135233	1.9566486	1.9035293999999998	2.1176574
Rac2	-0.008402585	1.2175221	0.1751418	0.97687715
Cdkn1a	3.8059206	3.9902992	2.1942977999999997	2.9080715
Rab33a	1.9745256000000002	2.4846592	1.8483182	2.3930056
4933408B17Rik	2.057233	2.3122365	1.7955668000000002	2.4615996
Zdhhc20	3.8224742	3.6606525999999997	3.2880235	3.1720450000000002
Magix	0.41382244	0.6573601	0.54162735	1.195924
Rbm43	3.2178566	3.3034468	3.421099	3.0068189999999997
1700047M11Rik	-0.26814318	0.57815164	0.28933597	0.026383217
Blvra	2.8747298999999997	3.8050745000000004	3.5501709999999997	3.11269
Pisd	2.8593762000000003	3.2128565	3.2831263999999996	3.1751301
Clip4	3.466269	3.2060857000000005	3.5961432	3.2774977999999995
Abat	3.3747218	2.9975505	3.75697	3.3264847
Camk1d	2.294514	1.5911788	2.9220488	3.2059414
Ceacam1	-0.42633498	0.8773559999999999	0.5661758000000001	0.39676943
Syngr1	0.68373233	0.4092795	0.5560466	1.1122158000000002
Mbtps2	3.1085937	3.2723744	3.2778382000000006	2.9886482000000005
Gna14	0.9788735000000001	0.37134409999999995	1.9129863	2.6380382
Cox6a1	3.2479649	4.012139	3.8955655	3.9228777999999997
Eif3j2	2.875451	3.1540892000000005	2.8624856	3.1463406000000003
Mrps16	3.5736760000000003	3.8985839999999996	3.5553449999999995	3.5196815000000004
Chchd4	3.2291646000000003	3.6696281	3.0278866	3.2934122
Tcaf1	3.8411032999999994	3.4340892	3.5751157	3.5474339
Gm12031	0.6110405	1.5623341	0.89219666	-0.5198064
Pfdn1	3.4405897000000003	3.9710426	3.906847	3.6293056000000004
BC048559	-0.0697885	-0.17981361	0.29493195	-0.23599873
Zfp622	3.3398074999999996	3.4360716	3.3678174	3.5636867999999997
Frs3	2.7101127999999997	2.9469366000000004	2.1860142000000002	2.4552796000000003
Runx1	2.6006424	3.0900288	2.8713307	2.445725
Prox2os	1.319056	1.8221686999999998	1.3163393	1.6850555
Ago4	2.9054902	2.7358119999999997	2.912492	3.2643777999999997
A830008E24Rik	-0.21080351	0.20011489999999998	0.6463168	0.1901372
Gpatch2l	3.1687117000000002	2.8310977999999998	3.3959427000000004	3.3476362
Tatdn3	2.5035617	3.6364233	2.9070542	3.2599723
Polr2m	3.7040937000000005	3.658489	3.8667574	3.7688634
Gm46123	0.15338525	-0.28120285	0.78410757	0.9512488000000001
Adrb3	0.27593958	0.8261293	0.59218097	0.57420474
Tram1l1	1.1836685	1.8224022000000002	1.9232415	2.0439816000000004
Extl1	1.3387665000000002	1.2831063999999999	1.0901964	1.5266203
Plppr3	0.09430385	0.8096635	-0.26418838	1.1331178999999998
Klf6	3.9761282999999996	3.5304074	3.976141	3.8807582999999997
Gm16685	0.58728296	0.0990692	0.38481750000000003	0.16760898
4930444A19Rik	0.50325847	-0.18234125	0.26463822	-0.22958429
Bckdha	2.8891802	3.8318894	3.6713037	3.301386
Tmsb15b2	1.9054165	3.6663337	2.5739377	3.4990869
Nrn1	2.2240994	2.5110965	2.8679516	2.5421498
Adamts16	-0.031185248999999998	-0.075359635	-0.046751812000000004	0.24108914
Gjd4	-0.22043262	0.110597424	0.5318706999999999	0.14588533
Atg9a	3.3624587	2.8936740000000003	3.6298637	3.4750542999999996
Bhlhe41	-0.8957611999999999	3.3394141000000004	3.3227447999999997	1.2967658000000002
Lpl	2.616103	2.0550375	3.4027379	3.8990693
Gm46430	3.0170937	3.2170072	3.058008	2.9124062000000004
Khdc4	3.4420587999999994	3.3041904000000004	3.1892717	3.4755044
Gm26632	3.4587730000000003	3.3826370000000003	3.370489	3.6718089999999997
Alms1	3.3700069999999998	2.4525657	3.2986337999999997	3.3075843000000003
Rrp36	3.3824089	3.5840523	3.1344317999999998	3.089101
Plrg1	2.8109226	3.4838697999999995	3.4920676	3.3181279000000004
Fbxo27	2.3721554	3.0620995	2.6816714	2.8395599999999996
Samd1	3.28566	2.4466474	3.1889203	3.641521
Rnf149	3.0414612	3.0987396	3.1442537	2.8802137
Ache	1.1649091999999999	2.0743606	1.8663001000000001	2.1233172000000002
Rbp4	3.8068273	3.927643	3.2211487	4.0412693
Gm33195	-0.3019486	1.0950792	1.3647027	0.9350851
Man2a1	3.4935403	2.9874632	3.8035069999999997	3.5680127
Pip4p1	3.2168913	3.7680876000000003	3.6969147000000007	2.959264
C330018D20Rik	2.6829638	3.2784053999999996	3.0455262999999997	2.8095567000000004
Gm44956	-0.123274334	0.71911275	1.140569	0.9604312
Ube2w	3.531403	3.6815957999999998	3.4595382000000003	3.368682
Gm12930	0.16243728	-0.30630845	-0.20169325	0.6387586999999999
Anks1b	0.5355363000000001	1.5056851999999998	1.5056839	0.7985542
Dock4	2.8286238	3.2062452	2.8703349	2.8607998
Rln1	-0.26481622	0.5649778	0.60913306	0.06821245
Kcnc2	0.17454632	0.38956213	-0.12455464	-0.22860673
Zfp623	2.6171463	2.9713612	2.8935988	3.102043
Stub1	3.6118504999999996	3.9231756	3.8541512000000004	3.6996722
Rprd1b	3.6258168	3.2163093	3.529404	3.358539
Rassf4	3.0725474	3.4699693	3.42845	1.7618729
Bcas1	1.2792188999999998	1.762909	0.8383507	1.6000239
Cox6a2	-0.06244518	0.48235187	-0.12549658	0.24056025
Odr4	3.6204062000000006	3.7758589	3.4278667	3.4820468
Adcy6	3.5795105000000005	3.296849	3.7060687999999993	3.246464
Akr1b10	2.8672047000000003	3.4091672999999996	3.2787855	2.9978127
Gm14137	-0.06710353	0.28891325	-0.12204586	0.26749158
Gm38563	-0.22171590000000002	0.5218838	0.48414743	0.08770236
1810026B05Rik	3.1174216	3.86435	3.5338748	3.5026040000000003
Vav3	3.1527833999999997	2.1586924	2.965302	3.5064607000000003
Mcee	3.2912626000000005	3.900303	3.489669	3.5723133000000002
Inpp5k	3.0139346000000002	3.5420566	3.5346441	3.1230235
4930467E23Rik	0.35684840000000007	-0.07660763	-0.051905245	-0.09334756
Tchh	-0.37087935	-0.02826028	-0.6070849	1.0678792
Gm8206	-0.026677292000000002	-0.075536616	0.25560042	-0.09175499
Poglut3	3.7208373999999997	3.176393	3.815275	3.5497892
Slc35b2	3.2268197999999995	3.6432602	3.7097712	3.0965214
Mrps10	3.1620908	3.6476703	3.2309422000000003	3.2149441000000003
Coq4	2.9172263	3.208529	3.1635125	3.4769952000000006
Bmp8a	1.0010611999999999	0.9210992	0.6288494000000001	0.33687556
Shc2	1.93651	2.4481377999999996	1.8321487	2.4042554
Dedd	3.3705502	3.2655833	3.4239154000000003	3.308796
Mindy3	3.3895687999999993	3.1463482000000003	3.5137784	3.8285291
Ttc39a	0.57989734	1.8024334	1.7966605	1.4675109
Peak1os	-0.026937004	-0.07561798	0.30676687	-0.09031819
Sh2b1	3.3291294999999996	3.0352566000000003	3.278879	3.5289881000000003
4831440D22Rik	-0.81453	1.6785046000000001	1.5403062	1.5155994
Gm19582	-0.030549152000000003	-0.07825963	-0.051504426	0.23030148
Arfip2	3.2546703999999997	3.6963007000000005	3.2518535	3.331089
Gm30082	1.2378798	1.7412839	0.4664197	2.0986418999999996
Coch	-0.8419099	2.5094967	-0.891333	2.393019
Tpo	0.6891083	0.62891364	0.82457083	0.5436006
Omd	3.6962053999999998	3.2416255	1.9796026000000002	3.8520714999999996
Smg8	3.1181521	3.055273	2.9671912	3.2071567
Zc3hc1	2.9776602000000003	3.2524207	3.105136	3.4980339999999996
Hmces	3.037607	3.4432739999999997	3.2098465	3.0499283999999998
Zc3h10	3.1192279999999997	2.9267561	3.3438837999999995	3.2796288000000002
Tcea3	3.4538474000000003	3.6981046	3.8160762999999998	3.700728
Heatr1	3.2150779	2.6623267999999998	3.248195	3.2452723999999997
Agpat1	3.3253230000000005	3.121323	3.4149220000000002	3.2383645
Cdt1	0.99498504	2.2949015999999998	2.197047	2.2781307999999996
Txndc16	3.0283072	2.713171	3.5920812999999994	3.5831375
Dcdc2a	-0.029099237000000003	-0.07511432	0.18045938	-0.09121415
Meox2	1.2163629999999999	2.2941034	1.313741	2.3591254
Oip5	-0.21696731	1.7447901000000001	0.8664634	1.7037761999999999
Fsd2	0.67351323	0.81763446	-0.61489046	0.37964994
Gm35326	-0.076183766	-0.18322149	0.09222662400000001	-0.22458272
Ubp1	3.7657837999999995	3.1325893	3.579051	3.7101
Osbpl8	3.523762	3.2412875	3.4339573	3.392144
Hcrtr1	0.92229927	1.0569642	0.13769990000000001	-0.23739265
Derl2	3.5441537000000003	3.6829135	3.223489	3.5508568
Amhr2	1.1313905	0.71536493	1.0497707	0.58607256
Klra2	0.32942617	0.28780967	0.18564366	0.10797315
Gm42696	0.8574011999999999	0.49190632	1.6665043000000002	1.5190542999999999
Sppl2b	2.9499917	3.313774	3.1917617000000003	3.3877937999999994
Gm48689	-0.11449508	-0.29816909999999996	-0.19726346	0.47407305
Tg	1.442743	2.470298	1.9499128000000001	1.7928005
Pfn1	3.9001419999999998	3.9439695	3.97597	3.3224532999999994
Disp1	2.4468246	2.8142407000000005	2.8646689999999997	3.0384657
Nfib	3.9603436000000003	3.8315379999999997	3.9755553999999997	3.851806
Pyroxd2	0.16313568	1.5141611000000001	1.145311	1.311197
Gm5617	3.0036367999999998	3.6808332999999998	3.2238436000000004	3.2117720000000003
Mdm1	2.3085112999999997	2.4226964	2.304214	2.4054482000000004
Mfsd14a	3.521457	3.245639	3.491461	3.5549362
Gm2895	0.23933677	-0.42827663	-0.28145677	0.5876732
Ccdc169	1.4386419	1.1389112	1.3679173999999998	1.4843726000000002
Lpin2	2.4157362	2.81832	3.3022699999999996	3.1832929
Ifi204	-1.5626773999999999	1.7294929	0.74607366	1.3288369
Pidd1	-0.5987488000000001	1.9321741000000001	1.4128906	1.5330911
Fut4	0.8856054	1.4539145	1.2520185	1.2428186
Polr2c	3.6686406000000003	3.8627625	3.5948667999999997	3.7678156000000005
Sirt5	3.076864	3.6137347	3.1901164	2.8359125
Parvg	-0.020172093000000002	0.261004	-0.050475400000000004	-0.09172312
Atf7ip2	-0.10091977	0.7149058	1.180527	0.9522044
Pcdhga10	2.5360452999999996	2.438628	2.7747412000000002	2.8107173
Gm39244	0.40121594	-0.18423029999999999	0.25608468	-0.23065515
Hoxb4	3.4439056000000003	2.695871	3.598786	3.5029068
Pla2g4e	1.4272299	2.1870546	2.0230759999999997	1.6622622999999999
Gpt	2.1154604	2.6208124	2.4795794	2.5647634999999998
Gm13920	0.7040502	1.1785276000000002	-1.389242	1.0952175
Ltb4r2	1.1049426000000002	1.2057558000000002	1.2485218999999999	0.8016029
Peg10	2.1667147	2.462271	2.4100002999999997	2.6547554
Iscu	3.5631087	3.9924288	3.6678562000000006	3.778897
Ctsf	3.568806	3.6842089	3.2301488	3.6598754000000002
Prrx1	3.6730428	3.2616572	3.9324312000000003	3.7468797999999994
Zswim7	2.2345610000000002	3.598531	3.484229	2.8808432
Trpv4	0.38411516	1.5166226999999999	0.7888883000000001	0.52881813
1810058I24Rik	3.6659047999999994	4.018253	3.30539	3.3001285000000005
Gm14305	2.3889256000000003	3.6335976000000003	2.5618997	3.0443902
Cd5	-0.1626481	1.9131445	1.8138763	1.651947
Phgdh	2.1072667000000003	2.7753457999999998	3.7883839999999998	3.3594775
Mon2	3.7185113	2.7750537	3.7401989999999996	3.655618
Gm15543	-0.023607863	-0.076417826	-0.050724223	0.23734276
Rad9b	2.0913706000000003	2.490022	2.3511841	2.646089
Wfdc3	1.3334876	1.4626758999999998	1.3201748	1.0490197
Cln6	2.6054977999999998	3.1037150000000002	3.2333755	3.0822034
Rela	3.432633	3.2903624	3.6787083	3.7081861000000003
Ube3a	3.9155245	3.5660863	3.84361	3.6784608
Aldh9a1	3.0567236	3.708337	2.8874426	3.0313977999999997
Gm34866	0.8945503	0.36610696	-1.1759739	1.2138451000000001
Cfap300	1.3887478000000002	2.1000655	1.2759694	1.8391522
Slc25a19	3.236288	3.3136022000000005	3.2768260000000002	3.4121902000000004
Mmp21	0.12099505	-0.42408599999999996	0.22592705	0.5479377
Zfp992	3.0283732000000003	3.3697875	3.2291267	2.8248292999999998
Cenps	1.8330643	1.6019923999999999	1.622235	2.456172
Gm47391	-0.15928848	0.78521156	0.38084894	-0.50695133
3110070M22Rik	2.25901	3.0989833	2.8853614	2.6359775
Erbb4	3.0908792000000003	3.1852224	2.832884	3.3679080000000003
Smarcc2	3.8172297	2.9709997	3.644658	3.6530244
S100a2	0.10062403	1.0157318000000002	0.42391409999999996	-0.60648555
Them6	2.5563931	3.0659397	2.6733875	2.6794515
Jade3	2.2608514	2.4439433	2.2492099999999997	2.828967
Naalad2	2.674761	2.5682497000000004	2.852983	3.1170022
Psme2	3.4697409	3.879315	3.8024910000000003	3.243302
Ccdc149	2.9671752000000002	3.0877814	3.2380847999999998	3.0063727000000005
Gm6133	1.5962261	2.526189	2.024166	2.5296962000000005
Pmepa1	3.9627223	3.21438	3.970711	3.9410026
Enpp3	2.408361	3.0135688999999997	2.5056229	2.8301754
Tbca	3.678964	3.9779212	3.691246	3.8459220000000003
Ppdpf	3.2890182	3.8962538	3.3078024	3.5383282
Ap1s1	3.360111	3.703531	3.6493839999999995	3.28125
Gm42477	-0.11841299	0.48980619999999997	-0.20421718	0.7638868000000001
Kifc2	2.309392	2.8282375	2.5698664	2.909256
2410018L13Rik	1.2619038999999999	1.2928758	1.2718958999999999	2.0064344
Vrk2	2.9191658	3.1051276000000003	3.3383632000000003	3.3408883
Incenp	2.7370741	2.2181165000000003	2.9509277000000003	3.0947866000000004
Fjx1	3.6819108	2.9429145	3.4619706	3.7817627999999996
Ndufa5	3.5614019999999997	3.9296544	3.974915	3.860499
Trim71	-0.065087855	0.5901298	-0.12208167	-0.22851254
Ehhadh	2.4605546	2.8907325	2.6284935000000003	2.4835439
Msr1	0.45309946	0.60135645	0.7881854	-0.7562558000000001
Hist1h3i	0.6781866	1.4841592	1.1888723	1.5654114
Pafah1b3	2.1126267999999997	3.0840987999999996	2.7079158	2.4204016
Tex2	3.2337029999999998	3.1082148999999997	3.364464	3.1990979
Rad18	2.49375	2.9364939999999997	2.888594	2.8099895
4930517E14Rik	0.9573917	1.6940868999999998	1.9019285	1.9199245999999999
Fstl4	-0.11193622	0.018258418999999998	-0.20093498	0.40598378
Tnmd	1.6332128000000001	2.9229767000000004	1.6883848000000001	2.6894869999999997
Pwp2	2.7716594	2.6900053	3.0046756	3.0651515
