gene	bin_0	bin_1	bin_2	bin_3
4930555B11Rik	0.14197676	0.25679073	-0.27917868	0.27920353
Tctn2	2.9753528	3.0936275	3.1490014	3.3135777
Afap1l1	0.73955494	1.0956178	0.6965812	0.87972826
Ccnf	1.0592593000000001	1.5981623999999999	1.3001245000000001	1.5181999
Hist1h2bb	1.6668967000000001	2.192446	2.0234146	2.1824630000000003
Rac2	0.7246753	0.7821630999999999	0.8564904000000001	1.1985327
Cdkn1a	3.612232	3.7567167	2.755405	3.195456
Rab33a	1.9044223000000002	2.4086952	2.2274973	2.5083877999999995
4933408B17Rik	1.9024287	2.441379	2.1922297000000004	2.4335383999999998
Zdhhc20	3.5564440000000004	3.633006	3.4088483	3.3144772000000002
Magix	0.6653566999999999	1.0802924999999999	0.84313524	1.087216
Rbm43	3.1591375	3.3374202000000004	3.333286	3.1458304
1700047M11Rik	0.42959124	0.15634452	0.44142848	0.79329836
Blvra	3.0772645	3.6734032999999995	3.4934144	3.2587206
Pisd	2.9703715	3.2510470000000002	3.215831	3.2481153
Clip4	3.3855817000000004	3.3108907	3.5210492999999996	3.3533983
Abat	3.3323834000000003	3.1959310000000003	3.5556127999999996	3.3953643
Camk1d	2.5647783	2.2928688999999998	2.7405445999999998	3.000336
Ceacam1	0.47209194	0.63633364	0.7390356	0.9464638000000001
Syngr1	0.6374185	0.88263315	0.8532569	1.0123365
Mbtps2	3.019159	3.3018949999999996	3.2224223999999997	3.1313667
Gna14	1.7114929	1.6265479	2.116941	2.1192775
Cox6a1	3.515721	3.8690538	3.9231214999999997	3.928344
Eif3j2	2.8176968	3.1806992999999997	2.9776943	3.2008617000000004
Mrps16	3.6176388	3.8050212999999995	3.6195852999999993	3.5861709999999998
Chchd4	3.268098	3.5631402000000003	3.192754	3.3598406
Tcaf1	3.6894383	3.5169473	3.6094817999999997	3.5913557999999997
Gm12031	0.8289802	1.0032667	1.1764763999999999	0.86729956
Pfdn1	3.5760292999999996	3.8600046999999997	3.8629832000000004	3.7138183
BC048559	0.23512867	0.3706236	-0.9444232	0.41012552
Zfp622	3.3766634	3.4737803999999994	3.4309726	3.5420904
Frs3	2.2949803	2.8391054000000002	2.5452175	2.7628508
Runx1	2.6038342	2.9575002	2.8525793999999998	2.761268
Prox2os	1.3588735	1.8071734	1.6365432	1.8674556
Ago4	2.7791314	2.9419034	3.0173349999999997	3.2142508
A830008E24Rik	0.39070883	0.5254998000000001	-0.02386485	0.66902083
Gpatch2l	3.1252267000000002	3.0471826	3.3051220000000003	3.3463199999999995
Tatdn3	2.840977	3.4504727999999996	3.0755982000000004	3.3135576
Polr2m	3.7131907999999996	3.7088542	3.8229659	3.7619913
Gm46123	0.5579089	0.6555086999999999	0.7366938000000001	0.7833373
Adrb3	0.5419123	0.9280149	0.6587770000000001	0.8964368
Tram1l1	1.5582794	2.0671296000000003	1.7097485000000001	2.1669338
Extl1	1.1186306000000001	1.5314707	1.4046809999999998	1.6081796
Plppr3	0.60885507	1.0467229	0.6830856	0.7194041
Klf6	3.8536534	3.7096962999999996	3.8653324000000002	3.9197054
Gm16685	-0.07071729	0.5321988000000001	0.4797648	0.6279453
4930444A19Rik	-0.09978150000000001	0.3729721	-0.10288264	0.40768117
Bckdha	3.113513	3.7271092000000006	3.608199	3.3995707000000004
Tmsb15b2	2.510964	3.4559830000000002	2.9021297	3.4475462
Nrn1	2.3320076000000003	2.7345047	2.5669305000000002	2.770525
Adamts16	0.14541389999999998	0.2567578	0.20040062	-0.13338056
Gjd4	0.3941719	0.6530623000000001	-0.10281761	0.76933295
Atg9a	3.3338025	3.1123529999999997	3.501521	3.473547
Bhlhe41	1.6370968000000001	3.3984562999999994	2.3833356	2.1603197999999995
Lpl	2.9274278	2.6177762	3.4194477	3.5877587999999996
Gm46430	2.8406327	3.1991277	3.100247	3.0724443999999997
Khdc4	3.3706734	3.367776	3.2859123	3.4665833
Gm26632	3.4549775	3.4469947999999997	3.427422	3.6388773999999997
Alms1	3.012996	2.8063222999999997	3.252465	3.3257844
Rrp36	3.2671022	3.5193955999999997	3.2295141	3.222279
Plrg1	3.0323806	3.4491637	3.4466615	3.376295
Fbxo27	2.5869477	2.9461827	2.7663512000000003	2.947404
Samd1	3.1277442000000004	2.8183126	3.2204242	3.5109220000000003
Rnf149	2.8980181000000003	3.1448402	3.1108186	3.0395286
Ache	1.7505580000000003	2.0112479	1.9951738	2.1885154
Rbp4	3.8818552000000004	3.9363008	3.5522739999999997	3.8544053999999996
Gm33195	0.7377446999999999	1.0857381000000002	1.0378748	1.3449496
Man2a1	3.4831413999999996	3.2003508	3.6642553999999996	3.5688163999999998
Pip4p1	3.2966702000000003	3.6493182	3.5960965	3.1764216
C330018D20Rik	2.8069357999999998	3.1854086	3.0279214	2.9850574
Gm44956	0.70471495	1.0440451	0.6509917	1.1965483000000001
Ube2w	3.5000102999999996	3.6348941	3.5043832999999998	3.4436598
Gm12930	0.05456451	0.43762144	0.38632953	0.26914325
Anks1b	0.99910474	1.4281955	1.2842897	1.3554542
Dock4	2.746377	3.132495	2.949482	3.0332458
Rln1	0.42570862	0.6056256	0.1264173	0.7804641999999999
Kcnc2	-0.121221855	0.22783193	0.31378096	0.40732825
Zfp623	2.7067642000000003	3.0521271	2.915421	3.1017199
Stub1	3.687632	3.8695839999999997	3.8282292	3.7518933
Rprd1b	3.4949464999999997	3.3309834	3.4907038	3.4177969
Rassf4	2.9866185	3.3416214	3.152559	2.4064357000000003
Bcas1	1.2919976	1.5849799999999998	1.5117578999999999	1.8406991000000001
Cox6a2	0.24051778	0.33814245	0.31814528	0.27515686
Odr4	3.6061404	3.726124	3.5128002	3.5351480000000004
Adcy6	3.5017567	3.3800275	3.6062972999999996	3.3490843999999997
Akr1b10	2.995606	3.3262013999999995	3.2374449	3.1424923
Gm14137	0.23679306	0.20689404	0.3176491	0.2918343
Gm38563	0.40105778	0.4859448	0.19493839	0.5658324
1810026B05Rik	3.28038	3.7566602	3.5704818	3.5514975
Vav3	2.915902	2.6320481	3.0557133999999997	3.3586303999999996
Mcee	3.4043925	3.791789	3.5590718	3.6138356
Inpp5k	3.1535408	3.4927203999999996	3.4410005	3.2428956
4930467E23Rik	-0.53646755	0.25163412	0.20346873	0.28046468
Tchh	0.45634538	0.6525865	0.5123207000000001	0.31493667
Gm8206	0.14135875	0.25551704	-0.536043	0.2797033
Poglut3	3.6112232000000004	3.3558502	3.7226646	3.5800366
Slc35b2	3.3194592000000003	3.5988245	3.6030849999999996	3.2463968
Mrps10	3.2030184	3.5606685	3.2996051	3.3131410000000003
Coq4	3.0543172000000003	3.259992	3.2012992000000002	3.4423790000000003
