gene	log_min	log_max
4930555B11Rik	-21.218266	-17.764389
Tctn2	-13.580551000000002	-10.126673
Afap1l1	-18.385054	-14.931176
Ccnf	-17.286442	-13.832563
Hist1h2bb	-15.99252	-12.538642
Rac2	-18.327894	-14.874017000000002
Cdkn1a	-11.277677	-7.823798700000001
Rab33a	-15.481695000000002	-12.027817
4933408B17Rik	-15.555306	-12.101428
Zdhhc20	-11.777371	-8.323493
Magix	-18.445677	-14.991798999999999
Rbm43	-13.129705	-9.675827
1700047M11Rik	-19.426506	-15.972629000000001
Blvra	-12.198724	-8.744845
Pisd	-13.425506	-9.971627
Clip4	-12.488871000000001	-9.034991999999999
Abat	-12.385533	-8.931655000000001
Camk1d	-14.387393	-10.933515
Ceacam1	-19.021042	-15.567164000000002
Syngr1	-18.653316	-15.199439000000002
Mbtps2	-13.440056	-9.986177
Gna14	-15.780188	-12.326309
Cox6a1	-9.6597185	-6.205840599999999
Eif3j2	-13.834278	-10.3804
Mrps16	-11.120406	-7.666528
Chchd4	-12.6632	-9.209322
Tcaf1	-11.281248	-7.827369999999999
Gm12031	-17.99939	-14.545511999999999
Pfdn1	-10.306311	-6.8524327000000005
BC048559	-20.52512	-17.071243
Zfp622	-12.228449000000001	-8.774569999999999
Frs3	-14.630717	-11.176839
Runx1	-14.322583999999999	-10.868706
Prox2os	-16.65392	-13.200041
Ago4	-13.946564000000002	-10.492685
A830008E24Rik	-19.608828	-16.154951
Gpatch2l	-13.230063000000001	-9.776185
Tatdn3	-13.167563000000001	-9.713685
Polr2m	-10.773968	-7.3200899999999995
Gm46123	-18.915682	-15.461804
Adrb3	-19.021042	-15.567164000000002
Tram1l1	-16.298285999999997	-12.844408
Extl1	-17.368118	-13.914241
Plppr3	-18.579207999999998	-15.125331
Klf6	-9.7953	-6.341421599999999
Gm16685	-19.608828	-16.154951
4930444A19Rik	-20.52512	-17.071243
Bckdha	-11.889522	-8.435642999999999
Tmsb15b2	-13.118409	-9.664531
Nrn1	-14.705036999999999	-11.251159
Adamts16	-21.218266	-17.764389
Gjd4	-19.608828	-16.154951
Atg9a	-12.69053	-9.236651
Bhlhe41	-12.252167	-8.798288000000001
Lpl	-12.488223	-9.034345
Gm46430	-13.717738	-10.263860000000001
Khdc4	-12.625225	-9.171347
Gm26632	-12.015253999999999	-8.561376
Alms1	-13.389831	-9.935952
Rrp36	-12.820985	-9.367106
Plrg1	-12.755108	-9.3012295
Fbxo27	-14.419210999999999	-10.965333
Samd1	-13.204923999999998	-9.751045
