gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Tctn2	0.34	0.46	0.34	0.64	1.0	-7178.876	-7148.0537	-7168.4883	-7159.8545	0.0	-8.260925	-11.813434893882915	5.842108663405821	0.10283392883363517	2101
Afap1l1	0.44	0.08	0.08	0.72	0.84	-98.07251	-100.010605	-96.25581	-101.74789	1.0	1.5961959	-17.282982683059682	1.5189989963267294	0.0006852332240223191	14
Ccnf	0.18	0.22	0.18	0.38	1.0	-352.75595	-349.45508	-351.79272000000003	-351.9372	0.0	-0.35558125	-15.660916930952876	5.532378594798258	0.0023983162840781167	49
Hist1h2bb	0.35	0.28	0.28	0.64	1.0	-998.28845	-995.75665	-996.7953	-996.8576	0.0	-0.621409	-14.481791819047674	2.170580730960678	0.008222798688267828	168
Rac2	0.18	0.29	0.18	0.58	1.0	-208.19942	-210.45708	-209.7623	-209.27902	0.30774274	0.46886653	-16.38419634929616	2.4468137615772267	0.0012236307571827124	25
Cdkn1a	0.46	0.24	0.24	0.46	1.0	-56716.406	-56384.363	-56631.72	-56541.977	0.0	-75.75385	-8.419791624113264	4.333501601724623	0.688561499681856	14068
Rab33a	0.43	0.14	0.14	0.43	1.0	-1936.9395	-1943.6531	-1950.7083	-1929.908	0.0	-3.053739	-13.831222261985733	1.6394788833807912	0.01766922813371837	361
4933408B17Rik	0.1899999999999999	0.47	0.1899999999999999	0.58	1.0	-2032.0837	-2029.8177	-2029.2761	-2032.8704	0.0	0.34162518	-13.534252623521608	0.2187013931422479	0.020018599187509176	409
Zdhhc20	0.38	0.4	0.38	0.56	1.0	-23166.115	-22866.295	-23128.238	-22901.896	0.0	-114.74873999999998	-9.87985324868232	5.022255302908418	0.47760755714355635	9758
Magix	0.11	0.28	0.11	0.74	0.7799999999999999	-101.693954	-99.50051	-100.37233	-100.842514	0.0	-0.36977586	-17.419139218939172	2.60909705460799	0.000587342763447702	12
Rbm43	0.44	0.43	0.43	0.56	1.0	-8838.678	-8782.123	-8828.746	-8795.401	0.0	-18.794687	-11.539317268842428	1.3569870154484764	0.13200528608487103	2697
1700047M11Rik	0.2	0.17	0.17	0.65	1.0	-45.234634	-47.300133	-45.796898	-46.72234	0.72778314	0.6461022	-18.121054430745616	2.2600236476636484	0.0002447261514365425	5
Blvra	0.49	0.3	0.3	0.63	1.0	-16301.011	-16276.307	-16300.997	-16286.096	0.0	-6.477519	-10.531395225301912	1.230517127437981	0.3284714404581274	6711
Pisd	0.47	0.44	0.44	0.63	1.0	-7307.2515	-7207.6577	-7276.949	-7234.1045	0.0	-31.767326	-11.818467053768735	1.0146996497751468	0.10469384758455288	2139
Clip4	0.39	0.35	0.35	0.46	1.0	-15864.414	-15774.789	-15841.008	-15803.088	0.0	-26.633617	-10.632960628273784	2.04985394146253	0.2816308550731731	5754
Abat	0.33	0.44	0.33	0.51	1.0	-17795.334	-17802.3	-17817.957	-17777.61	0.0	-7.6977	-10.415151012511032	2.4799214927329625	0.3385541578973129	6917
Camk1d	0.44	0.26	0.26	0.71	0.87	-2874.093	-2872.9539	-2875.1968	-2871.5413	0.0	-1.1082143999999998	-13.049871911986465	4.8974323107265825	0.028926631099799323	591
Ceacam1	0.39	0.34	0.34	0.64	1.0	-89.432755	-85.91939	-87.5531	-87.92344	0.0	-0.65548736	-17.316199430762044	1.1277994008098506	0.000587342763447702	12
Syngr1	0.5	0.4	0.4	0.57	1.0	-256.7261	-251.01529	-255.00737	-252.29024	0.0	-1.9264727	-16.166563749934472	1.489063446536929	0.0016151925994811805	33
Mbtps2	0.46	0.48	0.46	0.54	1.0	-8211.076	-8130.7085	-8184.3076	-8159.1626	0.0	-22.545778	-11.608170277286582	4.106124434605606	0.12309725417258088	2515
Gna14	0.38	0.24	0.24	0.57	1.0	-694.3629	-690.3646	-692.00165	-692.68286	0.0	-0.72963804	-14.8824861662636	4.487605215855385	0.004698742107581616	96
Cox6a1	0.44	0.42	0.42	0.53	1.0	-48155.14	-47714.555	-48080.43	-47788.35	0.0	-159.29446000000002	-7.872985788872944	1.894474978159911	0.9633889677450932	19683
Eif3j2	0.29	0.49	0.29	0.63	1.0	-5935.1445	-5907.8193	-5924.517	-5921.938	0.0	-5.7355285	-12.118038026964673	3.2443589210692863	0.07635455924820127	1560
Mrps16	0.48	0.37	0.37	0.56	1.0	-29851.275	-29319.297	-29738.426	-29434.553	0.0	-180.98035	-9.303176387497317	1.37352385942647	0.7155303215701629	14619
Chchd4	0.41	0.4	0.4	0.49	1.0	-11691.108	-11601.9795	-11647.235	-11649.076	0.0	-18.254364	-11.11434378304425	4.423980110344201	0.20630414566100533	4215
Tcaf1	0.4300000000000001	0.39	0.39	0.65	1.0	-26783.275	-26315.756	-26512.615	-26538.8	0.0	-106.17397	-9.582364240779075	4.221567793160943	0.5728060300523714	11703
Gm12031	0.29	0.42	0.29	0.36	1.0	-314.10846000000004	-312.35724	-315.19968	-310.57788	0.0	-1.5333108	-15.838825752735286	2.7048508025360003	0.002153590132641574	44
Pfdn1	0.45	0.39	0.39	0.54	1.0	-36760.168	-36412.742	-36626.656	-36536.457	0.0	-97.156425	-8.688792333086312	1.6695072469339394	0.8747491556947775	17872
BC048559	0.25	0.3	0.25	0.6	1.0	-53.81007	-54.320007	-54.44981	-54.054016	0.0	0.10594443	-17.948038387307534	3.7071486781534744	0.000293671381723851	6
Zfp622	0.41	0.47	0.41	0.59	1.0	-16171.391	-16087.889	-16140.289	-16117.912	0.0	-23.225424	-10.527602019921122	0.47978170813656895	0.32455582203514266	6631
Frs3	0.38	0.33	0.33	0.58	1.0	-3834.711	-3805.0032	-3829.1516	-3808.4116	0.0	-11.421648	-12.73710534709813	1.0494730785178188	0.0449317214037492	918
Runx1	0.42	0.24	0.24	0.44	1.0	-5890.505999999999	-5867.388000000001	-5885.1104	-5876.4756	0.0	-6.0932703	-12.053170274682586	4.962917908595294	0.06867015809309383	1403
Prox2os	0.49	0.38	0.38	0.56	1.0	-688.42834	-680.8309	-682.6965	-686.4555	0.0	-0.8567931999999999	-14.913142592209011	1.969109164436559	0.00523713964074201	107
Ago4	0.34	0.45	0.34	0.59	1.0	-5678.4404	-5651.710999999999	-5667.478	-5662.4307	0.0	-6.952953	-12.162856174804617	5.958589916385952	0.07238999559492927	1479
A830008E24Rik	0.31	0.1899999999999999	0.1899999999999999	0.56	1.0	-21.680561	-21.396193	-21.34584	-21.588154	0.0	-0.04013195	-18.902028869319636	5.406758776294499	9.7890460574617e-05	2
Gpatch2l	0.46	0.37	0.37	0.59	1.0	-9515.98	-9379.92	-9512.302	-9399.74	0.0	-50.482490000000006	-11.398593559883754	5.2305326176739575	0.15094709020605943	3084
Tatdn3	0.47	0.46	0.46	0.48	1.0	-9812.966	-9743.779	-9822.024	-9740.278	0.0	-31.56778	-11.355104138912774	4.686189474942724	0.1559884489256522	3187
Polr2m	0.5	0.42	0.42	0.62	1.0	-33477.613	-32833.65	-33210.832	-33041.418	0.0	-189.43721	-9.035488897792405	3.574512325055925	0.773432529000049	15802
Pik3ap1	0.36	0.22	0.22	0.35	1.0	-105.8925	-107.900375	-107.883095	-104.81221	0.008606408	-0.46916473	-17.134772615305042	1.3021428484356958	0.0006362879937350105	13
Gm46123	0.41	0.38	0.38	0.62	1.0	-38.80015	-38.36225	-38.7232	-38.415134	0.0	-0.16721092	-18.32671520741669	0.7383430317454431	0.000195780921149234	4
