gene	bin_0	bin_1	bin_2	bin_3
Tctn2	3.3278356	2.9925134	3.1059384	2.947025
Afap1l1	0.2992937	0.9003968000000001	0.21346098	-0.47157380000000004
Ccnf	1.2949715	1.3771366000000003	0.43309516	1.427534
Hist1h2bb	1.7248191000000002	2.1330125	2.17826	1.3609761
Rac2	0.11538035	1.2992749	1.2966108	0.5808564
Cdkn1a	3.555081	3.848639	3.700057	3.9194176
Rab33a	2.5506384	2.1255112	2.6958888	0.21972443
4933408B17Rik	2.6909034	2.27829	2.2158396000000002	1.9899414
Zdhhc20	3.6679093999999997	3.3378258	3.5250324999999996	3.593579
Magix	-0.5433111999999999	0.5945595	1.2128636000000002	-0.47571369999999996
Rbm43	3.3132539	3.2123747000000002	3.2869756000000003	2.8343236000000003
1700047M11Rik	-0.5629681	0.3317433	0.69418937	-0.16803294
Blvra	3.5909476000000002	3.5466089999999997	3.4312704	3.0500844
Pisd	3.2998466	3.1427004000000003	3.1730757	2.7694027
Clip4	3.373213	3.3223996	3.6140082000000002	2.8026278
Abat	3.4047084	3.2256107000000003	3.6950073	3.0258523999999998
Camk1d	2.8346287999999995	2.4396985	2.804377	2.3676607999999995
Ceacam1	0.7605351	0.7869276999999999	0.43782926	0.30377343
Syngr1	1.0901292999999999	1.0502982	1.1028504	0.5963304
Mbtps2	3.0843482000000004	3.2394047	3.2723196	3.1031337000000003
Gna14	1.6514858000000001	1.2083663	2.0104344	1.6660328999999998
Cox6a1	3.890158	3.9144002999999996	3.9230666	3.7887904999999997
Eif3j2	2.8951957000000004	2.9245381	3.4197903	2.739161
Mrps16	3.7040013999999997	3.7012668	3.7146190000000003	3.5068707000000003
Chchd4	3.4160318	2.9875244999999997	3.5149589999999997	3.0603185
Tcaf1	3.6335545	3.5504065000000002	3.6651747	3.5789475
Gm12031	0.36287045	1.5069674	1.2946483999999998	1.0805551000000002
Pfdn1	3.7915297	3.9231951	3.7394476	3.8179765
BC048559	-0.6774373	0.3866772	0.51328576	0.23903760000000002
Zfp622	3.4956279	3.5170722000000003	3.3319716	3.2951605
Frs3	3.0227337000000003	2.7198832000000004	2.9608494999999997	2.2686477000000003
Runx1	2.9789798	3.0913427	2.855823	3.026123
Prox2os	1.6815028000000003	1.6645191000000004	1.8240506999999997	1.2539766
Ago4	3.240784	2.8747759999999998	2.9750056000000002	2.7811844
A830008E24Rik	0.47490832	-0.10002479	-0.2575246	0.40898374
Gpatch2l	3.3098357000000003	3.1962743	3.1949337000000004	3.1893198
Tatdn3	3.1866837	3.328518	3.2320217999999996	3.2212549999999998
Polr2m	3.6603239000000003	3.5774847999999997	3.8523414	3.624074
Pik3ap1	0.08859097	1.0200949000000001	-0.26143104	0.59295964
Gm46123	0.6727116	0.22818136	0.44282106	-0.13269444
Adrb3	0.6200213000000001	0.61572766	0.52040434	0.48831254
Tram1l1	1.7542514	1.8782088	1.6866907	1.4017316
Extl1	1.0882039	0.49360526	1.4212794	0.95300394
Plppr3	1.3292125	1.0047377	0.96243834	0.30104366
Klf6	3.6944573	3.2437496	3.986053	3.801471
Gm16685	-0.09658182	0.49011856	0.22803365	-0.13025777
4930444A19Rik	-0.55919784	0.64270115	0.34762073	-0.16766244
Bckdha	3.6473937000000007	3.4522214	3.423782	3.3961911
Tmsb15b2	3.2608821	3.209127	3.4335692000000004	3.2892212999999995
Nrn1	2.8286689999999997	2.5661585	2.2497477999999997	2.8097067000000004
Adamts16	0.22042832	-0.10080004	0.4143749	-0.05131697
Gjd4	1.2408544	0.019896835	-0.23534156	0.5584531999999999
Atg9a	3.4078788999999996	3.249917	3.4297193999999998	3.1100457
Bhlhe41	3.3153796000000004	3.5226547999999993	3.0282167999999996	3.1856625
Lpl	3.1093368999999997	3.3264160000000005	2.896146	3.4840732000000005
Gm46430	3.3586667	3.131966	3.110897	2.894483
Khdc4	3.5378879999999997	3.1398726000000003	3.1591988	3.5173345
Gm26632	3.2600925	3.6117019999999997	3.6275146	3.4889474000000003
Alms1	3.2426827	3.1761115	3.2278097000000003	2.8752732000000005
Rrp36	3.2618427000000003	3.3247104	3.2826160000000004	3.2411887999999998
Plrg1	3.293315	3.067432	3.5541072	3.065594
Fbxo27	2.835301	2.731936	3.2172701	2.5759792
Samd1	3.3675040000000003	3.0459235000000002	3.27086	3.0352360000000003
Dkkl1	0.50966877	-0.09973537	-0.25288805	-0.05127259
Rnf149	3.1801372000000003	2.9235933	3.0371737000000003	2.9027839
Ache	1.6760446	2.2067018	2.3420057	1.6758383999999997
