gene	bin_0	bin_1	bin_2	bin_3
Tctn2	3.2893943999999995	3.0441892000000004	3.199888	2.9362228
Afap1l1	0.8939219999999999	-0.25463423	0.91961294	0.49372086
Ccnf	1.4155357	1.3326856000000002	1.473311	0.5518307
Hist1h2bb	2.122573	1.9022944	2.2614985	1.5846637
Rac2	1.1216012	0.8663915999999999	1.4254944	0.8228495000000001
Cdkn1a	3.6944237	3.8480248	3.7854748	3.783582
Rab33a	2.5540333	2.2440073	2.6286204	1.5225043
4933408B17Rik	2.5533509999999997	2.2440627	2.5564577999999996	2.0612524
Zdhhc20	3.6637483	3.4215724	3.563684	3.5435672
Magix	0.7623939999999999	0.6209352	0.88300425	0.48743686
Rbm43	3.3267010000000004	3.206603	3.3267112	2.9497304
1700047M11Rik	0.50759	-0.29770225	0.7412888000000001	0.36549568
Blvra	3.5722970000000003	3.5089934	3.4790864000000004	3.2004604
Pisd	3.2930648000000002	3.1359951	3.2410367	2.8830345
Clip4	3.4171112	3.3781178	3.5762937000000004	3.0162427000000003
Abat	3.4458032	3.310996	3.642478	3.1844165
Camk1d	2.8638573	2.6080259999999997	2.8886814	2.2414472
Ceacam1	0.8606205	0.43854424	0.83581907	0.5777467
Syngr1	1.3750813999999998	0.8140407	1.4288442	0.85205114
Mbtps2	3.1858408	3.2099376	3.323405	3.000991
Gna14	1.9225708	1.6651529999999999	2.0753458	1.2128386
Cox6a1	3.8996498999999996	3.8631458	3.9024443999999994	3.8273146000000002
Eif3j2	3.0564375	3.000508	3.341325	2.7904248
Mrps16	3.6988795	3.6815846	3.7232928	3.5562214999999995
Chchd4	3.411218	3.122001	3.4956532	3.1457996
Tcaf1	3.6565034	3.5801141000000003	3.6668667999999998	3.5688809999999997
Gm12031	1.3025868	0.9987309000000001	1.5773913	0.8599808000000001
Pfdn1	3.836901	3.8019898000000003	3.7766647000000004	3.7792177000000002
BC048559	0.5163471	0.58227104	0.63584566	-0.17296341
Zfp622	3.4956398	3.4944254999999997	3.3924587	3.3039725
Frs3	2.9889555	2.7879142999999997	3.0216622	2.5023732000000005
Runx1	3.0918572	3.0121496	3.0298397999999995	2.7066095000000003
Prox2os	1.9166130000000001	1.5731775	1.9473029999999998	1.426756
Ago4	3.1920571	2.9436285	3.0701080000000003	2.8016396
A830008E24Rik	0.32172206	0.29408893	0.4184983	-0.18463513
Gpatch2l	3.3260629999999995	3.2185	3.271776	3.1052372000000004
Tatdn3	3.253707	3.2825568	3.2976053	3.120334
Polr2m	3.6829104	3.6224947	3.8254754999999996	3.6462235
Pik3ap1	0.8127641999999999	-0.035240307	0.81551224	0.6775779000000001
Gm46123	0.6443653	0.3246875	0.79530233	0.31432715
Adrb3	0.8873249	0.6039952	1.0507383	0.26280466
Tram1l1	1.8886491	1.6281378	2.052317	1.3465120000000002
Extl1	1.3990985	1.0018008	1.4397178999999998	0.8366044
Plppr3	1.255508	0.8682918	1.4562346000000002	0.81046796
Klf6	3.8228896	3.4781306000000005	3.8387663	3.829077
Gm16685	0.35177583	-0.22609425	0.61816776	0.3203355
4930444A19Rik	0.50813	-0.51064056	0.4628115	0.358177
Bckdha	3.607879	3.4668522000000004	3.47787	3.4128501000000004
Tmsb15b2	3.3242230000000004	3.2623205	3.4355269999999996	3.2443748
Nrn1	2.9540706	2.6942284	2.6492193	2.0444255
Adamts16	0.26267640000000003	0.28917146	0.24401335	0.21320637
Gjd4	0.57945377	0.7441247	0.9111485	0.48429212
Atg9a	3.4235422999999994	3.299472	3.4510577000000007	3.177325
Bhlhe41	3.3496413	3.375026	3.1608717	3.1475155
Lpl	3.2219813	3.2984445	3.0865169999999997	3.1314907
Gm46430	3.3137236000000003	3.1364913	3.2169826	2.936734
Khdc4	3.5073906999999998	3.2285922	3.2669995	3.3402061
Gm26632	3.3829072	3.5399910000000006	3.614934	3.4672767999999996
Alms1	3.279979	3.1577783	3.2667067000000003	2.9600003
Rrp36	3.3217084000000003	3.305251	3.33736	3.1999066000000003
Plrg1	3.3337476	3.1806445	3.5003545	3.1500244
Fbxo27	2.9460745	2.8227603	3.1787332999999998	2.6076767000000003
Samd1	3.3546498	3.122531	3.3107622	3.067803
Dkkl1	-0.37559414	0.28976175	0.4171812	0.21351060000000002
Rnf149	3.2001455	2.9729997999999997	3.131162	2.772924
Ache	2.161521	1.9163784	2.3878152000000004	1.7349398
Rbp4	3.8952595999999997	3.8707294	3.8914367999999997	3.7562491999999996
Gm33195	1.3613213	1.0326532	1.5286176999999999	0.9005716
Man2a1	3.5247992999999993	3.6773903	3.4141218999999996	3.5711827000000005
Pip4p1	3.4736037000000004	3.3749678	3.4982142	3.2205798999999997
C330018D20Rik	3.215119	3.0242906	3.2228527000000002	2.7580535
Gm44956	1.4674515	1.1932074	1.6015078999999999	1.1650194
Ube2w	3.5232317	3.5387362999999996	3.4612126000000005	3.429585
Gm49695	0.5915457	0.35992396	0.3095476	0.27978405
Gm12930	0.6091097	-0.11543687400000001	0.76393944	0.33260372
Anks1b	2.1333845	1.8442723	2.0778553	1.6003133
Dock4	3.1948957	3.0256857999999998	3.3284345	2.912639
Rln1	0.77860504	0.5093316	0.58899915	0.5149138
Kcnc2	0.94598615	0.8300641	0.94414914	-0.56865287
Zfp623	3.0854986	2.8427717999999995	3.0959506	2.601872
Stub1	3.8278157999999998	3.8047726	3.8520448	3.707186
Rprd1b	3.5074267	3.329395	3.4596858	3.3009553
Rassf4	3.117525	2.9313599999999997	3.1566746	2.6758158
Bcas1	1.6470413000000002	1.1917187	1.7539431	0.7027171
Cox6a2	0.6357130999999999	0.5256193	0.88517773	0.4977867
Odr4	3.5862544	3.5578496	3.6355953000000003	3.5616431000000004
Adcy6	3.5731285	3.5750843999999997	3.2693634	3.4057144999999998
Akr1b10	3.331539	3.2113266	3.2833886	2.917148
Gm14137	0.31781816	-0.47389993	0.48019153	0.27660143
Gm38563	1.0522568	0.8443296	1.1504703	0.5951595000000001
1810026B05Rik	3.5430462	3.6232889999999998	3.2521074	3.5638773
Vav3	3.0767498	3.0211115	3.2554095000000003	2.7851142999999996
Mcee	3.6395128	3.7055616000000002	3.6790748	3.4207815999999998
Inpp5k	3.3426587999999997	3.4335244	3.4615986000000003	3.2454097
4930467E23Rik	0.25927907	0.18150593	-0.17799886	0.117229246
Tchh	0.5821116999999999	0.6098741	0.75540704	0.42101315
Gm8206	0.26260759999999994	-0.38755490000000004	0.29725248	0.12184529
Poglut3	3.5801887999999997	3.6180825	3.5421689	3.4720576000000003
Slc35b2	3.5490873	3.3946167999999997	3.4427469	3.2203994
Mrps10	3.2931817000000003	3.4370205	3.3502476000000003	3.2570677000000003
Coq4	3.3695066	3.2444386	3.2561119	3.04385
Gm27168	0.26169676	-0.42520982	0.29774959999999995	0.12445249
Bmp8a	1.2456737	1.0100427	1.4135416	0.66503274
Shc2	2.3903043	2.151982	2.6434740000000003	1.9164173999999998
Dedd	3.3716519999999996	3.3743768	3.4393528	2.9857216
Gm33609	0.26241043	-0.34787723	0.29874140000000005	0.12114668
Mindy3	3.4619150000000003	3.2657423	3.66954	3.4218089999999997
Ttc39a	1.7279909	1.3765138000000001	1.7684328999999999	1.2013907
Peak1os	0.7222542	0.23271425	0.53119177	0.28343886
Sh2b1	3.4196644	3.3609095	3.3284559999999996	3.1987019
4831440D22Rik	1.9098081999999998	1.5692015	2.0116465	1.469241
Gm19582	0.2647947	-0.5656965	0.3027116	0.12014854
Arfip2	3.4721843999999997	3.354032	3.5678716	3.3441997000000003
Gm30082	1.9007288	1.4872854	2.0177686	1.2445926999999999
Coch	1.9798459	1.9954398999999998	2.3436923	1.4010543
Tpo	1.2227803	0.47564572	1.274247	0.75021434
Omd	3.3736286	3.532379	3.4020016	3.2386837
Smg8	3.219415	3.0879755	3.3130472	2.9213696
Plet1	0.23381743	0.29063130000000004	0.43013832	0.20869926
Zc3hc1	3.3596458	3.0720959999999997	3.3861837	3.0381727
Hmces	3.3433094	3.2364773999999996	3.3410839999999995	2.9514139
Zc3h10	3.2638854999999998	3.1428487	3.3704940999999997	2.9173636000000003
Tcea3	3.6608852999999995	3.6059177000000004	3.8092637000000003	3.455633
Heatr1	3.2389984	2.9694684	3.316898	2.912297
Agpat1	3.454436	3.2169778	3.4491248	2.9246445
Cdt1	2.3925214	2.0548565	2.4904563	1.7870061000000002
Txndc16	3.3252635	3.394591	3.3256919999999996	3.1942902
Dcdc2a	0.4918606	0.40564720000000004	0.19564971	0.32267603
Meox2	2.2307246	1.8376346000000001	2.39898	1.6916455000000001
Oip5	1.8786836	1.5970563	1.8792433999999998	1.3267289
Fsd2	0.50837183	0.23502474	0.73335403	-0.26676974
Gm35326	0.26488906	-0.19635794	0.30346528	0.12357916
Ubp1	3.636458	3.487	3.4634247000000005	3.5054017999999996
Osbpl8	3.3977485	3.4991013999999994	3.4371263999999995	3.2961724
Hcrtr1	0.8568906999999999	0.60366666	1.1014892	0.50834465
Derl2	3.5524733	3.4995487	3.6220834	3.3839827000000007
Amhr2	1.586157	0.9928104999999999	1.7259164	1.1052516000000001
Klra2	1.146034	0.23754428	0.9960441999999999	0.51735055
Gm42696	1.5551091000000001	1.3034313	1.5934045000000001	1.0952951000000002
Sppl2b	3.3251019	2.9972887000000004	3.35187	3.0558877
Gm48689	-0.2880481	0.293104	0.41277742	0.20316169
Tg	2.5603685	2.2023442	2.5880585	2.031138
Pfn1	3.913864	3.9098593999999998	3.9198089	3.8407154
4933401L05Rik	0.21147391	0.28821045	0.26567140000000006	0.20454846
Disp1	3.0421355	2.8073745	3.1296787	2.5708199
Nfib	3.9203796000000004	3.8827302	3.9211695	3.8190237999999996
Pyroxd2	1.7008216	1.5526372	1.8136331	1.3118938999999998
Gm5617	3.2930424	3.4635667999999997	3.3262637	3.2940216
Mdm1	2.6125038	2.2033397999999997	2.737861	2.0369040000000003
Mfsd14a	3.4711418	3.2234643	3.6178942000000003	3.2570467
Gm2895	0.74657017	-0.5691536	0.8742700999999999	0.4308781
Ccdc169	1.93393	1.5671964	1.8205648999999997	1.3958552
Lpin2	3.1853542	2.9835958	2.9971566000000003	2.6504176
Ifi204	1.6014183000000002	1.1523103000000001	1.5999383	0.83266896
Pidd1	1.8388417000000001	1.4436446000000003	1.9413345000000002	1.4018077
Fut4	1.5835456	1.4843583999999999	1.7444837	1.2603656
Polr2c	3.7976449999999997	3.5726974	3.797289	3.618154
Sirt5	3.3479397000000004	3.2258862999999995	3.3813748	3.002094
Parvg	0.52992076	0.4297053	0.5148037	-0.3261157
Atf7ip2	0.84135014	0.8170527	1.0410457	0.7273868
Vmn2r25	0.44748279999999996	0.36207628	0.48707682	-0.8036265
Pcdhga10	2.826632	2.4910789	2.7477942000000004	2.2197356
Gm39244	0.48828009999999994	0.29807493	0.65442425	-0.00198304
Gm47076	0.17721769	-0.03136695	0.41327238	0.21032405
Hoxb4	3.4628427000000004	3.3857732000000005	3.277375	3.203761
Pla2g4e	2.138515	1.6380208	2.2484071	1.6194496999999999
Gpt	2.5737314	2.3315770000000002	2.7245886	1.9617878
Gm13920	1.2433107	1.0831683	1.3107735	0.8399936
Ltb4r2	1.3335071000000003	1.1210659	1.4126471	0.9499933
Peg10	2.792908	2.5353525	2.7522743	2.199277
Iscu	3.8535589999999997	3.8376334	3.8777122000000004	3.7937760000000003
Ctsf	3.5481144999999996	3.47192	3.5974884	3.4880492999999997
Prrx1	3.6588686000000004	3.7601720999999997	3.7864277000000004	3.431537
Zswim7	3.2550552	3.2741105999999998	3.3787897000000005	3.1152303
Trpv4	1.2989768	1.0788447	1.2451636000000001	0.74026674
1810058I24Rik	3.7737973	3.7967447999999995	3.8479032999999996	3.6089594
Gm14305	3.2492242	3.3478274	3.2016947	3.1467402
Cd5	1.9018173999999999	1.6800653000000003	1.9478252	1.4439028999999999
Phgdh	3.2640512000000004	3.166845	3.3963223	3.0619645
Mon2	3.517096	3.5461489999999998	3.4852187999999993	3.4124095000000003
Gm15543	0.3909085	0.28794327	-0.101870105	0.20893817
1700003M07Rik	0.39371625	-0.36473155	0.41359082	-0.15369976
Rad9b	2.7394574	2.3513126	2.8319167999999997	2.1019914
Wfdc3	1.3968726	1.3270863000000002	1.3220758	0.60743177
Cln6	3.2116487	3.0227716	3.0534837	2.8138568
Rela	3.5747705	3.5442949999999995	3.6797169999999997	3.4416142
Gm38410	0.593054	0.39667612	0.7191029999999999	0.40415287
Ube3a	3.8041706	3.6329756	3.8259661	3.5998147000000005
Aldh9a1	3.2579333999999998	3.4176013	3.4570515	3.1184833
Gm34866	1.1136713	1.1350790000000002	1.2330918	0.76597077
Cfap300	1.7855921000000001	1.5015624	1.9195031999999999	1.2915043
Serpina1b	0.6892633	0.08937684	0.58349097	0.35690543
Slc25a19	3.4546589999999995	3.2943117999999996	3.4377513	3.1518
Mmp21	0.8826562	0.5861542	0.86780715	0.6599077
Zfp992	3.3997538	3.140963	3.2860231	2.748359
Cenps	2.1205342000000003	1.8949049	2.2588437000000003	1.6483014999999999
Gm47391	0.736507	0.48712555	0.86971736	0.19355941
3110070M22Rik	3.050494	2.7992343999999996	3.0125452999999998	2.4868615000000003
Erbb4	3.2258875	3.2192175	3.4033108	3.0957293999999997
Smarcc2	3.531283	3.678578	3.529731	3.4573503
S100a2	1.1449132	1.0062811	1.2578976999999998	0.830765
Them6	3.1318273999999997	2.872739	3.0260564999999997	2.6632578
Jade3	2.7340255	2.4599924	2.8417413	2.2020242000000003
Naalad2	2.996094	2.8211777000000002	2.9789526	2.5421782000000004
Psme2	3.6798502999999996	3.5191519999999996	3.7405415	3.2296546000000004
Ccdc149	3.131942	3.1482484	3.2639377	2.878063
Gm6133	2.5470867000000004	2.2472939999999997	2.5583081	1.9799973999999998
Pmepa1	3.9008697999999997	3.8257617999999995	3.9356172	3.8883967000000004
Enpp3	2.9241762000000002	2.986209	3.2327714	2.8001652000000004
Tbca	3.8726410000000002	3.8209370000000002	3.8796809000000003	3.7767012
Ppdpf	3.6685274	3.5639464999999997	3.658757	3.333982
Ap1s1	3.5497167000000003	3.3534458	3.6547747000000004	3.3630536
Gm42477	1.0781469	0.72439176	1.072566	0.49845695
Kifc2	2.895971	2.5763214	2.928741	2.3575315
5033406O09Rik	-0.05791899	0.44321984	0.51184416	0.17579347
2410018L13Rik	1.9886781999999998	1.6746877	2.0029206000000004	1.3964056999999999
Vrk2	3.1398568	3.207616	3.4293685	2.9251971
4833423E24Rik	-0.22607432	0.28165478	0.41608670000000003	0.20958784
Incenp	3.0439152999999997	2.7789912	3.078488	2.53251
Fjx1	3.4812025999999996	3.0693028	3.6825349999999997	3.4642222
Ndufa5	3.8872056000000006	3.8393855	3.8828454	3.7641337
Trim71	0.5562675	0.41732422	0.7941608	0.43273824
Ehhadh	3.0693712000000004	2.7501564	3.0794639999999998	2.5668523
Msr1	0.5453929	0.09345123	0.75584626	0.42772016
Hist1h3i	1.438732	0.8952494000000001	1.5530844	1.0304486
Pafah1b3	2.8752956000000003	2.6103650000000003	2.8233914	2.223732
Tex2	3.262099	3.2600117	3.4733987	3.0330222
Rad18	2.933322	2.756158	3.0040487999999996	2.5120362999999997
Sell	0.21476588	0.393453	0.51298475	0.31816859999999997
4930517E14Rik	2.1604702000000002	1.7941048	2.2526166	1.6321825
Fstl4	0.6037408000000001	0.43277335	0.68017954	-1.0394009
Tnmd	2.3518932	1.295784	2.8132175999999998	2.1062502999999997
Pwp2	3.174603	2.932114	3.066825	2.7240462000000005
Thoc1	3.5213148999999997	3.383375	3.4980376000000004	3.3740182
Ranbp9	3.4866050000000004	3.5180113	3.431283	3.2835567
Mocs2	3.554353	3.5539763	3.4935129000000003	3.3672202000000007
Zap70	0.50521713	0.39122614	0.69709545	0.27561077
A930024E05Rik	1.6702709	1.4808756	1.676837	1.2282823
Dnaaf2	3.3749702000000004	3.1510583999999997	3.2158191	2.9746938
Arid5a	3.154677	2.6485	3.6847174	3.4846382000000005
Gm13066	0.58360237	0.40738928	0.50976056	0.36474429999999997
Dut	3.558473	3.2624880000000003	3.401821	3.4630300000000003
Srek1ip1	3.5745730000000004	3.5301199999999997	3.5385584999999997	3.3920457
Gcsam	0.34453598	0.32291937	0.50058264	0.16511032
Itm2b	3.9124532	3.8960314	3.9241781000000002	3.8937612
Pdk4	2.7906551	3.1762035	2.8056605	3.035713
Eps8	2.4472997000000003	2.0109534	2.3850832000000004	1.8061058999999997
Gm4651	1.7130566999999999	1.4293268999999997	1.8298332999999998	1.3787128999999998
Pcdhb7	2.3735142000000002	2.1554694	2.5083861	1.8098802999999999
Atpaf2	3.3919954	3.110514	3.4507818	3.027609
Cds2	3.7267233999999996	3.6548057000000003	3.5993962	3.6695647000000005
Slc38a4	1.8075988	1.5839944	1.8287735	1.3506616000000002
Gm21917	1.5647986	1.2836477	1.7409217000000001	1.2389803
Tex10	3.3640902	3.22045	3.3008287000000003	3.08321
Satb2	2.0617360000000002	1.8440386000000002	2.169452	1.5885873
Nek9	3.6707232000000003	3.5624266	3.5911294999999996	3.5042553
Exd1	1.9099153999999998	1.6420089	2.083357	1.4447008
9130019P16Rik	2.668605	2.3086830000000003	2.7302947	2.0741768
Mocos	2.8001752	2.6933825000000002	3.0176267999999995	2.4277675
A230103J11Rik	0.82297206	0.6570720999999999	1.0416471	0.084987044
Nr2f1	3.2332957	3.266928	3.2036998	3.0123816000000003
