gene	log_min	log_max
Tctn2	-13.519585000000001	-10.065706
Afap1l1	-18.770111	-15.316234
Ccnf	-17.342995000000002	-13.889117
Hist1h2bb	-16.107523	-12.6536455
Rac2	-17.922813	-14.468936
Cdkn1a	-10.127682	-6.673804
Rab33a	-15.299180999999999	-11.845303
4933408B17Rik	-15.210013	-11.756135
Zdhhc20	-11.592074	-8.138196
Magix	-18.770111	-15.316234
Rbm43	-13.231138	-9.77726
1700047M11Rik	-19.64558	-16.191704
Blvra	-12.227758999999999	-8.773881
Pisd	-13.50915	-10.055271000000001
Clip4	-12.300603	-8.846724499999999
Abat	-12.091978999999998	-8.638100999999999
Camk1d	-14.743273	-11.289394
Ceacam1	-18.952433	-15.498555
Syngr1	-17.75851	-14.304632999999999
Mbtps2	-13.330585000000001	-9.876706
Gna14	-16.536518	-13.082641
Cox6a1	-9.605074	-6.151196
Eif3j2	-13.79972	-10.345841
Mrps16	-11.022946000000001	-7.569068400000001
Chchd4	-12.799063	-9.345184
Tcaf1	-11.299745	-7.8458667
Gm12031	-17.470829000000002	-14.016951
Pfdn1	-10.432404	-6.978525599999999
BC048559	-19.463259	-16.009382000000002
Zfp622	-12.244472	-8.790593
Frs3	-14.393307	-10.939428
Runx1	-13.803776999999998	-10.349898
Prox2os	-16.545488	-13.091610000000001
Ago4	-13.860525	-10.406647
A830008E24Rik	-20.561870000000003	-17.107994
Gpatch2l	-13.118793	-9.664914
Tatdn3	-13.085115	-9.631236999999999
Polr2m	-10.748856	-7.2949777000000005
Pik3ap1	-18.690067000000003	-15.236189999999999
Gm46123	-19.868723000000003	-16.414846
Adrb3	-18.857122	-15.403245000000002
Tram1l1	-16.510085999999998	-13.056208
Extl1	-17.75851	-14.304632999999999
Plppr3	-17.922813	-14.468936
Klf6	-9.847542	-6.393664
Gm16685	-19.868723000000003	-16.414846
4930444A19Rik	-19.64558	-16.191704
Bckdha	-11.887332	-8.433454
Tmsb15b2	-12.786386	-9.332507000000001
Nrn1	-14.52639	-11.072512
Adamts16	-20.561870000000003	-17.107994
Gjd4	-18.61596	-15.162082
Atg9a	-12.633645	-9.179767
Bhlhe41	-13.001791	-9.547913000000001
Lpl	-12.936764	-9.482885000000001
Gm46430	-13.493699	-10.039821
Khdc4	-12.55284	-9.098962
