gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
4930555B11Rik	0.41	0.5	0.41	0.54	1.0	-32.224407	-31.184855	-31.524368	-31.885696000000003	0.0	-0.14710023	-19.007895070880803	3.139475305370091	9.987016878058524e-05	3
Tctn2	0.32	0.47	0.32	0.61	1.0	-11157.9375	-11095.853	-11137.393999999998	-11104.1875	0.0	-23.343328	-11.776031923889004	3.464465939233202	0.11142181830287293	3347
Afap1l1	0.39	0.48	0.39	0.21	1.0	-173.39796	-175.77837	-178.88855	-170.47531	0.0	-1.2692921	-17.318082217919947	3.8214314913169494	0.0007989613502446819	24
Ccnf	0.45	0.17	0.17	0.67	0.9899999999999998	-449.92587	-444.95737	-448.3325200000001	-448.01666	0.0	-0.82915944	-15.989746114754745	4.607181908577923	0.0017310829255301442	52
Hist1h2bb	0.14	0.46	0.14	0.66	1.0	-1670.07	-1659.5125	-1667.9297	-1660.89	0.0	-3.9867935	-14.33581021381303	0.06632679625165938	0.009587536202936182	288
Scn9a	0.36	0.32	0.32	0.62	1.0	-11.319891	-11.5269985	-11.447281	-11.376172	0.3849094	0.024442567	-20.039885112165972	1.39186377557251	3.329005626019508e-05	1
Rac2	0.4	0.2	0.2	0.52	1.0	-264.30832000000004	-263.00858	-263.13174	-263.78036000000003	0.0	-0.22928755	-16.66730962080834	1.0522830024344598	0.0007323812377242918	22
Cdkn1a	0.02	0.15	0.02	0.92	0.2399999999999999	-50964.78	-51558.66	-50802.164	-51734.688	1.0	334.36603	-9.756666989386675	0.33493439852327	0.2483771097573155	7461
Rab33a	0.28	0.38	0.28	0.6	1.0	-2250.2832	-2222.8445	-2232.7622	-2243.3755	0.0	-2.9999824	-13.957867630150362	2.879784347391847	0.013515762841639202	406
4933408B17Rik	0.5	0.19	0.19	0.68	0.9599999999999996	-2311.6829	-2296.4822	-2300.724	-2309.8481	0.0	-0.79680735	-13.917761452977818	1.6438946426571936	0.014148273910582909	425
Zdhhc20	0.34	0.35	0.34	0.65	1.0	-32602.031000000003	-32420.166	-32544.178	-32504.871	0.0	-42.196117	-9.989228918738416	0.8610125623194937	0.45371017677019876	13629
