gene	bin_0	bin_1	bin_2	bin_3
4930555B11Rik	-0.11337832	0.31060708	0.33443192	0.27842095
Tctn2	2.993051	3.2510369999999997	3.4063833	3.3421442999999997
Afap1l1	-0.9980986	0.95749605	-0.21173622	1.396736
Ccnf	0.99876845	0.9305988000000002	1.4139426000000002	2.0008051
Hist1h2bb	2.0994968	2.29795	1.7206026	2.3475022
Scn9a	-0.024246896	0.20474082	-0.06611024	-0.08034966
Rac2	0.59364444	1.7495129	0.53448665	1.0593828
Cdkn1a	3.978839	3.9578116000000003	1.9918057	3.0817428
Rab33a	1.9995729	2.4686413	2.6113026	2.4492316
4933408B17Rik	1.9919133999999998	2.6501612999999997	2.479907	2.3033235
Zdhhc20	3.8152711000000004	3.90179	3.5136184999999998	3.2979392999999995
Magix	-0.16550220000000002	1.1047396999999999	1.0469245	0.8340424000000001
Rbm43	3.3185437000000007	3.3227714999999995	3.3665199999999995	3.2865827000000003
1700047M11Rik	0.43285158	0.29372522	0.17443451	-0.3256257
Blvra	3.2631433	3.5654936	3.6960855	3.4099786
Pisd	2.9959412	3.1927464	3.5028036	3.4532862
Clip4	3.5029593	3.5391065999999998	3.594475	3.3089237000000002
Abat	3.6131458	3.3803604	3.6057222	3.5825660000000004
Camk1d	2.4747138	2.4238834	2.9815109	3.4731080000000003
Ceacam1	0.36569809999999997	0.56935894	-0.36030662	0.28467304
Syngr1	-0.31236327	1.2691538	1.1498231	0.9341697
Mbtps2	3.1651566000000004	3.292722	3.351176	3.3164895
Gna14	1.5547856000000002	-0.69244444	2.4116154	2.7754295
Cox6a1	3.8929120999999998	3.9790404	3.9592557	3.9406786
Eif3j2	3.4027364	3.1430662	2.4532814	3.3941662000000004
Mrps16	3.6115937000000007	3.9009504	3.638294	3.710971
Chchd4	3.2770288	3.4902910000000005	3.048475	3.6731248
Tcaf1	3.9194400000000003	3.6773388	3.4940903	3.6346352
Gm12031	0.6550583999999999	1.3110683	1.5193659	0.4749522
Pfdn1	3.810829	3.9763343	3.9224495999999998	3.6982809999999997
Ighg2b	-0.0679313	0.6368929	-0.15281053	-0.19533493
BC048559	-0.31147778	0.7842300999999999	0.10147897	0.6916321999999999
Zfp622	3.3877006	3.306942	3.6679237000000002	3.6341984
Frs3	2.5203599999999997	2.9459310000000003	2.980458	3.041887
Runx1	2.9134439999999997	3.3690512000000004	2.6695054	2.6305366
Prox2os	1.4643958000000001	1.7535558	1.7243929	1.8320703999999999
Ago4	2.9245099999999997	3.1088102	3.3816163999999995	3.2704687000000003
A830008E24Rik	0.80482304	-0.08087833	0.010996313	0.66727287
Gpatch2l	3.3027894	3.229378	3.3090123999999994	3.5146275
Tatdn3	3.040225	3.463829	3.3421712	3.2816824999999996
Polr2m	3.6599107	3.5837765	3.9135964	3.957897
Pik3ap1	0.5139239999999999	0.12671074	0.89376265	0.7526493000000001
Gm46123	-0.15271714	0.58705395	0.46453375	-0.45635188
Adrb3	-0.044393762999999996	0.5947125	0.46734184	1.0471113
Tram1l1	2.0798495	2.323664	2.2436006	2.3014681
Extl1	1.0057856	1.703889	1.6592531000000004	1.4036912
Plppr3	1.0663806	1.6992730999999999	0.81533223	1.0720053
Klf6	3.986108	3.9497037000000006	3.7897127	3.9437141000000002
Gm16685	-0.06401199	-0.17217022	-0.15615718	0.25824344
4930444A19Rik	-0.11578133	0.47074372	-0.2565114	0.41338389999999997
Bckdha	3.1514759999999997	3.4594898	3.925244	3.5129986000000004
Tmsb15b2	2.3793726000000004	3.6603413000000002	3.5813093	3.2778661000000002
Nrn1	1.3467643999999999	2.889734	3.116939	2.8904395
Adamts16	-0.07243636	0.3062916	-0.15276033	0.15910955
Gjd4	-0.21375509	0.66303027	0.20532377	0.60260344
Atg9a	3.2595236	3.3184369	3.5981135	3.4523034
Bhlhe41	-0.36900127	2.3202097000000004	3.4882394999999997	2.0678582
Lpl	1.9930980999999999	1.2714198	3.9089087999999994	3.9893122
Gm46430	2.9846722999999997	3.1977434	3.3097803999999997	3.2801461000000005
Khdc4	2.5870425999999997	3.5617912000000005	3.609923	3.5201077000000005
Gm26632	2.5852466	3.6227226000000003	3.8578258	3.6252437000000004
Alms1	3.165019	3.0702849999999997	3.3134148000000003	3.5917144
Rrp36	3.3790949999999995	3.43606	3.3380444	3.414218
Plrg1	3.1232545	3.3020642	3.6027055	3.5599678
Fbxo27	2.750696	3.1250240000000002	3.0087285	3.1983554
Samd1	3.2416217	2.7319438	3.3280190000000003	3.7799989999999997
Rnf149	3.0705058999999997	3.1754124	3.4254127	3.1322958
Ache	1.3457936000000001	2.517071	2.3060002	2.1500955000000004
Rbp4	3.95088	3.8263662000000003	3.864523	4.02626
Gm33195	1.1076792	1.0272601000000001	1.0111926	1.455417
Man2a1	3.8242529999999997	3.0937175999999997	3.4158440000000003	3.8905854
Pip4p1	3.1934164000000003	3.3392449999999996	3.7157784	3.5484805
C330018D20Rik	2.9041023	3.083247	3.1680634	3.3107307
Gm44956	0.99108195	1.0073735000000001	1.271315	0.34267459999999994
Ube2w	3.0504985000000002	3.6418597999999998	3.8075175000000003	3.457896
Gm49695	-0.06710329	0.36318	-0.15455785	-0.19810139999999998
Gm12930	-0.026118804	-0.06803840400000001	0.28168243	-0.08051183
Anks1b	1.2252601	1.1394533000000002	1.2553649	1.3078243
Dock4	2.7684330000000004	3.3988050000000003	2.9567127	3.0506162999999997
Rln1	-0.37409523	-0.0030674659999999996	0.9372914000000001	0.78475684
Kcnc2	-0.43262511	0.700045	0.59839976	0.85369176
Zfp623	2.9229615	3.0840666000000003	2.9572833	3.2882934
Stub1	3.7487644999999996	3.9388595	3.9014566	3.7260800000000005
Rprd1b	3.5403879000000003	3.5083684999999996	3.4279269999999995	3.4779226999999997
Rassf4	3.3222457999999997	3.35796	3.3872788000000003	2.830946
Bcas1	1.5324798000000002	1.6091608999999998	1.5308312	1.6391616000000002
Cox6a2	0.33558714	0.7596175000000001	-0.83809036	0.8098593000000001
Odr4	3.705344	3.6517756	3.6533055	3.6301907999999994
Adcy6	2.9586885	3.8092620000000004	3.7169452000000005	3.2888458
Akr1b10	2.9288898	2.9948167999999997	3.716068	3.2320337
Gm14137	0.36161265	0.27593058	0.28463626	-0.32397625
Gm38563	0.5328054	0.9570601999999999	0.1881281	-0.3212256
1810026B05Rik	2.5081804	3.4958498	3.981449	3.6757847999999997
Vav3	3.238075	2.7710692999999997	3.215096	3.6365222999999998
Mcee	3.3666513	3.7030434999999997	3.7348092000000004	3.708975
Inpp5k	2.9000342	3.200295	3.8191620000000004	3.4478092000000005
4930467E23Rik	0.32777452	-0.17014217	0.30172515	-0.20161186
Tchh	0.5737929	0.79568756	0.44197983	0.35240927
2900079G21Rik	-0.023736713	0.19267236	-0.0651948	-0.08225416
Gm8206	-0.027154342999999997	-0.07326968	0.37755287	-0.086171634
Poglut3	3.7320926	3.4139943	3.6365545	3.7039256000000003
Slc35b2	3.2889504	3.5671146	3.8475866	3.1229873
Mrps10	3.201706	3.5383496	3.5762992	3.2511132000000003
Coq4	3.213384	3.3313115	3.307475	3.3883980000000005
Bmp8a	0.53080606	1.2404206	1.0590768999999998	0.44211984
Shc2	2.1799386000000003	2.726566	2.5853438	2.7284882
Dedd	3.2065597	3.2239823	3.5587862	3.5961317999999998
Gm33609	-0.021209365	-0.07272143	-0.05950058	0.12470128400000001
Mindy3	3.2163472	3.1093476000000004	3.7313354	3.9312148000000002
Ttc39a	1.297866	1.9625270000000001	1.5921243	1.8421688000000003
Peak1os	0.7548486	1.0868562	-0.5116665	0.41204008
Sh2b1	3.4182447999999996	3.4291824999999996	3.3743508	3.488918
4831440D22Rik	1.3159869	1.6901536	1.8785308999999997	1.9034588
Arfip2	3.1270037	3.5617666	3.6755120000000003	3.4939525000000002
Gm30082	1.7195884999999997	1.9510241999999998	1.6944107	1.6211483
Coch	1.1694091999999998	2.7146008	1.3869691000000002	1.768246
Tpo	1.0132118	1.2171261	1.1891876000000001	-0.5554446999999999
Omd	3.3165953	2.8359456	3.4596784	3.9238402999999997
Smg8	3.1928509999999997	3.2581022	3.3451557000000003	3.2765383999999997
Plet1	-1.3551038999999998	-1.8295282	-1.7912418	1.1852931999999998
Zc3hc1	3.3262980000000004	3.1731486	3.291346	3.508828
Hmces	3.0946844	3.4147012	3.3929197999999996	3.2816322
Zc3h10	3.4065456	3.4422398000000003	3.0685515	3.3216233
Tcea3	3.9239197	3.7816074	3.6676123	3.7450502
Heatr1	3.3523622000000004	3.3116825	3.0255022	3.3635099999999998
