gene	bin_0	bin_1	bin_2	bin_3
4930555B11Rik	0.3046368	0.49432424	0.29265749999999996	0.46310714
Tctn2	3.0723112	3.310942	3.3884144	3.3695161
Afap1l1	0.5374555	0.8610770000000001	0.9322733	1.0897528
Ccnf	1.3016372999999999	1.5743523000000001	1.6139121	1.6609638
Hist1h2bb	1.9187123	2.2645414	2.235785	2.359556
Scn9a	0.14310925	-0.17777433	0.23340346	0.26571834
Rac2	0.9342862	1.3819042	1.289182	1.370308
Cdkn1a	3.5723769999999995	3.8157256	2.6459238999999997	3.3001916
Rab33a	2.152134	2.565975	2.4932282000000003	2.6193006000000003
4933408B17Rik	2.1318938999999997	2.4531422000000003	2.58489	2.5849051
Zdhhc20	3.7068772000000005	3.822724	3.5911690000000003	3.4353895
Magix	0.7876345	0.8959411	1.1865389	1.1292524
Rbm43	3.2741582	3.3588129999999996	3.3742204	3.3558800000000004
1700047M11Rik	0.04493802400000001	0.57590157	0.31438664	0.44602674
Blvra	3.3846498	3.5789809999999997	3.6366233999999995	3.4760349
Pisd	3.1326937999999998	3.2913349999999997	3.4537940000000003	3.4401550000000003
Clip4	3.4904952000000007	3.5439602999999997	3.5733995000000003	3.4065619
Abat	3.5848532	3.4636623999999996	3.6032387999999997	3.5898422999999995
Camk1d	2.7447619999999997	2.7730458	3.0805705000000003	3.1982972999999997
Ceacam1	0.25775817	0.337532	0.45734963	0.49418253
Syngr1	0.7262508000000001	1.1614785	1.1755108	1.237215
Mbtps2	3.2077777000000003	3.3240216	3.3599133	3.3604312000000007
Gna14	2.0564072	1.3580903999999998	2.3311517000000004	2.31015
Cox6a1	3.9305277000000003	3.9333959000000003	3.9405797	3.9553237
Eif3j2	3.0097566000000002	3.2137382000000003	2.8148513	3.3816144
Mrps16	3.6590852999999997	3.8444580000000004	3.6969032	3.7249498
Chchd4	3.3334315	3.4850477999999994	3.2189705	3.5945468000000003
Tcaf1	3.7632375	3.6931135999999998	3.5979161	3.6715646
Gm12031	1.0467664	1.4044919	1.1506152	1.326498
Pfdn1	3.8253207000000002	3.8896474999999997	3.9006622	3.788215
Ighg2b	0.24255718	-0.15422261	0.3506526	0.38450619999999996
BC048559	0.44184196	0.5889373999999999	0.65238816	0.7366349
Zfp622	3.4336526	3.4046019999999997	3.6332934	3.6180917999999997
