gene	log_min	log_max
4930555B11Rik	-20.575603	-17.121727
Tctn2	-13.470913000000001	-10.017035
Afap1l1	-18.629694	-15.175817000000002
Ccnf	-17.547082999999997	-14.0932045
Hist1h2bb	-15.997463	-12.543585
Scn9a	-21.674217000000002	-18.22034
Rac2	-18.17771	-14.723832000000002
Cdkn1a	-11.417436	-7.963557700000001
Rab33a	-15.619778	-12.165899000000001
4933408B17Rik	-15.573898000000002	-12.12002
Zdhhc20	-11.710246000000001	-8.256368
Magix	-18.583174	-15.129295999999998
Rbm43	-13.179679	-9.7258005
1700047M11Rik	-20.575603	-17.121727
Blvra	-12.276982	-8.823103999999999
Pisd	-13.350366000000001	-9.896486999999999
Clip4	-12.323506	-8.869628
Abat	-12.151624	-8.697745
Camk1d	-14.314114000000002	-10.860235000000001
Ceacam1	-20.287922000000002	-16.834045
Syngr1	-18.455341	-15.001464000000002
Mbtps2	-13.405485	-9.951607000000001
Gna14	-15.822014999999999	-12.368136
Cox6a1	-9.690244999999999	-6.2363667000000005
Eif3j2	-13.742573000000002	-10.288694
Mrps16	-11.187565	-7.733687
Chchd4	-12.734899	-9.28102
Tcaf1	-11.216385	-7.762507
Gm12031	-18.147856	-14.693978
Pfdn1	-10.385473	-6.9315953
Ighg2b	-20.981070000000003	-17.527193
BC048559	-19.728306	-16.27443
Zfp622	-12.265353999999999	-8.811475999999999
Frs3	-14.665712	-11.211834
Runx1	-14.312206	-10.858328
Prox2os	-16.938019	-13.48414
Ago4	-13.808262	-10.354383
A830008E24Rik	-19.594773999999997	-16.140898
Gpatch2l	-13.160831	-9.706953
Tatdn3	-13.263274	-9.809396000000001
Polr2m	-10.737617	-7.2837385999999995
Pik3ap1	-19.109266	-15.655389000000001
Gm46123	-20.287922000000002	-16.834045
Adrb3	-19.035158	-15.581281
Tram1l1	-15.997463	-12.543585
Extl1	-17.2434	-13.789522
Plppr3	-17.845575	-14.391698000000002
Klf6	-9.660038	-6.20616
Gm16685	-20.981070000000003	-17.527193
4930444A19Rik	-20.575603	-17.121727
Bckdha	-11.878537	-8.424659
Tmsb15b2	-13.0609865	-9.607108
Nrn1	-14.746659	-11.292781
Adamts16	-20.981070000000003	-17.527193
Gjd4	-20.06478	-16.610903
Atg9a	-12.634902	-9.181024
Bhlhe41	-12.20846	-8.754581
Lpl	-12.318738	-8.86486
Gm46430	-13.745810999999998	-10.291933
Khdc4	-12.554896000000001	-9.101018
Gm26632	-12.020924	-8.567045
Alms1	-13.381919	-9.9280405
Rrp36	-12.919741	-9.465862
Plrg1	-12.720319	-9.26644
Fbxo27	-14.342503	-10.888624
Samd1	-13.102158	-9.648278999999999
Rnf149	-13.657898999999999	-10.2040205
Ache	-15.88732	-12.433441
Rbp4	-9.495453999999999	-6.0415764
Gm33195	-18.0633	-14.609422
Man2a1	-11.849232	-8.395353
Pip4p1	-12.350548	-8.896669000000001
C330018D20Rik	-13.986678	-10.5328
Gm44956	-18.416120000000003	-14.962242999999999
Ube2w	-11.975358	-8.52148
Gm49695	-20.981070000000003	-17.527193
Gm12930	-21.674217000000002	-18.22034
Anks1b	-17.685232	-14.231354999999999
