gene	bin_0	bin_1	bin_2	bin_3
Tctn2	2.977215	3.0230615000000003	3.3246733999999996	3.080079
Afap1l1	-0.7111033	0.73176056	1.0278978	0.21917385
Ccnf	1.1600312	0.99756056	1.7631543	0.60599536
Hist1h2bb	1.3807479	2.0185207999999997	1.7846519	1.9232790000000002
Scn9a	-0.038079258	-0.05136012	-0.07188395	0.11251894400000001
Rac2	0.95947427	-0.29116547	0.8224993	0.99039674
Cdkn1a	3.314547	3.9685683	2.221287	2.8438152999999997
Rab33a	1.9390256000000001	2.2443416000000003	2.0863256000000003	2.1950187999999997
4933408B17Rik	1.9497403999999998	2.1607412999999998	2.0002047999999997	2.117474
Zdhhc20	3.2812202000000004	3.8194015	3.5025408	3.261914
Magix	0.4549719	0.4405745	0.91929615	0.7491813
Rbm43	3.2735577	3.3213470000000003	3.3738196000000005	2.610473
1700047M11Rik	-0.30637613	-0.4016656	0.6194938	0.7903286
Blvra	3.6324584000000004	3.190615	3.4767447	3.2383237
Pisd	2.9982328	2.9746182	3.1987674	3.132437
Clip4	3.3926091	3.5364804	3.4464387999999997	3.172775
Abat	3.4423508999999997	3.4312968	3.4748212999999994	3.2681932000000002
Camk1d	2.2451785	2.6034732000000003	2.707754	3.0681176
Ceacam1	0.25384787	0.22839786	0.74441457	-0.60535455
Syngr1	0.40079397	0.7357694	-0.4252174	0.6159785
Mbtps2	3.1757445	2.9914932	3.1708937	3.0813727
Gna14	1.9914317	1.6605552	0.09310351	2.267337
Cox6a1	3.8313682	3.823487	3.9280943999999995	3.9228437000000005
Eif3j2	2.8466158	2.957651	2.7357118	2.8518164
Mrps16	3.7464995	3.7057644999999995	3.7032017999999995	3.4679589999999996
Chchd4	3.0100935	3.2213263999999997	3.3561332000000004	3.4909225
Tcaf1	3.7310102	3.7073517	3.482428	3.5994496
Gm12031	0.66943586	0.8974183000000001	1.1715292	0.83796376
Pfdn1	3.7027164	3.8291006000000003	3.9006998999999998	3.7063248
BC048559	0.36459514	0.5525097	-0.3050552	-0.27769340000000003
Zfp622	3.367514	3.327482	3.3175352	3.560575
Frs3	2.4154723	2.493823	2.3050606	2.5629817999999998
Runx1	2.5367474999999997	2.7995787	2.7877509999999996	2.3827865000000004
Prox2os	0.73333234	0.9876891	1.7711716	1.2119612
Ago4	2.8191283	2.960091	3.0170555	2.9874442
A830008E24Rik	0.12014088	-0.22341982	0.26466438	0.39365837
Gpatch2l	3.23331	3.1649575	3.2079885	3.2107362999999998
Tatdn3	3.167617	3.3632169999999997	3.2145758	2.6874732999999997
Polr2m	3.6122491	3.6982012	3.6621913999999998	3.8364217000000003
Pik3ap1	-0.093125	-0.13757843	0.37040383	0.3172268
Gm46123	0.37390214	0.31463048	-0.5476696999999999	0.62429386
Adrb3	0.8234333	0.20444489999999998	0.045200482	0.45219449999999994
Tram1l1	1.6309416	2.0811255	1.9414343999999997	1.6782311
Extl1	1.1644757	0.9577583000000001	1.4501799	1.005256
Plppr3	-0.7144739999999999	-0.1581221	1.1357268999999999	1.1520219999999999
Klf6	3.3393967000000004	3.8890513999999996	3.6523087	3.9910536
Gm16685	-0.04040311	-0.057633965999999995	0.3789552	-0.07241145
4930444A19Rik	-0.09955932	0.40099552	0.18387961	-0.17588447
Bckdha	3.7090989999999997	3.0952303	3.7771733	3.1107347
Tmsb15b2	2.9059336	3.1581693	3.2830458	3.1949490000000003
Nrn1	2.5346482000000004	0.69929457	2.0843132	3.0516584
Adamts16	-0.04082986	0.31018052	-0.076429605	-0.07412083
Gjd4	-0.042983375	0.45662615	-0.077602796	-0.07256578
Atg9a	3.137082	3.0951364	3.5179622000000004	3.3135793
Bhlhe41	0.9405424000000001	-0.7937281999999999	3.4066870000000002	1.9400393
Lpl	3.3809607	1.7244026999999997	2.8702042000000003	3.7954839999999996
Gm46430	2.9757943	3.052276	2.993029	2.9285126
Khdc4	2.9835062000000003	3.1696124	3.5866922999999997	3.4732797
Gm26632	2.9385168999999998	3.396417	3.765215	3.3874552
Alms1	2.9476767	3.1126822999999995	3.1727731	3.2700157
Rrp36	3.3636875	3.2940402	3.2584903	3.2299356
Plrg1	3.009424	2.9710793	3.4154612999999996	3.485262
Fbxo27	2.6716870999999998	2.7571682999999996	2.9314044	2.5272076
Samd1	3.0294821	2.8893737999999995	2.7974033	3.5716930000000002
Dkkl1	-0.044458482	-0.049187012	0.15365094	-0.07152002
Rnf149	3.0055907000000004	3.2787241999999996	3.09904	2.6654575
Ache	1.6108214	1.7680365000000002	2.0464382	1.4769421
Rbp4	3.9536263999999997	3.729215	3.4156294000000003	3.9835691
Gm33195	0.5685918000000001	0.48581216	0.89827484	0.5639684
Man2a1	3.6938002	3.3476922999999994	3.4147885000000002	3.4853059999999996
Pip4p1	3.3240845	3.1790307	3.6325095000000003	3.2347382999999996
C330018D20Rik	2.850835	2.994098	2.9438052000000003	2.573399
Gm44956	0.15653755	0.6549974000000001	0.26964143	0.9698935
Ube2w	3.1802368	3.3299849999999998	3.5277084999999997	3.6454660000000003
Anks1b	0.81532925	0.34402224	1.5060014	0.65080106
Dock4	2.7301004	2.7338240000000003	3.104552	2.70282
Rln1	-0.04717762	0.23368892	-0.07916519	-0.07079007
Kcnc2	-0.16217121	-0.22068936	0.42192240000000003	0.3800777
Zfp623	2.6411540000000002	2.6627774	2.8865925999999997	2.998367
