gene	bin_0	bin_1	bin_2	bin_3
Tctn2	3.0442970000000003	3.0995855	3.2762290000000003	3.158909
Afap1l1	0.5131051	0.73707587	0.7390598	0.7913097
Ccnf	1.1346512	1.4090611000000002	1.442452	1.4639354
Hist1h2bb	1.8392788	1.7740005	2.1179755	1.9135471999999998
Scn9a	0.17689015	0.20930594	0.25516352	-0.30184314
Rac2	0.6171555000000001	0.7225758000000001	0.97464556	1.0028473
Cdkn1a	3.4243580000000002	3.4881315	2.7513192	3.1339445
Rab33a	2.0481389	2.1460907000000002	2.314632	2.2469068
4933408B17Rik	1.9926131999999999	1.9943334	2.281397	2.2691152000000003
Zdhhc20	3.3787642	3.6722269999999995	3.539285	3.3717864
Magix	0.82782954	0.8635476000000001	0.8916769	0.8906929
Rbm43	3.178075	3.2715978999999997	3.3399443999999994	2.9108837000000003
1700047M11Rik	0.4339988	0.47178695	0.49091104	0.26707375
Blvra	3.4877276	3.2951026	3.4689932	3.336983
Pisd	3.0257294	3.0467715	3.1989503	3.1736095
Clip4	3.3833279999999997	3.496952	3.46465	3.287561
Abat	3.4191693999999995	3.4503760000000003	3.4814842000000006	3.3526597000000002
Camk1d	2.5855787	2.742842	2.836316	2.8250843999999997
Ceacam1	0.36678323	0.46278742	0.13352509	0.5110954000000001
Syngr1	0.69409597	0.33787665	0.6952126999999999	0.8004640000000001
Mbtps2	3.0943142999999997	3.0792484	3.22777	3.1591112999999997
Gna14	1.7480755000000001	1.958434	1.4296757	1.9204526000000002
Cox6a1	3.8635736000000005	3.8783302	3.8893247000000004	3.8762507000000004
Eif3j2	2.7508220000000003	2.8969579	2.9124901000000003	2.9480155
Mrps16	3.7064443	3.6770102999999996	3.721475	3.5462523
Chchd4	3.1269925	3.2640013999999997	3.3853376	3.430111
Tcaf1	3.7006018	3.6724558	3.5605843	3.648404
Gm12031	0.7771028	1.0511943000000001	1.1880178	1.0998536
Pfdn1	3.7317784	3.8315017	3.8503506	3.7602303
BC048559	0.25355	-0.16254497	0.43269625	0.42699438
Zfp622	3.3855903	3.3763905	3.3796199999999996	3.5236864000000003
Frs3	2.3405013	2.3946095	2.6046515	2.6472843
Runx1	2.610247	2.6493397	2.846565	2.667408
Prox2os	1.2518414	1.4753066000000001	1.5217254999999998	1.4466027
Ago4	2.8740196	2.9755882999999996	3.064704	3.0369666
A830008E24Rik	0.19271411	0.40655622	0.54447603	0.4974322
Gpatch2l	3.1772223	3.2244587000000005	3.2690403	3.2501469
Tatdn3	3.1245322	3.2429755	3.2333665000000003	2.961146
Polr2m	3.6507196000000004	3.7005741999999997	3.7009292	3.7956779999999997
Pik3ap1	0.28757134	0.32855034	0.18886667	0.32401457
Gm46123	0.3963281	0.5166489000000001	0.51244503	0.18044007
Adrb3	0.24216683	0.60242254	0.59435177	0.53356713
Tram1l1	1.7387009999999998	1.7771909	2.1867642000000003	2.086473
Extl1	1.1405636000000001	1.2897094	1.358924	1.4872767
Plppr3	0.5180871	0.5955161999999999	0.95622003	0.8942979
Klf6	3.5931818	3.8827769999999995	3.8059099	3.7933137
Gm16685	0.17761639	0.21223265	-0.04893128	0.24696379999999998
4930444A19Rik	0.28550348	0.19843158	0.18627964	0.36191565
Bckdha	3.5778171999999997	3.2391813	3.677865	3.2674243
Tmsb15b2	3.0209525	3.1782053	3.2600436	3.239689
Nrn1	2.496409	1.7909521000000002	2.5008150000000002	2.6418567000000004
Adamts16	0.17781945	-0.1691466	0.2582126	0.25089157
Gjd4	0.18395586	-0.14927073	0.25977266	0.24837252
Atg9a	3.218314	3.2023485000000003	3.4491449999999997	3.3456247
Bhlhe41	2.0054598	1.6209559999999998	2.525642	2.5522584999999998
Lpl	3.3414967000000004	2.3945312000000003	3.1177416	3.4034212
Gm46430	2.9162066	3.0363333	3.0819682999999998	3.0556726000000003
Khdc4	3.1291717999999995	3.267886	3.5311856	3.4473855
Gm26632	3.1522338	3.4374312999999996	3.656403	3.419715
Alms1	3.0227447	3.1470375	3.2368817	3.2427479999999997
Rrp36	3.2988714999999997	3.3109050000000004	3.3105998	3.3023162000000004
Plrg1	3.1333296	3.1048737	3.3860019999999995	3.4320796000000002
Fbxo27	2.602336	2.7743583	2.9188852	2.771408
Samd1	3.1127124	3.0375520000000003	3.0411127000000002	3.3270187000000004
Dkkl1	0.179899	0.20750864	-0.17486300000000002	0.24873973
Rnf149	3.0131664000000002	3.086822	3.1584868	2.9190714
Ache	1.7518979	1.8034769	1.9015692	1.9918782
Rbp4	3.7232149	3.8337162000000005	3.6387894	3.8755610000000003
Gm33195	0.8745203000000001	0.85758257	0.74480695	0.80788875
Man2a1	3.5998025	3.4393306000000003	3.4806635000000004	3.5018317999999997
Pip4p1	3.3317387000000003	3.28255	3.556478	3.3318455
C330018D20Rik	2.7569203	2.921406	3.0047922000000002	2.8054688
Gm44956	0.6807359000000001	0.89463717	0.842724	0.61865413
Ube2w	3.2924366000000003	3.4091892	3.5275233	3.5850129999999996
Anks1b	0.9946768	1.0259615	1.1965752	1.0484651
Dock4	2.7423627	2.8537755000000002	3.0099697	2.8810177
Rln1	0.18063974	-0.47175324	0.26056156	0.24932438
Kcnc2	0.34951058	0.3983325	0.5602057	-0.029118275
Zfp623	2.7138405	2.7923427000000003	2.9445558	2.9580474
Stub1	3.800082	3.8030057	3.8416349999999997	3.6078099999999997
Rprd1b	3.3814647000000004	3.4777082999999998	3.4524044999999997	3.4460800000000003
Rassf4	2.7607627	3.1141315	3.202187	2.732636
Bcas1	1.1164339	1.2789778	1.409624	1.3502684
Cox6a2	0.17330815	-0.4414844	0.26122555	0.24456029
Odr4	3.6628572999999998	3.626815	3.5905857000000005	3.4862385000000002
Adcy6	3.0053744	3.5098379	3.6213415	3.2668652999999996
Akr1b10	3.1313095	3.1628246	3.3169668	3.0300057000000002
Gm38563	0.6429058000000001	0.015707545	0.7401445	0.6359549
1810026B05Rik	3.2959976	3.5746339999999996	3.7257197	3.4054055
Vav3	3.0590599999999997	3.1426543999999996	3.236141	3.2539432
Mcee	3.660567	3.5492146	3.6343388999999995	3.5720707999999997
Inpp5k	3.3151129999999998	3.1844740000000002	3.4652252	3.2603085
4930467E23Rik	-0.5768551	0.21331039999999998	0.25757197	0.25132722
Tchh	0.28933874	0.22841674	0.38325292	0.06385162
2900079G21Rik	0.17760050000000002	-0.15499413	0.25546756	0.25174677
Gm8206	0.18012457	0.21448589999999998	-0.075456664	0.25122684
Poglut3	3.4991677000000005	3.6357906000000004	3.5540977	3.5755148
Slc35b2	3.3790245000000003	3.4536656999999997	3.6147949999999995	3.132627
Mrps10	3.269056	3.3819525	3.3512190000000004	3.070924
Coq4	3.0809734	3.2512314	3.2736754	3.1195827
Gm27168	0.1766117	0.20583403	-0.043160036	0.25501472
Bmp8a	-0.76743597	0.34555525	0.48879516	0.47705057
Shc2	2.0587093999999997	2.1597185000000003	2.4111254	2.2113376000000002
Dedd	3.0127249	3.2288177000000005	3.4043013999999996	3.27866
Mindy3	3.455108	3.2382035	3.4389171999999997	3.6778152000000004
Ttc39a	1.3139721000000002	1.5993508	1.5539762	1.5602666
Peak1os	-0.13974094	0.23331152	0.48786396	0.47499934
Sh2b1	3.0673842000000002	3.3037078	3.3472266000000004	3.3344781
4831440D22Rik	1.1225368	1.2183503999999998	1.3771147	1.3548844
Arfip2	3.3629708	3.4281492	3.5431275	3.297858
Gm30082	1.4455972	1.5897477	1.5582026000000002	1.5898303999999999
Coch	1.672066	1.7050451000000002	1.7254521	1.8100808999999998
Tpo	0.8385151	1.0435523000000002	0.99144506	1.0495648000000002
Omd	3.4263303	3.0138185	3.1656635	3.5624477999999997
Smg8	2.9557849999999997	3.127437	3.138068	3.197675
Plet1	0.34718028	-0.82593656	0.43810034	0.42982706
Zc3hc1	3.1476599999999997	3.2777522000000006	3.2451779999999997	3.2762968999999997
Hmces	3.1022564999999998	3.2447812999999996	3.2199667	3.1858263
Zc3h10	3.0204682000000003	3.1828835	3.187144	3.1907837000000003
Tcea3	3.6564312000000005	3.7487065999999998	3.6314933	3.7073002
Heatr1	2.8859877999999997	3.1494129	3.2338486	3.2216146
Agpat1	3.2419302000000005	3.2328148	3.2120233	3.3522057999999997
Cdt1	1.5823281	2.0107082999999997	2.2005956	2.1249201
Txndc16	3.2610667	3.0891178	3.3504294999999997	3.4477093
Dcdc2a	0.18108755	0.20673028	-0.36652088	0.24562345
Meox2	1.8356276000000002	1.5973144	2.2415311	1.9620631000000002
Oip5	1.1847518999999997	1.3444653999999998	1.5365052	1.4359878000000001
Gm35326	0.18152243	0.21270277	-0.12905268	0.24629243
Ubp1	3.3237273999999997	3.632944	3.5865378	3.6129897000000004
Osbpl8	3.4166190000000003	3.4604979	3.4543333	3.2959528
Hcrtr1	0.8822912	0.92576164	0.83487016	0.84959847
Derl2	3.4669406000000005	3.2515697	3.4889736000000005	3.6773314
Amhr2	0.7235253	1.094625	1.1940514	1.2251803999999997
Klra2	0.5788466999999999	-0.25233057	0.8096915	0.52320266
Gm42696	1.197768	1.3776306	1.3928876000000001	1.2846488
Sppl2b	3.0497085999999998	3.179561	3.3677050000000004	3.1350625
Tg	1.9373817	1.8772029	2.2635593	1.9518848999999998
Pfn1	3.9214883	3.9358466	3.9038587	3.9521937000000005
Disp1	2.5086060000000003	2.7133392999999995	2.7976827999999996	2.833766
Nfib	3.8812053	3.877994	3.9141536	3.9065466
Pyroxd2	1.2030213	1.0519159	1.4181587	1.4532843
Gm5617	3.3451498	3.4008296000000002	3.3518567000000004	2.97342
Mdm1	2.2390828	2.0795586	2.4361403	2.3083508
Mfsd14a	3.3965547	3.3362644	3.4269316	3.6373867999999994
Gm2895	0.35465232	0.37837055	0.46454665	0.30265352
Ccdc169	1.3312903999999999	1.3832207	1.2977074	1.2919657
Lpin2	2.9184146	3.0522766	3.1084142000000003	3.0868127
Ifi204	0.8012986	0.9706594999999999	1.160658	0.91441154
Pidd1	1.379788	1.4599389999999999	1.5950228000000002	1.5894030000000001
Fut4	1.3474684	1.4788355	1.516705	0.95239675
Polr2c	3.7484763	3.5486765	3.6907258	3.7939699
Sirt5	3.1311276	3.2440112	3.2454507	3.0070171
Atf7ip2	0.5040551999999999	0.65900815	0.43411759999999994	0.8508504000000001
Pcdhga10	2.3484242	2.602764	2.6322843999999996	2.6251354
4930595D18Rik	-0.45640373	0.21226773	0.2617547	0.24715933
Gm39244	0.28809574	-0.055169705	0.2154988	0.36288854
Hoxb4	3.3376879999999995	3.3377776	3.3327906	3.35569
Pla2g4e	1.7026675999999998	1.7605651999999998	1.9819909	1.5305691000000001
Gpt	2.1681015	2.2885473	2.334645	2.418601
Gm13920	0.5230104999999999	0.7419505999999999	0.8980113000000001	0.7643863000000001
Ltb4r2	1.1395551000000002	1.2915031000000001	1.3820508999999999	1.2758627
Peg10	2.2238283	2.2561517	2.3013957	2.4209146
Iscu	3.8274782	3.838779	3.8689425	3.8466349
Ctsf	3.6470854	3.5229296999999997	3.6377453999999996	3.4403803
Prrx1	3.5087306000000003	3.5060985000000002	3.8166265	3.8138672999999996
Zswim7	3.181981	3.2754235	3.3498930000000002	2.862621
Trpv4	0.7425670999999999	0.93857366	0.99763787	1.1695714
1810058I24Rik	3.6937273	3.7828547999999995	3.8203527999999998	3.4658983
Gm14305	3.0188985	3.0603293999999996	3.2201583	3.0894504
Cd5	1.5104848	1.5599791	1.6666715	1.8004124
Phgdh	3.2707447999999997	3.0827744	3.3361752	3.4120847999999997
Mon2	3.4337425	3.4787512	3.5745137000000002	3.5835156
1700003M07Rik	0.28400713	-0.59146094	0.3808535	0.36333078
Gm13822	0.18177052	0.21334578	-0.06931398	0.2523179
Rad9b	2.1375186	2.2914732000000004	2.462486	2.5080388
Wfdc3	1.2079781	0.8217770000000001	1.2687383999999997	1.1979766
Cln6	2.9338303	2.967837	3.0572242999999997	3.0433154
Rela	3.2640216	3.4925010000000003	3.7137208	3.5000348
Gm38410	0.17779432	-0.27038866	0.2595732	0.24924207
Ube3a	3.5551112000000002	3.7325447	3.8203294000000003	3.8312292
Aldh9a1	3.164455	3.2961016000000005	3.3504727	3.0298182999999996
Gm34866	0.7254615	0.32898334	0.7968263000000001	0.85820293
Cfap300	1.4682933	1.4902935	1.7349666000000001	1.6727896
Slc25a19	3.1749403	3.242343	3.3429735000000003	3.371033
Mmp21	-0.24334441	0.20927960000000004	0.25157037	0.24454364
Zfp992	3.0668821	2.8966956	3.089442	3.2466555
Cenps	1.5485345	1.881979	1.9574923999999998	1.994562
3110070M22Rik	2.7236428	2.8634567000000004	2.9398675	2.5176907
Erbb4	3.0362887	3.1432176	3.0627334	3.1770787
Smarcc2	3.6027708	3.6424496	3.5045035	3.5157735
S100a2	0.85358316	0.6974741999999999	0.08190275	0.6856563
Them6	2.4655504	2.4694507000000003	2.7346861000000002	2.6527379
Jade3	2.3548324000000003	2.3208718	2.5648336	2.5061080000000002
Naalad2	2.8020617999999997	2.846745	2.8501787	2.9419785
Psme2	3.6083064	3.6834023	3.7040366999999996	3.4572325
Ccdc149	3.0246627	3.0299292	3.2117142999999997	2.969681
Gm6133	2.0458837	2.0886767	2.2605033	2.1684527
Pmepa1	3.9272559	3.874737	3.9466276	3.9403137999999998
Enpp3	2.4735827	2.5678196	2.7263896	2.1162121
Tbca	3.7341193999999995	3.7617133000000003	3.8436296000000003	3.8570046000000002
Ppdpf	3.657508	3.6408462999999998	3.5577165999999996	3.4579284
Ap1s1	3.4519907999999995	3.49698	3.5077522000000005	3.5038183
Gm42477	0.17817806	0.21229677	-0.14447884	0.2491385
Kifc2	2.4513657	2.5077496	2.7930896	2.681708
5033406O09Rik	-0.28586182	0.45777520000000005	0.5857313	0.47029024
2410018L13Rik	1.4063123	1.6457877	1.7240212	1.7375153
Vrk2	3.0809349999999998	3.0657787	3.2373043999999997	3.1852348
Incenp	2.6771011000000002	2.7216577999999996	2.9456875	2.8988786
Fjx1	3.2635807999999997	3.3183305	3.6244532999999994	3.7069557
Ndufa5	3.8124142	3.8721504	3.8653742999999996	3.8886437000000007
Ehhadh	2.4199305	2.5732074000000003	2.7324474	2.6858032000000005
Msr1	0.3600623	0.40042993	0.23679903	0.45156983
Hist1h3i	1.0405562	1.331715	1.3958753000000002	1.3260769
Pafah1b3	2.4070177000000004	2.3537958	2.5339560000000003	2.4309062999999997
Tex2	3.1526837000000003	3.1967807	3.2771525	3.2634953999999996
Rad18	2.6092079	2.7516453	2.898636	2.8337817000000003
4930517E14Rik	1.5779043	1.6765192999999998	1.8221487	1.7729667000000002
Tnmd	1.4268404	1.6968046	1.642711	1.7806134999999998
Pwp2	2.742559	2.8981297	2.9958162	2.9490492
Thoc1	3.3478373999999995	3.4942480000000002	3.4679102999999993	3.5864654000000002
Ranbp9	3.0980444	3.3257585	3.5892741999999997	3.5676067000000002
Mocs2	3.4869983	3.4841363	3.6289275	3.4850142
Zap70	0.045054857000000004	0.44127062	0.6457841	0.4365948
A930024E05Rik	1.0932872999999999	1.3075595	1.3113754	1.3082399
Dnaaf2	3.0619392000000003	2.992903	3.3124397000000005	3.0641165
Arid5a	3.0227692000000004	3.6886384	3.2613412999999998	3.6958508
Gm13066	0.28426656	-0.111246765	0.20365927	0.36231655
Dut	3.4813563999999997	3.3930108999999997	3.5147827000000005	3.6162207000000004
Srek1ip1	3.4234724	3.5258635999999997	3.5577626	3.3219042
Gcsam	0.1796251	0.21220665	0.26019976	-0.20565003
Itm2b	3.8649108	3.9320862	3.941957	3.9133730000000004
Pdk4	2.9636728999999997	3.1710966	3.127421	3.0028622000000005
Eps8	1.8444467	1.9069183999999997	2.1722255	2.0227466
Gm4651	0.9847889999999999	1.221387	1.249162	1.1897784
Pcdhb7	1.8829709	1.8992740000000001	2.1478287999999996	2.0717912
Atpaf2	3.1236968	3.2052228	3.2360175	3.1981392000000004
Cds2	3.6755521	3.5971366999999996	3.6512597	3.6259315
Slc38a4	1.2074817	1.3936837	1.6472151000000002	1.1452947
Gm21917	1.0708855	1.239732	1.2500696000000002	1.2981631999999999
Tex10	2.983984	3.2796276	3.4080255	3.4056332
Satb2	1.6435800999999999	1.7785095000000002	1.8892633	1.8811868000000003
Nek9	3.5897533999999998	3.614315	3.6850724	3.540482
Exd1	1.5287137	1.677758	1.7788245999999999	1.6851383000000002
9130019P16Rik	2.1063104	2.1045306	2.4495726	2.3978262000000004
Mocos	2.3952491	2.493976	2.6633432	2.5496209
Slc38a5	0.28420836	0.00020772964	0.38714936	0.15295768
A230103J11Rik	0.39076233	0.25440517	0.56016296	0.6216636
Nr2f1	3.0654547	2.817296	3.277814	3.213514
Usb1	2.8475704	2.9365623	3.084819	3.0528252
Clec3b	2.200107	2.7501867	2.9424405	3.1528437
Gm10366	0.48150098	0.8831456	0.82924825	1.0416118
Nup93	3.2495997	3.2636382999999998	3.4203067000000003	3.172057
Zfp990	0.6497991	0.46916709999999995	0.71175206	0.6340796
2410002F23Rik	3.1038577999999997	3.3649056000000006	3.3739602999999994	3.0446357999999996
Fscn1	0.957276	0.7536474	1.0923277	1.134133
Rep15	2.4055972000000003	2.4613497000000004	2.6433666000000002	2.5750808999999997
Gm15738	1.2705768	1.3606478000000002	1.441655	1.0132716
Arl4aos	1.2555476	1.4303281	1.5586897	1.5399724
Asmt	0.17928529	0.21534316	0.25745857	-0.28961529999999996
Fndc1	1.5728662	2.0563245	2.0153148	2.1296089
Cenpx	3.7143278	3.5225922999999995	3.6917784	3.7263682
Mir99ahg	3.4408042	3.4081392	3.4245336	3.410426
Ahsa2	2.728011	2.712086	3.0572529999999998	3.2508826
Trim36	2.7856237999999998	3.012411	3.038865	3.1465585
