gene	log_min	log_max
Tctn2	-13.434407	-9.980528999999999
Afap1l1	-18.603857	-15.14998
Ccnf	-17.069927	-13.616048999999999
Hist1h2bb	-16.004541	-12.550663
Scn9a	-21.001753	-17.547876000000002
Rac2	-18.362696	-14.908818
Cdkn1a	-11.454083	-8.000205000000001
Rab33a	-15.516956	-12.063077999999999
4933408B17Rik	-15.640460999999998	-12.186583
Zdhhc20	-11.699107000000001	-8.245229
Magix	-18.436804000000002	-14.982926
Rbm43	-13.129298	-9.675419999999999
1700047M11Rik	-19.392315	-15.938437
Blvra	-12.300906	-8.847028
Pisd	-13.503437	-10.049559
Clip4	-12.38925	-8.935371
Abat	-12.21438	-8.760502
Camk1d	-14.307191	-10.8533125
Ceacam1	-19.209993	-15.756116
Syngr1	-18.516845999999997	-15.062968
Mbtps2	-13.344942999999999	-9.891065
Gna14	-15.958328	-12.50445
Cox6a1	-9.797815	-6.343937400000001
Eif3j2	-14.06833	-10.614450999999999
Mrps16	-11.176228	-7.7223496
Chchd4	-12.756369	-9.302489999999999
Tcaf1	-11.133375	-7.679497200000001
Gm12031	-18.00602	-14.552142000000002
Pfdn1	-10.479546000000001	-7.0256677
BC048559	-19.903141	-16.449265
Zfp622	-12.285381	-8.831503
Frs3	-14.803273999999998	-11.349396
Runx1	-14.4694195	-11.015541
Prox2os	-17.031462	-13.577582999999999
Ago4	-13.830096	-10.376218
A830008E24Rik	-19.903141	-16.449265
Gpatch2l	-13.140797000000001	-9.686917999999999
Tatdn3	-13.258918	-9.805039
Polr2m	-10.82992	-7.376042
Pik3ap1	-20.308605	-16.854729000000003
Gm46123	-19.392315	-15.938437
Adrb3	-19.209993	-15.756116
Tram1l1	-15.945507999999998	-12.49163
Extl1	-17.288180999999998	-13.834303
Plppr3	-18.603857	-15.14998
Klf6	-9.713435	-6.2595572
Gm16685	-21.001753	-17.547876000000002
4930444A19Rik	-20.308605	-16.854729000000003
Bckdha	-11.950409	-8.496531
Tmsb15b2	-13.261089000000002	-9.807211
Nrn1	-14.511029999999998	-11.057152
Adamts16	-21.001753	-17.547876000000002
Gjd4	-21.001753	-17.547876000000002
Atg9a	-12.675962	-9.222083999999999
Bhlhe41	-12.337866	-8.883987
Lpl	-12.498456	-9.044578
Gm46430	-13.775544	-10.321666
Khdc4	-12.576675	-9.122797
Gm26632	-12.103251	-8.649372999999999
Alms1	-13.303723999999999	-9.849846000000001
Rrp36	-12.852441	-9.398562
Plrg1	-12.832134	-9.378256
Fbxo27	-14.30843	-10.854550999999999
Samd1	-13.149703	-9.695825
Dkkl1	-21.001753	-17.547876000000002
Rnf149	-13.532098999999999	-10.07822
Ache	-16.045925	-12.592048
Rbp4	-9.56546	-6.1115828
Gm33195	-18.436804000000002	-14.982926
Man2a1	-11.880572	-8.426694
Pip4p1	-12.330124	-8.8762455
C330018D20Rik	-14.014263	-10.560385
Gm44956	-18.603857	-15.14998
Ube2w	-11.976297	-8.522419000000001
Anks1b	-17.91071	-14.456832
Dock4	-14.116242999999999	-10.662365
Rln1	-21.001753	-17.547876000000002
Kcnc2	-19.903141	-16.449265
Zfp623	-14.168721	-10.714843
Stub1	-10.547431	-7.093553
Rprd1b	-12.134466999999999	-8.680589
Rassf4	-13.442194	-9.988316000000001
Bcas1	-17.264084	-13.810204999999998
Cox6a2	-21.001753	-17.547876000000002
Odr4	-11.463982000000001	-8.010102999999999
Adcy6	-12.230538000000001	-8.776660000000001
Akr1b10	-13.267632500000001	-9.813754
Gm38563	-18.922311999999998	-15.468434
1810026B05Rik	-11.517044	-8.063166
Vav3	-13.287522000000001	-9.833644
Mcee	-11.416545	-7.962667
Inpp5k	-12.71347	-9.259592
4930467E23Rik	-21.001753	-17.547876000000002
Tchh	-20.308605	-16.854729000000003
2900079G21Rik	-21.001753	-17.547876000000002
Gm8206	-21.001753	-17.547876000000002
Poglut3	-11.556578	-8.102699000000001
Slc35b2	-12.274623	-8.8207445
Mrps10	-12.795169999999999	-9.341291
Coq4	-13.234913	-9.781034
Gm27168	-21.001753	-17.547876000000002
Bmp8a	-19.615458	-16.161580999999998
Shc2	-15.331872	-11.877994000000001
Dedd	-12.859399	-9.40552
Mindy3	-11.822594	-8.368715
Ttc39a	-16.874619	-13.420739999999999
Peak1os	-19.615458	-16.161580999999998
Sh2b1	-12.833267	-9.379389
4831440D22Rik	-17.338192000000003	-13.884314000000002
Arfip2	-12.310439	-8.856561
Gm30082	-16.782246	-13.328367000000002
Coch	-16.319622	-12.865744
Tpo	-18.111382	-14.657504000000001
Omd	-12.394354	-8.940475
Smg8	-13.540688000000001	-10.086808999999999
Plet1	-19.903141	-16.449265
Zc3hc1	-13.0929985	-9.63912
Hmces	-13.25675	-9.802872
Zc3h10	-13.362592000000001	-9.908713
Tcea3	-11.040374	-7.586496
Heatr1	-13.417997	-9.964119
Agpat1	-12.917808	-9.463928999999998
Cdt1	-15.836967000000001	-12.383089
Txndc16	-12.818077	-9.364199000000001
Dcdc2a	-21.001753	-17.547876000000002
Meox2	-15.698448	-12.24457
Oip5	-16.9764	-13.522523000000001
Gm35326	-21.001753	-17.547876000000002
Ubp1	-11.552711500000001	-8.098833
Osbpl8	-12.362343	-8.908464
Hcrtr1	-18.436804000000002	-14.982926
Derl2	-11.987428	-8.533549
Amhr2	-17.866259	-14.412381
Klra2	-18.922311999999998	-15.468434
Gm42696	-17.338192000000003	-13.884314000000002
Sppl2b	-13.206517999999999	-9.75264
Tg	-15.472323999999999	-12.018446
Pfn1	-8.751013	-5.297135400000001
Disp1	-14.351474	-10.897594999999999
Nfib	-9.4730625	-6.0191846
Pyroxd2	-17.364166	-13.910289
Gm5617	-12.724086999999999	-9.270208
Mdm1	-15.274904999999999	-11.821027
Mfsd14a	-12.089549	-8.635671
Gm2895	-19.903141	-16.449265
Ccdc169	-17.050507999999997	-13.596631
Lpin2	-13.671349	-10.21747
Ifi204	-17.866259	-14.412381
Pidd1	-16.941309	-13.487432
Fut4	-16.890879	-13.437001
Polr2c	-10.919576	-7.465698
Sirt5	-13.253725	-9.799847
Atf7ip2	-18.922311999999998	-15.468434
Pcdhga10	-14.532503	-11.078625
4930595D18Rik	-21.001753	-17.547876000000002
Gm39244	-20.308605	-16.854729000000003
Hoxb4	-12.621526	-9.167647
Pla2g4e	-16.004541	-12.550663
Gpt	-15.30131	-11.847431
Gm13920	-18.516845999999997	-15.062968
Ltb4r2	-17.634457	-14.180579000000002
Peg10	-15.110109	-11.656231
Iscu	-10.248564	-6.7946860000000004
Ctsf	-11.523831	-8.069953
Prrx1	-10.867272999999999	-7.4133954
Zswim7	-13.165382999999999	-9.711505
Trpv4	-18.111382	-14.657504000000001
1810058I24Rik	-10.717025	-7.263147
Gm14305	-13.535525	-10.081647
Cd5	-16.547404999999998	-13.093528
Phgdh	-12.752178	-9.2983
Mon2	-11.712417	-8.258538
1700003M07Rik	-20.308605	-16.854729000000003
Gm13822	-21.001753	-17.547876000000002
Rad9b	-15.152429000000001	-11.69855
Wfdc3	-17.446405	-13.992526999999999
Cln6	-13.765414000000002	-10.311536
Rela	-11.679246000000001	-8.225368
Gm38410	-21.001753	-17.547876000000002
Ube3a	-10.585832	-7.1319536999999995
Aldh9a1	-13.025501	-9.571622999999999
Gm34866	-18.362696	-14.908818
Cfap300	-16.547404999999998	-13.093528
Slc25a19	-12.890426	-9.436547000000001
Mmp21	-21.001753	-17.547876000000002
Zfp992	-13.482603	-10.028725
Cenps	-16.096478	-12.6426
3110070M22Rik	-14.200470000000001	-10.746592
Erbb4	-13.445848000000002	-9.99197
Smarcc2	-11.465207000000001	-8.011329
S100a2	-17.446405	-13.992526999999999
Them6	-14.670252	-11.216372999999999
Jade3	-15.064217999999999	-11.610339
Naalad2	-14.10203	-10.648150999999999
Psme2	-11.296046	-7.842168300000001
Ccdc149	-13.618385	-10.164507
Gm6133	-15.576803	-12.122925
Pmepa1	-8.673719	-5.219842
Enpp3	-14.621630999999999	-11.167752
Tbca	-10.311900999999999	-6.858022999999999
Ppdpf	-11.528126	-8.074247
Ap1s1	-11.88298	-8.429102
Gm42477	-21.001753	-17.547876000000002
Kifc2	-14.691835000000001	-11.237957000000002
5033406O09Rik	-19.615458	-16.161580999999998
2410018L13Rik	-16.684265	-13.230387
Vrk2	-13.397855999999999	-9.943977
Incenp	-14.265973	-10.812095
Fjx1	-11.714174	-8.260296
Ndufa5	-10.032573	-6.578695
Ehhadh	-14.675604000000002	-11.221725
Msr1	-19.903141	-16.449265
Hist1h3i	-17.446405	-13.992526999999999
Pafah1b3	-14.830051999999998	-11.376174
Tex2	-13.098896	-9.645017999999999
Rad18	-14.357964	-10.904085
4930517E14Rik	-16.37678	-12.922902
Tnmd	-16.458458	-13.0045805
Pwp2	-14.075176	-10.621298
Thoc1	-12.017686999999999	-8.563808
Ranbp9	-12.107083	-8.653205
Mocs2	-11.872297	-8.418419
Zap70	-19.615458	-16.161580999999998
A930024E05Rik	-17.288180999999998	-13.834303
Dnaaf2	-13.375182999999998	-9.921305
Arid5a	-11.501883	-8.048003999999999
Gm13066	-20.308605	-16.854729000000003
Dut	-11.83286	-8.378982
Srek1ip1	-11.999914	-8.546036
Gcsam	-21.001753	-17.547876000000002
Itm2b	-8.813575	-5.359697
Pdk4	-13.378112	-9.924233000000001
Eps8	-15.854258999999999	-12.40038
Gm4651	-17.634457	-14.180579000000002
Pcdhb7	-15.842698	-12.388819999999999
Atpaf2	-13.278633	-9.824755
Cds2	-11.213845	-7.7599673
Slc38a4	-16.84287	-13.388992000000002
Gm21917	-17.418233999999998	-13.964356
Tex10	-12.843523	-9.389645
Satb2	-16.292223	-12.838345
Nek9	-11.373624000000001	-7.919746000000001
Exd1	-16.437405	-12.983527
9130019P16Rik	-15.268413	-11.814534
Mocos	-14.866188000000001	-11.41231
Slc38a5	-20.308605	-16.854729000000003
A230103J11Rik	-19.392315	-15.938437
Nr2f1	-13.450041	-9.996162
Usb1	-13.904204	-10.450325999999999
Clec3b	-13.620873999999999	-10.166996000000001
Gm10366	-18.229164	-14.775286999999999
Nup93	-12.903414999999999	-9.449536
Zfp990	-19.209993	-15.756116
2410002F23Rik	-12.942793	-9.4889145
Fscn1	-18.00602	-14.552142000000002
Rep15	-14.892506	-11.438627
