gene	bin_0	bin_1	bin_2	bin_3
Gap43	0.5487334	0.023705255	0.49945748	0.41993454
Hdlbp	3.6892672	3.479142	3.6303709	3.6172001
Cox20	3.5341008	3.4762728	3.5346649	3.327276
Tmem205	3.3998218	3.3779876	3.5319128	3.0598402
Ift122	2.8240707	2.697397	2.8294442	2.6837394
Serpina3g	0.2708444	0.19616497	-0.25458416	0.19955201
Fam13c	3.5358477	3.2709491	3.6042182	3.5258176
Eid1	3.6717265	3.6244464	3.6017807	3.379369
Malt1	2.947306	2.741196	3.088313	2.9858599
Iqgap1	3.688293	3.658777	3.3439965	3.5656416
Gm44946	0.5375457	0.323116	0.5387806	0.46365872
Pard6b	0.4614429	0.37504405	-0.123832926	0.33417746
Gm46633	-0.5478176	0.36825737	0.42434758	0.36876693
Hnrnpll	3.2530823	2.82488	3.3009706	3.06555
Hk3	0.3805784	-0.21648566	0.1475582	0.30106443
Helb	2.8684604	2.615448	2.8070257	2.6968672
Ccdc152	2.5420432	2.5467412	2.6840441	2.549675
Got1	2.8387275	2.6262136	2.654043	2.3609881
Vmn1r90	0.89432687	0.6493289	0.6208015	0.5872779
Phkg1	3.16678	3.2301207	3.334912	3.0624976
Ankrd10	3.2856793	3.311367	3.4334269	3.3733912
Mcmdc2	1.2865523	1.2447	1.4459589	1.2278199
Serpinb6b	3.4965227	3.0434082	3.342016	2.6360583
E330020D12Rik	0.15357198	0.1984317	0.23477392	0.19805199
Msmp	0.88134027	0.79486	0.4765041	0.53578335
Rmrp	1.9086677	2.6937945	2.0129104	2.7594924
Xlr4a	0.6007168	0.7757384	0.9574026	-0.51280904
Wdr13	3.2604024	3.0199764	3.1676855	3.0526803
Sord	3.0287693	3.2173347	3.3085332	3.299373
Gm42699	1.3999779	1.2463149	1.2432585	1.245253
Pawr	3.4074504	3.6029656	3.5378501	3.4715347
Fgf2os	1.8897861	1.347676	1.6893991	1.651388
Dmd	3.740744	3.721687	3.733084	3.718591
Tsga10	3.0418854	3.0370278	3.043133	3.02989
Rerg	0.95101523	0.7635746	0.93419147	0.8947849
Nthl1	3.0602305	3.041946	3.1890252	2.8460937
Rarres1	2.7517166	2.5950465	1.860662	2.2413604
Rbm44	2.5178661	2.1392934	2.146839	2.1194892
Pcnx3	3.1861954	2.9867435	2.9788084	2.8697002
Trappc4	3.5573153	3.4297554	3.272823	3.0101836
Gm34829	1.887101	1.594393	1.7148582	0.9809864
Olfr172	1.139376	0.77710795	1.2508574	1.146968
Mtcp1	2.6367593	2.3854516	2.5215843	2.3914237
Rrp9	2.9695988	3.0443068	3.1275954	2.9571989
Tert	0.9227799	0.9978845	0.99486804	0.6063795
Kat14	2.9909456	2.7716393	2.8343654	2.7795029
Col6a2	3.7039769	3.3827083	3.5681758	3.5771458
4930483P17Rik	0.97606367	0.72054166	0.6909395	0.7377465
Sars	3.4219809	3.3379858	3.472387	3.4127812
Tsc22d3	3.1521864	3.0935047	3.0509925	2.7432277
Chd8	3.3479517	3.2156682	3.4677136	3.1388965
Gm17399	0.3482487	0.4259734	0.26596713	0.39120746
Map3k19	1.4044548	1.1503165	1.1517799	1.2627056
Cep104	3.143364	2.90524	3.1329367	2.9159708
Dbt	2.9871292	3.282717	3.1618807	3.2677112
Chchd5	3.118451	3.0513313	3.1018143	2.840335
4930581F22Rik	2.712246	2.5530233	2.67327	2.5941174
Sox5it	0.42383462	0.31737113	0.5670186	0.25480992
Ric8b	3.032372	2.9070652	2.9706233	2.9132974
