gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Gap43	0.17	0.43	0.17	0.64	1.0	-58.831226	-59.52825	-58.5337	-59.785816	1.0	0.4145731	-17.278328768023638	2.9892571073534886	0.00035758984444841767	4
Hdlbp	0.33	0.18	0.18	0.49	1.0	-21613.303	-21483.746	-21603.984	-21523.754	0.0	-38.89056	-8.54495173646357	4.517507847015633	0.8440908278204899	9442
Cox20	0.26	0.33	0.26	0.64	1.0	-16653.473	-16489.021	-16608.178	-16515.752	0.0	-59.81134	-9.209573216307122	2.5228823387316384	0.698641158591096	7815
Tmem205	0.34	0.35	0.34	0.57	1.0	-12942.936	-12817.188	-12897.885	-12883.455	0.0	-25.832039	-9.83763095017026	3.8612865258406677	0.522259967816914	5842
Ift122	0.4599999999999999	0.42	0.42	0.56	1.0	-3542.8093	-3527.388	-3542.5005	-3528.8267	0.0	-6.0725946	-11.920767345431369	5.353796096942608	0.0891292687287681	997
Serpina3g	0.48	0.37	0.37	0.69	0.93	-11.18291	-10.579501	-11.226413	-10.610298	0.0	-0.24868214	-18.998113255894708	4.892294612625525	8.939746111210442e-05	1
Fam13c	0.04	0.03	0.03	0.85	0.45	-17987.277	-18128.7	-17699.256	-18401.322	1.0	179.81743	-9.136109128168139	5.583516143469651	0.7004291078133381	7835
Eid1	0.0699999999999999	0.23	0.0699999999999999	0.71	0.87	-21671.52	-21641.066	-21593.557	-21726.092	0.0	23.700434	-8.514705205685718	0.6526295738641261	0.874128374754157	9778
Malt1	0.2199999999999999	0.0899999999999999	0.0899999999999999	0.6	1.0	-7412.258	-7406.794	-7425.8057	-7429.8564	0.0	7.642989	-10.87259600043771	5.182983673041651	0.20311103164670125	2272
Iqgap1	0.4	0.31	0.31	0.33	1.0	-23718.488	-23262.934	-23648.438	-23213.324	0.0	-219.38997	-8.374406055177426	4.52588275983439	0.8582156266762024	9600
