gene	bin_0	bin_1	bin_2	bin_3
Gap43	-0.16587907	0.33698404	0.33366147	-0.2880153
Hdlbp	3.657233	3.6679595	3.7691195	3.639911
Cox20	3.5861454	3.5478907	3.5805924	3.1035986
Tmem205	3.4530005	2.7336104	3.5321627	3.5379636
Ift122	2.7097583	2.6547682	2.9162924	2.8030193
Fam13c	3.7579155	3.6235914	2.688991	3.6703756
Eid1	3.7251086	3.6956232	3.5001826	3.7243633
Malt1	3.0095642	2.7656615	3.3340733	3.3268929
Iqgap1	3.5379767	3.734394	3.7402568	3.75749
Gm44946	0.9306365	1.1704428	0.91850495	0.37008968
Pard6b	-0.099507	0.5707945	-0.19769539	-0.1625985
Gm46633	-0.03426546	-0.051749982	-0.08004963	0.4973769
Hnrnpll	3.1645048	2.9430952	3.2138314	3.4084783
Hk3	0.48786217	-0.20417346	0.6852301	-0.2850171
Helb	2.59035	2.6943805	3.0910892	2.835167
Ccdc152	0.98166394	1.815607	2.5220935	2.2121363
Got1	2.291824	2.7358341	2.7622004	2.829538
Vmn1r90	0.6338242	0.1262724	0.05469905	0.7123161
Phkg1	3.3282151	3.470308	3.1910613	3.098243
Ankrd10	3.2245605	3.342777	3.3385434	3.3454695
Mcmdc2	1.2530532	1.1426661	1.5874578	0.3710868
Serpinb6b	3.6162517	2.810592	3.4098735	3.3702948
Msmp	0.006170286	-0.89850175	1.0186143	0.9455249
Rmrp	1.9039121	1.5829122	1.9462454	1.6287404
Xlr4a	0.7983044	1.1284448	0.501907	0.31482738
Wdr13	2.99597	3.0597959	3.3131263	3.1804993
Sord	2.8693664	3.0256171	3.4248095	3.3963606
Gm42699	0.7712708	1.346502	1.7020621	1.3171821
Pawr	3.782356	3.7734637	2.9913538	3.4882078
Fgf2os	1.42522	1.5568732	1.925019	1.4627042
Dmd	3.7455733	3.7583628	3.805995	3.7408957
Tsga10	3.05144	3.2055428	3.1190832	2.8631775
Rerg	-0.43865845	-0.5419059	0.5691449	0.6599749
Nthl1	2.9870539	2.6195624	3.104133	3.3062901
Rarres1	2.3057282	2.576329	2.614404	2.777985
Rbm44	2.122956	1.5836016	0.44528028	1.310926
Pcnx3	2.6904018	3.1296794	3.1517332	2.9112542
Trappc4	3.4259756	3.2269216	3.086372	3.4628105
Gm34829	-1.2625018	1.3073235	1.3343519	0.2860567
Olfr172	-0.37410027	0.5009231	0.040935915	0.67689365
Mtcp1	2.3941143	2.233466	2.4863358	2.548629
Rrp9	2.3561528	2.7902026	3.4552941	2.7549038
Tert	0.9241296	0.9449666	0.66652226	0.52887815
Kat14	2.8333268	2.590288	3.0541818	2.9818287
Col6a2	3.4035423	3.7983873	3.7912126	3.2141817
4930483P17Rik	-0.04345839	0.22097845	-0.093579374	-0.061997775
Sars	2.923525	3.212438	3.5442445	3.5164576
Tsc22d3	2.0642626	-0.60116285	3.395658	3.5254343
Chd8	3.188878	3.3692153	3.6120753	3.3367224
Map3k19	-0.041758426	1.4739391	1.3686882	0.9710717
Cep104	2.7019942	3.0326655	3.158625	3.2824144
Dbt	3.2671595	2.7812502	3.4196897	3.443895
Chchd5	2.79442	2.8009372	3.0686061	3.1824615
4930581F22Rik	2.556059	2.7008302	2.657167	2.515735
Sox5it	0.31369224	0.27315855	-0.19740176	-0.17043391
Ric8b	2.678883	2.9688396	3.1235871	3.2523632
Orc2	2.759536	3.0522344	3.2978792	3.2620697
Zfp385b	2.711888	2.3689632	3.0329444	2.9537938
Hist1h2bh	1.2852322	0.67605484	1.2732818	1.4078553
Gm42868	-0.036571883	-0.05814924	0.25650197	-0.07757353
Ppp4r1	2.8739507	2.9392798	3.199276	3.0499656
1700047M11Rik	0.63622814	-0.30264702	-0.44150704	-0.39664623
Dazap1	3.0953076	3.3647723	3.4161103	3.3353238
Gm47767	2.3339276	2.5148313	2.703065	2.568399
C1galt1	2.9081297	2.9429832	3.6936839	3.4959297
Gm11808	2.7553995	3.2151387	3.2608442	3.1730964
Racgap1	1.7175385	0.22318667	1.7278711	1.2804421
Ska1	0.46923938	-0.3924357	0.7358488	-0.49413738
Aktip	3.4278667	3.313052	3.245157	3.5162544
Dact1	2.6830971	2.9885747	2.3598797	2.9998956
Gm50336	-0.7266696	-0.09061971	0.9604842	0.7071431
Pik3r1	3.6919115	3.186998	3.3113637	3.6203392
CT868723.1	0.59944326	-0.4615198	0.57820433	0.18846075
Abhd6	2.9754348	2.8287408	2.6480618	3.0338678
Zfp993	1.7062606	1.869233	1.6519227	1.9231434
Tnpo1	3.2580154	3.234524	3.475928	3.3523672
Pigo	2.2187345	2.1195748	2.0182827	2.2381842
Csrnp2	1.1265291	2.2331874	2.3774486	2.1909778
Marc2	3.3318715	3.4402354	3.602132	3.6305757
Nedd9	3.0880928	3.1172109	3.5521939	3.640195
Dhrs9	-1.4817367	-0.23163924	2.7779422	2.1987462
Art3	3.6608787	2.8501873	3.014922	3.376137
Rab5b	3.290993	3.2865877	3.5184886	3.5190938
S1pr5	0.32973462	0.4574129	-0.43802127	0.37297934
Klhl15	2.5686486	2.5902236	2.8520632	2.7899756
Pros1	2.9771311	3.3162274	3.1813624	3.5449195
Nat2	2.1564584	2.3600368	2.5859084	2.201791
3010003L21Rik	1.1038754	1.7006743	1.9559058	1.7401364
Gm29237	0.23419043	0.49275136	0.5188406	0.6695216
Gm17191	0.56343806	-0.2956801	0.5056913	-0.4011468
Mrpl53	3.4814603	3.2533572	3.4319842	3.5097506
Wdr59	2.5154717	2.5254226	2.5240505	2.703042
Gm19792	0.09034172	0.3010419	0.60497886	-0.61028546
Gm21269	0.9766403	0.32842696	0.36963555	1.0613928
0610025J13Rik	-0.23045474	0.62092257	0.16401939	0.07259827
Cldn19	0.44825688	-0.04856706	-0.08933649	-0.06609792
F2rl1	0.31426808	1.1096317	1.1970307	0.58031535
Cdo1	2.1292849	2.1501706	3.8644419	3.7491455
Fam25c	2.234547	2.091362	2.5951915	2.3636541
Gm20743	0.34733444	-0.38615772	0.71440256	0.0044699106
Mamstr	2.2446969	2.6771567	2.967143	2.1767285
Lrrn2	1.1502199	0.17066072	-1.0778717	1.2346947
Slc38a10	3.214987	3.3544128	3.2357347	3.4398637
Ankk1	-0.10297534	0.49211994	-0.19597806	0.20147745
Serpinb2	0.49390787	-0.20194408	-0.33394194	-0.2840451
Gm37637	0.95544225	0.76511925	0.7172009	0.9248252
Gm33195	-0.2325098	0.27571458	0.62868834	0.39452255
Gm33280	0.7769789	-0.7351439	0.015749393	0.808292
Skil	3.5883377	3.3213215	3.484058	3.5447683
Ttc25	0.9694672	0.8862762	1.2307328	0.42303106
Fnbp1l	2.916372	2.9799564	2.8873546	3.282238
Cntd1	1.2355156	0.9488722	1.2853084	1.5201216
Zdhhc20	3.2954195	3.6494372	3.305555	3.179461
Gm15706	1.883121	2.0804875	2.3254676	2.0903454
Sdf2l1	3.1031687	2.682757	1.5249739	2.7656567
Gm49970	1.3292456	1.8954729	1.5466288	1.4486871
Yif1b	3.4546177	3.6135023	3.4261272	3.1127381
Ecsit	2.4830766	3.0379422	3.3941514	3.2089505
Gm11008	0.26777682	0.8630754	-0.14842452	0.73783463
Taf6l	2.3002777	2.024001	2.6304662	2.6343167
Slc35f6	2.5643911	2.8415828	3.0806284	2.9049842
Rp9	3.4490778	3.6172323	3.503317	3.5177896
Znhit1	3.3916268	3.270951	3.4171042	3.426608
Smo	3.258573	3.292645	3.2785165	3.3604848
Haus4	1.6885077	2.4011648	2.5832908	2.2889006
Tyw1	2.980353	2.9320724	3.1653125	2.9424062
Ogg1	2.0443578	2.8113198	2.886091	2.7155952
Cep97	2.8388178	2.6536021	2.9606242	3.0633223
Ccnd3	3.4392064	3.5808945	3.4911547	3.3488355
Ddx21	2.7599049	3.1597996	3.601942	3.2628415
Gm44190	1.6291327	1.0964323	1.2672856	1.3079772
Usp45	2.9127676	3.0588398	3.2582061	3.2759387
