gene	log_min	log_max
Gap43	-19.16721	-15.713332
Hdlbp	-10.085992	-6.632114
Cox20	-11.139516	-7.685638
Tmem205	-11.611828	-8.157949
Ift122	-13.484765	-10.030887
Fam13c	-10.600211	-7.146333
Eid1	-10.22549	-6.7716117
Malt1	-12.331308	-8.87743
Iqgap1	-9.854073	-6.4001946
Gm44946	-17.321383	-13.867505
Pard6b	-19.572674	-16.118797
Gm46633	-20.265821	-16.811945
Hnrnpll	-12.31779	-8.863912
Hk3	-19.16721	-15.713332
Helb	-13.345151	-9.891273
Ccdc152	-14.728488	-11.27461
Got1	-13.726236	-10.272358
Vmn1r90	-18.18638	-14.732503
Phkg1	-11.983339	-8.529461
Ankrd10	-11.680596	-8.226718
Mcmdc2	-16.415674	-12.961797
Serpinb6b	-11.544057	-8.0901785
Msmp	-17.867926	-14.414048
Rmrp	-15.317062	-11.863184
Xlr4a	-17.321383	-13.867505
Wdr13	-12.378989	-8.925111
Sord	-12.1354685	-8.68159
Gm42699	-16.171476	-12.717599
Pawr	-10.522269	-7.0683913
Fgf2os	-15.680855	-12.226976
Dmd	-9.149947	-5.6960697
Tsga10	-12.620424	-9.166546
Rerg	-18.319912	-14.8660345
Nthl1	-12.828616	-9.374738
Rarres1	-13.858942	-10.405064
Rbm44	-15.529624	-12.075746
Pcnx3	-12.870101	-9.416223
Trappc4	-11.691304	-8.237426
Gm34829	-17.17478	-13.7209015
Olfr172	-18.474062	-15.0201845
Mtcp1	-14.220817	-10.766938
Rrp9	-12.809368	-9.35549
Tert	-17.321383	-13.867505
Kat14	-13.233198	-9.77932
Col6a2	-10.132295	-6.6784167
4930483P17Rik	-20.265821	-16.811945
Sars	-11.413444	-7.9595656
Tsc22d3	-12.765845	-9.311967
Chd8	-11.458949	-8.005071
Map3k19	-16.628235	-13.174357
Cep104	-12.560109	-9.106231
Dbt	-12.077689	-8.623811
Chchd5	-12.968731	-9.514853
4930581F22Rik	-13.855647	-10.401769
Sox5it	-19.572674	-16.118797
Ric8b	-12.874407	-9.420528
Orc2	-12.497712	-9.043834
Zfp385b	-13.393694	-9.9398155
Hist1h2bh	-16.504622	-13.050744
Gm42868	-20.265821	-16.811945
Ppp4r1	-12.854871	-9.400992
1700047M11Rik	-18.879526	-15.425649
Dazap1	-11.817336	-8.363458
Gm47767	-14.011993	-10.558115
C1galt1	-11.530619	-8.07674
Gm11808	-12.481349	-9.027471
Racgap1	-15.922017	-12.468139
Ska1	-18.656384	-15.202506
Aktip	-11.53239	-8.078511
Dact1	-13.405159	-9.951281
Gm50336	-17.867926	-14.414048
Pik3r1	-11.067656	-7.6137776
CT868723.1	-18.474062	-15.0201845
Abhd6	-13.195098	-9.7412195
Zfp993	-15.331348	-11.87747
Tnpo1	-11.654957	-8.201078
Pigo	-14.641805	-11.187926
Csrnp2	-14.776885	-11.323007
Marc2	-10.959718	-7.50584
Nedd9	-11.299976	-7.8460984
Dhrs9	-14.678574	-11.224695
Art3	-11.518947	-8.065068
Rab5b	-11.471452	-8.017573
S1pr5	-18.879526	-15.425649
Klhl15	-13.681031	-10.227153
Pros1	-11.858891	-8.405012
Nat2	-14.346929	-10.89305
3010003L21Rik	-15.453638	-11.99976
Gm29237	-17.780914	-14.327037
Gm17191	-18.879526	-15.425649
Mrpl53	-11.240247	-7.786369
Wdr59	-13.93432	-10.480442
Gm19792	-18.474062	-15.0201845
Gm21269	-17.321383	-13.867505
0610025J13Rik	-18.879526	-15.425649
Cldn19	-20.265821	-16.811945
F2rl1	-17.087769	-13.63389
Cdo1	-10.690908	-7.2370305
Fam25c	-14.3825	-10.928621
Gm20743	-18.656384	-15.202506
Mamstr	-13.826472	-10.372594
Lrrn2	-17.37545	-13.921572
Slc38a10	-11.819266	-8.365388
Ankk1	-19.572674	-16.118797
Serpinb2	-19.16721	-15.713332
Gm37637	-17.2213	-13.767422
Gm33195	-18.879526	-15.425649
Gm33280	-18.068596	-14.614718
Skil	-11.013668	-7.55979
Ttc25	-17.17478	-13.7209015
Fnbp1l	-12.708872	-9.254993
Cntd1	-16.333996	-12.880118
Zdhhc20	-11.534647	-8.080769
Gm15706	-14.8019905	-11.348112
Sdf2l1	-13.422072	-9.968194
Gm49970	-15.909114	-12.4552355
Yif1b	-11.4385	-7.9846225
Ecsit	-12.457906	-9.004027
Gm11008	-18.068596	-14.614718
Taf6l	-14.154355	-10.700477
Slc35f6	-13.234964	-9.781086
Rp9	-10.899333	-7.445455
Znhit1	-11.559994	-8.106115
Smo	-11.905049	-8.451171
Haus4	-14.365925	-10.912046
Tyw1	-12.903177	-9.449299
Ogg1	-13.69494	-10.241061
Cep97	-13.263666	-9.809788
Ccnd3	-11.226033	-7.7721553
Ddx21	-11.810291	-8.356413
Gm44190	-16.171476	-12.717599
Usp45	-12.418059	-8.964181
Bcl7b	-11.321141	-7.8672633
Dtl	-15.835006	-12.381127
Scn7a	-16.710474	-13.256596
Polr3b	-13.914937	-10.461059
Rnf187	-10.478532	-7.024654
Gfra1	-17.37545	-13.921572
Gm5084	-19.16721	-15.713332
Ttll7	-10.809794	-7.3559165
Zfp114	-14.744361	-11.2904825
Zfp7	-14.609831	-11.155952
Impa1	-11.257843	-7.803965
Zfp740	-12.432222	-8.978344
Tpbg	-15.835006	-12.381127
Rrp8	-12.074359	-8.620481
Trappc5	-11.992741	-8.538862
Rtel1	-14.134596	-10.680717
Plin2	-12.219593	-8.765715
Smagp	-16.710474	-13.256596
Tfdp1	-12.86398	-9.410102
Rdh5	-13.080435	-9.626556
Nacad	-12.498981	-9.045103
Procr	-18.068596	-14.614718
Zfyve21	-11.464654	-8.010776
Krt79	-16.55225	-13.0983715
Irx3os	-18.879526	-15.425649
Gm48242	-18.656384	-15.202506
Mrps14	-10.674515	-7.220637
Mrps6	-11.873965	-8.420087
Gm20463	-17.963236	-14.509358
Shkbp1	-13.531231	-10.077353
Mapk12	-14.2570095	-10.803131
Calhm4	-20.265821	-16.811945
Ppp4r4	-15.922017	-12.468139
Hivep2	-11.657692	-8.203814
2410022M11Rik	-13.6921425	-10.238264
Usp43	-18.656384	-15.202506
Sorbs1	-11.352945	-7.8990674
Lrrc7	-15.565342	-12.111464
3110006O06Rik	-17.867926	-14.414048
C9orf72	-13.279256	-9.825377
Mast2	-12.197733	-8.7438545
Hist1h4c	-14.578847	-11.124969
Vps35	-10.94126	-7.4873824
Prdx1	-9.449731	-5.995853
Wasf1	-15.0240755	-11.570197
Trmt44	-13.6325035	-10.178625
Gm26682	-16.43718	-12.983302
Adap2	-18.319912	-14.8660345
Naip2	-20.265821	-16.811945
Paqr6	-12.504503	-9.050625
Plec	-10.623895	-7.170017
Chtop	-11.462399	-8.00852
Hcar1	-16.969984	-13.516107
Lrrc61	-14.562039	-11.108161
Btbd3	-13.030203	-9.576324
Tyms	-13.441448	-9.98757
Rbpms2	-10.79381	-7.339932
Hoxc10	-14.845287	-11.391409
Cyp1b1	-12.728925	-9.275046
Pcgf5	-10.7706785	-7.3168006
Gm10432	-15.296009	-11.842131
A630072M18Rik	-13.977963	-10.524085
Gm31462	-17.626764	-14.172887
Trim32	-12.870715	-9.416837
Zfp607a	-14.128096	-10.674217
Sla2	-18.18638	-14.732503
Insyn2a	-18.319912	-14.8660345
Atg4b	-12.456687	-9.002809
Gm49886	-17.007725	-13.553847
Mkrn2os	-17.867926	-14.414048
Polr3h	-12.95862	-9.504742
Psmc3	-10.400452	-6.9465737
Zfp873	-14.2570095	-10.803131
Fanca	-18.879526	-15.425649
Alas2	-16.800085	-13.346208
Irf2bp1	-12.294392	-8.840513
Rhbdd1	-13.086514	-9.632636
Ibtk	-12.303407	-8.849528
Clca3a1	-18.474062	-15.0201845
5330438D12Rik	-14.390891	-10.937013
Camta1	-11.260295	-7.806417
Tmem259	-11.5608225	-8.106944
Ddx51	-13.804354	-10.350475
Entr1	-12.556963	-9.103085
Gm35065	-18.879526	-15.425649
Adgrb1	-17.046946	-13.593068
Gm43387	-16.031715	-12.577837
Ackr2	-19.572674	-16.118797
Ankrd13a	-12.49307	-9.039191
Ppp2r5a	-10.906286	-7.4524083
Plcxd3	-17.432608	-13.97873
Lix1	-15.190648	-11.73677
Zfp280c	-13.651096	-10.197218
1190005I06Rik	-10.090897	-6.6370187
Pdcd7	-12.04139	-8.587512
1700088E04Rik	-15.013549	-11.55967
Tceal9	-10.180763	-6.7268853
Atg4a	-13.298855	-9.844976
Skint8	-19.16721	-15.713332
Fam78b	-13.284817	-9.830938
Klrg2	-15.390625	-11.936747
Cyb5d1	-14.724559	-11.27068
Tecpr1	-12.374492	-8.920613
Usp13	-12.800167	-9.346289
Hist1h3a	-17.046946	-13.593068
Gm26739	-17.867926	-14.414048
Gm42504	-18.656384	-15.202506
Ivd	-11.968777	-8.514898
Dhx57	-12.817489	-9.36361
Atp1b1	-13.006706	-9.552828
Gm6787	-17.626764	-14.172887
Edem1	-12.302711	-8.848832
Zdbf2	-15.733223	-12.279345
Fhl4	-16.831835	-13.377956
Pex11a	-14.708994	-11.2551155
Snhg5	-13.008115	-9.554236
Swap70	-12.042731	-8.588853
Med31	-11.801608	-8.34773
Hvcn1	-20.265821	-16.811945
Mtss2	-12.1390085	-8.68513
Bfar	-11.580069	-8.12619
Loxl3	-12.251156	-8.797277
Gm31812	-17.321383	-13.867505
Hist1h1a	-16.333996	-12.880118
Gm30556	-16.528152	-13.074274
Scfd2	-14.013918	-10.5600395
Gemin6	-13.565091	-10.111213
Rnf220	-12.058147	-8.604269
Yme1l1	-11.265956	-7.812078
Cog4	-12.412217	-8.958339
Zfp551	-14.6674	-11.213522
Tsn	-10.6235695	-7.1696916
Mto1	-13.218305	-9.764426
Parn	-12.438183	-8.984304
Ccser1	-18.656384	-15.202506
Ski	-10.608747	-7.1548686
Itgbl1	-10.438946	-6.985068
Gm42903	-19.572674	-16.118797
Slc33a1	-12.571429	-9.117551
Gnl2	-12.239326	-8.785447
March8	-12.170223	-8.716345
Akna	-14.781025	-11.327147
Stx5a	-11.758275	-8.304397
Ttc39c	-13.8789425	-10.425064
Dnph1	-16.933617	-13.479739
Myoz2	-11.64987	-8.1959915
Topors	-11.597111	-8.143232
Creb3	-11.63852	-8.184642
Cebpa	-16.933617	-13.479739
Irgm1	-13.740792	-10.286914
Dock5	-12.7747345	-9.320856
Gm42743	-18.474062	-15.0201845
Pla2g4a	-11.242655	-7.788777
Wapl	-10.942511	-7.4886327
Gm4221	-16.24047	-12.7865925
Gm42681	-19.572674	-16.118797
Aarsd1	-11.464353	-8.010474
Ippk	-13.533611	-10.079733
Btg2	-9.124047	-5.6701694
Ammecr1l	-12.65398	-9.200102
Gm37885	-16.333996	-12.880118
Slc2a12	-14.942812	-11.488934
Plpp2	-13.08271	-9.628832
Fam160a2	-12.735342	-9.281464
Pigz	-15.948334	-12.494455
Phc1	-13.01306	-9.559181
Zfyve1	-13.465652	-10.011774
Gm9796	-18.656384	-15.202506
Ctrl	-18.879526	-15.425649
Kdm4b	-13.209647	-9.755769
2900026A02Rik	-10.868007	-7.414129
Kdm4c	-12.469353	-9.015474
Ass1	-15.989156	-12.535277
Kif18a	-14.8951845	-11.441306
Mpv17l	-12.364075	-8.910196
Samm50	-11.257965	-7.804087
Ythdf3	-11.803296	-8.349418
Cd276	-13.407257	-9.953379
Skp1a	-10.494952	-7.0410743
Ilf3	-12.146423	-8.692545
Aifm2	-13.396808	-9.942929
Sh3bp5	-16.188284	-12.734406
Gm38405	-19.572674	-16.118797
Sbk1	-14.365925	-10.912046
H6pd	-13.032367	-9.578488
Cradd	-12.960634	-9.506756
Mindy4	-14.227951	-10.774073
Ago1	-12.164448	-8.710569
Fam161b	-14.535723	-11.081844
Vps26b	-12.750478	-9.296599
Homer2	-15.701474	-12.247596
Eif2b2	-12.475954	-9.022076
Mall	-16.933617	-13.479739
Sbno1	-11.068466	-7.6145883
Tceanc	-14.469765	-11.015886
Foxq1	-15.989156	-12.535277
Akap8l	-11.959597	-8.505718
Acss3	-17.046946	-13.593068
Zfp729a	-13.148617	-9.694738
Gm27028	-17.780914	-14.327037
Ldhb	-10.426447	-6.972569
Ppih	-13.337284	-9.883406
Slc37a2	-15.367983	-11.914104
4933427E11Rik	-20.265821	-16.811945
D3Ertd751e	-13.4859	-10.0320215
Gm44698	-18.319912	-14.8660345
Pias3	-12.53961	-9.0857315
Zfp773	-16.258488	-12.80461
Tmem159	-12.243254	-8.789375
A730020E08Rik	-19.16721	-15.713332
Cd6	-18.18638	-14.732503
Gm43112	-17.087769	-13.63389
Cd7	-20.265821	-16.811945
Gm44148	-17.963236	-14.509358
Gm16754	-17.2213	-13.767422
Tlr6	-16.800085	-13.346208
AI854703	-17.780914	-14.327037
Smc2	-12.822159	-9.36828
Cript	-11.129021	-7.675143
Izumo1	-17.493233	-14.039355
Nop56	-11.754245	-8.300366
Atad3aos	-15.003132	-11.549253
C130046K22Rik	-16.800085	-13.346208
Muc15	-17.963236	-14.509358
Trip12	-11.284895	-7.831017
Gm5141	-14.460688	-11.006809
Gm29394	-15.766012	-12.312134
Gm20756	-18.879526	-15.425649
Sfmbt2	-14.491271	-11.037393
Lmod1	-8.475136	-5.0212584
4930509G22Rik	-17.2213	-13.767422
Gm38407	-19.16721	-15.713332
Usp37	-13.119838	-9.665959
Tmem214	-12.215119	-8.761241
Cmtm5	-19.572674	-16.118797
Fam126a	-12.53433	-9.080452
Cpa3	-18.18638	-14.732503
Nolc1	-11.757872	-8.303993
Gm49086	-18.068596	-14.614718
Psmc4	-10.860985	-7.407107
Sgo1	-16.528152	-13.074274
Vps35l	-12.513487	-9.059608
2610027K06Rik	-15.029381	-11.575502
Pphln1	-12.797309	-9.3434305
Mtmr14	-13.060187	-9.606309
Ttn	-16.003141	-12.549264
Zfp316	-13.648419	-10.194541
Mfsd4b1	-15.241941	-11.788063
Lgals9	-15.621431	-12.167553
Osr2	-17.2213	-13.767422
9230114K14Rik	-12.697443	-9.243565
Ebf4	-14.55209	-11.098211
Foxd2os	-16.374	-12.920123
Pcna	-11.889272	-8.435393
Tomm40l	-12.998297	-9.544418
Kcnj12	-16.046314	-12.592436
Mmp23	-10.69383	-7.2399516
Tmem150a	-12.634875	-9.180997
Gm43466	-14.810501	-11.356623
Zfp2	-13.6325035	-10.178625
Kif21a	-15.106767	-11.652888
Lrch2	-12.94662	-9.492742
Coq4	-13.210509	-9.756631
R3hdm1	-11.415304	-7.9614263
B230369F24Rik	-14.312579	-10.858701
Dnajc3	-10.328127	-6.874249
Zfp523	-12.8250885	-9.37121
Desi2	-10.897283	-7.4434047
Gm11266	-14.013918	-10.5600395
Cygb	-15.621431	-12.167553
Vmn1r81	-18.474062	-15.0201845
Fam219a	-13.560184	-10.106305
Agap3	-12.347558	-8.89368
Cgas	-15.1969185	-11.74304
Gm9888	-17.700872	-14.246995
Tle2	-13.452377	-9.998499
Wipi2	-12.120563	-8.666684
Nr2c2	-11.858667	-8.404789
Gpn3	-12.532139	-9.07826
Nt5c3	-12.78314	-9.329262
Qrich1	-12.205598	-8.751719
Nup43	-13.8442	-10.390322
Vwa3a	-15.744034	-12.290155
Clptm1l	-11.459997	-8.006119
Serbp1	-9.65388	-6.200002
Gm17746	-17.087769	-13.63389
Gm20939	-15.1782255	-11.724347
Cd164l2	-18.474062	-15.0201845
Zfp532	-12.492228	-9.038349
Nusap1	-15.7225275	-12.268649
Ttc27	-13.686571	-10.232693
Tox	-17.432608	-13.97873
Gm44170	-19.16721	-15.713332
Mars2	-13.959547	-10.505669
Duox1	-20.265821	-16.811945
Rgn	-19.16721	-15.713332
A730085K08Rik	-19.16721	-15.713332
Depdc7	-16.29553	-12.841652
Zfp689	-14.6674	-11.213522
Poc5	-13.219175	-9.765297
Gm11536	-16.528152	-13.074274
Yod1	-12.940015	-9.486136
Daam1	-11.410444	-7.9565663
Kctd16	-12.892447	-9.438569
Eif6	-11.328735	-7.8748574
Gm47123	-15.744034	-12.290155
Ssh1	-12.110747	-8.656869
Inip	-13.329479	-9.875601
Gm41442	-17.867926	-14.414048
Ankrd26	-12.74613	-9.292252
Mndal	-18.879526	-15.425649
Cyyr1	-18.18638	-14.732503
Adnp2	-12.832156	-9.378278
Npw	-18.068596	-14.614718
2810442N19Rik	-17.963236	-14.509358
Gm26586	-17.321383	-13.867505
Apobec2	-14.836476	-11.382598
Gm45371	-19.572674	-16.118797
Shprh	-12.109312	-8.655434
