gene	bin_0	bin_1	bin_2	bin_3
Gap43	-0.08052263	-0.040347278	-0.10444971	0.29689285
Hdlbp	3.7054226	3.562332	3.6326401	3.6579952
Cox20	3.5861368	3.6478722	3.731883	3.0789511
Tmem205	3.4754312	3.3187377	3.6262183	3.0967922
Ift122	2.8796272	2.8377645	2.8901238	2.5649447
Fam13c	3.6495726	3.2273717	3.8082774	2.9883583
Eid1	3.7323341	3.770137	3.732207	3.7503698
Malt1	2.9568145	2.4993927	3.5209293	2.922442
Iqgap1	3.7089431	3.7879987	3.5730832	3.6589863
Gm44946	0.8296303	1.0352572	1.2248747	0.77902484
Pard6b	0.64817536	0.50722647	0.64815676	-0.29922333
Gm46633	0.51207507	0.31935492	-0.4130874	-0.111006044
Hnrnpll	3.3999984	2.9575417	3.3206735	3.0815184
Hk3	0.75130606	0.6111562	0.888219	-0.40529433
Helb	2.8813903	2.858709	2.71596	2.6189342
Napsa	0.61251473	0.3488573	-0.40813902	-0.11646189
Ccdc152	2.7408693	2.77786	2.9754922	2.589135
Got1	2.8670437	2.7665071	3.1401017	2.503676
Vmn1r90	0.9072309	-0.48351353	0.22626694	0.28103155
Phkg1	3.368631	3.455607	3.4218335	2.6116319
Ankrd10	3.5883684	2.974856	3.491957	3.4593213
Mcmdc2	1.8675227	1.1595634	1.6451293	1.0656987
Serpinb6b	3.1810482	2.845892	3.4902618	3.6057212
Msmp	0.052017972	1.1266608	1.1441302	0.62820435
Rmrp	2.3050165	3.2536347	2.6924212	2.7551453
Xlr4a	0.99968886	1.3029257	0.41620317	1.1863569
Wdr13	3.2539115	2.9113183	3.2639425	3.2757246
Sord	3.325837	3.2205713	3.3384042	3.172841
Gm42699	1.7760117	1.1712414	1.5399063	1.084607
Pawr	3.4152856	3.7753756	3.4679031	3.6119502
Fgf2os	1.9356467	1.876709	1.6342975	1.429921
Dmd	3.7753801	3.842651	3.7821612	3.7525778
Tsga10	3.0560763	3.2329087	3.180866	3.0030959
Rerg	-1.0933146	0.47568393	0.24488604	0.55067635
Nthl1	3.2915149	3.106501	3.3225884	2.650769
Rarres1	2.778804	2.862372	2.6665502	2.8002067
Rbm44	2.8104603	1.3728441	2.7609475	2.1610389
Pcnx3	3.3087044	2.7260504	3.1874547	2.9243863
Trappc4	3.4538875	3.3460538	3.5546792	3.276732
Gm34829	1.7464266	1.7297117	1.1651108	1.3747218
Olfr172	0.35568163	1.3001169	1.1126919	0.9306846
Mtcp1	2.7308846	2.2794878	2.6946309	2.195145
Rrp9	3.1410549	2.747768	3.395128	2.9458425
Tert	1.2372007	0.8702712	1.2517909	1.2994008
Kat14	3.0758674	2.9813235	2.9740226	2.7844477
Col6a2	3.7942667	3.4332657	3.819387	3.3366442
4930483P17Rik	0.80755913	0.747531	0.25323215	0.40835112
Sars	3.422794	3.5322938	3.4787574	3.3449187
Tsc22d3	3.143173	3.3897438	2.791262	2.9785461
Chd8	3.4244215	3.351967	3.4671066	3.1770248
Gm17399	0.070583016	0.36412433	0.44670895	0.42451057
Map3k19	1.4616985	1.1849127	0.93460655	0.8726154
Cep104	3.240756	3.1928046	2.9509873	3.022266
Dbt	3.268431	3.4199476	3.230588	3.1551805
Chchd5	3.1859946	3.2163029	3.2330394	2.6699834
4930581F22Rik	2.8757808	2.8014646	2.8498538	2.3324153
Sox5it	0.60254824	0.8186958	-0.2670806	0.34188798
Ric8b	3.0572276	3.069591	3.0949242	2.9239542
Orc2	3.1779532	3.0515535	3.300811	3.034177
Zfp385b	2.8824875	2.8517125	2.6855812	2.2422085
Hist1h2bh	2.22864	1.1163436	2.4602287	1.7007883
Gm42868	0.80500656	-0.36995608	0.6384859	0.24050269
Ppp4r1	3.2852366	2.8973455	3.1775703	2.996642
1700047M11Rik	-0.08040235	0.36346087	-0.10336551	-0.021724883
Dazap1	3.3774064	3.323158	3.5465724	2.9350789
Gm47767	2.9857748	2.6215694	2.6838198	2.2270696
C1galt1	3.4455044	3.6565528	3.206736	3.529238
Gm11808	3.35704	3.6916149	3.2493682	3.435183
Racgap1	1.6467012	1.4410597	1.588242	1.1389136
Ska1	0.48766345	-0.09180258	-0.2541059	-0.062803246
Aktip	3.5630772	3.168152	3.6758187	3.0992305
Dact1	2.9448788	2.6960878	3.0911138	2.7781048
Gm50336	1.2516888	0.596425	0.8019751	0.50276077
Pik3r1	3.5933144	3.6323516	3.476901	3.4971805
CT868723.1	-0.31730857	-0.15969256	0.681896	-0.104206756
Abhd6	3.1526923	2.7023158	3.2647016	2.6608706
Zfp993	2.0673583	1.8179691	2.0362182	1.6769059
Tnpo1	3.5204654	3.1988149	3.3788068	3.1792312
Pigo	2.4475913	2.0430322	2.584272	1.9580489
Csrnp2	2.6210024	2.1574616	2.5642114	2.035966
Marc2	3.6158428	3.5278485	3.6558516	3.5375214
Nedd9	3.497584	2.5806587	3.7171323	3.492104
Dhrs9	1.158631	0.8502853	1.8425183	1.0773916
Art3	3.5353441	3.6047864	3.230761	3.5597446
Rab5b	3.4117892	3.4563875	3.4840872	3.551498
S1pr5	-0.19237955	-0.10065703	-0.25309625	0.06759916
Klhl15	2.8825037	2.9689198	3.0112658	2.599393
Pros1	3.4413364	3.4348311	3.2842436	3.4135804
Nat2	2.7072544	2.4391687	2.743072	2.1562796
3010003L21Rik	1.9383986	1.8697447	2.1977792	1.697127
Gm29237	1.0181148	0.9987719	-1.0337089	1.0386342
Gm17191	1.0030134	0.62174433	0.6163165	0.74484295
Mrpl53	3.6240838	3.5747604	3.5156276	3.3343606
Wdr59	2.8291233	2.4385674	2.9927785	2.4026115
Gm19792	1.059526	0.72807306	0.6882911	0.3354554
Gm21269	1.2218686	1.0493186	-0.2939531	1.3365395
0610025J13Rik	0.7164225	0.11765657	0.6607378	0.4326005
Cldn19	0.7326803	-0.3004157	0.043333683	0.37341753
F2rl1	1.6615558	1.5100683	2.318781	1.3711113
Cdo1	3.3887866	3.7557049	3.5824332	3.6750014
Fam25c	2.4845443	1.9556339	2.7808225	1.6799043
Gm20743	0.5675842	-0.22294116	0.22206558	0.2350195
Mamstr	2.8404431	2.3391392	2.9880104	1.0581892
Lrrn2	-0.36977583	1.1331791	1.3240933	0.7499189
Slc38a10	3.3873231	3.2724903	3.4165597	3.3511665
Ankk1	0.17601115	0.7019318	0.5193791	-0.47938034
Serpinb2	-0.18977919	0.39591125	-0.25356644	-0.056722477
Gm37637	1.0768615	1.2062278	0.9875125	-0.96129364
Gm33195	1.0868281	0.8089162	0.49211568	0.0888185
Gm33280	0.35622203	0.6573146	0.87303275	1.0639871
Skil	3.749252	3.415805	3.3325026	3.5957692
Ttc25	1.421452	-0.26263893	0.8908755	0.72660756
Fnbp1l	3.1276338	3.0533555	3.094328	2.7779493
Cntd1	1.4043396	0.83655655	1.5883981	0.15215768
Zdhhc20	3.5327258	3.3081076	3.3744533	3.5045083
Gm15706	2.3897526	1.7997502	2.4113169	1.5686234
Sdf2l1	2.9408996	2.3545856	3.1448433	2.837774
Gm49970	1.4400611	1.8878839	1.8757824	1.7005308
Yif1b	3.587465	3.2489817	3.5362368	3.383022
Ecsit	3.4716213	2.9686036	3.4035938	2.4201975
Gm11008	0.63675606	0.77553964	0.9234752	-0.520701
Taf6l	2.6526766	2.5554018	2.9853408	2.3200307
Slc35f6	3.1425896	2.9113424	3.1703908	2.7881398
Rp9	3.5682895	3.6976614	3.5798008	3.3872998
Znhit1	3.5678325	3.405282	3.4711409	3.093646
Smo	3.4084072	3.1433218	3.3218288	3.3494678
Haus4	2.7783844	2.6146173	2.7912037	2.4359388
Tyw1	3.3631322	2.8478456	3.1887314	2.413323
Ogg1	2.9651573	2.8513823	3.1727111	2.4569652
Cep97	3.1803937	2.8614852	2.95173	2.750757
Ccnd3	3.596185	3.162411	3.7468176	3.2952516
Ddx21	3.234677	3.2554755	3.3479812	3.3049371
Gm44190	1.39211	1.1126851	1.3752917	1.1952913
Slc28a2	0.25890955	-0.03986916	-0.10156504	-0.022307478
Usp45	3.2042809	3.2523446	3.2537613	3.019402
Kif19a	-0.19506985	0.331926	-0.24510635	0.26013812
Bcl7b	3.501193	3.5110474	3.5167499	3.208605
Dtl	1.7803819	1.1061722	1.8277102	1.2853428
