gene	bin_0	bin_1	bin_2	bin_3
Gap43	-0.04435088	-0.050038394	0.29217026	-0.07000796
Hdlbp	3.7551358	3.6018417	3.7700539	3.7533946
Cox20	3.3292816	3.6621714	3.632746	3.3898578
Tmem205	3.6149428	3.1779017	3.2413883	3.5052052
Ift122	2.7311997	2.8803425	2.6187723	3.0620573
Fam13c	3.5521047	3.5992665	2.8951695	3.8931205
Eid1	3.6411467	3.8181179	3.8101676	3.3829818
Malt1	3.1446238	2.8458085	2.7638113	3.6196184
Iqgap1	3.5949244	3.7476969	3.803284	3.759058
Gm44946	0.94039774	0.81632406	0.79195803	-0.015512353
Pard6b	0.18097548	-0.03907947	0.8199709	0.20452145
Hnrnpll	3.0919971	3.1402946	3.2025301	3.3944726
Hk3	0.30459222	0.33336458	-0.19250305	-0.18878512
Helb	2.805585	2.7670012	3.1063604	2.685552
Ccdc152	1.9224195	1.8397138	2.134744	2.1175306
Got1	2.6857328	2.5161085	2.9964433	2.8268385
Vmn1r90	0.68802935	0.2584268	-0.5445241	0.2500966
Phkg1	3.4645662	3.4368541	3.6103358	1.993587
Ankrd10	3.3321977	3.3388422	3.3333051	3.4647026
Mcmdc2	1.0787117	1.5858017	0.9456696	1.3927902
Serpinb6b	3.1664448	2.7411497	3.3822584	3.7393668
E330020D12Rik	-0.036429487	0.4135661	-0.0805281	-0.0702935
Msmp	-0.014926387	0.92095107	0.14208078	0.8354888
Rmrp	1.6757646	2.027912	1.8485324	2.1789365
Xlr4a	0.8141213	0.09862361	-1.6035128	-0.23812489
Wdr13	3.2063043	3.2466958	3.1720068	3.137323
Sord	3.1678078	2.7589736	3.4926977	3.3390276
Gm42699	0.7461667	1.2500765	1.5449858	1.250374
Pawr	3.7942405	3.7429037	3.1746848	3.750105
Fgf2os	0.52787864	1.598417	2.123711	1.6751132
Dmd	3.8070188	3.7875266	3.8265412	3.771351
Tsga10	3.1059618	3.147218	3.0932908	3.1087291
Rerg	-0.043205716	-0.050646205	-0.079820044	0.2833214
Nthl1	3.001009	3.1379046	2.9046245	3.2482004
Rarres1	2.8446956	2.630438	2.9926693	2.9170842
Rbm44	1.9761885	1.7906557	1.8177643	2.07528
Pcnx3	3.0081632	3.1826243	3.200744	2.8140807
Trappc4	3.432353	3.2786636	3.083625	3.7213154
Gm34829	0.53233635	1.0862817	1.025777	1.4413292
Olfr172	-0.5760432	0.5403375	0.74358284	0.747491
Mtcp1	2.3077986	2.4238408	2.6745179	2.1697307
Rrp9	2.4839323	2.9148889	3.3783317	3.1562648
Tert	0.81988573	0.68124205	1.1745228	0.6425815
Kat14	2.7663465	2.7512345	2.9869373	3.049764
Col6a2	3.608654	3.8068185	3.8283653	3.4151864
4930483P17Rik	0.45865634	0.47902477	-0.44750127	-0.4165466
Sars	3.512938	3.3448803	3.4350274	3.5331228
Tsc22d3	1.5680937	-0.44028625	3.6061504	3.3740342
Chd8	3.0281	3.4526324	3.5389822	3.460171
Gm17399	-0.23796944	-0.2726107	0.0694202	0.72943586
Map3k19	1.6830217	1.6890529	1.4577109	-1.8516893
Cep104	2.875058	3.2060642	3.2695637	3.1490664
Dbt	3.2162528	3.0593555	3.4662535	3.3564582
Chchd5	3.1509538	2.8305058	3.1508965	3.0779352
4930581F22Rik	2.6461074	2.7747092	2.8459582	2.3335488
Sox5it	0.32114947	-0.12038101	0.21024977	-0.18495832
Ric8b	2.8274267	3.0036483	3.2361934	3.0388296
Orc2	2.9564533	3.047166	3.3618557	3.2276044
Zfp385b	2.8192806	2.5716496	2.9325337	3.079701
Hist1h2bh	1.567323	1.2155795	1.4831078	1.6446697
Gm42868	-0.10558286	-0.1251307	0.27995408	0.29541394
Ppp4r1	2.731401	3.113426	3.1750765	3.127999
Dazap1	3.427283	3.2276707	3.4334126	3.3840225
Gm47767	2.337438	2.4658732	2.8970084	2.6841254
C1galt1	3.0255063	3.5775914	3.6671379	3.1921914
Gm11808	3.1416483	3.088859	3.205804	3.292548
Racgap1	0.9307478	0.87156725	2.5435727	-0.248171
Ska1	0.65274364	-0.9737965	1.5874916	-1.7154926
Aktip	3.382873	2.9925563	3.2965517	3.7257214
Dact1	2.868127	3.2137656	1.7992358	2.5516832
Gm50336	0.52821404	-0.059494242	0.81855935	1.0622607
Pik3r1	3.2871013	3.0438788	3.1789343	3.8227856
CT868723.1	0.11646597	0.5605889	-0.036859848	0.6828915
Abhd6	2.8144834	2.7293987	3.2159607	3.03726
Zfp993	1.6819108	1.459827	2.0493066	2.1348968
Tnpo1	3.0671108	3.116413	3.5628593	3.508354
Pigo	1.9064311	2.1685853	2.3778758	2.2318308
Csrnp2	1.9624301	2.3465	1.9784522	2.3158953
