gene	bin_0	bin_1	bin_2	bin_3
Gap43	0.12288325	0.6388616	-0.21196648	-0.28345987
Hdlbp	3.6265156	2.887585	3.7097638	3.6477513
Cox20	3.2613328	3.5595043	3.6010988	3.0137324
Tmem205	3.182292	3.2185988	3.224769	3.4874597
Ift122	2.4090698	2.4026012	2.6222842	2.635618
Fam13c	3.6750605	2.5165315	2.808715	3.7520294
Eid1	3.6142077	3.7875063	3.3601525	3.2441833
Malt1	2.634973	1.7702794	2.9745696	3.2918186
Iqgap1	3.6488433	3.1337295	3.7551486	3.440766
Gm44946	-0.18196273	0.74798566	0.21666251	-0.38707432
Pard6b	-0.03196266	0.42996466	-0.05424588	-0.081594564
Gm46633	0.08171448	-0.09797791	-0.058493085	-0.06508771
Hnrnpll	2.914453	2.7513893	3.1049118	3.1199095
Hk3	-0.14040834	0.17634362	0.4368301	-0.2861683
Helb	2.0769138	2.2333467	2.7833216	2.4067903
Napsa	-0.032081615	-0.08929082	0.29696912	-0.06764845
Ccdc152	0.9599701	2.494598	1.0069509	1.9730902
Got1	2.154355	2.6161814	2.6742408	2.56048
Vmn1r90	-0.029710071	-0.09175975	0.359063	-0.07044612
Phkg1	2.9401772	3.3428097	3.2533073	2.1814215
Ankrd10	3.1961591	3.5082214	2.702569	3.2344937
Mcmdc2	0.99600756	1.0572907	-0.7546784	1.0197608
Serpinb6b	3.5541172	2.8883736	3.1211197	3.6636186
Msmp	0.13458613	0.44853383	0.0060426136	0.96808356
Rmrp	1.8905754	2.3088462	0.98429483	2.3626404
Xlr4a	0.9401915	-0.084843405	-0.08132501	1.0154531
Wdr13	2.8015435	2.939587	2.9371426	3.049942
Sord	2.38099	3.5127814	3.286358	2.6019473
Gm42699	0.58258086	0.9480566	1.0646373	0.69076437
Pawr	3.6666381	3.4503255	2.5670512	3.6323051
Fgf2os	0.016223611	1.8460029	1.8910906	1.7705514
Dmd	3.698022	3.2599945	3.7738845	3.6520114
Tsga10	2.6725802	2.9417174	2.9618957	2.9523902
Rerg	0.32704443	0.43580896	-0.11537585	-0.16246785
Nthl1	2.6734507	3.1715286	2.8762856	2.9819064
Rarres1	2.3494682	2.7912557	2.3258743	2.567219
Rbm44	1.8430928	0.9477745	1.3674906	1.7579454
Pcnx3	2.7465403	2.436524	2.8389156	2.8330374
Trappc4	3.2009058	3.4468408	3.0775435	3.2928545
Gm34829	0.4113594	1.2129761	0.84822273	0.32834047
Olfr172	0.36102775	0.23968044	0.3849601	0.5592505
Mtcp1	1.61201	2.3885548	2.054051	1.983992
Rrp9	2.6387186	3.0836494	3.0417726	2.383319
Tert	0.6447304	0.9816332	0.52077216	0.57469547
Kat14	2.3081264	2.4689026	2.6153634	2.655586
Col6a2	3.5364013	3.3872676	3.705936	3.1113346
4930483P17Rik	0.30124727	0.69887906	-0.5584273	0.67918885
Sars	2.9340763	3.313565	3.6107457	3.17434
Tsc22d3	0.46425232	3.102029	3.1494985	2.467381
Chd8	3.326367	2.3271134	3.486146	3.1805928
Gm17399	-0.029985743	-0.092390686	-0.048891477	0.19209248
Map3k19	0.48690405	1.1652027	0.92438453	1.262421
Cep104	2.765349	2.5232265	2.9146047	3.0836024
Dbt	2.9992938	2.926458	3.2509344	2.9964569
Chchd5	2.6728303	3.1646755	2.71972	2.6908703
4930581F22Rik	2.3294592	2.6874776	2.4453595	2.348022
Sox5it	-0.03677704	0.44965637	-0.04956098	-0.06373697
Ric8b	2.6425078	2.5679047	2.9125116	2.7111363
Orc2	2.6777482	2.9508631	3.1336455	2.7542357
Zfp385b	2.3346539	2.070213	2.5548017	2.5901036
Hist1h2bh	-0.10977153	1.5251302	1.2086308	1.4399807
Gm42868	0.26563615	0.30992416	-0.13422498	-0.15893725
Ppp4r1	2.69748	2.3502655	2.8119173	2.8931477
1700047M11Rik	-0.08451675	0.47061267	0.42085704	-0.1660865
Dazap1	2.9930277	3.215263	3.3018062	3.0619776
Gm47767	1.6491528	2.5400348	2.0851068	2.207711
C1galt1	3.265731	2.8927639	3.1965601	3.4251096
Gm11808	2.1264367	3.5909061	1.9619529	3.147352
Racgap1	1.004435	0.96989113	0.72747135	1.0851403
Aktip	2.8039238	3.357557	3.4192913	3.3028917
Dact1	2.5561974	2.377782	2.572218	2.5303879
Gm50336	0.61974704	0.8776666	0.54954684	-0.9021303
Pik3r1	3.3705592	2.5411332	3.111157	3.4545147
CT868723.1	0.36913854	0.5768442	-0.40086454	0.49406737
Abhd6	2.4519274	2.9111593	2.7782207	2.4576468
Zfp993	1.1463104	1.7132246	1.2991544	1.4956676
Tnpo1	3.2618673	3.129439	3.129166	3.157856
Pigo	1.5639316	1.42911	1.8983915	1.9149894
Csrnp2	1.6824435	1.8905277	1.9447602	1.9865261
Marc2	3.0661628	3.6675713	3.479517	3.1198692
Nedd9	3.3172388	2.9200342	3.182578	3.629319
Dhrs9	1.9798934	0.7205891	1.5879966	1.774866
Art3	2.4625807	3.280709	2.3837354	3.3640966
Rab5b	3.2840986	3.1616843	3.408064	3.0862324
Klhl15	2.361881	2.6624398	2.461959	2.2084985
Pros1	3.1755843	3.2341416	3.2242255	2.8612356
Nat2	1.3928578	2.4172533	2.103195	2.1349068
3010003L21Rik	1.2906961	1.8151994	1.2589128	1.5283114
Gm29237	0.008671133	1.2399395	0.88429576	-0.385104
Gm17191	-0.12406901	0.57978326	-0.2157616	0.43512398
Mrpl53	3.2034833	3.4637747	3.406011	3.4625893
Wdr59	2.0319166	2.2344456	2.271851	2.0791821
Gm19792	-0.13880235	0.55264294	-0.20604005	-0.28470382
Gm21269	0.4733773	0.029411683	0.9084037	0.5970686
0610025J13Rik	0.21767816	-0.8895331	0.7565079	0.8407403
Cldn19	-0.03900232	-0.09229235	-0.05552326	0.24328387
F2rl1	0.99114585	1.3634346	1.0699571	1.396415
Cdo1	2.506189	3.6270857	3.553704	3.4495587
Fam25c	0.4533621	2.4559216	2.1630905	2.2479644
Gm20743	-0.668734	0.90170074	0.703286	0.5830974
Mamstr	1.859386	2.690121	2.413882	0.41524607
Exph5	-0.032424767	0.28810927	-0.05178698	-0.06372548
Lrrn2	0.8692147	0.6098181	1.2317779	-0.43983188
Slc38a10	3.0143213	2.7920125	3.3322814	3.1542425
Ankk1	0.4218647	0.797012	-0.38181332	0.29662082
Gm37637	0.6024872	0.19487618	0.48709583	0.80776393
Gm33195	0.3157793	0.18140018	0.20426697	-0.007302467
Gm33280	0.62051994	-0.3548489	-0.21275812	0.532426
Skil	3.596619	2.6724415	3.4034808	3.6058106
Ttc25	-0.6678695	1.0341781	0.14076415	0.9566827
Fnbp1l	2.2938223	2.466667	3.0298185	3.0433843
Cntd1	0.52204806	0.9013007	1.0491018	1.0753525
Zdhhc20	3.3432293	3.2544248	3.113631	2.9958496
Gm15706	1.2837795	1.8540552	1.6383845	1.9560682
Sdf2l1	2.442468	2.514114	2.1019518	2.7604473
Gm49970	0.5010387	1.3746417	1.501216	0.25590375
Yif1b	3.1726072	3.400594	3.063762	3.481413
Ecsit	2.569692	2.9613273	3.1628878	2.7627237
Gm11008	0.26081416	0.44336894	0.38722393	-0.2873324
Taf6l	1.7633646	2.4760365	2.3306267	2.270838
Slc35f6	2.4260652	2.7906291	2.7358932	2.7390022
Rp9	3.3137326	3.478021	3.3894079	3.3002212
Znhit1	2.9060369	3.4682064	3.2826934	3.2974164
Smo	2.9995415	2.8611298	3.2897058	3.2429206
Haus4	1.6794069	2.5578551	2.0835295	2.1209693
Tyw1	2.7048645	2.5486574	2.8470516	2.745589
Ogg1	2.269462	2.8036084	2.321691	2.2247548
Cep97	2.2919536	2.563304	2.5700517	2.6768456
Ccnd3	3.235898	3.5100245	3.307939	3.2659469
Ddx21	3.15371	2.6065798	3.3879106	3.419485
Gm44190	-0.6912296	0.9038382	0.7760832	1.4104043
Slc28a2	-0.033366725	-0.0920167	-0.045726106	0.14385723
Usp45	2.9864416	2.6237884	3.0924807	2.9465353
Bcl7b	3.1073797	3.4315193	3.4300346	3.4088478
Dtl	0.9540553	1.0234679	1.3499264	0.91843927
Scn7a	0.10279504	0.43039873	1.1497294	0.49107036
Polr3b	1.9789494	2.2232022	2.4022725	2.2079704
Rnf187	3.3133698	3.6902385	3.4556334	3.5145938
Gfra1	0.40752485	0.065102026	0.68925136	0.090406686
Gm5084	-0.092338696	-0.22148211	0.639637	-0.17190091
Ttll7	3.550432	2.8746254	3.6173708	3.4629476
Zfp114	1.4983513	1.7847775	1.5303733	1.9836235
Zfp7	1.8145596	1.9232748	1.9490718	1.9031237
Impa1	3.1335826	3.5367286	3.0425153	3.3322873
Zfp740	2.9204526	3.0786626	3.0239983	2.5209498
Tpbg	1.3244257	1.6717937	1.7660582	1.3488663
Rrp8	2.7213366	2.7555087	3.395756	2.7352345
Trappc5	2.8423886	3.2828598	3.2238042	3.2417529
Rtel1	1.9353683	2.1457236	2.1057673	2.1902595
Plin2	2.7521145	3.1399937	2.9729898	3.179365
Smagp	-0.8754014	1.1648426	0.37966776	0.884633
Tfdp1	2.722543	2.8858771	2.785336	2.9383636
Rdh5	2.4825444	3.0313601	2.856131	2.7758856
Nacad	2.8871672	2.453942	2.826778	3.0968778
Procr	0.56864405	0.5250971	0.237981	0.19756694
