gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Gap43	0.5	0.27	0.27	0.64	1.0	-9.532505	-9.407991	-9.464665	-9.495206	0.0	-0.016198818	-17.805565953838013	1.4183555972676825	0.00031746031746031746	1
Hdlbp	0.48	0.43	0.43	0.62	1.0	-6639.784	-6566.693	-6607.176	-6596.1924	0.0	-18.931677	-8.40775185852808	5.171868130856078	0.9123809523809524	2874
Cox20	0.43	0.44	0.43	0.58	1.0	-4895.922	-4772.926	-4875.6475	-4790.848	0.0	-45.632942	-9.316065799062198	2.119962598817308	0.7155555555555555	2254
Tmem205	0.2299999999999999	0.4	0.2299999999999999	0.56	1.0	-3739.5996	-3711.6594	-3727.3625	-3724.9272	0.0	-6.372126	-9.896679022645612	5.878767165686095	0.5393650793650794	1699
Ift122	0.29	0.3199999999999999	0.29	0.54	1.0	-1203.2571	-1196.0094	-1201.7773	-1198.5837	0.0	-2.0296056	-11.837208813322079	5.284227966477946	0.11396825396825397	359
Fam13c	0.3199999999999999	0.15	0.15	0.54	1.0	-5806.993	-5830.854	-5823.386	-5801.7485	0.31297195	-2.2777133	-8.888078087169259	5.380223855332674	0.8098412698412698	2551
Eid1	0.34	0.22	0.22	0.64	1.0	-6775.4585	-6670.9297	-6701.393	-6731.013	0.0	-19.302353	-8.414545644709323	2.03454374881567	0.9282539682539682	2924
Malt1	0.33	0.3299999999999999	0.3299999999999999	0.49	1.0	-2314.7583	-2305.0842	-2311.4312	-2308.7964	0.0	-2.5892262	-10.882049408317748	4.445143211789228	0.22317460317460316	703
Iqgap1	0.34	0.44	0.34	0.66	1.0	-7354.232	-7240.4907	-7274.2314	-7321.904	0.0	-14.039927	-8.199581717805184	2.8651958929819257	0.9307936507936508	2932
Gm44946	0.42	0.44	0.42	0.57	1.0	-44.808647	-43.20943	-43.289917	-44.818657	0.0	0.004347186	-16.080901134156	0.37243605692554205	0.0019047619047619048	6
