gene	log_min	log_max
Gap43	-18.738789	-15.284911
Hdlbp	-10.387179	-6.9333014
Cox20	-10.925805	-7.471927
Tmem205	-11.53056	-8.076681
Ift122	-13.545833	-10.091954
Fam13c	-10.849518	-7.39564
Eid1	-10.313931	-6.8600535
Malt1	-13.42067	-9.966791
Iqgap1	-10.119943	-6.6660647
Gm44946	-16.723886	-13.270008
Gm46633	-17.234713	-13.780834
Hnrnpll	-12.453723	-8.999845
Hk3	-19.431936	-15.978059
Helb	-13.435485	-9.9816065
Ccdc152	-14.408056	-10.954178
Got1	-13.692144	-10.238266
Vmn1r90	-17.822498	-14.368621
Phkg1	-12.186282	-8.732404
Ankrd10	-11.782245	-8.328366
Mcmdc2	-15.540117	-12.086239
Serpinb6b	-11.226445	-7.7725673
Msmp	-18.333324	-14.879447
Rmrp	-13.955474	-10.5015955
Xlr4a	-18.333324	-14.879447
Wdr13	-12.522183	-9.068305
Sord	-12.247308	-8.793429
Gm42699	-16.487497	-13.03362
Pawr	-10.789169	-7.3352914
Fgf2os	-15.321063	-11.867185
Dmd	-9.514251	-6.060373
Tsga10	-12.472539	-9.018661
Rerg	-17.640177	-14.186299
Nthl1	-12.77521	-9.321332
Rarres1	-14.128633	-10.674754
Rbm44	-14.5046835	-11.050805
Pcnx3	-13.018478	-9.5646
Trappc4	-11.651634	-8.197756
Gm34829	-14.284443	-10.8305645
Olfr172	-17.640177	-14.186299
Mtcp1	-14.302038	-10.84816
Rrp9	-12.875158	-9.42128
Tert	-17.03404	-13.580163
Kat14	-13.358892	-9.905014
Col6a2	-10.641973	-7.1880946
4930483P17Rik	-17.822498	-14.368621
Sars	-11.341842	-7.887964
Tsc22d3	-12.010161	-8.556283
Chd8	-11.643725	-8.189847
Map3k19	-17.234713	-13.780834
Cep104	-12.826639	-9.372761
Dbt	-12.227788	-8.77391
Chchd5	-12.923168	-9.46929
4930581F22Rik	-13.518435	-10.064556
Sox5it	-18.333324	-14.879447
Ric8b	-12.968907	-9.515029
Orc2	-12.700919	-9.247041
Zfp385b	-15.743057	-12.289179
Hist1h2bh	-15.694267	-12.240389
Ppp4r1	-13.058618	-9.604739
1700047M11Rik	-18.333324	-14.879447
Dazap1	-11.799051	-8.345173
Gm47767	-14.296139	-10.84226
C1galt1	-12.1041565	-8.650278
Gm11808	-12.081421	-8.6275425
Racgap1	-16.06464	-12.610763
Aktip	-11.470567	-8.016688
Dact1	-13.882861	-10.428983
Gm50336	-19.431936	-15.978059
Pik3r1	-10.778815	-7.3249373
CT868723.1	-18.738789	-15.284911
Abhd6	-13.191661	-9.7377825
Zfp993	-15.227244	-11.773366
Tnpo1	-11.84412	-8.390242
Pigo	-14.806964	-11.3530855
Csrnp2	-14.644445	-11.190567
Marc2	-10.980456	-7.5265784
Nedd9	-11.352629	-7.898751
Dhrs9	-15.141478	-11.687599
Art3	-11.569055	-8.115176
Rab5b	-11.5458555	-8.091977
Klhl15	-13.71491	-10.261031
Pros1	-11.979535	-8.525657
Nat2	-14.462124	-11.008245
3010003L21Rik	-15.647747	-12.193869
Gm29237	-16.94703	-13.493152
Gm17191	-17.822498	-14.368621
Mrpl53	-11.271419	-7.8175406
Wdr59	-14.089602	-10.635724
Gm19792	-19.431936	-15.978059
Gm21269	-18.333324	-14.879447
0610025J13Rik	-18.738789	-15.284911
Cldn19	-18.738789	-15.284911
F2rl1	-17.03404	-13.580163
Cdo1	-10.384586	-6.9307084
Fam25c	-14.932127	-11.478249
Gm20743	-19.431936	-15.978059
Mamstr	-14.603623	-11.149745
Exph5	-19.431936	-15.978059
Lrrn2	-18.333324	-14.879447
Slc38a10	-12.059191	-8.605312
Ankk1	-19.431936	-15.978059
Serpinb2	-19.431936	-15.978059
Gm37637	-17.352495	-13.898617
Gm33195	-18.333324	-14.879447
Gm33280	-17.486027	-14.032148
Skil	-10.765635	-7.3117566
Ttc25	-17.12935	-13.675473
Fnbp1l	-12.886587	-9.432709
Cntd1	-16.487497	-13.03362
Zdhhc20	-11.898778	-8.4449
Gm15706	-14.519282	-11.065404
Sdf2l1	-13.8079195	-10.354041
Gm49970	-15.821019	-12.367141
Yif1b	-11.375828	-7.92195
Ecsit	-12.608651	-9.154773
Gm11008	-18.333324	-14.879447
Taf6l	-14.179664	-10.725785
Slc35f6	-13.430522	-9.976644
Rp9	-10.850455	-7.3965774
Znhit1	-11.450888	-7.9970098
Smo	-12.194878	-8.740999
Haus4	-13.620796	-10.166918
Tyw1	-13.072363	-9.6184845
Ogg1	-13.968105	-10.514227
Cep97	-13.406071	-9.952192
Ccnd3	-11.151226	-7.697348
Ddx21	-11.855328	-8.401449
Gm44190	-16.296442	-12.842565
Usp45	-12.625108	-9.171229
Kif19a	-19.431936	-15.978059
Bcl7b	-11.27514	-7.821262
Dtl	-16.79288	-13.339002
Scn7a	-16.541565	-13.087687
Polr3b	-14.011402	-10.557524
Rnf187	-10.603736	-7.149858
Gfra1	-18.333324	-14.879447
Ttll7	-10.911948	-7.4580703
Zfp114	-14.836817	-11.382938
Zfp7	-15.025218	-11.57134
Impa1	-11.220997	-7.767119
Zfp740	-12.575475	-9.121596
Tpbg	-16.136099	-12.682221
Rrp8	-12.049812	-8.595934
Trappc5	-11.99003	-8.536152
Rtel1	-14.184913	-10.731034
Plin2	-12.312302	-8.858423
Smagp	-16.541565	-13.087687
Tfdp1	-12.92466	-9.470781
Rdh5	-13.079308	-9.625429
Nacad	-12.65088	-9.197001
Procr	-17.822498	-14.368621
Zfyve21	-11.592018	-8.13814
Krt79	-16.659348	-13.20547
Gm48242	-18.333324	-14.879447
Mrps14	-10.638781	-7.1849027
Mrps6	-11.641655	-8.187777
Gm20463	-17.640177	-14.186299
Shkbp1	-13.793583	-10.3397045
Mapk12	-14.644445	-11.190567
Ppp4r4	-15.794351	-12.340472
Hivep2	-11.635468	-8.181589
2410022M11Rik	-13.614826	-10.160948
Usp43	-17.822498	-14.368621
Sorbs1	-11.712808	-8.258929
Lrrc7	-15.519914	-12.066035
3110006O06Rik	-17.352495	-13.898617
C9orf72	-13.391683	-9.937804
Mast2	-12.368889	-8.91501
Hist1h4c	-13.910476	-10.456597
Vps35	-11.140641	-7.6867633
Prdx1	-9.488075	-6.034198
Wasf1	-15.088132	-11.6342535
Trmt44	-13.594207	-10.140328
Gm26682	-16.541565	-13.087687
Adap2	-18.333324	-14.879447
Paqr6	-12.786846	-9.332968
Plec	-11.0588455	-7.6049676
Chtop	-11.504252	-8.050374
Hcar1	-16.598722	-13.144845
Lrrc61	-14.695739	-11.24186
Btbd3	-12.818553	-9.364675
Tyms	-13.430522	-9.976644
Rbpms2	-10.703997	-7.2501187
Hoxc10	-11.294249	-7.8403707
Cyp1b1	-12.472539	-9.018661
Pcgf5	-10.898674	-7.444796
Gm10432	-16.099731	-12.645854
A630072M18Rik	-14.148733	-10.694855
Gm31462	-17.822498	-14.368621
Trim32	-13.096883	-9.643004
Zfp607a	-14.363033	-10.909155
Sla2	-18.333324	-14.879447
Atg4b	-12.522183	-9.068305
Gm49886	-16.723886	-13.270008
Mkrn2os	-18.333324	-14.879447
Polr3h	-12.902518	-9.44864
Psmc3	-10.374515	-6.9206367
Zfp873	-14.483177	-11.029299
Fanca	-18.738789	-15.284911
Alas2	-18.333324	-14.879447
Irf2bp1	-12.284378	-8.8305
Rhbdd1	-13.279204	-9.825326
Ibtk	-12.480165	-9.026286
Clca3a1	-17.640177	-14.186299
5330438D12Rik	-14.2786455	-10.824767
Camta1	-11.335729	-7.8818507
Tmem259	-11.80683	-8.352952
Ddx51	-14.033774	-10.579896
Entr1	-12.752337	-9.298459
Gm35065	-17.486027	-14.032148
Gm43387	-16.099731	-12.645854
Ackr2	-18.738789	-15.284911
Ankrd13a	-12.69497	-9.241092
Ppp2r5a	-11.237432	-7.7835536
Plcxd3	-12.9862175	-9.532339
Lix1	-15.743057	-12.289179
Zfp280c	-13.56264	-10.108762
1190005I06Rik	-10.530843	-7.076965
Pdcd7	-12.096955	-8.643077
1700088E04Rik	-15.19783	-11.743952
Tceal9	-10.118048	-6.66417
Atg4a	-13.050121	-9.596243
Skint8	-19.431936	-15.978059
Fam78b	-14.806964	-11.3530855
Klrg2	-16.296442	-12.842565
Cyb5d1	-14.857226	-11.403348
Tecpr1	-12.609739	-9.155861
Usp13	-13.112969	-9.659091
Hist1h3a	-15.821019	-12.367141
Gm26739	-19.431936	-15.978059
Gm42504	-18.333324	-14.879447
Ivd	-11.922602	-8.468723
Dhx57	-12.984632	-9.530753
Atp1b1	-15.25755	-11.803672
Gm6787	-17.486027	-14.032148
Edem1	-12.466857	-9.012979
Zdbf2	-14.826767	-11.372889
Fhl4	-16.436205	-12.9823265
Pex11a	-14.497463	-11.043585
Snhg5	-12.770082	-9.316204
Swap70	-11.985352	-8.531473
Med31	-11.725325	-8.271446
Hvcn1	-19.431936	-15.978059
Mtss2	-11.703081	-8.249203
Bfar	-11.755464	-8.301585
Loxl3	-12.436171	-8.982292
Gm31812	-16.79288	-13.339002
Hist1h1a	-15.670737	-12.216859
Gm30556	-16.06464	-12.610763
Scfd2	-14.065961	-10.6120825
Gemin6	-13.470932	-10.017054
Rnf220	-12.222597	-8.768719
Yme1l1	-11.223173	-7.769295
Cog4	-12.629542	-9.175664
Zfp551	-14.966029	-11.512151
Tsn	-10.623568	-7.1696897
Mto1	-13.345162	-9.891284
Parn	-12.561884	-9.108006
Ccser1	-18.738789	-15.284911
Pla1a	-18.04564	-14.5917635
Ski	-10.775504	-7.321626
Itgbl1	-10.265444	-6.811566
Gm42903	-18.738789	-15.284911
Slc33a1	-12.784248	-9.33037
Gnl2	-12.326151	-8.8722725
March8	-12.38529	-8.931412
Akna	-14.627916	-11.174038
Stx5a	-11.896641	-8.442762
Ttc39c	-14.33207	-10.878192
Dnph1	-17.12935	-13.675473
Myoz2	-12.9862175	-9.532339
Topors	-11.680462	-8.2265835
Creb3	-11.748994	-8.295115
Cebpa	-16.659348	-13.20547
Irgm1	-13.711625	-10.257747
Dock5	-13.021762	-9.5678835
Gm42743	-16.659348	-13.20547
Pla2g4a	-11.734816	-8.280937
Wapl	-11.182885	-7.7290072
Gm4221	-16.296442	-12.842565
Gm42681	-17.822498	-14.368621
Npy	-19.431936	-15.978059
Aarsd1	-11.500293	-8.046414
Ippk	-13.537535	-10.083656
Btg2	-8.626785	-5.1729074
Ammecr1l	-12.559809	-9.10593
Gm37885	-15.603295	-12.149417
Slc2a12	-14.899338	-11.445459
Plpp2	-13.0758295	-9.621951
Fam160a2	-12.8808565	-9.426978
Pigz	-17.486027	-14.032148
Phc1	-13.172356	-9.718477
Zfyve1	-13.361199	-9.907321
Gm9796	-17.640177	-14.186299
Ctrl	-18.333324	-14.879447
Kdm4b	-13.309444	-9.855566
2900026A02Rik	-10.574707	-7.120829
Kdm4c	-12.421625	-8.967747
Ass1	-15.603295	-12.149417
Kif18a	-15.442953	-11.989075
Mpv17l	-12.665746	-9.211867
Samm50	-11.278587	-7.8247094
Ythdf3	-11.891315	-8.437437
Cd276	-13.918509	-10.46463
Skp1a	-10.465709	-7.011831
Ilf3	-12.33191	-8.878032
Aifm2	-13.356591	-9.902713
Sh3bp5	-15.905577	-12.451698
Sbk1	-14.797208	-11.343329
H6pd	-12.968907	-9.515029
Cradd	-13.105787	-9.651909
Mindy4	-14.2728815	-10.819003
Ago1	-12.344363	-8.890485
Fam161b	-14.768498	-11.31462
Vps26b	-12.923168	-9.46929
Homer2	-16.94703	-13.493152
Eif2b2	-12.475391	-9.021513
Mall	-17.03404	-13.580163
Sbno1	-11.278012	-7.8241343
Tceanc	-14.695739	-11.24186
Foxq1	-17.12935	-13.675473
Akap8l	-12.041139	-8.58726
Acss3	-18.04564	-14.5917635
Zfp729a	-13.296372	-9.842494
Gm27028	-17.822498	-14.368621
Ldhb	-10.600371	-7.1464934
Ppih	-13.382204	-9.928326
Slc37a2	-16.387415	-12.933537
D3Ertd751e	-13.338367	-9.884489
Gm44698	-17.640177	-14.186299
Pias3	-12.725075	-9.271196
Zfp773	-15.876589	-12.42271
Tmem159	-12.082064	-8.628185
Fcgr1	-18.738789	-15.284911
A730020E08Rik	-19.431936	-15.978059
Cd6	-18.333324	-14.879447
Gm43112	-16.94703	-13.493152
Gm44148	-17.352495	-13.898617
Gm16754	-16.541565	-13.087687
Tlr6	-16.598722	-13.144845
AI854703	-17.03404	-13.580163
Smc2	-12.80522	-9.351341
Cript	-11.124971	-7.6710935
Izumo1	-18.333324	-14.879447
Nop56	-11.668066	-8.214188
Atad3aos	-14.541588	-11.087709
C130046K22Rik	-16.659348	-13.20547
Muc15	-18.04564	-14.5917635
Trip12	-11.5301895	-8.076311
Gm5141	-14.421302	-10.967423
Gm29394	-15.99795	-12.544071
Sfmbt2	-14.462124	-11.008245
Lmod1	-8.762935	-5.309057
4930509G22Rik	-16.94703	-13.493152
Gm38407	-19.431936	-15.978059
Usp37	-13.000606	-9.546727
Tmem214	-12.33191	-8.878032
Cmtm5	-18.738789	-15.284911
Fam126a	-12.909844	-9.455966
Cpa3	-15.647747	-12.193869
Nolc1	-11.9341755	-8.480297
Gm49086	-17.640177	-14.186299
Psmc4	-10.957442	-7.5035644
Sgo1	-16.296442	-12.842565
Vps35l	-12.606477	-9.152598
2610027K06Rik	-14.325992	-10.872113
Pphln1	-12.868081	-9.414203
Mtmr14	-13.172356	-9.718477
Ttn	-15.905577	-12.451698
Zfp316	-13.758614	-10.304735
Mfsd4b1	-15.694267	-12.240389
Lgals9	-15.212429	-11.758551
Osr2	-18.738789	-15.284911
9230114K14Rik	-12.294659	-8.84078
Ebf4	-14.549135	-11.095257
Foxd2os	-17.12935	-13.675473
Pcna	-11.793258	-8.339379
Tomm40l	-13.04843	-9.594552
Kcnj12	-14.84697	-11.393091
Mmp23	-11.077734	-7.623856
Tmem150a	-12.817211	-9.363333
