gene	bin_0	bin_1	bin_2	bin_3
Gap43	0.19258071	0.1790522	0.23734975	-0.15756969
Hdlbp	3.2843597	3.2591345	3.471041	3.4556816
Cox20	3.1690025	3.0623772	3.3007863	3.1073506
Tmem205	3.0178483	2.8324761	3.0625443	3.1219525
Ift122	2.1195033	2.0923076	2.3664231	2.4671922
Fam13c	3.2322505	3.3044434	2.8146265	3.314086
Eid1	3.361719	3.338816	3.2532592	3.3628018
Malt1	2.3570492	2.1304717	2.4910371	2.5564828
Iqgap1	3.3359377	3.4334464	3.3792715	3.5324407
Gm44946	0.88482004	0.7635628	0.903654	1.0952317
Pard6b	0.18391865	0.17142227	-0.22256364	0.29050753
Gm46633	0.42442346	0.40777558	0.5837698	0.32462147
Hnrnpll	2.746853	2.5910077	2.8522637	3.015572
Hk3	0.30308017	0.27796626	0.3665646	-0.39636582
Helb	2.2525017	2.1762059	2.3520937	2.6064343
Napsa	0.1889052	0.17200148	-0.20591286	0.2807584
Ccdc152	1.707111	1.6906134	1.8228914	1.9935842
Got1	2.0560813	1.8323112	2.1857996	2.330458
Vmn1r90	0.18783973	0.16265433	-0.1889908	0.28233424
Phkg1	2.8588998	2.793799	2.8061817	2.7999213
Ankrd10	2.9440284	2.8315742	3.0225513	3.1345434
Mcmdc2	0.7785557	0.7600834	1.2005455	1.1569436
Serpinb6b	3.144472	3.0674539	3.268021	3.1436543
Msmp	0.29428804	0.28791052	-0.1639269	0.3930974
Rmrp	1.3509066	1.4361621	1.5242703	1.6669908
Xlr4a	0.019416934	0.010649435	0.359593	0.40710515
Wdr13	2.6858737	2.646861	2.7186942	2.9611244
Sord	2.7246413	2.7000377	2.8691654	2.9931576
Gm42699	0.79402643	0.83012015	1.123732	0.94358975
Pawr	3.249744	3.2018173	2.8530242	3.254488
Fgf2os	1.3305961	1.1970731	1.628895	1.7219841
Dmd	3.485403	3.5141463	3.5744047	3.5884635
Tsga10	2.6168945	2.6476	2.7412148	2.7650955
Rerg	0.4798794	0.48203567	-0.58421344	0.4945423
Nthl1	2.5421734	2.4147112	2.6748567	2.6678631
Rarres1	1.9605236	1.8362854	2.196216	2.234785
Rbm44	1.5520186	1.5897878	1.719253	1.9348589
Pcnx3	2.4333088	2.4618342	2.576585	2.749055
Trappc4	2.9719076	2.9066343	3.0539312	3.0969362
Gm34829	1.3181913	1.5476642	1.7748168	1.9556637
Olfr172	-0.10348681	-0.056889184	0.34401727	0.40034947
Mtcp1	1.6856548	1.7276618	2.0608943	2.146542
Rrp9	2.2230299	2.4981701	2.6504157	2.740309
Tert	0.4805088	0.48004457	0.78057766	0.8741662
Kat14	2.2222733	2.250198	2.433444	2.567036
Col6a2	3.298927	3.1990943	3.3978803	3.1919582
4930483P17Rik	0.3599415	0.35970625	0.05072338	0.38933033
Sars	2.9120293	3.0616887	3.0754433	3.1391613
Tsc22d3	2.5279524	1.4549179	2.965827	2.986499
Chd8	2.9847543	3.0205226	3.1982238	2.9706192
Gm17399	0.29440168	0.29310337	0.26035166	0.38894948
Map3k19	0.2749614	0.3490601	0.34006998	0.42129073
Cep104	2.5189228	2.5349286	2.787064	2.8225837
Dbt	2.781213	2.6886976	2.841897	3.069584
Chchd5	2.348966	2.32902	2.5844114	2.6827435
4930581F22Rik	1.9880619	1.9686004	2.3186162	2.224053
Sox5it	0.18314742	0.17913656	0.2377267	-0.17942193
Ric8b	2.5184264	2.4592295	2.6641805	2.7544038
Orc2	2.5967832	2.6565337	2.7666094	2.8895972
Zfp385b	0.99089736	0.8712633	1.2299708	1.1531997
Hist1h2bh	0.90614575	0.735025	0.7598335	1.0734429
Gm42868	0.1977334	0.16964534	0.23878385	-0.10715332
Ppp4r1	2.5565357	2.4938223	2.5868926	2.7994645
1700047M11Rik	-0.28145966	0.17250632	0.2314854	0.27516752
Dazap1	2.8078508	2.9196184	3.046428	2.967233
Gm47767	1.8149157	1.7976589	1.9533793	2.1576588
C1galt1	2.7870882	2.5817893	3.054213	3.0110338
Gm11808	2.6460173	2.6217406	2.8013878	2.69746
Racgap1	0.96036273	0.8972513	1.0140252	1.0650204
Aktip	3.0631106	2.9905443	2.774037	3.307021
Dact1	1.8149796	2.0072293	2.0613356	2.3392289
Gm50336	0.4258567	0.104513615	0.31277978	0.48133975
Pik3r1	3.3186135	3.1110635	3.3615558	3.2466428
Abhd6	2.2059302	2.2600632	2.5077107	2.594143
Zfp993	1.2173213	1.0203083	1.4501303	1.5609682
Tnpo1	2.8154953	2.9271321	3.0635743	3.1216018
Pigo	1.4651327	1.3913221	1.6401985	1.7054075
Csrnp2	1.6357803	1.5852165	1.8458474	1.88342
Marc2	3.1915832	3.1600745	3.2350862	3.242125
Nedd9	2.8434374	2.6520689	3.167714	3.2670698
