gene	log_min	log_max
Gap43	-19.830187	-16.37631
Hdlbp	-10.354411	-6.900533
Cox20	-11.016898	-7.56302
Tmem205	-11.705149	-8.25127
Ift122	-13.538619	-10.084741
Serpina3g	-19.830187	-16.37631
Fam13c	-10.671036	-7.217158
Eid1	-10.3119955	-6.8581176
Malt1	-13.402082	-9.948204
Iqgap1	-10.040597	-6.586719
Gm44946	-16.739145	-13.285267
Pard6b	-19.830187	-16.37631
Gm46633	-16.996975	-13.543097
Hnrnpll	-12.352584	-8.8987055
Hk3	-19.830187	-16.37631
Helb	-13.51664	-10.062761
Ccdc152	-14.418542	-10.9646635
Got1	-13.752545	-10.298667
Vmn1r90	-18.220749	-14.766871
Phkg1	-12.248979	-8.7951
Ankrd10	-11.793938	-8.340059
Mcmdc2	-16.246668	-12.79279
Serpinb6b	-11.465913	-8.012034
Msmp	-18.220749	-14.766871
Rmrp	-14.473601	-11.019723
Xlr4a	-16.694693	-13.240815
Wdr13	-12.471357	-9.017479
Sord	-12.312667	-8.8587885
Gm42699	-16.141308	-12.68743
Pawr	-10.90673	-7.452852
Fgf2os	-15.120658	-11.6667795
Dmd	-9.456134	-6.0022564
Tsga10	-12.578135	-9.124256
Rerg	-18.443893	-14.990016
Nthl1	-12.820779	-9.3669
Rarres1	-13.103954	-9.650076
Rbm44	-14.441116	-10.987238
Pcnx3	-12.931474	-9.477595
Trappc4	-11.709302	-8.255424
Gm34829	-14.755014	-11.301136
Olfr172	-17.19113	-13.737252
Mtcp1	-14.400843	-10.946964
Rrp9	-12.891904	-9.438025
Tert	-16.996975	-13.543097
Kat14	-13.294947	-9.841068
Col6a2	-10.393669	-6.939791
4930483P17Rik	-17.884277	-14.4304
Sars	-11.241978	-7.7881
Tsc22d3	-11.996192	-8.542314
Chd8	-11.535889	-8.08201
Gm17399	-18.220749	-14.766871
Map3k19	-17.527603	-14.073725
Cep104	-12.753534	-9.299656
Dbt	-12.084752	-8.630874
Chchd5	-13.007991	-9.554112
4930581F22Rik	-13.52209	-10.068212
Sox5it	-18.731575	-15.277698
Ric8b	-12.797564	-9.343685
Orc2	-12.685781	-9.231902
Zfp385b	-15.687054	-12.233175
Hist1h2bh	-16.116615	-12.662738
Gm42868	-19.830187	-16.37631
Ppp4r1	-12.951861	-9.497983
Dazap1	-11.835556	-8.381678
Gm47767	-14.277228	-10.82335
C1galt1	-12.235304	-8.781425
Gm11808	-12.334646	-8.880768
Racgap1	-16.3962	-12.942323
Ska1	-19.13704	-15.683162
Aktip	-11.416136	-7.962258
Dact1	-13.778099	-10.324221
Gm50336	-18.443893	-14.990016
Pik3r1	-10.654439	-7.200561
CT868723.1	-18.731575	-15.277698
Abhd6	-13.149333	-9.695455
Zfp993	-15.352851	-11.8989725
Tnpo1	-11.733675	-8.279797
Pigo	-14.902934	-11.449056
Csrnp2	-14.609832	-11.155953
Marc2	-11.048633	-7.5947547
Nedd9	-11.391605	-7.9377275
Dhrs9	-17.057598	-13.603721
Art3	-11.661135	-8.207256
Rab5b	-11.504397	-8.050519
S1pr5	-19.830187	-16.37631
Klhl15	-13.707695	-10.253817
Pros1	-11.769332	-8.315454
Nat2	-14.688524	-11.234646
3010003L21Rik	-15.596082	-12.142203
Gm29237	-16.57209	-13.118213
Gm17191	-18.220749	-14.766871
Mrpl53	-11.365973	-7.9120955
Wdr59	-14.077616	-10.623737
Gm19792	-18.443893	-14.990016
Gm21269	-17.632963	-14.179085
0610025J13Rik	-19.830187	-16.37631
F2rl1	-17.265238	-13.81136
Cdo1	-10.632123	-7.178245
Fam25c	-15.085256	-11.631377
Gm20743	-19.13704	-15.683162
Mamstr	-14.665402	-11.211524
Exph5	-19.13704	-15.683162
Lrrn2	-17.750746	-14.296868
Slc38a10	-11.966922	-8.513043
Ankk1	-18.443893	-14.990016
Gm37637	-17.432293	-13.978415
Gm33195	-18.220749	-14.766871
Gm33280	-17.884277	-14.4304
Skil	-10.726654	-7.272776
Ttc25	-17.750746	-14.296868
Fnbp1l	-12.790527	-9.336649
Cntd1	-15.75265	-12.298772
Zdhhc20	-11.896391	-8.4425125
Gm15706	-14.642802	-11.188924
Sdf2l1	-13.578284	-10.124406
Gm49970	-16.116615	-12.662738
Yif1b	-11.403138	-7.94926
Ecsit	-12.547427	-9.093549
Gm11008	-17.632963	-14.179085
Taf6l	-14.292853	-10.838975
Slc35f6	-13.424959	-9.971081
Rp9	-10.901547	-7.4476695
Znhit1	-11.400079	-7.946201
Smo	-12.075278	-8.6214
Haus4	-13.705504	-10.251626
Tyw1	-13.070932	-9.617054
Ogg1	-13.887388	-10.43351
Cep97	-13.351679	-9.8978
Ccnd3	-11.15582	-7.701942
Ddx21	-11.639279	-8.185401
Gm44190	-16.739145	-13.285267
Usp45	-12.549491	-9.095613
Bcl7b	-11.244402	-7.790524
Dtl	-16.303827	-12.849949
Scn7a	-16.068987	-12.615109
Polr3b	-13.952453	-10.498574
Rnf187	-10.670509	-7.2166314
Gfra1	-18.038427	-14.58455
Gm5084	-19.830187	-16.37631
Ttll7	-10.95183	-7.497952
Zfp114	-14.742592	-11.288713
Zfp7	-14.917533	-11.4636545
Impa1	-11.144434	-7.690556
Zfp740	-12.561965	-9.108087
Tpbg	-15.769745	-12.315866
