gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Xkr4	0.3	0.48	0.3	0.51	1.0	-6.4664116	-6.7681465	-6.5985575	-6.659593	0.56204647	0.083897665	-15.371616535609707	3.0859473191293367	0.001941747572815534	1
Gm19938	0.37	0.4499999999999999	0.37	0.64	1.0	-7.474916	-6.981874	-7.323539	-7.153962	0.0	-0.13938849	-15.394775265900984	3.0978086246932173	0.001941747572815534	1
Mrpl15	0.38	0.4499999999999999	0.38	0.61	1.0	-450.10727	-439.4642	-446.1372	-442.6486	0.0	-3.239263	-9.902978353260561	5.460908423114179	0.3533980582524272	182
Lypla1	0.4	0.45	0.4	0.45	1.0	-377.13104	-368.84943	-374.97632	-371.36874	0.0	-2.5025344	-10.258726666211587	1.9376463317639763	0.26601941747572816	137
Tcea1	0.31	0.32	0.31	0.67	0.9899999999999998	-669.6415	-649.9419	-665.9828	-653.41534	0.0	-7.046921	-9.044117878862481	1.0919438854878774	0.6077669902912621	313
Rgs20	0.33	0.48	0.33	0.58	1.0	-7.3606043	-7.6102777	-7.383382	-7.540128	0.90877056	0.07796626	-15.318025906050545	3.109480465432796	0.001941747572815534	1
Atp6v1h	0.2	0.3299999999999999	0.2	0.63	1.0	-401.0774	-388.4211	-401.3829	-391.52466	0.0	-4.1486998	-10.14438980325742	3.5249532618088524	0.2796116504854369	144
Rb1cc1	0.49	0.34	0.34	0.6	1.0	-594.4436	-587.1257	-591.8573	-588.82556	0.0	-2.4398847	-9.391588163048153	1.8401589180296192	0.47572815533980584	245
4732440D04Rik	0.25	0.48	0.25	0.53	1.0	-118.96389	-117.9991	-119.54506	-117.8479	0.0	-0.48466817	-12.083405392579554	3.303311739293514	0.05242718446601942	27
Pcmtd1	0.4	0.42	0.4	0.63	1.0	-669.8507	-650.04846	-658.82117	-662.4298	0.0	-3.222855	-9.144937823193043	3.4498772701604796	0.5475728155339806	282
Gm26901	0.25	0.49	0.25	0.54	1.0	-6.409056	-6.254156	-6.3975616	-6.3210707	0.0	-0.038211625	-15.300084210348253	3.1071718980624192	0.001941747572815534	1
Rrs1	0.4599999999999999	0.38	0.38	0.7	0.9	-241.11777	-236.16338	-240.99438	-237.02351	0.0	-1.7781117	-10.987142920813863	4.809054482146861	0.141747572815534	73
Adhfe1	0.09	0.0799999999999999	0.0799999999999999	0.88	0.36	-76.20797	-81.81623	-75.65762	-82.069534	1.0	2.5456452	-12.720369366000059	3.9203747538113642	0.036893203883495145	19
Mybl1	0.2199999999999999	0.3	0.2199999999999999	0.32	1.0	-65.98368	-72.39847	-71.84996	-65.65958	0.08550676	-0.14075671	-12.888950554856224	0.539489892228298	0.02524271844660194	13
Vcpip1	0.4	0.45	0.4	0.54	1.0	-352.76413	-340.87018	-348.4805	-345.68167	0.0	-3.0758727	-10.418512326314767	0.8228835575239684	0.2446601941747573	126
Sgk3	0.29	0.3399999999999999	0.29	0.63	1.0	-182.67717	-176.81274	-180.2886	-178.36221	0.0	-1.8739618	-11.4366224605543	5.9507552855432	0.1029126213592233	53
Snhg6	0.48	0.1999999999999999	0.1999999999999999	0.62	1.0	-420.89316	-406.80634	-412.45728	-414.90494	0.0	-2.600651	-10.057411413770588	4.729335968477024	0.2970873786407767	153
Tcf24	0.3	0.4399999999999999	0.3	0.62	1.0	-6.6981735	-6.6325293	-6.8232117	-6.6794157	0.0	-0.008146417	-15.349163255646417	3.2010406016217314	0.001941747572815534	1
Cops5	0.47	0.43	0.43	0.58	1.0	-509.46533	-484.44244	-496.43	-496.8532	0.0	-5.4773746	-9.661136934425226	5.104121368246239	0.4077669902912621	210
Cspp1	0.18	0.43	0.18	0.64	1.0	-280.57202	-276.03784	-276.40048	-279.9695	0.0	-0.26166612	-10.754886714461753	6.279285944609382	0.15922330097087378	82
Arfgef1	0.36	0.49	0.36	0.59	1.0	-396.70993	-387.9465	-393.69644	-391.89008	0.0	-2.0932362	-10.109978016791205	2.970356397378918	0.287378640776699	148
Cpa6	0.34	0.31	0.31	0.63	1.0	-12.114263	-11.843209	-11.8961315	-11.952551	0.0	-0.07023049	-14.689636021003462	3.9270727976345112	0.003883495145631068	2
Prex2	0.2099999999999999	0.08	0.08	0.78	0.6599999999999999	-486.48624	-487.63898	-481.0953	-494.89044	1.0	3.6499	-9.813126124876321	1.1080343142819338	0.3300970873786408	170
Sulf1	0.38	0.37	0.37	0.52	1.0	-740.42615	-723.2996	-736.54	-726.83984	0.0	-5.9004564	-8.943711193525086	5.299850503765169	0.5883495145631068	303
Ncoa2	0.43	0.39	0.39	0.6	1.0	-235.08377	-232.51804	-234.84128	-232.87357	0.0	-0.9598799	-10.909355895316825	0.9932355924553038	0.1533980582524272	79
Tram1	0.47	0.36	0.36	0.63	1.0	-516.0767	-499.77368	-507.62067	-509.24722	0.0	-2.9660134	-9.654891455588833	5.221559380266857	0.4155339805825243	214
Lactb2	0.42	0.49	0.42	0.5	1.0	-276.7474	-270.94962	-275.75497	-272.19473	0.0	-1.9772009	-10.767365084310295	6.2309269435468995	0.1766990291262136	91
Eya1	0.4	0.2199999999999999	0.2199999999999999	0.57	1.0	-7.3795867	-7.587921	-7.239766	-7.8190017	1.0	0.19083549	-15.33440695348384	4.8135815798323325	0.001941747572815534	1
Gm9947	0.48	0.38	0.38	0.59	1.0	-7.6063447	-7.222093	-7.452427	-7.338971	0.0	-0.11611886	-15.377358908777014	4.848524387078781	0.001941747572815534	1
Msc	0.2299999999999999	0.47	0.2299999999999999	0.6	1.0	-7.5566697	-7.2966166	-7.323756	-7.5061083	0.0	-0.021958549	-15.326763681919125	0.014697231518381315	0.001941747572815534	1
Terf1	0.31	0.41	0.31	0.53	1.0	-259.8133	-246.25717	-253.28923	-251.03162	0.0	-3.813834	-10.881391619626454	5.5573286061372285	0.141747572815534	73
Sbspon	0.43	0.38	0.38	0.61	1.0	-46.876213	-45.914196	-46.705795	-46.02228	0.0	-0.37085772	-13.26998509344655	1.1583376644306824	0.015533980582524271	8
Rpl7	0.4399999999999999	0.43	0.43	0.56	1.0	-1541.0673	-1508.6084	-1530.7755	-1517.919	0.0	-10.053185	-6.569725259698069	1.0064665557578438	0.9883495145631068	509
Rdh10	0.18	0.4	0.18	0.56	1.0	-76.245674	-73.36766	-75.427124	-73.98259	0.0	-0.98284507	-12.675001883568283	6.083358433634008	0.031067961165048542	16
Stau2	0.5	0.46	0.46	0.59	1.0	-139.90225	-134.2231	-139.02353	-135.70273	0.0	-1.82383	-11.87183416684162	2.1150937261630833	0.062135922330097085	32
Ube2w	0.38	0.41	0.38	0.54	1.0	-388.8249	-382.97803	-387.24643	-384.71786	0.0	-1.7836584	-10.162339551306372	2.275169883212498	0.2737864077669903	141
Eloc	0.33	0.42	0.33	0.63	1.0	-717.5519	-699.8486	-713.8463	-706.68933	0.0	-4.717545	-8.936113890751963	3.427288761533419	0.6699029126213593	345
D030040B21Rik	0.33	0.47	0.33	0.53	1.0	-7.852098	-7.5433607	-7.796116	-7.590993	0.0	-0.11339649	-15.336849298596318	3.096909356607972	0.001941747572815534	1
Tmem70	0.3199999999999999	0.49	0.3199999999999999	0.54	1.0	-325.9445	-317.29926	-322.33124	-320.83835	0.0	-2.2175684	-10.462460821324548	0.360998564150913	0.22330097087378642	115
Ly96	0.1999999999999999	0.38	0.1999999999999999	0.44	1.0	-154.17702	-144.9476	-153.5442	-145.2021	0.0	-3.8977559	-11.691022765780058	0.007959774608930381	0.08155339805825243	42
Jph1	0.43	0.27	0.27	0.59	1.0	-126.09668	-120.8656	-121.96118	-124.651184	0.0	-0.6277708	-11.907671520503886	1.613002950701711	0.05825242718446602	30
Gdap1	0.22	0.5	0.22	0.7	0.9	-12.137033	-12.597109	-11.932248	-12.531329	1.0	0.17124043	-14.683014046035098	3.143664572598618	0.003883495145631068	2
Pi15	0.25	0.4499999999999999	0.25	0.36	1.0	-1048.3103	-1038.3732	-1050.4222	-1036.2291	0.0	-5.2467885	-8.172306498087053	5.780718379845504	0.7533980582524272	388
