gene	bin_0	bin_1	bin_2	bin_3
Xkr4	0.03944404	0.5956052	0.342848	0.5512506
Mrpl15	2.0745184	2.4381082	2.220974	2.5043755
Lypla1	1.7713509	2.2193367	1.8691107	2.2683108
Tcea1	2.4371982	2.763971	2.5325074	2.8810062
Gm16041	0.1655928	-0.13780022	0.19251342	0.2761702
Atp6v1h	1.9047593	2.398157	1.9860145	2.240286
Rb1cc1	2.2945435	2.5550463	2.420628	2.4334898
4732440D04Rik	1.0059118	1.2042398	1.1789933	1.2977308
Pcmtd1	2.4027991	2.6941361	2.5783987	2.8415098
Rrs1	1.604663	1.9559778	1.6534562	2.0535004
Adhfe1	0.95639414	1.5200677	0.9897388	1.4319152
2610203C22Rik	0.2487067	-0.34478998	0.2588218	0.37663454
Mybl1	0.503695	1.2279606	0.5921123	0.95670056
Vcpip1	1.6632061	2.145031	1.9218235	2.2155495
Sgk3	1.2682179	1.9187497	1.482971	1.8597305
Mcmdc2	0.41526884	0.6145986	0.32467762	0.62595326
Snhg6	1.9103106	2.4034836	1.9822972	2.386943
Tcf24	0.1376822	0.27330682	-0.4698345	0.29172426
Cops5	1.9808732	2.450312	2.1532438	2.4555473
Cspp1	1.56821	2.1042712	1.8884376	2.2336614
Arfgef1	1.9215341	2.4222872	2.0267947	2.3301885
Cpa6	0.1674618	0.25243205	0.1414956	-0.01387779
Prex2	2.282417	2.3340337	2.3006716	2.7418098
A830018L16Rik	0.1485437	-0.25794	0.14091133	0.29739574
Sulf1	2.5373225	2.150231	2.5919645	2.9474838
Slco5a1	0.4355085	0.56744814	0.30767265	0.7107624
Ncoa2	1.6781609	2.211275	1.8471818	2.1414013
Tram1	2.1138523	2.485486	2.2085378	2.54177
Lactb2	1.7002124	2.1771128	1.8169073	2.2464428
Eya1	0.3607205	0.5137843	0.026627513	0.47891018
Kcnb2	0.16434921	-0.032028794	0.16470054	0.29862857
Terf1	1.5161165	1.8694293	1.6989784	2.0657134
Sbspon	0.97253656	1.1406848	0.38279217	0.88531446
Rpl7	3.0433688	3.212972	2.8754447	3.1438365
Rdh10	0.8887538	1.2801877	0.96416867	1.435669
Stau2	1.2932519	1.7421043	1.6037949	1.8253361
Ube2w	1.9466372	2.270451	2.0305226	2.3977304
Eloc	2.3300998	2.7408993	2.5117044	2.7685192
D030040B21Rik	0.13926727	0.024697006	0.17609966	0.3013305
Tmem70	1.8426576	2.2451115	1.8203263	2.273122
Ly96	0.92737675	1.3827107	1.2005523	1.6011276
Jph1	1.4084606	1.8367761	1.4637244	1.8085663
Gdap1	0.15804273	-0.33050427	0.1633281	0.283886
Pi15	2.5211456	2.9534755	2.5369096	2.9750752
Gm28154	0.50188	0.68624514	0.24361299	0.83700055
Gm16070	0.7222127	0.73403853	0.5258329	0.80904216
Crispld1	2.148813	2.5870779	2.3986325	2.255342
Tfap2b	2.0737052	2.163384	2.1339598	2.5379434
Mcm3	1.058835	1.5748227	1.305207	1.5271927
6720483E21Rik	0.33866677	0.33276933	0.3338662	0.58952487
Paqr8	0.7442022	1.276339	0.78672045	1.3501095
Efhc1	0.45500487	0.45344815	0.7585573	0.86067945
Tram2	1.6783339	2.1506128	1.9460185	2.2977092
Tmem14a	1.4562662	2.0194042	1.6286083	1.9883648
Gsta3	-0.043352988	0.5799078	0.10334506	0.65195847
Gm28836	0.33608627	0.474882	0.4720725	0.34349963
Kcnq5	0.18668465	0.9917678	0.80231494	0.79648495
Rims1	0.034884676	0.65251255	0.3462636	0.6552734
Gm27028	0.32568866	0.462248	0.2631127	0.43813452
Gm29107	0.6610126	0.91354007	0.21987733	1.016807
Ogfrl1	1.8283323	2.3425448	2.0138562	2.2374177
B3gat2	0.4474547	0.85686284	0.672172	1.0989854
Smap1	2.543165	2.8226857	2.5957818	2.7963066
Sdhaf4	1.9889928	2.285079	2.0622005	2.4165068
Fam135a	1.8797204	2.1363792	1.8877727	2.3128843
Col9a1	0.39635938	0.68730855	0.6156852	0.81046325
Col19a1	0.4513732	0.8121886	0.7014196	0.868126
Lmbrd1	2.1577864	2.5457704	2.2885234	2.606809
Adgrb3	0.15431277	0.26940328	0.14859043	-0.0677209
Phf3	2.2820246	2.4826689	2.305503	2.634883
Ptp4a1	0.4562848	0.18100141	0.4736024	0.6261508
Ptp4a1-1	0.551746	0.9142764	0.8353031	1.1476636
Gm37724	-0.5395636	0.25566718	0.17022005	0.2722716
Prim2	1.1932261	1.6416713	1.153009	1.4318616
Rab23	1.6692027	1.926951	1.845883	2.2176738
Bag2	1.870253	2.22406	1.9831247	2.3277655
Zfp451	1.7194383	2.26977	1.8805343	2.3524418
Bend6	0.99273634	1.1013492	0.7059138	1.5225044
Dst	2.759859	3.0220547	2.8403268	3.1674356
Gm37233	0.5876968	0.7410516	0.5443687	0.77189213
Ccdc115	1.67286	1.9826211	1.7996463	2.1940253
Imp4	1.548081	2.065932	1.6128637	2.1023362
Ptpn18	0.41734895	0.60918	0.43382478	0.13773705
Arhgef4	0.12757443	0.7937626	0.26941478	0.9168155
