gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Xkr4	0.46	0.4	0.4	0.49	1.0	-7.5922837	-7.0149126	-7.3720503	-7.149508	0.0	-0.19229504	-15.632084491175087	4.732900168044704	0.0022026431718061676	1
Gm19938	0.5	0.0999999999999999	0.0999999999999999	0.55	1.0	-20.205639	-22.630255	-20.329433	-22.274162	0.9489426	0.8983483	-14.364251975022306	4.705834288561396	0.00881057268722467	4
Gm37323	0.47	0.26	0.26	0.58	1.0	-7.4308243	-7.5802574	-7.4026556	-7.5216765	1.0	0.039456636	-15.557548227351107	1.5250186137728123	0.0022026431718061676	1
Mrpl15	0.39	0.38	0.38	0.56	1.0	-497.63364	-486.65137	-490.6374	-492.92422	0.0	-2.0452714	-9.81731976677342	0.13944369629288467	0.47577092511013214	216
Lypla1	0.42	0.32	0.32	0.62	1.0	-369.8495	-355.40317	-363.9942	-361.95956	0.0	-3.42655	-10.350022020794707	1.5507131513744525	0.31938325991189426	145
Tcea1	0.22	0.42	0.22	0.63	1.0	-712.9957	-699.4007	-706.7919	-705.01685	0.0	-3.4651842	-8.927694982676707	3.38702101718737	0.748898678414097	340
Atp6v1h	0.4399999999999999	0.39	0.39	0.54	1.0	-430.4397	-424.78204	-430.31924	-424.7845	0.0	-2.4560275	-10.07198845685101	5.083780004943049	0.40308370044052866	183
Rb1cc1	0.35	0.33	0.33	0.59	1.0	-707.4831	-697.48694	-705.3895	-699.56055	0.0	-3.4407182	-8.919478645930832	2.2845791728288085	0.6872246696035242	312
4732440D04Rik	0.43	0.44	0.43	0.57	1.0	-107.34013	-105.0735	-107.065895	-105.55499	0.0	-0.7752769	-12.350152324351406	0.5079321274036692	0.05286343612334802	24
Pcmtd1	0.5	0.42	0.42	0.61	1.0	-709.6795	-691.31134	-696.4452	-702.82196	0.0	-2.9781935	-9.00108812105396	2.5382051289549423	0.7158590308370044	325
Rrs1	0.35	0.29	0.29	0.65	1.0	-282.4245	-270.42276	-277.4582	-275.12115	0.0	-3.1718023	-10.91739673567842	2.042228409254797	0.21365638766519823	97
Adhfe1	0.3399999999999999	0.23	0.23	0.55	1.0	-108.126144	-106.73643	-107.59426	-107.18221	0.0	-0.40994427	-12.225489099842807	0.8666748801021598	0.05947136563876652	27
Mybl1	0.42	0.21	0.21	0.56	1.0	-112.87189	-112.01979	-111.761856	-112.90055	0.0	0.012448458	-12.262038709501413	1.186870950310774	0.05947136563876652	27
