gene	log_min	log_max
Xkr4	-17.396425	-13.942547
Sox17	-15.786987	-12.333109
Gm37587	-17.396425	-13.942547
Mrpl15	-11.488342	-8.034464
Lypla1	-12.049317	-8.595439
Tcea1	-10.71557	-7.2616925
Atp6v1h	-11.723102	-8.269223
Rb1cc1	-11.004508	-7.55063
4732440D04Rik	-13.546277	-10.092399
Pcmtd1	-10.721864	-7.267986
Sntg1	-17.396425	-13.942547
Rrs1	-12.5443945	-9.090516
Adhfe1	-14.06422	-10.610342
2610203C22Rik	-15.604666	-12.150787
Mybl1	-13.785507	-10.331629
Vcpip1	-11.878972	-8.425094
1700034P13Rik	-17.396425	-13.942547
Sgk3	-13.065692	-9.611814
Mcmdc2	-16.01013	-12.5562525
Snhg6	-11.750978	-8.2971
Tcf24	-16.297812	-12.843934
Cops5	-11.412489	-7.958611
Cspp1	-12.063706	-8.609828
Arfgef1	-11.878972	-8.425094
Prex2	-11.191867	-7.737989
A830018L16Rik	-17.396425	-13.942547
Sulf1	-10.597369	-7.1434913
Slco5a1	-15.786987	-12.333109
Ncoa2	-12.392479	-8.938601
Tram1	-11.314206	-7.860328
Lactb2	-12.38579	-8.931911
Eya1	-16.297812	-12.843934
Terf1	-12.669037	-9.215158
Sbspon	-14.351903	-10.898025
4930444P10Rik	-17.396425	-13.942547
Rpl7	-8.385878	-4.9319997
Rdh10	-13.758839	-10.30496
Stau2	-13.25329	-9.799412
Ube2w	-11.831904	-8.378026
Eloc	-10.646494	-7.192616
D030040B21Rik	-16.703278	-13.249399
Tmem70	-12.030449	-8.5765705
Ly96	-13.20677	-9.752892
Jph1	-13.785507	-10.331629
Gdap1	-16.703278	-13.249399
Pi15	-9.854742	-6.400864
Gm28154	-14.6883745	-11.234496
Gm16070	-15.316983	-11.863105
Crispld1	-11.152258	-7.69838
Tfap2b	-11.504781	-8.050902
Mcm3	-13.707545	-10.253667
6720483E21Rik	-16.297812	-12.843934
Paqr8	-14.177549	-10.723671
Efhc1	-15.604666	-12.150787
Tram2	-12.049317	-8.595439
Tmem14a	-12.705077	-9.251199
Gsta3	-16.703278	-13.249399
Kcnq5	-14.6883745	-11.234496
Rims1	-15.450515	-11.996636
Gm29107	-15.09384	-11.639961
Ogfrl1	-12.165317	-8.711438
B3gat2	-14.451986	-10.998108
Smap1	-10.53786	-7.083982
Sdhaf4	-11.549986	-8.0961075
Fam135a	-12.165317	-8.711438
Col9a1	-15.786987	-12.333109
Col19a1	-15.604666	-12.150787
Lmbrd1	-11.081067	-7.627189
Adgrb3	-16.297812	-12.843934
Phf3	-11.131124	-7.6772456
Ptp4a1	-15.450515	-11.996636
Ptp4a1-1	-15.09384	-11.639961
Prim2	-13.30208	-9.848202
Rab23	-12.068549	-8.614671
Bag2	-11.82808	-8.374202
Zfp451	-12.149401	-8.695522
Bend6	-13.930689	-10.47681
Dst	-9.081347	-5.62747
Gm26788	-16.703278	-13.249399
