gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Xkr4	0.47	0.19	0.19	0.6	1.0	-15.767792	-18.043552	-15.956746	-17.176352	0.9169709	0.61172974	-15.158506551528975	1.2125222084318885	0.00411522633744856	3
Gm19938	0.46	0.3	0.3	0.64	1.0	-28.940075	-28.860363	-28.75586	-28.695063	0.0	-0.10640748	-14.620604481570973	1.3379781695883297	0.006858710562414266	5
Sox17	0.4599999999999999	0.38	0.38	0.57	1.0	-8.981634	-8.360993	-8.88442	-8.495157	0.0	-0.21127424	-16.148887725943148	1.2001040415301247	0.0013717421124828531	1
Mrpl15	0.41	0.34	0.34	0.52	1.0	-765.95496	-765.63055	-769.78235	-764.1574	0.0	-0.78066444	-10.024538309371316	2.8748046040278505	0.4403292181069959	321
Lypla1	0.39	0.2299999999999999	0.2299999999999999	0.54	1.0	-700.621	-690.0176	-695.6728	-697.45044	0.0	-1.3769447	-10.114671634098045	4.179318104695183	0.38820301783264743	283
Tcea1	0.39	0.44	0.39	0.54	1.0	-1156.9518	-1143.3417	-1156.1676	-1143.1285	0.0	-6.003358	-8.964557168293439	0.23515957737357507	0.7256515775034293	529
Atp6v1h	0.37	0.42	0.37	0.74	0.7799999999999999	-662.39526	-654.547	-660.11414	-660.2652	0.0	-0.9250759	-10.220389469125863	2.4829262136025756	0.3772290809327846	275
Rb1cc1	0.36	0.4	0.36	0.56	1.0	-1088.5813	-1048.2755	-1068.4147	-1072.3783	0.0	-7.036875	-9.198290676443932	0.3257034196052748	0.6488340192043895	473
4732440D04Rik	0.36	0.3	0.3	0.7	0.9	-144.87247	-139.81616	-144.29996	-140.35995	0.0	-1.9597591	-12.633219001837567	5.542504622280679	0.0438957475994513	32
Pcmtd1	0.4399999999999999	0.44	0.4399999999999999	0.6	1.0	-1217.7584	-1181.1194	-1212.6321	-1189.8123	0.0	-12.136866	-8.89266106226513	1.9241482796718827	0.7325102880658436	534
Gm26901	0.2299999999999999	0.4499999999999999	0.2299999999999999	0.52	1.0	-6.7014723	-7.8406878	-6.975962	-7.6269712	0.7590536	0.4019391	-16.08404185163403	6.196554882511895	0.0013717421124828531	1
Rrs1	0.35	0.46	0.35	0.59	1.0	-393.95892	-384.7584	-390.51993	-389.31866	0.0	-2.0152388	-11.085835139089635	0.1612152314854729	0.1755829903978052	128
Adhfe1	0.11	0.2099999999999999	0.11	0.73	0.8099999999999999	-207.85812	-209.43613	-206.78606	-211.4447	1.0	1.5576311	-12.248833480297568	3.749561281434033	0.07407407407407407	54
2610203C22Rik	0.26	0.15	0.15	0.56	1.0	-23.515919	-24.452053	-23.49524	-24.53101	1.0	0.44084838	-14.82845356126723	4.3115413601149095	0.0054869684499314125	4
Mybl1	0.02	0.3199999999999999	0.02	0.78	0.6599999999999999	-126.88072	-131.29935	-128.39946	-132.16127	0.65628725	2.2933128	-12.509087358603441	5.9615236277917605	0.0438957475994513	32
Vcpip1	0.45	0.41	0.41	0.59	1.0	-622.00946	-606.3097	-619.52795	-611.8278	0.0	-4.42183	-10.392407968500711	1.5611464538002124	0.3319615912208505	242
Sgk3	0.48	0.49	0.48	0.6	1.0	-379.1674	-374.39493	-379.10468	-375.7287	0.0	-1.4934042	-11.20247551087087	1.4902259441824928	0.16872427983539096	123
Mcmdc2	0.48	0.31	0.31	0.64	1.0	-7.0545716	-7.1546235	-6.9483557	-7.368496	1.0	0.1363356	-16.092633571205205	1.2791970121885807	0.0013717421124828531	1
Snhg6	0.47	0.27	0.27	0.5	1.0	-730.1887	-719.50085	-721.7738	-729.30206	0.0	-0.38507056	-10.08219481703137	2.288496874392746	0.40054869684499317	292
Tcf24	0.25	0.35	0.25	0.5	1.0	-40.721416	-40.3693	-41.019897	-40.441338	0.0	-0.12163671	-14.242291955321022	0.6350926770573633	0.009602194787379973	7
Cops5	0.41	0.42	0.41	0.59	1.0	-801.2245	-785.9796	-791.9928	-798.7586	0.0	-1.0709187	-9.855756478200856	4.903484287321588	0.4732510288065844	345
Cspp1	0.4	0.37	0.37	0.4	1.0	-630.146	-632.021	-635.6885	-628.9743	0.0	-0.50885934	-10.368537235564013	4.18652545059776	0.32647462277091904	238
Arfgef1	0.1999999999999999	0.4	0.1999999999999999	0.66	1.0	-715.52704	-711.39026	-708.6497	-718.62024	0.0	1.34336	-10.003613900467732	6.029696035425214	0.4046639231824417	295
Prex2	0.49	0.24	0.24	0.69	0.93	-985.45087	-971.31995	-970.33105	-987.45703	0.0	0.8712662	-9.535075788267932	4.638761877131723	0.45267489711934156	330
