gene	bin_0	bin_1	bin_2	bin_3
Xkr4	0.37076887	-0.3720642	0.41025037	0.3165665
Gm19938	0.0030017735	0.35434803	0.33964542	-0.060947135
Mrpl15	2.3305917	2.2425027	2.2916164	1.9724828
Lypla1	2.1140103	2.2009075	2.1228833	1.9305602
Tcea1	2.5600634	2.4211624	2.6794894	2.388083
Atp6v1h	2.1172342	2.1903677	2.2431006	2.0284004
Rb1cc1	2.5397284	2.5344362	2.6983783	2.3889515
4732440D04Rik	1.3803793	1.1019849	1.3365729	0.8691417
Pcmtd1	2.4986107	2.6674788	2.7278483	2.4224918
Rrs1	1.8495151	1.7131217	1.8924977	1.4769754
Adhfe1	1.0341192	1.1369686	1.0384927	0.9178069
Mybl1	1.0725238	1.1459577	1.298856	0.82279986
Vcpip1	1.9519267	2.122615	2.1165612	1.8496795
1700034P13Rik	0.23651308	0.2214527	-0.018470084	0.1629357
Sgk3	1.7668798	1.3834586	1.7862058	1.5094248
Snhg6	2.26074	2.2014077	2.286228	2.0510662
Tcf24	0.4363121	0.3593581	0.46688762	0.32641128
Ppp1r42	0.24636792	0.22319543	-0.28867805	0.16154268
Cops5	2.222246	2.1912203	2.3551946	1.9566878
Cspp1	2.1426866	2.134484	2.2030048	1.8398725
Arfgef1	2.3424726	2.2942488	2.286997	2.0720804
Cpa6	0.23649396	0.2073648	-0.13398571	0.16156232
Prex2	2.1369374	1.5635687	2.4022949	2.11541
A830018L16Rik	0.24040648	0.22500077	-0.31232122	0.17716314
Sulf1	2.6632557	2.6972303	2.5811017	2.4145184
Slco5a1	-0.039287392	0.4018718	0.27153185	0.26650858
Ncoa2	1.9906918	1.9985303	2.0252585	1.5549455
Tram1	2.3271823	2.3147633	2.4590557	2.0826368
Lactb2	1.8874964	1.9212098	1.9153693	1.342486
Eya1	0.4971393	0.65550745	0.39972562	0.08770974
Terf1	1.552807	1.7223338	1.7612696	1.3915776
Sbspon	0.9529342	1.2018381	1.0175618	0.5931685
4930444P10Rik	-0.25547123	0.2565356	0.28152794	0.17079157
Rpl7	2.9856806	3.0320997	3.078457	2.9351459
Rdh10	0.54471207	1.0464362	1.1574148	0.56230533
Stau2	1.2994527	1.5746502	1.599591	1.188001
Ube2w	2.197995	2.0352614	2.277837	2.0119956
Eloc	2.6431398	2.3225951	2.6283095	2.3855987
D030040B21Rik	-0.12243843	0.23479424	0.24908142	0.15603623
Tmem70	2.157313	2.059377	2.0944612	1.8863038
Ly96	1.2610155	1.2208539	1.2992246	1.1937017
Jph1	1.3289177	1.337414	1.5102228	1.2844292
Gdap1	-0.011710177	0.38460883	0.36585084	0.36412746
Pi15	2.804335	2.7857683	2.741376	2.5121088
Gm28154	0.5804114	0.39072978	0.67361623	0.44750938
Gm16070	0.87070924	0.89982647	0.8847497	0.5529073
Crispld1	2.385729	2.323038	2.4995778	2.3139448
Tfap2b	2.384081	2.4131756	2.3324656	1.9573293
Mcm3	1.4253805	1.2900035	1.4111096	1.0924782
Paqr8	1.1063902	1.0012428	0.6765351	0.70157987
Efhc1	0.4107063	-0.55691236	0.48474512	0.3610321
Tram2	2.124472	2.012965	2.167956	1.4869928
Tmem14a	1.9191833	1.7907166	1.930466	1.5653334
Gsta3	0.20730463	0.51058173	0.40284926	0.4690139
Gm28836	0.1042421	0.3467576	0.25781533	0.30800477
Kcnq5	0.5599161	0.2744123	0.71659946	0.54951596
Rims1	0.6991542	0.6952469	0.6538208	0.28345338
Gm27028	0.24918701	0.23873636	-0.082228504	0.18413578
Gm29107	0.8362762	0.9208236	0.82438654	0.56733096
Ogfrl1	2.3132434	2.0657558	2.3298986	1.946487
B3gat2	0.41970927	0.23462881	0.46930662	0.18937437
Smap1	2.7380314	2.4874732	2.7458909	2.5369287
Sdhaf4	2.2897072	2.209838	2.2861543	1.9603858
Fam135a	2.2205417	2.1856918	2.2160637	1.8589532
Col9a1	0.4672441	0.4475238	0.51817626	0.33932483
