gene	log_min	log_max
Xkr4	-16.074858	-12.620979
Gm19938	-16.480322	-13.0264435
Mrpl15	-11.531563	-8.077684
Lypla1	-11.910779	-8.456901
Tcea1	-10.620961	-7.1670833
Atp6v1h	-11.744123	-8.290245
Rb1cc1	-10.758372	-7.3044944
4732440D04Rik	-13.618121	-10.164243
Pcmtd1	-10.622389	-7.168511
Rrs1	-12.651681	-9.197803
Adhfe1	-13.954594	-10.500715
Mybl1	-13.954594	-10.500715
Vcpip1	-12.067524	-8.613646
1700034P13Rik	-17.17347	-13.719591
Sgk3	-12.696133	-9.242254
Snhg6	-11.648017	-8.194139
Tcf24	-16.074858	-12.620979
Ppp1r42	-17.17347	-13.719591
Cops5	-11.652009	-8.198131
Cspp1	-11.890265	-8.436387
Arfgef1	-11.6013155	-8.147437
Cpa6	-17.17347	-13.719591
Prex2	-11.177017	-7.7231393
A830018L16Rik	-17.17347	-13.719591
Sulf1	-10.460513	-7.006635
Slco5a1	-16.480322	-13.0264435
Ncoa2	-12.268195	-8.814317
Tram1	-11.270836	-7.816958
Lactb2	-12.411296	-8.9574175
Eya1	-15.564032	-12.110153
Terf1	-12.791443	-9.337564
Sbspon	-13.995416	-10.541537
4930444P10Rik	-17.17347	-13.719591
Rpl7	-8.502354	-5.048476
Rdh10	-14.283098	-10.82922
Stau2	-13.030334	-9.576456
Ube2w	-11.636135	-8.182257
Eloc	-10.773212	-7.3193345
D030040B21Rik	-17.17347	-13.719591
Tmem70	-11.910779	-8.456901
Ly96	-13.484591	-10.030712
Jph1	-13.302269	-9.848391
Gdap1	-16.074858	-12.620979
Pi15	-10.164965	-6.7110868
Gm28154	-15.227559	-11.773681
Gm16070	-14.6085205	-11.154642
Crispld1	-11.235933	-7.7820554
Tfap2b	-11.329926	-7.8760476
Mcm3	-13.366807	-9.912929
Paqr8	-14.283098	-10.82922
Efhc1	-16.074858	-12.620979
Tram2	-11.99732	-8.543442
Tmem14a	-12.446082	-8.992204
Gsta3	-15.564032	-12.110153
Gm28836	-16.480322	-13.0264435
Kcnq5	-15.38171	-11.927832
Rims1	-15.0940275	-11.640149
Gm27028	-17.17347	-13.719591
Gm29107	-14.6085205	-11.154642
Ogfrl1	-11.688673	-8.234795
B3gat2	-16.074858	-12.620979
Smap1	-10.414214	-6.960336
Sdhaf4	-11.705409	-8.251531
Fam135a	-11.885202	-8.431324
Col9a1	-15.564032	-12.110153
Col19a1	-14.082427	-10.628549
Lmbrd1	-11.329926	-7.8760476
Adgrb3	-17.17347	-13.719591
Phf3	-10.900593	-7.446715
Ptp4a1	-15.0940275	-11.640149
Ptp4a1-1	-14.775575	-11.321696
Prim2	-13.184485	-9.730607
Rab23	-12.143031	-8.689153
Bag2	-11.676301	-8.222423
Zfp451	-11.684532	-8.230654
Bend6	-14.037975	-10.584097
Dst	-8.868233	-5.414355
Gm37233	-14.6085205	-11.154642
Ccdc115	-12.196735	-8.742857
Imp4	-12.377679	-8.9238
Ptpn18	-15.564032	-12.110153
Gm28417	-17.17347	-13.719591
Arhgef4	-15.227559	-11.773681
Gm38336	-16.480322	-13.0264435
Fam168b	-11.701199	-8.24732
Plekhb2	-13.062595	-9.608717
Hs6st1	-13.5625515	-10.108673
Gm37335	-17.17347	-13.719591
Gm33280	-17.17347	-13.719591
Uggt1	-11.684532	-8.230654
