gene	bin_0	bin_1	bin_2	bin_3
Xkr4	0.3888971	-0.30391076	0.67118263	0.9522276
Gm19938	0.47032732	-0.16763148	0.49771577	0.55928177
Gm37323	-0.10393722	-0.038046345	-0.117519654	0.13018622
Mrpl15	1.916501	1.100744	2.047808	1.6154536
Lypla1	1.7809256	0.43288222	1.5000083	1.1792436
Tcea1	2.1056736	1.6654545	2.3813856	2.014061
Atp6v1h	1.7050363	0.906438	1.4537706	1.5544193
Rb1cc1	1.9152611	0.7897375	1.9923787	1.8084847
4732440D04Rik	0.8813801	0.30184132	0.46669674	-0.46211174
Pcmtd1	2.116133	1.0755064	2.2054293	1.8211861
Sntg1	-0.21171561	-0.03243759	-0.29236832	0.20482275
Rrs1	1.5321301	1.1257403	1.6521022	1.0845287
Adhfe1	0.2882391	0.6942159	0.33599988	0.5204704
2610203C22Rik	0.32552683	-0.10328882	-0.16910717	0.66445804
Mybl1	-0.7078953	0.3298451	0.67539567	0.5632719
Vcpip1	1.5348673	1.2362576	1.3829929	1.2135966
Sgk3	1.1119828	0.8016001	1.3129822	1.086635
Mcmdc2	-0.25719732	0.20040064	0.6539625	-0.17678073
Snhg6	1.0668939	1.0529971	1.8760209	1.5451977
Tcf24	-0.24596004	-0.23278323	-0.2521635	-0.13593394
Cops5	1.8224455	0.679731	1.8578234	1.6761137
Cspp1	1.3621117	0.6177606	1.28509	1.1701393
Arfgef1	1.487684	1.3679482	1.6120915	0.7837695
Prex2	0.24689901	-0.22842634	1.70116	1.2916406
Sulf1	2.1051044	1.298219	1.6633016	1.7944669
Slco5a1	0.5332291	-0.048504505	-0.11236906	-0.041996494
Ncoa2	1.5760586	-0.4271619	1.4173058	0.7488907
Tram1	1.9593718	0.4570162	2.2348125	1.8620659
Lactb2	1.3123413	0.47229546	1.1712942	0.71109957
Eya1	-0.100670785	-0.02080366	0.2035692	-0.055484455
Gm9947	-0.16757384	-0.062201485	0.65672225	-0.112208895
Msc	0.68728906	-0.071033664	-0.2038328	-0.15076785
Kcnb2	0.31396127	0.003887292	-0.08940162	-0.031141998
Terf1	1.3380563	0.648172	1.5506389	-0.28121933
Sbspon	0.7853782	0.26885098	0.013281539	-0.40848616
Rpl7	2.563177	2.2381155	2.7049658	2.3750288
