gene	log_min	log_max
Xkr4	-14.079575	-10.625696
Gm19938	-14.48504	-11.031161
Gm37323	-16.276798	-12.822921
Mrpl15	-11.464615	-8.010736
Lypla1	-12.182455	-8.728577
Tcea1	-10.660028	-7.2061505
Atp6v1h	-12.042693	-8.588815
Rb1cc1	-11.272853	-7.818975
4732440D04Rik	-14.330889	-10.87701
Pcmtd1	-10.843078	-7.3891997
Sntg1	-15.5836525	-12.129774
Rrs1	-12.325556	-8.871677
Adhfe1	-14.197358	-10.74348
2610203C22Rik	-14.667361	-11.213483
Mybl1	-14.48504	-11.031161
Vcpip1	-12.269466	-8.815588
Sgk3	-12.811064	-9.357185
Mcmdc2	-15.178187	-11.724309
Snhg6	-12.014119	-8.560241
Tcf24	-15.5836525	-12.129774
Cops5	-11.603971	-8.150092
Cspp1	-12.613237	-9.159359
Arfgef1	-12.102412	-8.648534
Prex2	-12.780292	-9.326413
Sulf1	-11.189203	-7.7353253
Slco5a1	-16.276798	-12.822921
Ncoa2	-12.721452	-9.267573
Tram1	-10.934465	-7.4805875
Lactb2	-12.750439	-9.29656
Eya1	-16.276798	-12.822921
Gm9947	-15.5836525	-12.129774
Msc	-15.5836525	-12.129774
Kcnb2	-16.276798	-12.822921
Terf1	-12.811064	-9.357185
Sbspon	-14.48504	-11.031161
Rpl7	-8.282842	-4.8289638
Rdh10	-13.71185	-10.257972
Stau2	-13.33236	-9.878482
Ube2w	-11.799462	-8.345584
Eloc	-10.627825	-7.173947
D030040B21Rik	-16.276798	-12.822921
Tmem70	-12.364777	-8.910898
Ly96	-12.980963	-9.527084
Jph1	-13.974215	-10.520336
Gdap1	-16.276798	-12.822921
Pi15	-9.884882	-6.431004
Crispld1	-12.780292	-9.326413
Tfap2b	-15.178187	-11.724309
Mcm3	-13.974215	-10.520336
Paqr8	-13.974215	-10.520336
Efhc1	-15.178187	-11.724309
Tram2	-12.53913	-9.085252
Tmem14a	-13.0187025	-9.564824
Gsta3	-14.330889	-10.87701
Kcnq5	-14.48504	-11.031161
Rims1	-16.276798	-12.822921
Gm29107	-16.276798	-12.822921
Ogfrl1	-12.909504	-9.455626
Smap1	-10.508478	-7.0546002
Sdhaf4	-11.68168	-8.227801
Fam135a	-12.811064	-9.357185
Col9a1	-16.276798	-12.822921
Col19a1	-14.890505	-11.436626
Lmbrd1	-11.585451	-8.131573
Phf3	-11.266164	-7.812286
Ptp4a1	-15.5836525	-12.129774
Ptp4a1-1	-14.890505	-11.436626
Prim2	-13.878904	-10.425026
Rab23	-12.470137	-9.016258
Bag2	-12.384979	-8.931101
Zfp451	-12.199262	-8.745383
Dst	-9.698937	-6.24506
Ccdc115	-12.269466	-8.815588
Imp4	-12.470137	-9.016258
Ptpn18	-13.50421	-10.050332
Gm28417	-16.276798	-12.822921
Arhgef4	-14.890505	-11.436626
Fam168b	-11.972734	-8.518856
Plekhb2	-13.0187025	-9.564824
Hs6st1	-13.71185	-10.257972
Uggt1	-12.199262	-8.745383
Neurl3	-16.276798	-12.822921
Arid5a	-12.306507	-8.852629
4930403P22Rik	-14.667361	-11.213483
Kansl3	-12.405599	-8.95172
Lman2l	-13.33236	-9.878482
Cnnm4	-14.890505	-11.436626
Cnnm3	-13.098745	-9.644867
Ankrd23	-14.197358	-10.74348
Ankrd39	-12.251448	-8.797569
Sema4c	-13.791893	-10.338015
D430040D24Rik	-14.48504	-11.031161
Fam178b	-14.330889	-10.87701
Cox5b	-9.419285	-5.9654074
Actr1b	-11.88235	-8.428472
Tmem131	-12.216356	-8.762478
Gm38115	-15.178187	-11.724309
Vwa3b	-16.276798	-12.822921
Inpp4a	-12.639214	-9.185335
Coa5	-12.384979	-8.931101
Unc50	-11.246362	-7.792484
Mgat4a	-12.042693	-8.588815
2010300C02Rik	-14.890505	-11.436626
Tsga10	-12.875602	-9.421723
Lipt1	-15.178187	-11.724309
Mitd1	-12.287815	-8.833937
Mrpl30	-10.459688	-7.0058103
Txndc9	-11.313954	-7.8600764
Eif5b	-10.217676	-6.763798
Rev1	-13.0187025	-9.564824
Aff3	-12.133665	-8.679787
Gm16152	-16.276798	-12.822921
Lonrf2	-14.667361	-11.213483
Chst10	-15.178187	-11.724309
Pdcl3	-10.556488	-7.10261
Npas2	-12.133665	-8.679787
Rpl31	-9.066719	-5.6128416
Tbc1d8	-14.197358	-10.74348
Cnot11	-13.185757	-9.731878
Gm15832	-16.276798	-12.822921
Rnf149	-13.878904	-10.425026
Creg2	-15.5836525	-12.129774
Map4k4	-11.083842	-7.6299644
Il1r2	-16.276798	-12.822921
Gm16894	-16.276798	-12.822921
Il1r1	-12.287815	-8.833937
Il1rl2	-15.5836525	-12.129774
Slc9a2	-15.5836525	-12.129774
Tmem182	-15.5836525	-12.129774
Mrps9	-12.287815	-8.833937
Gpr45	-15.5836525	-12.129774
Tgfbrap1	-13.057923	-9.604045
AI597479	-13.098745	-9.644867
Fhl2	-12.980963	-9.527084
Nck2	-13.443586	-9.989708
Ecrg4	-12.364777	-8.910898
Uxs1	-12.750439	-9.29656
Tpp2	-12.165926	-8.712048
Gm8251	-15.178187	-11.724309
Tex30	-13.878904	-10.425026
Poglut2	-13.141305	-9.687427
Bivm	-13.974215	-10.520336
Ercc5	-12.613237	-9.159359
Gulp1	-11.9593115	-8.505433
Col3a1	-7.356009	-3.9021316
Col5a2	-10.328764	-6.874886
Wdr75	-12.665881	-9.212003
Slc40a1	-15.5836525	-12.129774
Dnah7b	-16.276798	-12.822921
Slc39a10	-12.909504	-9.455626
Tmeff2	-12.072106	-8.618228
Gm28320	-16.276798	-12.822921
Gm29325	-16.276798	-12.822921
Cavin2	-10.804529	-7.3506513
1700072G22Rik	-16.276798	-12.822921
Nabp1	-12.470137	-9.016258
Myo1b	-15.178187	-11.724309
Stat1	-12.287815	-8.833937
Gls	-10.993595	-7.539717
Nab1	-11.531867	-8.077989
Nemp2	-16.276798	-12.822921
Mfsd6	-12.58792	-9.134042
Inpp1	-12.750439	-9.29656
Hibch	-13.232277	-9.7783985
1700019D03Rik	-13.057923	-9.604045
Pms1	-14.890505	-11.436626
Ormdl1	-14.197358	-10.74348
Osgepl1	-13.281067	-9.8271885
Asnsd1	-12.405599	-8.95172
Dnah7a	-15.5836525	-12.129774
Stk17b	-11.409265	-7.9553866
Hecw2	-13.878904	-10.425026
Ccdc150	-16.276798	-12.822921
Gtf3c3	-13.098745	-9.644867
Pgap1	-14.197358	-10.74348
Ankrd44	-12.875602	-9.421723
Sf3b1	-10.456717	-7.0028386
Coq10b	-11.549412	-8.095533
Hspd1	-10.755339	-7.3014607
Hspe1	-10.100932	-6.647054
Mob4	-11.067313	-7.6134353
Rftn2	-11.456518	-8.00264
Gm10561	-13.386428	-9.932549
Mars2	-14.330889	-10.87701
Plcl1	-12.944594	-9.490716
Satb2	-16.276798	-12.822921
9130024F11Rik	-16.276798	-12.822921
1700066M21Rik	-15.178187	-11.724309
Tyw5	-13.386428	-9.932549
Maip1	-12.306507	-8.852629
Spats2l	-11.603971	-8.150092
Kctd18	-13.568749	-10.114871
Sgo2a	-14.330889	-10.87701
Aox1	-13.0187025	-9.564824
Aox3	-13.637742	-10.183864
Bzw1	-10.892304	-7.4384265
Clk1	-10.892304	-7.4384265
Ppil3	-12.405599	-8.95172
Nif3l1	-13.386428	-9.932549
Orc2	-12.69328	-9.239402
Fam126b	-11.87008	-8.416202
Ndufb3	-10.034576	-6.5806985
Cflar	-11.313954	-7.8600764
Casp8	-12.875602	-9.421723
Trak2	-11.920091	-8.466212
Stradb	-13.281067	-9.8271885
Tmem237	-12.287815	-8.833937
G730003C15Rik	-15.5836525	-12.129774
Als2	-14.330889	-10.87701
Fzd7	-12.117916	-8.664038
Gm973	-15.5836525	-12.129774
Sumo1	-10.606918	-7.1530404
Nop58	-11.722922	-8.269044
Bmpr2	-11.117744	-7.6638665
Fam117b	-12.721452	-9.267573
Ica1l	-16.276798	-12.822921
Wdr12	-12.665881	-9.212003
Carf	-13.974215	-10.520336
Nbeal1	-10.656399	-7.202521
Cyp20a1	-12.0001335	-8.546255
Abi2	-12.49261	-9.038732
Raph1	-11.77699	-8.323112
Pard3b	-12.102412	-8.648534
Nrp2	-13.098745	-9.644867
Ino80d	-12.117916	-8.664038
Ino80dos	-15.178187	-11.724309
Gm20342	-13.974215	-10.520336
Ndufs1	-11.9073515	-8.453473
Eef1b2	-9.014171	-5.5602927
Gpr1	-16.276798	-12.822921
Zdbf2	-16.276798	-12.822921
Adam23	-14.890505	-11.436626
Fastkd2	-14.079575	-10.625696
Klf7	-10.843078	-7.3891997
Creb1	-12.102412	-8.648534
Mettl21a	-12.53913	-9.085252
2810408I11Rik	-14.079575	-10.625696
Ccnyl1	-13.637742	-10.183864
Fzd5	-13.057923	-9.604045
Plekhm3	-13.33236	-9.878482
Akr1cl	-16.276798	-12.822921
Crygd	-16.276798	-12.822921
Idh1	-11.671629	-8.217751
Pikfyve	-12.909504	-9.455626
Map2	-13.791893	-10.338015
Rpe	-12.811064	-9.357185
Kansl1l	-12.665881	-9.212003
Acadl	-11.335157	-7.8812795
Myl1	-16.276798	-12.822921
Lancl1	-12.0001335	-8.546255
Erbb4	-13.878904	-10.425026
Ikzf2	-13.33236	-9.878482
Bard1	-16.276798	-12.822921
Atic	-12.384979	-8.931101
