gene	frac_real_circadian_samples_crossing_zero	frac_imag_circadian_samples_crossing_zero	frac_circadian_samples_crossing_zero	frac_circadian_samples_largest_component	frac_circadian_samples_largest_component_p_val	waveform_log_evidence	flat_waveform_log_evidence	non_circadian_component_subtracted_waveform_log_evidence	circadian_component_subtracted_waveform_log_evidence	circ_bf_frac	waveform_over_circadian_component_subtracted_log10_bf	expected_mesor	expected_acrophase	frac_cell_detected	num_cell_detected
Xkr4	0.13	0.45	0.13	0.7	0.9	-38.923176	-38.966064	-38.37851	-39.410744	1.0	0.21174805	-12.896282257637775	2.7535940930983123	0.02280130293159609	7
Gm19938	0.26	0.33	0.26	0.62	1.0	-40.547226	-38.48888	-39.451374	-38.903187	0.0	-0.7139971	-12.924990347969786	2.5346914817399435	0.026058631921824105	8
Sox17	0.1899999999999999	0.38	0.1899999999999999	0.65	1.0	-23.14942	-22.69705	-22.98972	-22.99265	0.0	-0.06808465	-13.549527539168698	0.11292627453487203	0.016286644951140065	5
Gm37323	0.5	0.42	0.42	0.42	1.0	-6.2533655	-6.3459044	-6.2628484	-6.3873444	0.8975256	0.05818627	-15.020314161352033	1.7280560266740137	0.003257328990228013	1
Mrpl15	0.18	0.45	0.18	0.64	1.0	-273.3217	-269.3493	-272.9954	-273.3707	0.0	0.021285307	-9.820151636381006	3.0683251688461057	0.4006514657980456	123
Lypla1	0.44	0.36	0.36	0.58	1.0	-210.7013	-197.40195	-200.17989	-210.19153	0.0	-0.2213884	-10.458185448232207	2.1144943043675717	0.247557003257329	76
Tcea1	0.43	0.49	0.43	0.51	1.0	-441.54767	-435.9808	-442.1054	-441.2525	0.0	-0.12818897	-8.85114555526041	3.9451627143067984	0.6221498371335505	191
Atp6v1h	0.48	0.29	0.29	0.58	1.0	-187.59262	-183.55058	-184.08203	-186.44025	0.0	-0.5004698	-10.560570380417072	1.5503529930050055	0.2247557003257329	69
Rb1cc1	0.4499999999999999	0.19	0.19	0.61	1.0	-273.42255	-275.06598	-272.91794	-276.94818	1.0	1.5311637	-9.884829037096063	1.624124619583581	0.31596091205211724	97
4732440D04Rik	0.5	0.42	0.42	0.63	1.0	-41.525517	-43.779907	-41.688408	-43.371037	0.9277448	0.8014991	-12.799609836561702	1.558755157268295	0.035830618892508145	11
Pcmtd1	0.41	0.49	0.41	0.59	1.0	-365.2822	-358.17078	-365.06387	-358.88654	0.0	-2.7776	-9.152580457583863	3.5559586550949254	0.4592833876221498	141
Rrs1	0.49	0.2	0.2	0.74	0.7799999999999999	-120.87578	-123.15481	-121.707825	-124.73226	0.63491195	1.6748495	-11.427703908439593	1.696365246347023	0.11726384364820847	36
Adhfe1	0.3	0.16	0.16	0.62	1.0	-71.53992	-70.068054	-68.54482	-71.688965	0.0	0.06473066	-12.139084552121771	1.942348680450813	0.05863192182410423	18
2610203C22Rik	0.22	0.3199999999999999	0.22	0.61	1.0	-8.29986	-9.776451	-8.599198	-9.243147	0.79727745	0.40966427	-14.341257848934866	3.5566166289490164	0.006514657980456026	2
Mybl1	0.0899999999999999	0.38	0.0899999999999999	0.74	0.7799999999999999	-65.86869	-67.88222	-65.7061	-68.0381	1.0	0.9421631	-12.408426669259454	0.32932083359247777	0.05537459283387622	17
Vcpip1	0.42	0.39	0.39	0.54	1.0	-177.00935	-169.9927	-175.85175	-171.5214	0.0	-2.3833911	-10.60751330225988	4.7572931633700986	0.21172638436482086	65
Sgk3	0.36	0.24	0.24	0.52	1.0	-94.73113	-91.6661	-94.100266	-92.52376	0.0	-0.9586506	-11.726372225870332	1.104822868016897	0.08794788273615635	27
