gene	bin_0	bin_1	bin_2	bin_3
Xkr4	0.6731339	0.5619387	0.722153	0.28670442
Gm19938	0.7383177	0.51800483	0.54746246	0.30875567
Sox17	0.29007348	0.6802306	0.45414302	0.2092067
Gm37323	0.30557352	0.06751863	0.2781546	0.043988667
Mrpl15	1.9158231	2.1081946	1.9021288	0.9550017
Lypla1	1.8036085	1.9159234	1.7265688	0.8954501
Tcea1	2.3751876	2.4112074	2.332527	1.3825868
Atp6v1h	1.9083465	1.813096	1.8669597	0.9970799
Rb1cc1	2.154974	2.2376673	1.9267598	1.117299
4732440D04Rik	0.80529934	0.7586169	0.8790922	0.2959721
Pcmtd1	2.325798	2.3336387	2.2427328	1.3345643
Rrs1	1.4659132	1.4733032	1.4324694	0.5607348
Adhfe1	1.06325	1.0630114	1.1435322	0.40477225
2610203C22Rik	0.3670586	0.40852726	-0.2401596	0.083328605
Mybl1	0.9292743	1.1331995	0.8603671	0.5008648
Vcpip1	1.8102133	1.6428963	1.750592	0.82245237
Sgk3	1.3424428	1.392522	1.2955298	0.48450044
Mcmdc2	0.28091517	0.27307594	-0.052909955	0.032669134
Snhg6	1.7627894	1.8673697	1.7717444	0.5180446
Tcf24	-0.23646697	0.2779653	0.25749806	0.04265522
Cops5	1.9566982	2.0131354	1.7881823	1.0158094
Cspp1	1.6485294	1.7338792	1.6030012	0.64855856
Arfgef1	1.8995036	1.8146008	1.7401181	0.7576898
Prex2	1.770437	1.660279	1.60176	0.5833912
Sulf1	2.3638837	2.4628615	2.146441	1.326494
Ncoa2	1.6523035	1.5329179	1.5840929	0.6829322
Gm29570	0.002568454	0.28728282	0.2672088	0.055023246
Tram1	2.210188	2.231393	2.2209833	1.2156706
Lactb2	1.65396	1.6737143	1.4985025	0.64820075
Gm9947	0.302855	0.33727288	0.34995693	0.053043086
Msc	0.37168097	0.2734724	0.2171288	0.075436324
Kcnb2	-0.09213904	0.3170935	0.25540018	0.034892168
Terf1	1.3405709	1.3373857	1.4227805	0.5948408
Sbspon	0.9882387	0.9850168	0.8235547	0.36942843
Rpl7	2.690039	2.92182	2.8910592	2.0301187
Rdh10	1.2747909	1.1553049	1.0281371	0.4639779
Stau2	1.2675445	1.3487474	1.2248904	0.5255348
Ube2w	1.8440654	1.9754004	1.742195	0.84351915
Eloc	2.4264245	2.4986694	2.3863332	1.625464
D030040B21Rik	0.25540066	0.1289584	0.24089424	0.05677829
Tmem70	1.5489641	1.619842	0.8102181	0.55557305
Ly96	1.5732368	1.6712421	1.4515852	0.497276
Jph1	0.6783523	0.76018065	0.8103101	0.28173918
Pi15	2.5726814	2.6081457	2.5621893	0.86490536
Gm28154	0.25238684	0.24372596	0.34769583	0.10541017
Gm16070	0.48015383	0.24881634	0.6765502	0.14316133
Crispld1	1.3969855	1.5699028	1.3789202	0.43140116
Tfap2b	0.9505426	0.77624536	0.67806107	0.25937313
Mcm3	1.0627673	0.77836376	0.9531073	0.3933547
6720483E21Rik	0.27814072	-0.13248965	0.23295595	0.04273045
Paqr8	0.6253281	0.7547164	0.6970491	0.24924345
Efhc1	0.48660755	-0.066586696	0.48216972	0.13816896
Tram2	1.6090249	1.6795006	1.3928325	0.7536071
Tmem14a	1.1846066	1.4314634	1.3715123	0.50420225
Gsta3	0.64215964	0.7416709	0.7824859	0.24683896
Gm28836	0.42671177	-0.05029462	0.37219432	0.0925582
Kcnq5	0.6932407	0.8180005	0.7621174	0.33680576
Rims1	0.269085	-0.10537053	0.22070621	0.05028273
Gm29107	0.6641378	0.5652136	0.61939985	0.28194314
Ogfrl1	1.3119043	1.6586317	0.7772778	0.47833753
Smap1	2.3181283	2.4462082	2.360206	1.4469109
Sdhaf4	1.9918556	2.0933666	1.9719219	1.0201187
Fam135a	1.4876769	1.4043719	0.98737717	0.5813752
Col9a1	0.39809328	0.22929354	0.47913927	-0.317897
Col19a1	0.48290104	0.39859223	0.42421374	0.21686144
Lmbrd1	1.9923882	2.0501215	1.8925477	0.96935856
Phf3	2.1970186	2.2392757	2.1099288	1.1565976
Ptp4a1	0.5388826	0.4918272	0.4213212	0.13609712
Ptp4a1-1	0.41442055	0.16811554	0.26537603	0.0683046
Prim2	1.2657541	1.2547417	1.0327013	0.43663296
Rab23	1.6099341	1.2279861	1.5716017	0.74628973
Bag2	1.6033585	1.6734935	1.5639049	0.58034563
Zfp451	1.8329058	1.7191426	1.627154	0.620757
Bend6	0.28521556	0.27559152	-0.1961126	0.05586952
Dst	2.513148	2.728897	2.3968525	1.1677788
Gm26788	-0.10285899	0.299478	0.2562568	0.052721053
Gm37233	0.5287234	0.3283097	0.46118057	-0.34292346
Ccdc115	1.5163506	1.6326566	1.5444138	0.6341297
Imp4	1.5443614	1.7102827	1.3458186	0.6119889
Ptpn18	0.9711576	0.7897722	0.5733548	-0.14026166
Arhgef4	0.6638649	0.6360708	0.248141	0.17746706
Fam168b	1.8740557	1.9511681	1.8564413	0.9504312
Plekhb2	1.5794182	1.4765433	1.4585989	0.5891604
1110002O04Rik	0.29815316	0.37502068	0.12381226	0.123618565
Hs6st1	0.94983876	1.1652347	1.1304351	0.4734302
Uggt1	1.8143749	1.8016328	1.4056008	0.6721017
Neurl3	0.005436506	0.301526	0.26064157	0.036003884
Arid5a	1.7499505	1.8472822	1.5854361	0.78124183
4930403P22Rik	0.9343196	0.7300327	0.7846707	0.27710614
Kansl3	1.7181373	1.7784415	1.7506772	0.7970085
Lman2l	1.1334355	1.3090514	1.3064678	0.47396445
Cnnm4	0.43650705	0.7843168	0.9226619	0.267162
Cnnm3	1.4407717	1.5305129	1.5226853	0.4173299
Ankrd23	1.2539327	1.1164447	1.1519916	0.5003382
Ankrd39	1.7250141	1.7315992	1.5621091	0.62711364
Sema4c	1.3107885	1.4593935	1.280035	0.42776963
D430040D24Rik	0.58570814	0.7718797	0.61320275	0.22789325
Fam178b	0.7775888	0.72457796	0.6992074	-0.34413186
Cox5b	2.5637662	2.7076497	2.49019	1.7567741
Actr1b	1.9579092	2.110462	1.8709044	0.92088014
Tmem131	1.7480661	1.6364634	1.6144845	0.71816385
Gm38115	0.35631087	0.6185995	0.4546382	0.18696596
Vwa3b	0.7065365	0.7987651	0.80665195	0.27099806
Cnga3	0.30737966	-0.26772895	0.24074359	0.038538985
Inpp4a	1.78798	1.8297199	1.6507914	0.6021535
Coa5	1.6839277	1.8001226	1.5562377	0.6851087
Unc50	2.2880547	2.233829	2.103258	1.1502837
Mgat4a	1.9666814	2.0855641	1.9147509	0.5863643
2010300C02Rik	0.23851672	0.41083044	0.4107732	0.13312563
Tsga10	1.3904042	1.3444765	1.2655562	0.5348558
Lipt1	0.70849377	0.74682456	0.6979382	0.2272305
Mitd1	1.7856215	1.6030408	1.5703979	0.5672891
Mrpl30	2.4124064	2.4145594	2.368129	1.3854008
Txndc9	2.2310607	2.0856287	2.1475537	1.0557925
Eif5b	2.4719346	2.558686	2.3914897	1.4736657
Rev1	1.4062507	1.2984924	1.3381828	0.46594387
Aff3	1.587509	1.7143813	1.4517035	0.6622114
Gm16152	0.24254768	0.17873135	0.39493027	0.06069422
Lonrf2	0.95154864	0.8240156	0.7253289	0.34288526
Chst10	0.58395785	0.69944733	0.6783029	0.30996898
Pdcl3	2.4491596	2.472801	2.3566272	1.4148233
Npas2	1.9233632	1.8738606	1.8623877	0.62770635
Rpl31	2.476032	2.7685187	2.7571416	1.8813822
Tbc1d8	1.180119	1.013132	0.8002633	0.36082724
Cnot11	1.2310419	1.583866	1.4084959	0.41900757
Rnf149	1.2131	1.1778024	1.0946846	0.32115036
Creg2	0.37747836	0.27734867	0.2702185	0.07516131
Map4k4	2.1443074	2.1752307	2.0338545	1.1608856
Il1r2	0.2761125	0.26557162	-0.13687497	0.06012027
Gm16894	0.26678446	0.2802774	-0.091718495	0.056070212
Il1r1	1.8896785	1.88267	1.8749517	0.9906706
Il1rl2	-0.5114188	0.52200806	0.47008127	0.22581713
Slc9a2	0.57397884	0.63231033	0.5933413	0.16425575
Mfsd9	0.40085396	-0.0011146853	0.39995673	0.10961004
Mrps9	1.8552669	1.9177543	1.7785192	0.9726692
Gpr45	0.37365812	-0.05723725	0.35016266	0.0605697
Tgfbrap1	1.4387279	1.4296212	1.2100827	0.48176944
8430432A02Rik	0.2788471	-0.43896997	0.23841195	0.053931553
AI597479	1.5634732	1.5215396	1.1373665	0.53342617
Fhl2	1.3847857	1.7682977	1.5161916	0.49082747
Nck2	0.9169369	1.4042586	1.0581435	0.42155
Ecrg4	1.0324076	1.5586444	1.6268619	0.8062244
Uxs1	1.3397814	1.4785854	1.3724734	0.39691836
Tpp2	1.7450918	1.7903178	1.9042369	0.90710837
Gm8251	0.8297323	0.7747351	0.7136864	0.28219926
Tex30	0.776316	0.73807985	0.93327737	-0.08816447
Poglut2	1.5403653	1.6155711	1.431595	0.6932845
Bivm	1.1685199	1.147416	1.0315404	0.40568322
Ercc5	1.5192021	1.5672725	1.4436575	0.5659468
Gulp1	1.9737338	2.0429652	1.8426725	0.81489074
Col3a1	2.7274754	2.964671	2.4958966	0.7905703
Col5a2	2.2829719	2.3361177	2.4953113	1.6409706
Wdr75	1.4846272	1.6911985	1.5634944	0.5657429
Slc40a1	0.76184845	0.9051411	0.83798766	-0.12230292
Slc39a10	1.2599617	1.3713646	1.2241558	0.4989894
4933411E06Rik	0.26043847	0.2958401	-0.21649034	0.052043743
Tmeff2	1.8807493	1.6918302	1.7885877	0.83506644
Gm28320	0.9926308	0.7678079	0.8134749	0.05228543
Gm29325	0.43207726	0.39056158	0.27407685	0.11607437
Cavin2	1.9722469	2.100022	2.175731	0.9749485
1700072G22Rik	0.26616415	0.2617598	-0.21203694	0.046997752
Nabp1	1.561663	1.7167621	1.5054835	0.76329035
Myo1b	0.8661459	1.0620637	0.68483806	0.23518686
Gm31812	0.02973228	0.44608122	0.28892317	0.06188867
Stat1	1.229874	1.372761	1.4141654	0.7533116
Gls	2.3295286	2.4448483	1.9073395	1.2103552
Nab1	2.1745248	2.253833	2.038572	0.98759824
Nemp2	0.44264984	0.45635426	0.300373	0.15643565
Mfsd6	1.5499525	1.7028589	1.4472535	0.5388251
Inpp1	1.7232972	1.8116181	1.7044556	0.56088763
Hibch	1.7073327	1.4867325	1.4961889	0.79776996
1700019D03Rik	1.3357613	1.2861799	1.4656817	0.5458173
Pms1	0.27179763	0.031857453	0.24035814	0.06555747
Ormdl1	1.0732938	1.0577197	0.8627107	0.09370771
Osgepl1	1.1974574	1.2790635	1.2608262	0.3786363
Asnsd1	1.6817077	1.7112093	1.8119787	0.8709481
Dnah7a	0.5313039	0.6260627	0.3275169	0.18706733
Stk17b	1.6778277	2.130007	2.108768	1.0968373
Hecw2	0.5526769	0.5186603	0.64379746	0.21079989
Gtf3c3	1.3837727	1.5667853	1.3820878	0.600227
Pgap1	1.1920161	1.1782966	1.134444	0.38093156
Ankrd44	1.6464221	1.6891164	1.540433	0.77416635
Sf3b1	2.4644165	2.5691543	2.2540736	1.6029501
Coq10b	2.1663957	2.2592602	1.8658645	1.116051
Hspd1	2.4299624	2.2782643	2.2447813	1.446487
Hspe1	2.5719981	2.5425112	2.511798	1.6522468
Mob4	2.2506337	2.2835493	2.1524794	1.208569
Rftn2	2.1203136	2.1736357	2.0273528	0.9403075
Gm10561	0.9175726	1.1965854	1.1149464	-0.110118344
Mars2	0.9153492	1.0167288	0.8541233	0.08904397
Plcl1	1.5538082	1.5496494	1.5354204	0.6999853
1700066M21Rik	0.85230464	0.89629555	0.4323489	0.3167266
Tyw5	1.3060868	1.3319558	1.3813354	0.4465166
Maip1	1.7253531	1.838667	1.6574596	0.8713184
Spats2l	2.0238261	2.1350644	1.9707106	0.9252282
Kctd18	1.1772101	1.0880296	1.077646	0.3071773
Sgo2a	0.6362678	0.54389375	0.64194125	0.19101492
Aox1	1.4221714	1.4916478	1.0433787	0.357406
Aox3	0.8803112	0.9311649	0.7028776	0.34475148
Aox2	0.2825132	-0.040014714	0.25095454	0.0701493
Bzw1	2.1372933	2.3009791	2.2091408	1.2954936
Clk1	2.2895694	2.3315392	2.2661777	1.240181
