gene	bin_0	bin_1	bin_2	bin_3
Xkr4	0.5771197	0.54363346	0.76336944	1.040998
Gm19938	1.0359282	0.08728411	1.000831	1.1580595
Sox17	-1.0194716	-1.2493236	0.7768165	1.0901114
Mrpl15	2.0571399	2.012272	1.8999373	2.3874938
Lypla1	1.8173559	1.9003499	1.9429516	2.0552657
Tcea1	2.5792117	2.548813	2.5297866	2.527372
Atp6v1h	1.5247436	1.255044	1.9881645	2.3146455
Rb1cc1	2.1914797	2.3608105	2.3864746	2.2359188
4732440D04Rik	0.51230395	1.0371855	0.6983299	0.36022946
Pcmtd1	2.174474	2.3303742	2.5594091	2.6959686
Rrs1	1.4121621	1.7337679	1.2783253	1.6748351
Adhfe1	1.0044268	0.88877445	0.7160838	1.2986304
2610203C22Rik	0.42106444	0.23012213	-0.3534332	0.24307258
Mybl1	0.7944101	0.49176574	0.84397525	0.61741924
Vcpip1	1.8892747	1.9998788	1.892017	1.7466291
Sgk3	1.2951369	1.2398286	1.3907534	1.3566926
Mcmdc2	-0.07089249	0.31972685	0.364822	-0.15758124
Snhg6	1.7771808	2.0985904	1.9524877	2.0154507
Cops5	1.5995708	2.1698174	2.0114825	2.1317081
Cspp1	1.62844	1.8389109	2.0352921	1.7529838
Arfgef1	1.8720223	1.8732128	1.758322	2.2566524
Prex2	-0.29717776	1.9146922	1.753011	2.2186897
Sulf1	1.5350375	2.135502	2.3394315	2.7960806
Slco5a1	-0.09200518	-0.10975816	-0.1666765	0.5068939
Ncoa2	1.0832146	1.8078294	1.9274826	1.797627
Gm29570	-0.037883148	0.43371144	-0.048796073	-0.07236039
Tram1	2.0455885	2.0342276	2.5105157	2.5380406
Lactb2	1.3645961	1.6974257	1.6736997	1.9589341
Eya1	-0.18859422	0.49655777	-0.3189627	0.1511113
Gm9947	0.17443287	-0.0446961	-0.071917824	-0.10206318
Msc	0.3718926	-0.15714906	-0.17961627	-0.19902596
Terf1	1.2605779	1.5384196	1.5434207	0.83823586
Sbspon	0.30414557	0.9133164	0.7527617	0.6841771
Rpl7	2.529736	2.9576325	2.876872	2.9221888
Rdh10	1.2420859	1.5574689	1.1478864	1.6059306
Stau2	0.78969204	0.9981364	1.0862044	1.160492
Ube2w	1.5746413	1.9618767	1.8611118	2.163995
Eloc	2.3417466	2.6165276	2.4541342	2.6281233
Tmem70	1.4133368	1.8907495	2.1184413	2.0233958
Ly96	0.74825186	1.5239623	0.59962237	1.3628563
Jph1	-0.7406124	1.3684388	1.2572758	1.359614
Gdap1	-0.11245193	0.4398979	-0.133645	0.45701018
Pi15	2.6972551	1.9571769	2.5790925	2.683658
Gm28154	-0.14468645	0.55902493	-0.23232886	0.72334737
Gm16070	0.35796902	-0.24150126	-0.24454932	0.52698153
Crispld1	-0.36192587	1.2035183	2.0135076	2.0269148
Tfap2b	-0.029394837	-1.1762371	1.3266897	1.2815319
Mcm3	1.2546211	-0.040129893	1.5323308	0.43539363
Paqr8	0.70345986	0.6751789	0.53113294	0.8475082
Efhc1	0.13149396	1.2014573	0.29673037	0.6220128
Tram2	1.2819532	1.8335787	1.8120313	1.5552009
Tmem14a	1.5814036	1.5276371	1.6465275	1.8333063
Gsta3	0.94284505	-1.4299428	2.0725806	2.1464188
