ZT,sample,log10_prop
0,0,-4.162731646675932
0,1,-4.155829384186378
0,2,-4.265382645525126
0,3,-3.9027825019468843
0,4,-4.287989375727765
0,5,-4.303638858156672
0,6,-4.204260467192615
0,7,-4.280819115857203
0,8,-4.0362175709358885
0,9,-4.366670545768536
0,10,-4.27717368092326
0,11,-4.280977008559408
0,12,-4.130144372139511
0,13,-4.193807898781092
0,14,-4.2019616352792015
0,15,-4.1145411131120975
0,16,-4.088136777319144
0,17,-4.12253123486217
0,18,-4.142963766462197
0,19,-4.282663581568689
0,20,-4.015180469430819
0,21,-4.194615646016691
0,22,-4.495500954835615
0,23,-4.3522021293623485
0,24,-4.28354459781304
0,25,-4.01797837102923
0,26,-4.502644884354648
0,27,-4.334054079857669
0,28,-4.271056724520804
0,29,-4.313952622253263
0,30,-4.431402753876398
0,31,-4.384058412543603
0,32,-4.267928687699918
0,33,-4.155857457973746
0,34,-4.5072020021223285
0,35,-4.387491863560827
0,36,-4.319840786229364
0,37,-4.456691648359779
0,38,-4.021917194922563
0,39,-4.114438295101036
0,40,-4.229212655041509
0,41,-4.256801096694031
0,42,-4.128842204381153
0,43,-4.064001053885048
0,44,-4.18770091125536
0,45,-4.409730684097795
0,46,-3.931024016783583
0,47,-4.407344233357565
0,48,-4.07056710147843
0,49,-4.079917103183504
0,50,-4.162560879370603
0,51,-3.956193776484581
0,52,-4.131407066722317
0,53,-4.377012696576876
0,54,-4.112385242937544
0,55,-4.146614565814108
0,56,-4.320918453095743
0,57,-4.316334557941703
0,58,-4.1713416716257425
0,59,-4.278140259634209
0,60,-4.434465121280654
0,61,-4.4004817569679435
0,62,-3.8924375795225945
0,63,-4.193148209481421
0,64,-4.42710089299705
0,65,-4.25677516867385
0,66,-4.222099570925795
0,67,-4.5936881991415195
0,68,-4.322587636450109
0,69,-4.204190640352059
0,70,-3.8845568024921118
0,71,-4.222800610947304
0,72,-4.4450615902041815
0,73,-4.309305069339331
0,74,-3.9568028167379317
0,75,-3.9766824556593434
0,76,-4.245185433059983
0,77,-4.3112322364944955
0,78,-4.15882255059884
0,79,-4.097629740763078
0,80,-4.382739302165161
0,81,-4.3461119056427675
0,82,-4.177920727932698
0,83,-4.161266087686952
0,84,-4.327099648403372
0,85,-4.254298506304783
0,86,-4.008683354608332
0,87,-4.112756862992308
0,88,-4.292181757777073
0,89,-4.087980717459745
0,90,-4.298461256043975
0,91,-4.101424351220027
0,92,-4.390592810070972
0,93,-4.099280506282419
0,94,-4.398147251675041
0,95,-4.212612642452076
0,96,-3.964705051440289
0,97,-4.019626052008238
0,98,-4.154367267365593
0,99,-4.404078107477475
0,100,-4.37402006660621
0,101,-4.22692115449932
0,102,-4.067498743807443
0,103,-4.173241569656235
0,104,-4.17693202099763
0,105,-4.087203636813532
0,106,-4.090138956918901
0,107,-4.374516945820538
0,108,-4.2696697542550615
0,109,-4.105263709863529
0,110,-4.143767937419151
0,111,-4.498852531423594
0,112,-3.7922612760892127
0,113,-4.307478082689726
0,114,-4.189942925041789
0,115,-4.390674528038024
0,116,-3.819370988141534
0,117,-4.292175365178995
0,118,-4.303209481201781
0,119,-3.944424690496634
0,120,-4.089417129777764
0,121,-4.232234834014484
0,122,-3.903632762194884
0,123,-4.15706624015597
0,124,-4.516098017605082
0,125,-4.1525518589181045
0,126,-4.492857436715988
0,127,-4.294030649133383
0,128,-4.40967324012205
0,129,-4.164647012111567
0,130,-4.459528620802393
0,131,-4.110388114831373
0,132,-4.216091333394165
0,133,-4.097764298247119
0,134,-4.3306287648743655
0,135,-4.2868927545845645
0,136,-4.232234521090103
0,137,-4.227412088150399
0,138,-4.424720119599169
0,139,-4.396438595145123
0,140,-4.15980647426122
0,141,-4.017211438073674
0,142,-4.172109856278825
0,143,-4.137925281588814
0,144,-4.065254718364274
0,145,-4.148849337636281
0,146,-4.449140380703008
0,147,-4.109469190033378
0,148,-4.203210427078774
0,149,-4.227996943819409
0,150,-4.093963876337372
0,151,-4.144855707272702
0,152,-4.242736129222554
0,153,-4.27655824807183
0,154,-4.129112481639797
0,155,-4.4047588968211535
0,156,-4.178952305508031
0,157,-4.2889142907924915
0,158,-4.261291025126657
0,159,-4.2646359185439175
0,160,-4.2163584367055105
0,161,-4.024492115547418
0,162,-4.5060329836882955
0,163,-4.393886965034946
0,164,-4.136329411946683
0,165,-4.137520536253094
0,166,-4.197752087092393
0,167,-4.356946375910162
0,168,-4.013844818763641
0,169,-4.231880648318118
0,170,-4.194653643977301
0,171,-3.9045019767197053
0,172,-4.036666215091984
0,173,-4.510994645626022
0,174,-4.455287869584402
0,175,-3.929798604905657
0,176,-4.155330135687447
0,177,-4.3143750701682775
0,178,-3.9476527290091483
0,179,-4.183927713766802
0,180,-4.100855901729303
0,181,-4.107548057848427
0,182,-4.443359728603691
0,183,-4.21144141119563
0,184,-4.473492692512581
0,185,-4.447018663989521
0,186,-4.176577254155983
0,187,-4.156911387290614
0,188,-4.0943667888302855
0,189,-3.8975514791719177
0,190,-3.985132486843245
0,191,-4.394540082922606
0,192,-4.373541247599043
0,193,-4.372415166860499
0,194,-4.027899593840978
0,195,-4.40176206472308
0,196,-4.048082143563675
0,197,-4.136447339735023
0,198,-4.367706146657346
0,199,-4.439224432902262
0,200,-4.36902150194321
0,201,-4.092684149727515
0,202,-4.335227143956921
0,203,-4.353204470859754
0,204,-4.162427260659706
0,205,-4.293471721484554
0,206,-4.1927352834083
0,207,-4.558286706235367
0,208,-4.32258298728787
0,209,-4.19580078005637
0,210,-4.010343820783499
0,211,-4.336139229122005
0,212,-4.263353107393729
0,213,-4.3275298747244415
0,214,-4.134029417742711
0,215,-4.173989280114071
0,216,-4.36378229843084
0,217,-4.447636510829037
0,218,-4.0891371518632935
0,219,-4.025324673216121
0,220,-3.940497221287999
0,221,-4.302520868748565
0,222,-4.136715828854344
0,223,-4.420374181085513
0,224,-4.096731111346396
0,225,-3.947828592511547
0,226,-4.207630126339496
0,227,-4.288373557461272
0,228,-4.088997453478698
0,229,-4.167284562316204
0,230,-4.340419408812065
0,231,-4.353781503419226
0,232,-4.0522921387853135
0,233,-4.120312690404352
0,234,-4.386025768130049
0,235,-4.0996788590200595
0,236,-4.311493126021695
0,237,-4.368019607480635
0,238,-4.373663019886927
0,239,-4.224541185764134
0,240,-4.019091040722851
0,241,-3.924046250111122
0,242,-3.9761152578661467
0,243,-4.0045143077771845
0,244,-4.434193771138417
0,245,-4.387948241419492
0,246,-4.033432454533636
0,247,-4.266634745382445
0,248,-4.112165033579939
0,249,-4.256311235926546
0,250,-4.299610046151917
0,251,-4.164027019504863
0,252,-4.05606734793061
0,253,-4.383875396483913
0,254,-4.1496034406921956
0,255,-4.111484110125811
0,256,-3.948231281487045
0,257,-4.109154656326495
0,258,-4.235119773294433
0,259,-4.208883835522206
0,260,-4.266554055595503
0,261,-4.060277969001011
0,262,-3.982132078466525
0,263,-4.617704944255424
0,264,-4.375482183426994
0,265,-4.151280670673514
0,266,-4.210317923259105
0,267,-4.4105996751052015
0,268,-3.851847979185222
0,269,-3.8572414544176667
0,270,-4.320263144737414
0,271,-4.224988578222702
0,272,-4.403443988570121
0,273,-4.37081348576557
0,274,-4.355369639358786
0,275,-4.221645875276113
0,276,-4.104527532904325
0,277,-4.306151864457476
0,278,-4.4404861440084415
0,279,-4.100981250295833
0,280,-4.267287639752688
0,281,-4.221297858660409
0,282,-4.155777528146016
0,283,-4.00939923618622
0,284,-4.495259332509619
0,285,-3.9951591204680734
0,286,-4.272133184393139
0,287,-3.9498088674046006
0,288,-3.9568295494208083
0,289,-4.341123220449526
0,290,-4.452996905484009
0,291,-3.9286183435456317
0,292,-4.183166324043146
0,293,-4.2011087375257015
0,294,-4.14812862808222
0,295,-4.411020468991343
0,296,-3.99113687987533
0,297,-4.0153207489606935
0,298,-4.2785283752742265
0,299,-4.336347726167046
6,0,-3.79822114445216
6,1,-3.8874518894627177
6,2,-3.7768767512044636
6,3,-3.8202546865948706
6,4,-3.739081476186856
6,5,-3.8027515742404474
6,6,-3.962462903543409
6,7,-3.90095260957088
6,8,-3.8270318240353105
6,9,-3.8264505893484295
6,10,-3.9938750576203588
6,11,-3.9577986315268086
6,12,-3.8349533706423538
6,13,-3.7905088995528526
6,14,-3.9052505812472016
6,15,-3.7152606887909903
6,16,-3.708986912569923
6,17,-3.9207385499917766
6,18,-3.85986948278041
6,19,-3.976483435752714
6,20,-3.831936511383864
6,21,-3.8026402625676026
6,22,-3.9685959531997708
6,23,-3.989745260447348
6,24,-3.6426295093350363
6,25,-3.912668319600041
6,26,-3.936534346920774
6,27,-3.858012500093665
6,28,-3.9845716369446436
6,29,-4.0695574286098015
6,30,-3.9209087808553087
6,31,-3.818030420091219
6,32,-3.7931713495975603
6,33,-4.049546093227264
6,34,-3.919723870333044
6,35,-3.92559433172985
6,36,-3.864333930227686
6,37,-3.8522521880791447
6,38,-3.7726602292742966
6,39,-3.854877355418971
6,40,-4.0423675185088515
6,41,-3.7261813026702613
6,42,-3.9471486525340462
6,43,-4.01826214873976
6,44,-4.0068062553542045
6,45,-4.067086935321399
6,46,-3.736939374685088
6,47,-3.7249204856337434
6,48,-3.7922796939242382
6,49,-4.099956735870825
6,50,-3.7990194592528312
6,51,-3.910502525252246
6,52,-3.9617806389847883
6,53,-4.050472707024348
6,54,-3.9158465584324156
6,55,-3.714436893004969
6,56,-3.9525209383155158
6,57,-3.7971671257283264
6,58,-3.7950883243585856
6,59,-3.892037662163047
6,60,-3.7081110819296077
6,61,-3.8054862651137973
6,62,-3.8488557962493872
6,63,-3.8098443182713657
6,64,-3.769787315231293
6,65,-3.7934792671889492
6,66,-3.6302682810103377
6,67,-3.7766746914609857
6,68,-3.6798280822606197
6,69,-3.9693681611663294
6,70,-3.9218287785368977
6,71,-3.837829503336138
6,72,-3.6937165603809348
6,73,-3.786982509994327
6,74,-4.086145773590154
6,75,-3.831944110975986
6,76,-4.115200310673454
6,77,-3.7749376035158346
6,78,-3.6527239134402
6,79,-3.9262419063856084
6,80,-3.7580649890866376
6,81,-3.839088174605468
6,82,-3.849224599984718
6,83,-3.7098411961313986
6,84,-3.841724517816062
6,85,-4.1584514669858725
6,86,-3.8173754246572718
6,87,-3.598418479834129
6,88,-3.755105260879512
6,89,-3.8619633045204624
6,90,-4.024539948274303
6,91,-3.8499159840538844
6,92,-3.9467662589398618
6,93,-3.68356287945722
6,94,-3.742496643479503
6,95,-3.8954389713759423
6,96,-3.931301983041314
6,97,-3.740902249052313
6,98,-4.034384996350901
6,99,-4.170315637282311
6,100,-3.715333287247497
6,101,-3.7147824509291034
6,102,-3.9202887435451217
6,103,-3.7586099245452655
6,104,-3.719886962846981
6,105,-3.8027551505190935
6,106,-4.0467225318295705
6,107,-3.8363942533086792
6,108,-3.7953643236630628
6,109,-3.760940138303794
6,110,-3.933833004845795
6,111,-4.013470382389443
6,112,-4.064103156640381
6,113,-3.934754075410978
6,114,-3.9941499840412424
6,115,-3.6906150327255105
6,116,-3.793205592465592
6,117,-3.8026103112339453
6,118,-3.7206197423414715
6,119,-3.9832801533187396
6,120,-3.66651171931664
6,121,-3.675051872722411
6,122,-3.7417825500409365
6,123,-3.8431864111194316
6,124,-3.6528008928380467
6,125,-3.990252913201096
6,126,-3.9759001447056113
6,127,-3.736539636139472
6,128,-3.936049224722493
6,129,-3.8271126479327022
6,130,-3.742051039160257
6,131,-3.966925562851362
6,132,-3.788035992276364
6,133,-3.901326688317214
6,134,-3.8228868276780563
6,135,-4.078186631353849
6,136,-3.8379359870328114
6,137,-3.967456282602374
6,138,-3.713096682582518
6,139,-3.813598874407483
6,140,-3.7508721986606086
6,141,-3.9030719122962827
6,142,-3.7724011278864205
6,143,-3.8448285488665395
6,144,-3.7677824534225515
6,145,-3.8370134859561706
6,146,-3.9651238336696917
6,147,-3.7543724813850217
6,148,-3.7532310226483014
6,149,-4.004044384763148
6,150,-3.976474405649134
6,151,-3.994836987169068
6,152,-3.871852519638332
6,153,-3.7795185482399924
6,154,-3.874882789941743
6,155,-4.014914662520481
6,156,-3.8039558860743647
