ZT,sample,log10_prop
0,0,-4.614384678024358
0,1,-4.769390804871772
0,2,-4.971288834530465
0,3,-4.838818049033085
0,4,-4.715904243474209
0,5,-4.844407236761707
0,6,-4.769664300812872
0,7,-4.806087093711442
0,8,-4.748493980476477
0,9,-4.657892526775293
0,10,-4.728499272474019
0,11,-4.958281549962035
0,12,-4.802705364232488
0,13,-4.770482464054779
0,14,-4.904284474728684
0,15,-4.694601869033531
0,16,-4.809091615156564
0,17,-4.76161391783529
0,18,-4.688683753038384
0,19,-4.89067937041192
0,20,-4.814954656454191
0,21,-4.791708127309625
0,22,-4.849582783113574
0,23,-4.818299550258829
0,24,-4.883629406797831
0,25,-5.014449158363762
0,26,-4.960050601102458
0,27,-4.84108527584654
0,28,-4.8757704888604145
0,29,-4.808647620111289
0,30,-4.90115576699321
0,31,-4.818799961106273
0,32,-4.841858243861828
0,33,-4.8081531995312705
0,34,-4.701313114317167
0,35,-4.889184843392826
0,36,-4.8011532591205315
0,37,-4.929935649209577
0,38,-4.862511702467104
0,39,-4.901524436660789
0,40,-4.9069610513840205
0,41,-4.9673441540240075
0,42,-4.9806935543879955
0,43,-4.771555705400628
0,44,-4.824885536368396
0,45,-4.736280629859325
0,46,-4.873029628588977
0,47,-4.697174733596134
0,48,-4.6320296812775466
0,49,-4.753296386811941
0,50,-4.858898185401586
0,51,-4.828613315549875
0,52,-4.795065895718879
0,53,-4.9707605287063545
0,54,-4.714731134535615
0,55,-4.745588253740383
0,56,-4.731245765384974
0,57,-4.771565361354089
0,58,-4.771004421983559
0,59,-4.642108797958782
0,60,-4.738946656491436
0,61,-4.799103604184379
0,62,-4.89408085883268
0,63,-5.003480934004771
0,64,-4.685215924641064
0,65,-4.766389591484782
0,66,-4.803047167103629
0,67,-4.817398417342734
0,68,-4.840606054452525
0,69,-4.706740833046238
0,70,-4.695201432217908
0,71,-4.863695674353342
0,72,-4.912081835962784
0,73,-4.80962617946903
0,74,-4.801921265048625
0,75,-4.829318423670005
0,76,-4.912116481166176
0,77,-4.676015410317848
0,78,-4.781502499756649
0,79,-4.82370125155774
0,80,-4.785609409221957
0,81,-4.640544891125927
0,82,-4.897870194717476
0,83,-4.870051348091457
0,84,-4.7942978003838075
0,85,-4.783497795251093
0,86,-4.820177096765228
0,87,-4.805895226339884
0,88,-4.937525586258208
0,89,-4.777183606350071
0,90,-4.778458013393034
0,91,-4.791478977228867
0,92,-4.838660603347477
0,93,-4.6856096729655485
0,94,-4.874204927998495
0,95,-4.9500986211418
0,96,-4.814168053874986
0,97,-4.694780057137685
0,98,-4.783549025448624
0,99,-4.713375367144042
0,100,-4.814093399049612
0,101,-4.869559073278874
0,102,-4.743041317200964
0,103,-4.954873534831991
0,104,-4.739350328990312
0,105,-4.76219604665925
0,106,-4.863159366604835
0,107,-4.795381949380789
0,108,-4.733470747402034
0,109,-4.725020268204637
0,110,-4.734245458853366
0,111,-5.004612781623712
0,112,-5.009005078157992
0,113,-4.83996818037872
0,114,-4.751040917015897
0,115,-4.907316444115589
0,116,-4.690840517532377
0,117,-4.939774350531016
0,118,-4.76968066228957
0,119,-4.865331151470881
0,120,-4.8503041633034245
0,121,-4.775625332156737
0,122,-4.829872702220786
0,123,-4.855724952991817
0,124,-4.771626247505083
0,125,-4.806701319639965
0,126,-4.921765192662562
0,127,-4.959666195807017
0,128,-4.795920537007197
0,129,-4.799478308822869
0,130,-4.769551290394582
0,131,-4.864479147688369
0,132,-4.907784087306148
0,133,-4.750692319214542
0,134,-4.880365783934827
0,135,-4.854638613523912
0,136,-4.925484031146392
0,137,-4.682618920194807
0,138,-4.87139486672725
0,139,-4.958294603380604
0,140,-4.9506532126169995
0,141,-4.8247912120081935
0,142,-4.801957743095035
0,143,-4.9610025618846905
0,144,-4.857092432697312
0,145,-4.973577831942695
0,146,-4.720040299613853
0,147,-4.826104779306861
0,148,-4.7606131855473794
0,149,-4.73881263543367
0,150,-4.91494616726876
0,151,-4.521851586595995
0,152,-4.866863944675914
0,153,-4.751271139980371
0,154,-4.828272004417105
0,155,-4.810985701953615
0,156,-4.832415347225334
0,157,-4.787881776936559
0,158,-4.917005925193258
0,159,-4.803432868800229
0,160,-4.833274771786894
0,161,-4.82155637819162
0,162,-4.845384678532241
0,163,-4.839195078252965
0,164,-4.860669069385026
0,165,-4.76827098249117
0,166,-4.914250223363722
0,167,-4.951870935636864
0,168,-4.782422765765714
0,169,-4.750231158029779
0,170,-4.929178416822151
0,171,-4.845966852059689
0,172,-4.954579072954904
0,173,-4.765937460404645
0,174,-4.8152504147324375
0,175,-4.815496820359657
0,176,-4.871441581872469
0,177,-4.608802464039904
0,178,-4.8341415277205275
0,179,-4.864067115637192
0,180,-4.6418112515410055
0,181,-4.841148620689387
0,182,-4.88619699634882
0,183,-4.907816944370009
0,184,-4.8484206265296
0,185,-4.811835247044273
0,186,-4.77893464198473
0,187,-4.935742766443405
0,188,-4.842350250453482
0,189,-4.853254951155673
0,190,-4.870055058480982
0,191,-4.920361234910658
0,192,-4.737293789716969
0,193,-4.824086506219458
0,194,-4.928457751888112
0,195,-4.8024911451168055
0,196,-4.795388207869143
0,197,-4.911220355040765
0,198,-4.673312279790491
0,199,-4.706157720745536
0,200,-4.846234849471734
0,201,-4.902214077373984
0,202,-4.617763188852159
0,203,-4.672813657082577
0,204,-4.819642353638811
0,205,-4.6931157462702275
0,206,-4.748904894940449
0,207,-4.812800663576469
0,208,-4.964308340137113
0,209,-4.819774050115188
0,210,-4.77804334383605
0,211,-4.880177045807446
0,212,-4.826434065201293
0,213,-4.924765556683276
0,214,-4.701933509327067
0,215,-4.793003366178111
0,216,-4.840541100284101
0,217,-4.79154674771705
0,218,-4.935552061362541
0,219,-4.826892007734902
0,220,-4.922896906171039
0,221,-4.7015617551188
0,222,-4.90410575018267
0,223,-4.949036019226154
0,224,-4.864065148683708
0,225,-4.803816424729394
0,226,-4.772566451269905
0,227,-4.600773985771563
0,228,-4.9307645859921525
0,229,-4.849286846021374
0,230,-4.8171484354364535
0,231,-4.74811561015195
0,232,-4.809206324307407
0,233,-4.89470380194141
0,234,-4.649490863787062
0,235,-4.742676089701981
0,236,-4.8184870366885395
0,237,-4.765349877755119
0,238,-4.730475345468515
0,239,-4.869595014883425
0,240,-4.765441966940909
0,241,-4.84430432933176
0,242,-4.699854260681694
0,243,-4.823613185685892
0,244,-4.987094333945753
0,245,-4.749792974437976
0,246,-4.784012421807799
0,247,-4.795509890764153
0,248,-4.782568499137402
0,249,-4.957179832494173
0,250,-4.859584249835722
0,251,-4.881891603395694
0,252,-4.855978108845764
0,253,-4.78881259296885
