gene,male_wt_bf,female_wt_bf,male_ko_bf,female_ko_bf,male_wt_frac_detected,female_wt_frac_detected,male_ko_frac_detected,female_ko_frac_detected
0610005C13Rik,-0.8502592,-0.05689777,-0.12644611,-1.2326393,0.001863354037267,0.0015527950310559,0.0020703933747412,0.0030020703933747
0610009B22Rik,-18.09002,10.8096485,-38.57714,-15.747416,0.2122153209109731,0.2126293995859213,0.2717391304347826,0.296583850931677
0610009E02Rik,-1.8672489,0.15747947,-0.7224811,-2.4323301,0.0082815734989648,0.0084886128364389,0.008695652173913,0.0080745341614906
0610009L18Rik,3.3556035,7.672677,-34.513264,-27.70748,0.2549689440993788,0.2667701863354037,0.2515527950310559,0.2747412008281573
0610010F05Rik,-11.034642,-5.2178955,-11.31986,-17.349937,0.1260869565217391,0.120703933747412,0.1099378881987577,0.1160455486542443
0610010K14Rik,-26.519531,-63.855286,-15.445022,-31.12373,0.2936853002070393,0.3066252587991718,0.3143892339544513,0.3555900621118012
0610012G03Rik,-27.68712,-45.87999,-30.793768,-46.04412,0.4321946169772256,0.4477225672877847,0.456935817805383,0.4916149068322981
0610030E20Rik,-13.092028,-7.892581,2.163202,-9.603251,0.1368530020703934,0.1343685300207039,0.10175983436853,0.115631469979296
0610038B21Rik,-2.199146,1.4892955,0.7161724,-2.3541868,0.005175983436853,0.0062111801242236,0.0066252587991718,0.0082815734989648
0610039K10Rik,-0.59641933,1.11447,1.530819,-0.2662784,0.0014492753623188,0.0025879917184265,0.0024844720496894,0.0012422360248447
0610040B10Rik,-2.2859042,-2.0685184,-2.2305305,-2.2044208,0.0075569358178053,0.0094202898550724,0.0102484472049689,0.0113871635610766
0610043K17Rik,1.8774277,-2.0484788,-3.93643,-1.2845669,0.0115942028985507,0.0149068322981366,0.0139751552795031,0.015631469979296
1010001B22Rik,-5.3544607,-5.2076635,-1.0831915,-2.1859984,0.0178053830227743,0.0200828157349896,0.0170807453416149,0.0199792960662525
1010001N08Rik,-9.118435,-3.0595706,1.495856,-4.2329926,0.0288819875776397,0.027743271221532,0.0350931677018633,0.0399585921325051
1110002L01Rik,-0.5124378,-3.372144,-3.0815187,-9.556281,0.0509316770186335,0.0542443064182194,0.0430641821946169,0.048343685300207
1110002O04Rik,0.44216713,4.13481,0.11004477,2.8567505,0.00175983436853,0.0012422360248447,0.0032091097308488,0.0028985507246376
1110004F10Rik,-60.148937,-52.270565,-53.29353,-40.58363,0.675879917184265,0.6225672877846791,0.5908902691511387,0.6244306418219462
1110006O24Rik,-2.2441816,-0.71977735,-1.7587813,-1.08787,0.0027950310559006,0.0040372670807453,0.0049689440993788,0.0044513457556935
1110008P14Rik,-36.42857,-22.761442,-43.865013,-47.273632,0.3712215320910973,0.3703933747412008,0.3798136645962733,0.4195652173913043
1110012L19Rik,-7.122387,-2.2391188,-20.614567,-2.6187024,0.136335403726708,0.1322981366459627,0.139751552795031,0.1635610766045548
1110013H19Rik,-0.6300769,-1.2487557,-4.28834,0.64260155,0.0066252587991718,0.0060041407867494,0.0089026915113871,0.0072463768115942
1110017D15Rik,0.09284489,-1.5209651,0.090151094,-0.97313344,0.0010351966873706,0.0012422360248447,0.0019668737060041,0.0008281573498964
