gene,wt_cross_sex_ll,ko_cross_sex_ll
2210407C18Rik,-329.52117821952527,-262.49923980262224
2310022B05Rik,-354.69826080165666,-280.1299915677524
Adamts1,-318.75840938550976,-290.4973767284447
Ahnak,-335.0856995776701,-283.084672449936
Angptl2,-280.3624905165568,-246.5284770494286
Arid5b,-301.1482783054225,-273.1346731384382
Arrdc3,-320.5456492489395,-331.9970587126602
Atf3,-461.41792018431306,-454.31112251049404
Btg1,-333.2263765034129,-258.97377552521203
Ccdc85b,-254.876640323816,-226.0693048573217
Ccn1,-424.27652702775833,-488.37539748905215
Ccn2,-396.2919640985058,-289.2758487571049
Cd9,-327.50879691691324,-249.43971477975504
Cdc42ep3,-337.9963576972011,-253.87139900727084
Cdkn1a,-279.7510788796564,-403.278611517934
Cebpb,-408.94966131453714,-310.3504282851628
Cebpd,-351.6129709102828,-292.1010691757305
Cirbp,-331.4796989813228,-252.2652198614766
Cited2,-316.5023194897177,-278.80176361921104
Ckb,-327.31434228795996,-253.12975657318938
Crip1,-328.98624364527285,-280.0823092205388
Crybg3,-362.12531909298,-226.54750899633575
Dhrs3,-326.199136787061,-244.36342875987566
Dnajb4,-370.78762789572664,-276.43736409526025
Eln,-430.6743605245661,-285.4943878047156
Ephx1,-288.5671378271235,-300.37331914344395
Errfi1,-334.06528993315874,-511.235522308484
Fbln5,-412.774424487089,-381.063625025864
Fdps,-297.89993865191616,-336.31827932851354
Fibin,-260.84419430299226,-325.97354605617653
Filip1l,-352.92654078968496,-285.68307301127993
Fmo2,-331.38423229297456,-266.2477441710858
Fmo3,-640.3344954165375,-359.89375813246994
Glul,-296.1064221837422,-322.1619221298103
Gm10076,-386.5943770689732,-274.8032117399771
Gm42418,-355.80970168472294,-399.67127922251996
Herpud1,-262.28742362270447,-239.05234851165704
Higd1a,-287.1954906239656,-240.76830380236467
Hlf,-330.12659914857466,-225.17062811792073
Hsp90aa1,-348.0607793329592,-271.94872717782704
Hspa1a,-625.4085364622343,-367.53936785135676
Hspa1b,-749.089826623087,-445.5357556644475
Hspa5,-278.8709631106249,-244.02915351274484
Hspa8,-322.7804304445923,-271.4521667237563
Hspb1,-465.96481166999007,-276.82718574131786
Hspb7,-261.59333021192106,-246.17500358869347
Hsph1,-397.0079832430232,-259.5089733228742
Id1,-328.8398785585957,-428.36949823765895
Id3,-292.00940850336667,-352.37527466769427
Klf15,-374.6618659777405,-320.33885533005184
Klf9,-267.34273838044373,-282.36460066507925
Lars2,-367.6798560235621,-287.7663142638561
Limch1,-293.92505374038046,-244.98888165013142
Lmcd1,-350.43689571194517,-246.6356279888355
Lox,-322.3558413832079,-248.80353657228636
Map1a,-334.221414357166,-249.61337987735055
Mgp,-315.7823426954705,-411.10531782587793
Mknk2,-299.3453032118103,-258.5165201788659
Mt1,-329.9263766894783,-319.3600410962714
Mt2,-318.25709910575216,-314.6240237597823
Mustn1,-304.579362573332,-291.05387657331664
Myl12a,-301.7740877095225,-297.42160340135416
Mylk4,-272.03812383804336,-286.1001226295741
Net1,-272.83702716973676,-320.99946365322705
Nfil3,-449.6598817375165,-285.8002298568106
Nfkbia,-350.0619693471726,-341.5652178545015
Nr4a1,-485.12660577368814,-492.77618462036526
Ntf3,-312.5370677102978,-277.520440174944
Ogn,-272.8286175338583,-382.47564174454226
Palld,-264.54208814747136,-280.72416734263135
Per2,-280.81552035275473,-317.9625702942139
Pfn1,-286.17205119755965,-244.11888033294778
Pkdcc,-427.65790126908985,-352.0571324815055
Por,-323.9244128467548,-324.5116544192573
Ptprz1,-278.78661109580753,-234.4960435298401
Rasl11a,-295.9289083621952,-225.44806499218177
Rassf3,-278.6091359499786,-240.356376009813
Rbm3,-361.0228279106044,-219.00102681080278
Resf1,-269.7105949073499,-326.30153590898396
Rhobtb1,-289.1456381235569,-297.5206676552536
Rhoc,-296.86741118952204,-274.85346893552713
Rnd3,-353.6524608296436,-322.6827191676565
Rock1,-305.15207511126664,-257.6852690036542
Rrad,-319.8117374830844,-316.561631055491
Serpini1,-259.877596986755,-239.46817078059877
Sh3pxd2a,-335.3507412984876,-275.5455743510794
Smim5,-315.6744108443431,-241.61517816013662
Sost,-492.26192779911713,-459.3972118755986
St3gal5,-346.35798607865195,-266.1323910228268
Stbd1,-359.8042623127231,-342.125663029794
Tcap,-463.77742491700553,-269.4446069550003
Tent5a,-311.6908962500992,-278.21466086293884
Tgfb2,-338.3080486396105,-287.9754490506447
Thra,-290.74809839814134,-229.00901025704417
Tm4sf1,-279.8990217175936,-239.62845465398985
Tob2,-275.88160450307015,-300.2151669111038
Trp53inp1,-332.730370639957,-363.0155818828091
Tspan4,-277.8930473979219,-244.86956974888486
Txnip,-316.4469716805716,-290.14937992625016
Uba52,-549.3630885480195,-380.15562385668426
Vcan,-272.6261192986894,-275.48923637073875
Vldlr,-402.1248836557675,-365.34474161899215
Vwc2,-331.061196116578,-269.2284007478853
Wnt16,-291.09876953490664,-264.26212825937415
Wtip,-395.0069775951235,-310.18681154361514
Ypel2,-318.63149921130383,-236.04548518038783
Zbtb16,-403.5442317437484,-459.5476972142485
Zfp36l1,-297.0670098188171,-308.9852507098519
