gene,wt_cross_sex_ll,ko_cross_sex_ll,is_wt_cycler
0610009B22Rik,-287.55885040989955,-242.84736842538223,True
0610009L18Rik,-269.2641432410649,-269.4002579359819,False
0610010K14Rik,-277.2121078793879,-260.4323298290173,False
0610012G03Rik,-260.25602865863027,-262.0747265587856,False
1110004F10Rik,-285.33362796931965,-239.6667684628556,False
1110008P14Rik,-274.514653181175,-253.25099185100646,False
1110038F14Rik,-265.7920242575307,-249.44288441932775,False
1110059E24Rik,-253.90886753088859,-262.0732430490133,False
1110059G10Rik,-255.96667817256753,-266.14284449706116,False
1110065P20Rik,-262.50596130504636,-253.6010629999369,False
1190005I06Rik,-258.8238248105502,-277.3000195211605,True
1500009L16Rik,-271.252014062008,-260.2732561999993,False
1700123O20Rik,-262.5603793618829,-248.3251071380286,False
1810013L24Rik,-247.78371106536483,-271.16601723833384,False
1810026B05Rik,-284.87789188855174,-251.66800466638722,False
1810037I17Rik,-289.14154889899504,-265.03311041953043,False
1810058I24Rik,-288.70848964182295,-254.32871192723758,False
2200002D01Rik,-280.0722447607534,-287.00535774240547,False
2210016F16Rik,-257.60839463627383,-242.03023386765847,False
2210016L21Rik,-255.99127947321142,-251.79250026907962,False
2210407C18Rik,-311.74398751449087,-245.92168868209745,True
2300009A05Rik,-278.2161507636939,-255.53419193377846,False
2310009A05Rik,-254.07229428974466,-246.0194453668699,False
2310011J03Rik,-264.89412675801555,-263.87704463596424,False
2310022B05Rik,-322.5826519299703,-263.0335569683542,True
2310039H08Rik,-250.82134898539337,-254.25088666296932,False
2410006H16Rik,-273.4667312061417,-253.34991007271756,False
2510002D24Rik,-264.2948565526411,-260.7772948192093,False
2510009E07Rik,-270.13980015466956,-298.2857956432706,False
2610001J05Rik,-293.4119005466498,-252.40694960513852,False
2610507B11Rik,-273.44425924070714,-272.196687442405,False
2810004N23Rik,-283.3049760852074,-257.9468127614888,False
2900026A02Rik,-336.3044175731571,-321.2435367179118,False
2900097C17Rik,-285.5241063892091,-312.71228114153183,False
3830406C13Rik,-264.8331150657284,-254.3782332693164,False
4833439L19Rik,-263.65179845939883,-249.34503919823328,False
4921524J17Rik,-261.0626923738391,-266.00258303038856,False
4930453N24Rik,-253.91214296656494,-259.515703948244,False
4930523C07Rik,-260.4581413608634,-259.8949471685195,False
4931406P16Rik,-243.03598278766506,-286.1543810514123,False
4932438A13Rik,-282.5148202812387,-252.92810123303536,False
9530068E07Rik,-253.92486229639138,-267.45596332188325,False
9930021J03Rik,-237.33159004770752,-229.8229148866963,False
A430005L14Rik,-297.1969638596872,-266.6210976761268,False
AC149090.1,-275.94740702355426,-304.56494726048624,True
AI837181,-245.63881402344362,-252.41577857880395,False
AI838599,-294.37173519609,-321.21515336335005,False
AW549877,-258.88937924945276,-258.3212495349426,False
AY036118,-294.9760633669299,-327.95513152164335,False
Aamdc,-256.8468122828007,-229.7023290666107,False
Aamp,-233.36340138694447,-242.75179534966526,False
Aarsd1,-270.3501243995601,-306.3374956570965,False
Abat,-313.7573906288583,-264.78899709119935,False
Abcc1,-281.0015375167029,-276.8014601766449,False
Abcc5,-245.80799617962793,-258.4070591586452,False
Abcc9,-278.478630887331,-290.38901817295834,False
Abcd3,-260.9374558703647,-254.5385047022047,False
Abce1,-284.9178467869125,-249.79510411807138,False
Abcf1,-259.602184973202,-249.78299036624992,False
Abhd14a,-267.1437218417026,-261.2978419113898,False
Abhd14b,-273.7070142334668,-265.81708975982394,False
Abhd16a,-253.01730661407203,-247.67763189361045,False
Abhd17a,-265.6740989448333,-253.5167541222919,False
Abhd17b,-284.1149180624851,-253.40463422687696,False
Abhd8,-245.97014243208778,-245.16777464735497,False
Abi1,-265.041350970918,-254.7279629080408,False
Abi2,-261.3521576388657,-282.5133342646791,False
Abi3bp,-253.60944058933757,-295.44168776924164,False
Abl1,-268.8733544024267,-268.18038040089743,False
Abracl,-270.9200679859845,-259.02821455498156,False
Acaa1a,-259.3116336681874,-252.82533853729825,False
Acaa2,-303.160676997763,-248.10742297772083,True
Acadl,-252.64991842235514,-285.2882969173086,False
Acadm,-243.27288626729296,-249.3176641585698,False
Acads,-253.41439014857252,-257.00248169363283,False
Acadsb,-250.55432409475972,-244.25726473295063,False
Acadvl,-252.03722243685442,-247.07805254286515,False
Acap2,-253.6221505019173,-269.7587439010846,False
Acat1,-241.98613024431782,-259.03841943324767,False
Acbd3,-242.99748158098294,-257.30371766333064,False
Acbd4,-281.89867239063,-250.9276342814148,False
Acbd5,-263.210115085315,-270.9228844123489,False
Acbd6,-253.87302848037956,-247.46401034595675,False
Ace,-257.5100975128445,-616.9159846901467,False
Acin1,-261.46278373113216,-277.767560115777,False
Acly,-273.9459590629588,-256.47947002855005,False
Aco2,-260.060312783194,-246.73097464779568,False
Acot13,-272.05857921496727,-263.25257029962603,False
Acot9,-259.329555579634,-257.4768543827548,False
Acp1,-254.3516130378399,-249.24912047989216,False
Acsl1,-267.37322855422315,-254.7136303028484,False
Acta2,-263.0642848538804,-262.23203634914,False
Actb,-240.9206834542481,-240.50859956369834,True
Actg1,-250.623403718742,-242.85467264866833,False
Actg2,-273.0604630971143,-379.38511883470755,False
Actl6a,-244.09935119326792,-253.1462997399255,False
Actn1,-289.7198998532467,-266.7581393201523,False
Actn4,-298.8009059478618,-262.1109616049769,False
Actr10,-267.702906889511,-240.86895056862673,False
Actr1a,-256.90560028347295,-255.75702924334314,False
Actr1b,-253.15433127792937,-262.6316779358895,False
Actr2,-252.97881663996534,-255.0644831394132,False
Actr3,-260.9344734331913,-254.46882943041254,False
Acvrl1,-287.6521350466127,-259.0383621058638,False
Acyp1,-268.13878782913713,-247.09923147161112,False
Acyp2,-260.734634038691,-280.0151382430415,False
Adam15,-310.7675149655364,-312.4246261383365,False
Adam33,-243.9336435238729,-251.02545799565604,False
Adam9,-281.73844485446693,-318.13489064935663,False
Adamts1,-327.5275012716326,-286.89803842733215,True
Adamts10,-258.4208502988433,-255.66230330734248,False
Adamts2,-257.09253430996176,-261.1456361920965,False
Adamts5,-298.91582224575814,-285.474382666696,True
Adamtsl3,-302.8408626190505,-412.7773038059196,False
Adamtsl5,-251.2715742728281,-289.1374148544434,True
Adarb1,-270.8515778515492,-251.80746319020736,False
