gene,bulk_acrophase_bmal1_adj,sc_acrophase_bmal1_adj
2210407C18Rik,16,14.922027763166982
2310015D24Rik,22,1.4461605268120112
2310022B05Rik,22,23.524424572246797
4631405J19Rik,1,3.1210229185597265
Acan,15,16.196865283747684
Adam19,0,0.5790948675412089
Adamts12,4,0.5429541136061937
Adamtsl5,15,15.070445821235497
Agpat4,10,9.564389214453477
Amfr,9,12.149446711562332
Angptl2,12,16.42162566626486
Antxr1,22,0.6797141571556824
Arntl,0,0.0
Baiap2,22,12.321827274562098
Bhlhe41,9,11.204031431962784
Bmp3,15,15.199132954219968
Cacnb2,22,0.2748849305278174
Camk2b,4,3.335707138136405
Caprin2,4,2.8791542754158033
Car11,14,15.533506307105585
Ccdc69,23,0.4188101805551476
Cd14,17,14.181071697430054
Cdc25b,8,8.6886034961916
Cdh3,0,0.9578313996614005
Cdkl5,17,17.25370719037467
Cdkn1a,22,0.6744044680152985
Chst2,18,17.665904138993707
Ciart,11,10.808690378167645
Cirbp,6,8.586437673379196
Clock,0,23.941801826657294
Cmtm6,0,0.19119933069283945
Coq10b,11,10.37432848744599
Creb3l1,22,23.513013927151164
Crybg3,23,23.77298247672696
Cyb561,13,13.116434997074895
Cys1,14,14.722108466023812
D17H6S53E,8,12.797173884980594
Daam1,22,0.6429310610559524
Dapk1,0,23.573071707056343
Dbp,10,9.704111999459544
Dhrs3,23,23.539598230182573
Dock5,15,14.036701517742861
Dpy19l3,1,2.0615575464680407
Eif4ebp2,22,23.81276563551276
Eln,22,0.9649648799649047
Ephx1,12,12.433684877047828
Erf,9,7.310425403869422
Fam107a,14,11.458710584015142
Fam120c,0,23.89007461064619
Fdps,23,19.461238795395815
Fibin,13,12.60234237416472
Fkbp5,13,12.107700263458806
Fmo1,16,14.770741764778364
Fmo2,16,17.30306859566531
Fmo3,15,14.780048179770677
Fzd4,13,14.220144407188387
Gab1,14,12.26477143057331
Glrx,22,7.868353640867118
Glul,14,12.132738960095697
Gramd4,23,23.55192004521591
Grk5,23,23.525682223612804
Hapln1,16,14.02250222761691
Herpud1,11,12.760718688526199
Hlf,12,12.965191705183292
Ier5,0,23.62342643960265
Ifit3,14,14.33124813206369
Il33,16,14.487242889871004
Klf9,9,9.925267433479311
Klhdc8b,11,9.65379865028874
Lasp1,0,23.593558025342087
Ldlr,18,20.285109092634816
Leo1,23,23.433192543912615
Lonrf1,13,14.69745210033767
Lonrf3,18,18.251012954373167
Lox,23,23.089581189331845
Lrrk1,15,14.249640833709877
Map3k6,12,12.496557044718681
Mapk12,11,10.340647256119258
Mapre2,15,14.283827056622622
Mcoln1,9,16.255621355934625
Mknk2,15,12.610616106032873
Mmp14,2,1.7929341838303023
Msmo1,20,19.233823181900114
Mt1,12,10.835500829523973
Mthfd1l,13,13.39029710247022
Naa60,16,14.789869945077067
Ndufv3,4,1.9668284527787399
Nfil3,21,22.586009309447295
Npas2,0,1.401877044439451
Nptn,17,14.38446886960302
Nr1d1,8,7.770189376369109
Nr1d2,10,9.880521000935914
Papss2,16,10.764332240234848
Pdgfc,18,12.150443932098527
Pdia6,23,20.77706626583126
Pdk4,4,11.386555013723202
Pdxk,15,15.528144974404027
Pdzd2,1,1.080545360779538
Per1,11,10.739342814331827
Per3,12,12.911695559952596
Phf19,14,15.112032036109825
Pik3ip1,12,11.379639261355782
Pik3r1,17,19.125112774687135
Pim3,8,8.95108034152593
Pitpnm2,13,13.807567781398006
Plcb1,17,17.730000390710618
Podn,15,17.292995069782187
Ptprz1,22,22.332015810244684
Pusl1,7,8.833522612738305
Rasd2,12,11.379539205199158
Rasl11a,22,23.41066848080492
Rassf3,0,0.910806525995695
Rhobtb1,13,13.799524277672148
Rhou,23,12.378484684581645
Rnaseh2b,12,12.354332751568215
Rnf145,15,13.719861083074642
Rsad1,9,8.753908487055828
Scd2,21,21.373986788313903
Serinc3,15,14.661180165842483
Serpini1,16,14.569532874439737
Slc16a1,1,12.604278509317739
Slc22a4,12,2.618722851667782
Slc24a4,13,14.570506428691397
Slc25a33,12,11.084421381894469
Slc25a34,0,0.325874014414702
Slc46a3,16,14.809484103051824
Slc4a8,10,14.896104731447023
Slc6a6,10,10.905498530476118
Smarcd2,10,12.935716426524925
Smpdl3b,14,14.356940751341458
Snx18,22,22.777251743737928
Sqle,21,19.2877850900125
Steap3,15,13.51389141155832
Stip1,19,18.681712730438626
Stk35,13,11.789180066429916
Sult1a1,15,14.41580747935991
Tef,12,11.867652233978655
Thra,3,2.5186008498565706
Tmem82,23,0.15441288472957737
Tmem86a,8,8.013596884966516
Tmtc1,14,15.311439750089827
Tob2,10,9.887628935789492
Trip10,13,14.974623763536279
Tsc22d3,15,12.876105062063422
Tshr,0,11.396612820776918
Tspan4,12,12.762747950449517
Tspan9,2,0.7541327708602632
Ubxn1,7,10.42073762714037
Vwc2,15,12.897546026015759
Wdr95,22,22.269678207201743
Wee1,14,12.5305453591944
Ypel2,22,23.903266613545817
Zdhhc23,12,12.408381671397242
Zfp36l1,23,23.873822464338986
