gene,male_acrophase_hour,female_acrophase_hour,circular_distance_hour,average_acrophase_hour,average_acrophase_rad,male_bf_log10,female_bf_log10
Atp2b2,14.11,12.53,1.58,13.32,3.4866,21.61,8.37
Dbp,8.97,9.05,0.08,9.01,2.3582,83.79,142.67
Edn1,21.84,19.94,1.9,20.89,5.4698,14.19,49.67
Ephx1,9.63,10.5,0.87,10.06,2.6346,2.84,6.25
Fos,17.23,14.36,2.87,15.8,4.1359,15.94,10.4
Hlf,9.7,9.61,0.09,9.65,2.5275,21.83,21.79
Lefty1,9.51,7.18,2.34,8.35,2.1848,3.55,9.84
Lmo2,8.12,6.88,1.24,7.5,1.9627,8.41,22.16
Mall,20.87,22.41,1.54,21.64,5.6655,3.29,3.43
Nr1d1,8.02,8.26,0.25,8.14,2.1306,64.13,79.54
Nr1d2,8.88,8.55,0.33,8.72,2.2818,22.71,45.1
Per3,10.44,9.99,0.45,10.22,2.6745,11.21,27.54
Pfkfb3,11.76,9.31,2.45,10.53,2.7578,3.76,3.64
Rnaseh2b,10.67,7.77,2.9,9.22,2.4136,5.9,3.43
Serpinb6b,21.94,22.56,0.62,22.25,5.8252,3.21,8.67
Smpd3,19.11,20.23,1.12,19.67,5.1497,15.06,3.8
Tagln,21.17,21.21,0.04,21.19,5.5474,5.3,3.03
Tef,11.26,11.16,0.1,11.21,2.9353,28.86,19.57
Tspan4,10.51,10.17,0.34,10.34,2.7081,20.03,23.94
Vipr1,15.46,15.65,0.19,15.56,4.0732,16.38,2.51
Zbtb16,13.37,12.39,0.98,12.88,3.3727,8.38,4.84
