gene,male_acrophase_hour,female_acrophase_hour,circular_distance_hour,average_acrophase_hour,average_acrophase_rad,male_bf_log10,female_bf_log10
Acaa2,9.48,8.98,0.5,9.23,2.4153,17.73,38.31
Adm,1.77,3.01,1.24,2.39,0.6251,5.3,23.6
Aldh3a1,15.87,17.44,1.57,16.65,4.3594,18.81,3.74
Angptl7,16.58,17.81,1.23,17.2,4.5018,104.25,52.14
Anxa3,3.1,1.13,1.97,2.11,0.5532,17.61,40.4
Arhgap18,0.21,0.39,0.17,0.3,0.0785,5.53,9.93
Arhgap20,0.6,0.2,0.4,0.4,0.1053,57.08,20.67
Arntl,0.35,23.1,1.25,23.72,6.2103,51.3,33.15
Bhlhe40,10.84,11.98,1.13,11.41,2.9868,6.47,4.74
Bhlhe41,11.35,10.57,0.77,10.96,2.8693,152.03,74.92
Cdc25b,9.69,7.03,2.67,8.36,2.1889,7.7,13.13
Cdc42ep3,22.82,0.19,1.36,23.5,6.1535,7.17,5.51
Cdkn1a,1.76,1.7,0.06,1.73,0.4521,49.27,17.51
Ciart,10.99,10.47,0.52,10.73,2.8082,46.68,12.46
Cirbp,10.32,7.67,2.65,9.0,2.355,17.82,38.51
Ckb,2.26,1.33,0.93,1.8,0.4708,11.17,15.4
Cldn10,3.43,2.5,0.94,2.97,0.7765,10.95,39.24
Clmp,2.41,2.28,0.13,2.34,0.6139,21.6,6.31
Clock,0.16,23.59,0.57,23.88,6.2505,17.28,9.86
Col27a1,15.53,16.22,0.69,15.88,4.1568,10.35,11.97
Col5a3,3.68,2.65,1.03,3.16,0.8284,15.37,36.09
Cpt1a,7.37,8.15,0.78,7.76,2.0326,15.59,5.46
Creld2,20.87,21.2,0.33,21.03,5.5069,77.56,15.1
Cyp51,21.99,21.39,0.59,21.69,5.6785,5.51,5.43
Cys1,16.18,15.8,0.38,15.99,4.1871,53.25,37.65
Dbp,9.9,9.87,0.03,9.88,2.5876,717.13,605.7
Deptor,14.4,13.7,0.7,14.05,3.6785,16.85,6.34
Dio2,22.71,23.21,0.5,22.96,6.0104,24.19,20.23
Dtx4,23.41,0.36,0.95,23.89,6.254,21.77,3.22
Ece1,0.26,2.04,1.79,1.15,0.3008,10.38,7.68
Ech1,6.61,5.72,0.89,6.17,1.6142,15.33,24.68
Eci2,10.71,9.77,0.94,10.24,2.68,2.03,2.31
Efhd1,4.31,2.88,1.44,3.59,0.941,8.36,9.69
Eln,1.38,0.52,0.86,0.95,0.2479,86.3,156.33
