gene,male_acrophase_hour,female_acrophase_hour,circular_distance_hour,average_acrophase_hour,average_acrophase_rad,male_bf_log10,female_bf_log10
1200007C13Rik,1.03,22.21,2.82,23.62,6.1837,7.14,6.02
1700061G19Rik,7.71,6.65,1.06,7.18,1.879,14.56,34.41
1810062G17Rik,5.59,4.49,1.1,5.04,1.319,2.16,21.93
2210407C18Rik,15.53,16.76,1.23,16.14,4.2259,1010.53,38.07
2310015D24Rik,2.05,2.12,0.07,2.09,0.5459,36.03,121.89
2310022B05Rik,0.13,22.42,1.71,23.28,6.0935,224.56,524.94
2900089D17Rik,8.58,7.13,1.45,7.85,2.0555,15.01,21.2
3425401B19Rik,10.46,9.87,0.59,10.17,2.6613,14.67,17.49
4430402I18Rik,15.73,15.92,0.19,15.82,4.1429,6.56,5.02
4631405J19Rik,3.73,5.75,2.02,4.74,1.2404,139.61,314.89
4833412C05Rik,6.21,5.17,1.04,5.69,1.4907,9.19,42.62
4930579P08Rik,1.36,0.38,0.98,0.87,0.2286,63.37,39.88
9530018F02Rik,9.16,6.94,2.22,8.05,2.1083,6.4,3.1
9630015K15Rik,6.85,5.94,0.91,6.4,1.6751,104.48,101.01
A930033H14Rik,14.22,14.37,0.15,14.29,3.742,11.79,7.66
Acaa2,11.04,9.3,1.75,10.17,2.6625,23.64,114.71
Acan,16.8,15.59,1.22,16.19,4.2395,70.73,9.28
Actn2,23.01,20.72,2.29,21.87,5.7247,2.71,11.84
Actr3b,12.37,12.18,0.19,12.27,3.2135,32.87,5.55
Adam19,1.18,0.85,0.34,1.02,0.266,99.52,15.97
Adamts1,13.63,13.98,0.36,13.8,3.614,297.05,806.76
Adamts9,17.35,16.19,1.16,16.77,4.3914,39.28,50.86
Adamtsl5,15.68,14.78,0.89,15.23,3.9868,139.7,30.14
Adcy7,14.45,15.3,0.85,14.87,3.8932,94.93,10.59
Ahnak,19.53,17.77,1.77,18.65,4.8826,532.16,397.43
Aimp2,10.55,10.88,0.33,10.72,2.8055,26.59,19.07
Akap5,1.18,1.4,0.22,1.29,0.3374,25.77,8.21
Akr1b8,8.68,7.83,0.85,8.25,2.1609,3.41,6.98
Alkbh7,0.95,1.14,0.19,1.05,0.2739,19.77,13.11
Angpt2,6.94,5.65,1.29,6.3,1.6483,3.76,30.03
Angptl2,17.03,16.49,0.53,16.76,4.3876,316.76,281.63
Ankrd1,22.62,19.63,2.99,21.12,5.5297,121.06,416.97
