gene_set,bin_0_ZT0-2,bin_1_ZT2-4,bin_2_ZT4-6,bin_3_ZT6-8,bin_4_ZT8-10,bin_5_ZT10-12,bin_6_ZT12-14,bin_7_ZT14-16,bin_8_ZT16-18,bin_9_ZT18-20,bin_10_ZT20-22,bin_11_ZT22-24
Calcium signaling pathway,0.0,1.7142857142857142,0.0,1.7142857142857142,0.0,0.0,0.0,1.7142857142857142,5.142857142857143,0.0,0.0,1.7142857142857142
Hippo signaling pathway,1.5,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,3.0,3.0,0.0
Circadian rhythm,4.0,0.0,0.0,0.0,2.6666666666666665,2.6666666666666665,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0
Ras signaling pathway,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,4.0,0.0,2.0,0.0
Wnt signaling pathway,2.0,2.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,2.0
Cytokine-cytokine receptor interaction,0.0,0.0,0.0,0.0,0.0,3.4285714285714284,0.0,1.7142857142857142,1.7142857142857142,1.7142857142857142,1.7142857142857142,1.7142857142857142
Drug metabolism,0.0,0.0,1.7142857142857142,0.0,0.0,1.7142857142857142,0.0,3.4285714285714284,1.7142857142857142,1.7142857142857142,1.7142857142857142,0.0
Oxytocin signaling pathway,3.4285714285714284,1.7142857142857142,0.0,0.0,0.0,0.0,1.7142857142857142,1.7142857142857142,3.4285714285714284,0.0,0.0,0.0
PI3K-Akt signaling pathway,3.4285714285714284,0.0,0.0,3.4285714285714284,0.0,1.7142857142857142,0.0,0.0,1.7142857142857142,0.0,1.7142857142857142,0.0
Rap1 signaling pathway,0.0,0.0,0.0,3.4285714285714284,1.7142857142857142,0.0,1.7142857142857142,1.7142857142857142,1.7142857142857142,0.0,1.7142857142857142,0.0
MAPK signaling pathway,1.2000000000000002,0.0,0.0,2.4000000000000004,1.2000000000000002,0.0,1.2000000000000002,0.0,2.4000000000000004,1.2000000000000002,1.2000000000000002,1.2000000000000002
Cell cycle,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0
Regulation of actin cytoskeleton,0.0,0.0,0.0,1.7142857142857142,1.7142857142857142,0.0,1.7142857142857142,0.0,1.7142857142857142,1.7142857142857142,1.7142857142857142,1.7142857142857142
