tf_motif,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
SP1 (human),6,Pfkfb3;Tspan4;Per3;Tef;Nr1d2;Dbp,8.0,5,10.007150951785242,0.8735344507210756,11.0
PCBP1 (human),6,Pfkfb3;Tspan4;Per3;Tef;Nr1d2;Dbp,8.0,5,10.007150951785242,0.8735344507210756,11.0
HINFP (human),7,Tef;Nr1d2;Lmo2;Zbtb16;Pfkfb3;Tspan4;Per3,6.857142857142857,5,10.204814215705797,1.6040649817354184,11.0
IRF8 (human),7,Tagln;Nr1d1;Nr1d2;Lmo2;Hlf;Rnaseh2b;Tspan4,6.857142857142857,4,8.874316879477973,3.2981672650166884,9.0
NFKB1 (human),7,Tef;Pfkfb3;Per3;Atp2b2;Smpd3;Lefty1;Tspan4,6.857142857142857,5,11.197967642802134,3.2188418617699552,11.0
SREBF1 (human),6,Tef;Nr1d1;Nr1d2;Rnaseh2b;Tspan4;Per3,6.0,4,9.640548911349693,1.0519338884336864,9.0
E2F6 (human),6,Fos;Pfkfb3;Tspan4;Per3;Atp2b2;Nr1d2,6.0,5,11.357776688390551,2.3866766508568484,11.0
GLI2 (human),7,Zbtb16;Tspan4;Atp2b2;Tef;Nr1d2;Ephx1;Dbp,5.142857142857143,5,10.774112318751312,1.6714594978718298,11.0
KLF4 (human),7,Zbtb16;Tspan4;Atp2b2;Nr1d1;Nr1d2;Ephx1;Dbp,5.142857142857143,4,10.309136839980251,1.9012671317157692,9.0
TFAP2A (human),7,Pfkfb3;Per3;Atp2b2;Fos;Nr1d2;Zbtb16;Tspan4,5.142857142857143,5,11.610911440611092,2.266337018344636,11.0
KLF11 (human),7,Zbtb16;Tspan4;Atp2b2;Nr1d1;Nr1d2;Ephx1;Dbp,5.142857142857143,4,10.309136839980251,1.9012671317157692,9.0
GATA2 (human),10,Tef;Pfkfb3;Tagln;Tspan4;Rnaseh2b;Per3;Atp2b2;Lmo2;Lefty1;Zbtb16,4.800000000000001,5,10.554302933532067,3.1706921443524703,11.0
NFIC (human),8,Tef;Edn1;Dbp;Ephx1;Nr1d1;Lmo2;Lefty1;Tspan4,4.5,4,9.284200865865747,3.196455988430875,9.0
TEAD4 (human),8,Fos;Zbtb16;Pfkfb3;Tspan4;Atp2b2;Tef;Nr1d2;Dbp,4.5,5,11.396414851066059,2.257582356072382,11.0
SRF (human),9,Tef;Dbp;Pfkfb3;Atp2b2;Ephx1;Fos;Tagln;Lmo2;Lefty1,4.0,5,10.814970956787091,3.82449755994414,11.0
RELA (human),6,Fos;Tagln;Nr1d1;Dbp;Pfkfb3;Tspan4,4.0,4,10.917673406070108,4.499998375507948,9.0
TCF4 (human),6,Edn1;Rnaseh2b;Ephx1;Nr1d1;Lmo2;Mall,4.0,4,8.168953412206537,5.769269222127985,9.0
ZNF148 (human),6,Nr1d1;Nr1d2;Zbtb16;Tspan4;Atp2b2;Ephx1,4.0,4,10.552323415681983,1.9703689236140707,9.0
NFE2 (human),6,Tef;Nr1d2;Lefty1;Zbtb16;Pfkfb3;Atp2b2,4.0,4,10.836687999936602,1.912998158372358,9.0
FOXC1 (human),13,Fos;Tspan4;Rnaseh2b;Atp2b2;Nr1d1;Lmo2;Lefty1;Tef;Vipr1;Ephx1;Per3;Zbtb16;Mall,3.6923076923076925,5,11.066348346688109,3.5800758463070896,11.0
E2F1 (human),7,Tef;Dbp;Pfkfb3;Atp2b2;Vipr1;Fos;Nr1d2,3.4285714285714284,4,11.954578227316285,2.8004849799776794,9.0
ETS1 (human),7,Atp2b2;Vipr1;Fos;Nr1d1;Lmo2;Lefty1;Zbtb16,3.4285714285714284,4,11.68076550874044,3.535431239082528,9.0
E2F1 (mouse),6,Lmo2;Rnaseh2b;Pfkfb3;Atp2b2;Mall;Vipr1,2.0,3,11.66516887555001,4.728289482538483,7.0
