tf_motif,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
NR1H3 (human),8,Ece1;Tspan4;Fdps;Rere;Nr1d2;Sord;Pdk4;Pik3ip1,7.5,5,11.296751713807968,4.614809969396132,11.0
SP3 (human),14,Bhlhe40;Bhlhe41;Tmem52;Lingo1;Eci2;Tspan4;Per3;Tef;Nr1d2;Prdx6;Glul;Rasd2;Wee1;Pkd1,6.857142857142857,5,11.96952051479078,1.6042651461599204,11.0
MYC (mouse),13,Bhlhe40;Bhlhe41;Eci2;Tef;Fkbp5;Wee1;Per1;Acaa2;Prdx6;Efhd1;Sord;Manf;Hspa8,6.461538461538462,5,11.163094039035588,3.8175519152542288,11.0
NR2F1 (human),6,Cdc25b;Npas2;Cdkn1a;Ckb;Lmo2;Dbp,6.0,0,5.518563425680216,4.286321798417059,1.0
TEAD4 (human),14,Bhlhe40;Bhlhe41;Tmem52;Zbtb16;Eci2;Tspan4;Rere;Tef;Nr1d2;Prdx6;Adm;Lbh;Arntl;Dbp,6.0,5,11.060657432563952,4.148683584006957,11.0
NFIA (human),6,Tmem86a;Tef;Angptl7;Fkbp5;Rab6b;Pkd1,6.0,8,14.103972095071203,3.245801453696392,17.0
TCFAP2A (human),14,Bhlhe40;Bhlhe41;Slco3a1;Lingo1;Tspan4;Nfil3;Per3;Per2;Acaa2;Rere;Nr1d2;Prdx6;Rasd2;Wee1,6.0,5,12.056816943981406,2.933564730444817,11.0
EGR1 (human),6,Nr1d2;Prdx6;Lingo1;Nfil3;Rab6b;Per2,6.0,5,13.349439911860113,4.342812092019643,11.0
SP1 (human),16,Bhlhe40;Bhlhe41;Tmem52;Lingo1;Eci2;Tspan4;Nfil3;Per3;Tef;Nr1d2;Prdx6;Glul;Rasd2;Dbp;Wee1;Pkd1,6.0,5,11.918045587199416,2.5801422096099698,11.0
ZNF148 (human),12,Bhlhe40;Cdc25b;Cirbp;Eci2;Tcap;Nr1d1;Nr1d2;Cdkn1a;Zbtb16;Lingo1;Tspan4;Serpine1,6.0,5,10.342935853390433,2.651377970779535,11.0
RORB (human),6,Cdc25b;Npas2;Cdkn1a;Ckb;Lmo2;Dbp,6.0,0,5.518563425680216,4.286321798417059,1.0
PCBP1 (human),14,Bhlhe40;Bhlhe41;Tmem52;Lingo1;Eci2;Tspan4;Per3;Tef;Nr1d2;Prdx6;Glul;Dbp;Wee1;Pkd1,6.0,5,11.861365798279653,1.6926884467623542,11.0
JUN (human),15,Mmp14;Bhlhe40;Cdc25b;Ttc39b;Slc10a6;Rere;Tef;Lmo2;Per1;Klhl13;Sord;Limch1;Glul;Aldh3a1;Pik3ip1,5.6000000000000005,5,9.90064903595225,4.038142036398381,11.0
MAX (human),18,Bhlhe40;Bhlhe41;Mbd1;Ece1;Nfil3;Tef;Nr1d2;G0s2;Fkbp5;Cpt1a;Rasd2;Wee1;Clock;Lingo1;Per3;Per1;Serpine1;Pkd1,5.333333333333333,5,11.691617964763905,3.90125781849322,11.0
MTF1 (human),9,Bhlhe41;Tmem52;Zbtb16;Lingo1;Tspan4;Per3;Rasd2;Aldh3a1;Dbp,5.333333333333333,5,12.33367237993205,1.8764751816819318,11.0
LTF (human),9,Bhlhe40;Bhlhe41;Tmem52;Rasl11a;Serpine1;Nr1d2;Cdkn1a;Vgll3;Hlf,5.333333333333333,5,10.729483292801923,5.57107324387832,11.0
Sox2 (mouse),7,Cdc25b;Ech1;Dio2;Pdk4;Lmo2;Rbm3;Ptgs2,5.142857142857143,4,9.22357384816641,4.166914815081811,9.0
MIR138 (human),7,Ece1;Tspan4;Eln;Fmo1;Limch1;Glul;Lmo2,5.142857142857143,0,10.182646587185555,8.379811528715496,1.0
CRTC3 (human),7,Zbtb16;Per1;Klhl13;Prdx6;Cdkn1a;Vgll3;Aldh3a1,5.142857142857143,5,8.918586192824707,8.418681394414904,11.0
USF1 (human),14,Bhlhe40;Bhlhe41;Mbd1;Ece1;Per3;Per1;Tef;Serpine1;Nr1d2;G0s2;Fkbp5;Cpt1a;Wee1;Rbm3,5.142857142857143,5,11.079831830404375,2.5396649500143234,11.0
ZNF354C (human),7,Scp2;Zbtb16;Tspan4;Serpine1;Prdx6;Nmb;Hlf,5.142857142857143,5,11.986501315095065,1.9596565838112,11.0
KLF11 (human),12,Bhlhe40;Zbtb16;Cdc25b;Cirbp;Tspan4;Tcap;Col5a3;Serpine1;Nr1d1;Nr1d2;Fam107a;Dbp,5.000000000000001,4,10.29618068835576,2.4984353454645314,9.0
KLF4 (human),12,Bhlhe40;Zbtb16;Cdc25b;Cirbp;Tspan4;Tcap;Col5a3;Serpine1;Nr1d1;Nr1d2;Fam107a;Dbp,5.000000000000001,4,10.29618068835576,2.4984353454645314,9.0
