tf_motif,num_genes,member_genes,max_lrt,peak_bin,circ_mean_hour,circ_std_hour,peak_hour
FOXO3A (mouse),10,Pdcd4;Ogn;Dusp18;Dnajb2;Tulp1;Capg;Enpp4;Chchd10;Lox;Hebp2,4.800000000000001,3,6.671075401026627,5.0626338305473215,7.0
Nkx3-2 (mouse),13,Ngef;Pkig;Kcna2;Kcnd3;Tnfrsf21;Ntn4;Aimp2;Net1;Apobec2;Bmp3;Tead1;Col27a1;Casq1,4.615384615384616,5,11.83145028429193,5.471103495000117,11.0
NR1H2 (human),8,Nr1d2;Alkbh7;Aimp2;Sec14l1;Elmo1;Pik3ip1;Camk2b;Spata24,4.5,5,8.37319459451147,5.6178986278683976,11.0
SRF (mouse),11,Ndst3;Il33;Rnd3;Adamts9;Mpp2;Clock;Tm4sf1;Plcl1;Klf9;Arid5b;Hebp2,4.363636363636364,8,17.567357673151044,5.593066090945419,17.0
AP1 (mouse),6,Ephx1;Sqle;Tsc22d3;Phactr3;Spsb1;Sertad4,4.0,6,13.205212424647266,4.569303374917292,13.0
ELF5 (mouse),9,Eln;Gpr146;Leo1;Ogn;Tlr2;Rab6b;Dock5;Ddx17;Trib2,4.0,11,20.107149827645774,6.2313447880125326,23.0
LOC135440 (human),6,Cyp1b1;Stac;Net1;Il16;Steap3;Fam13a,4.0,6,14.049389427209356,5.4798918751198995,13.0
XBP1 (human),6,Cd9;Pip4k2a;Rhobtb1;Hspa5;Thra;Rnd3,4.0,11,22.95021977883189,5.58773524561102,23.0
ZNF148 (human),35,Pdgfb;Bhlhe40;Cdc25b;Kcnd3;Cirbp;Mfsd10;Tcap;Asb10;Mknk2;Cck;Nr1d1;Nr1d2;Grtp1;Cdkn1a;Adamtsl5;Phactr3;Haghl;Ngef;Pdxk;Zbtb16;Slc25a34;Ppp1r1b;Ifi30;Tspan4;Asb2;Mthfr;Gpr146;Tnni3;Pfn1;Mapre2;Ephx1;Pdia6;Hspb7;Hebp2;Camk2b,3.7714285714285714,4,9.316441535026684,4.157988151101945,9.0
Sox5 (mouse),13,Mthfd1;Pip4k2a;Pawr;Peli1;Rspo3;Ppef1;Fuz;Pmvk;Plekhg3;Mylk4;Rin3;Apcdd1;Camk1d,3.6923076923076925,8,17.67054714247568,5.263233178899387,17.0
