gene_set,bin_0_ZT0-2,bin_1_ZT2-4,bin_2_ZT4-6,bin_3_ZT6-8,bin_4_ZT8-10,bin_5_ZT10-12,bin_6_ZT12-14,bin_7_ZT14-16,bin_8_ZT16-18,bin_9_ZT18-20,bin_10_ZT20-22,bin_11_ZT22-24
SP1 (human),0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
PCBP1 (human),0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
HINFP (human),0.0,0.0,0.0,1.7142857142857142,1.7142857142857142,6.857142857142857,1.7142857142857142,0.0,0.0,0.0,0.0,0.0
IRF8 (human),0.0,0.0,0.0,1.7142857142857142,6.857142857142857,1.7142857142857142,0.0,0.0,0.0,0.0,1.7142857142857142,0.0
NFKB1 (human),0.0,0.0,0.0,0.0,1.7142857142857142,6.857142857142857,1.7142857142857142,0.0,0.0,1.7142857142857142,0.0,0.0
SREBF1 (human),0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
E2F6 (human),0.0,0.0,0.0,0.0,2.0,6.0,2.0,2.0,0.0,0.0,0.0,0.0
GLI2 (human),0.0,0.0,0.0,0.0,3.4285714285714284,5.142857142857143,3.4285714285714284,0.0,0.0,0.0,0.0,0.0
KLF4 (human),0.0,0.0,0.0,0.0,5.142857142857143,3.4285714285714284,3.4285714285714284,0.0,0.0,0.0,0.0,0.0
TFAP2A (human),0.0,0.0,0.0,0.0,1.7142857142857142,5.142857142857143,3.4285714285714284,1.7142857142857142,0.0,0.0,0.0,0.0
KLF11 (human),0.0,0.0,0.0,0.0,5.142857142857143,3.4285714285714284,3.4285714285714284,0.0,0.0,0.0,0.0,0.0
GATA2 (human),0.0,0.0,0.0,1.2000000000000002,2.4000000000000004,4.800000000000001,2.4000000000000004,0.0,0.0,0.0,1.2000000000000002,0.0
NFIC (human),0.0,0.0,0.0,1.5,4.5,4.5,0.0,0.0,0.0,0.0,1.5,0.0
TEAD4 (human),0.0,0.0,0.0,0.0,3.0,4.5,3.0,1.5,0.0,0.0,0.0,0.0
SRF (human),0.0,0.0,0.0,1.3333333333333333,2.6666666666666665,4.0,1.3333333333333333,1.3333333333333333,0.0,0.0,1.3333333333333333,0.0
RELA (human),0.0,0.0,0.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0
TCF4 (human),0.0,0.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0
ZNF148 (human),0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
NFE2 (human),0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
FOXC1 (human),0.0,0.0,0.0,0.9230769230769231,2.7692307692307696,3.6923076923076925,1.8461538461538463,1.8461538461538463,0.0,0.0,0.9230769230769231,0.0
E2F1 (human),0.0,0.0,0.0,0.0,3.4285714285714284,3.4285714285714284,1.7142857142857142,3.4285714285714284,0.0,0.0,0.0,0.0
ETS1 (human),0.0,0.0,0.0,1.7142857142857142,3.4285714285714284,0.0,3.4285714285714284,3.4285714285714284,0.0,0.0,0.0,0.0
E2F1 (mouse),0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0
