gene_set,bin_0_ZT0-2,bin_1_ZT2-4,bin_2_ZT4-6,bin_3_ZT6-8,bin_4_ZT8-10,bin_5_ZT10-12,bin_6_ZT12-14,bin_7_ZT14-16,bin_8_ZT16-18,bin_9_ZT18-20,bin_10_ZT20-22,bin_11_ZT22-24
NR1H3 (human),1.5,0.0,0.0,0.0,0.0,7.5,0.0,1.5,0.0,0.0,1.5,0.0
SP3 (human),0.0,0.0,0.0,0.0,0.0,6.857142857142857,3.4285714285714284,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0
MYC (mouse),0.0,0.9230769230769231,0.0,0.0,0.9230769230769231,6.461538461538462,1.8461538461538463,0.0,0.0,0.9230769230769231,0.9230769230769231,0.0
NR2F1 (human),6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TEAD4 (human),0.0,0.8571428571428571,0.0,0.0,0.8571428571428571,6.0,1.7142857142857142,0.8571428571428571,0.0,0.0,0.0,1.7142857142857142
NFIA (human),0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,6.0,0.0,0.0,0.0
TCFAP2A (human),0.0,0.0,0.0,0.0,0.8571428571428571,6.0,1.7142857142857142,1.7142857142857142,0.8571428571428571,0.0,0.0,0.8571428571428571
EGR1 (human),0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,2.0,0.0,0.0,2.0
SP1 (human),0.0,0.0,0.0,0.0,0.75,6.0,3.0,0.75,0.75,0.0,0.0,0.75
ZNF148 (human),1.0,0.0,0.0,0.0,4.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
RORB (human),6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PCBP1 (human),0.0,0.0,0.0,0.0,0.8571428571428571,6.0,3.4285714285714284,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0
JUN (human),1.6,0.8,0.0,0.8,1.6,5.6000000000000005,0.8,0.0,0.8,0.0,0.0,0.0
MAX (human),0.6666666666666666,0.0,0.0,0.6666666666666666,0.0,5.333333333333333,3.3333333333333335,0.0,0.6666666666666666,0.0,0.0,1.3333333333333333
MTF1 (human),0.0,0.0,0.0,0.0,1.3333333333333333,5.333333333333333,2.6666666666666665,1.3333333333333333,1.3333333333333333,0.0,0.0,0.0
LTF (human),1.3333333333333333,0.0,0.0,0.0,0.0,5.333333333333333,2.6666666666666665,0.0,0.0,0.0,0.0,2.6666666666666665
Sox2 (mouse),0.0,0.0,0.0,1.7142857142857142,5.142857142857143,1.7142857142857142,0.0,1.7142857142857142,0.0,0.0,0.0,1.7142857142857142
MIR138 (human),5.142857142857143,0.0,0.0,0.0,1.7142857142857142,1.7142857142857142,0.0,3.4285714285714284,0.0,0.0,0.0,0.0
CRTC3 (human),3.4285714285714284,0.0,0.0,0.0,0.0,5.142857142857143,0.0,0.0,1.7142857142857142,0.0,0.0,1.7142857142857142
USF1 (human),0.8571428571428571,0.0,0.0,0.8571428571428571,0.8571428571428571,5.142857142857143,4.2857142857142865,0.0,0.0,0.0,0.0,0.0
ZNF354C (human),0.0,0.0,0.0,0.0,1.7142857142857142,5.142857142857143,1.7142857142857142,3.4285714285714284,0.0,0.0,0.0,0.0
KLF11 (human),0.0,1.0,0.0,0.0,5.000000000000001,4.0,1.0,1.0,0.0,0.0,0.0,0.0
KLF4 (human),0.0,1.0,0.0,0.0,5.000000000000001,4.0,1.0,1.0,0.0,0.0,0.0,0.0
RXRA (human),0.7058823529411765,0.0,0.0,1.411764705882353,0.7058823529411765,4.9411764705882355,0.7058823529411765,0.7058823529411765,2.11764705882353,0.0,0.7058823529411765,0.0
ESR1 (human),0.0,0.0,0.0,0.8,0.8,4.800000000000001,0.0,1.6,1.6,0.0,0.8,1.6
