gene,acrophase_rad,acrophase_hour
Art3,4.33379272456683,16.55
Ccdc107,1.122331546099267,4.29
Chchd10,2.699272674685265,10.31
Cnn1,6.2400059715509855,23.84
Dhrs3,0.0378428201880067,0.14
Fbxl22,1.4714879092499429,5.62
Kcnab1,0.9462561538222872,3.61
Mylk4,4.1614661362652114,15.9
Ogn,5.979116843326771,22.84
Ptprz1,6.004883789110838,22.94
Rassf3,0.3968243125769968,1.52
Rrad,0.6695772821313675,2.56
Smim5,2.4003993670056225,9.17
Sost,6.252171667090646,23.88
Tcap,2.577678692559953,9.85
Tppp3,2.244648876535516,8.57
Txnip,2.882276806991205,11.01
