gene,acrophase_rad,acrophase_hour
Capg,2.1365766184258224,8.16
Ccdc80,3.734694636943748,14.27
Cd200,2.652998636866681,10.13
Cdo1,3.44175158524897,13.15
Cebpd,3.27682071043026,12.52
Col14a1,2.1153675174992284,8.08
Crispld2,2.2999598390170064,8.79
Dbi,0.928943937638512,3.55
Frzb,3.3000919957261714,12.61
Gm12840,5.163109981130805,19.72
Ifitm3,3.4384739855087503,13.13
Lox,6.203213941573687,23.69
Lxn,3.8247350714578063,14.61
Mgp,4.1045582498973285,15.68
Mt1,2.9951032053344058,11.44
Mt2,2.6452558024960497,10.1
Nfkbia,2.820953114357198,10.78
Nudt4,2.4958025650948774,9.53
Plvap,0.8142722319967577,3.11
Rhoc,1.3956156677269398,5.33
Sfrp2,2.466926668147911,9.42
Smoc1,4.925534244831924,18.81
Sncg,3.4587421653953547,13.21
Timp1,4.393371770664406,16.78
Tm4sf1,0.228458898473276,0.87
Tmsb10,0.6680685538592854,2.55
Tspan4,3.499655321730387,13.37
Tuba1b,4.4454161505011465,16.98
